t matrices
a matrix=mf8031 PMVAM 0 PMVAM                
 gg1 gg1:8.16057692307692051
 gg1 gg2:6.84348933627868306
 gg1 gg4:0.14192307692307701
 gg1 gg5:0.07096153846153851
 gg1 gg6:5.46403846153846029
 gg1 gg7:1.06442307692308002
 gg1 gg8:1.63211538461537997
 gg1 gg9:0.70961538461538498
 gg1 gg10:0.14192307692307701
 gg1 gg11:0.49673076923076898
 gg1 gg12:2.90942307692308022
 gg1 gg13:7.30903846153846004
 gg1 gg14:5.96076923076923038
 gg1 gg15:4.62523124224764004
 gg1 gg16:0.85153846153846202
 gg1 gg17:0.63865384615384602
 gg1 gg18:1.06442307692308002
 gg1 gg19:1.70307692307692005
 gg1 gg20:6.59942307692308017
 gg1 gg21:1.13538461538462010
 gg1 gg22:0.99346153846153795
 gg1 gg23:0.92249999999999999
 gg1 gg24:0.56769230769230805
 gg1 gg25:2.69653846153846022
 gg1 gg26:1.20634615384614996
 gg1 gg27:3.61903846153846009
 gg2 gg1:6.44961944642092000
 gg2 gg2:10.83919921875000014
 gg2 gg4:0.22640625000000000
 gg2 gg5:0.82072265624999996
 gg2 gg6:3.59419921875000004
 gg2 gg7:1.04712890624999999
 gg2 gg8:0.96222656250000005
 gg2 gg9:0.16980468750000000
 gg2 gg10:0.33960937499999999
 gg2 gg11:0.14150390625000001
 gg2 gg12:1.55654296874999987
 gg2 gg13:6.14126953124999986
 gg2 gg14:4.83943359374999993
 gg2 gg15:6.47919985476988369
 gg2 gg16:1.27353515625000013
 gg2 gg17:0.42451171874999999
 gg2 gg18:0.84902343749999998
 gg2 gg19:1.18863281250000008
 gg2 gg20:1.92445312500000010
 gg2 gg21:0.67921874999999998
 gg2 gg22:0.56601562500000002
 gg2 gg23:0.48111328125000002
 gg2 gg24:0.25470703124999999
 gg2 gg25:0.59431640625000004
 gg2 gg26:0.70751953125000000
 gg2 gg27:3.56589843750000002
 gg4 gg1:1.84499999999999997
 gg4 gg2:0.53771484375000000
 gg4 gg4:0.21839268905602033
 gg4 gg5:0.21839268905602033
 gg4 gg6:0.16379451679201534
 gg4 gg7:0.05459817226400510
 gg4 gg8:0.05459817226400510
 gg4 gg9:0.16379451679201534
 gg4 gg10:0.10919634452801033
 gg4 gg11:0.10919634452801033
 gg4 gg12:0.27299086132002565
