c Emme Module:    3.14(v15101)  Date: 14-08-30 12:25   User: E496/HFA......none
c Project:        2011_DB_Assigning_FMS                                       
t matrices
a matrix=mf8031 PMVAM 0 PMVAM                
 gg1 gg1:8.16057692307692
 gg1 gg2:7.15784626488885
 gg1 gg4:0.141923076923077
 gg1 gg5:0.0709615384615385
 gg1 gg6:5.46403846153846
 gg1 gg7:1.06442307692308
 gg1 gg8:1.63211538461538
 gg1 gg9:0.709615384615385
 gg1 gg10:0.141923076923077
 gg1 gg11:0.496730769230769
 gg1 gg12:2.90942307692308
 gg1 gg13:7.30903846153846
 gg1 gg14:5.96076923076923
 gg1 gg15:4.62523124224764
 gg1 gg16:0.851538461538462
 gg1 gg17:0.638653846153846
 gg1 gg18:1.06442307692308
 gg1 gg19:1.70307692307692
 gg1 gg20:6.59942307692308
 gg1 gg21:1.13538461538462
 gg1 gg22:0.993461538461538
 gg1 gg23:0.9225
 gg1 gg24:0.567692307692308
 gg1 gg25:2.69653846153846
 gg1 gg26:1.20634615384615
 gg1 gg27:3.61903846153846
 gg2 gg1:6.74588388993122
 gg2 gg2:13.12822265625
 gg2 gg4:0.27421875
 gg2 gg5:0.99404296875
 gg2 gg6:4.35322265625
 gg2 gg7:1.26826171875
 gg2 gg8:1.1654296875
 gg2 gg9:0.2056640625
 gg2 gg10:0.411328125
 gg2 gg11:0.17138671875
 gg2 gg12:1.88525390625
 gg2 gg13:7.43818359375
 gg2 gg14:5.86142578125
 gg2 gg15:6.85719357538237
 gg2 gg16:1.54248046875
 gg2 gg17:0.51416015625
 gg2 gg18:1.0283203125
 gg2 gg19:1.4396484375
 gg2 gg20:2.330859375
 gg2 gg21:0.82265625
 gg2 gg22:0.685546875
 gg2 gg23:0.58271484375
 gg2 gg24:0.30849609375
 gg2 gg25:0.71982421875
 gg2 gg26:0.85693359375
 gg2 gg27:4.3189453125
 gg4 gg1:1.845
 gg4 gg2:0.65126953125
 gg4 gg4:0.226149050467429
 gg4 gg5:0.226149050467429
 gg4 gg6:0.169611787850572
 gg4 gg7:0.0565372626168573
 gg4 gg8:0.0565372626168573
 gg4 gg9:0.169611787850572
 gg4 gg10:0.113074525233715
 gg4 gg11:0.113074525233715
 gg4 gg12:0.282686313084287
 gg4 gg13:1.30035704018772
 gg4 gg14:0.508835363551716
 gg4 gg15:1.00588235294118
 gg4 gg16:0.452298100934859
 gg4 gg17:0.226149050467429
 gg4 gg18:0
 gg4 gg19:0.113074525233715
 gg4 gg20:0.113074525233715
 gg4 gg21:0.113074525233715
 gg4 gg22:0.113074525233715
 gg4 gg23:0
 gg4 gg24:0.0565372626168573
 gg4 gg25:0.113074525233715
 gg4 gg26:0.0565372626168573
 gg4 gg27:0.395760838318001
 gg5 gg1:4.32865384615385
 gg5 gg2:6.7869140625
 gg5 gg4:0.452298100934859
 gg5 gg5:3.16608670654401
 gg5 gg6:0.226149050467429
 gg5 gg7:0.339223575701144
 gg5 gg8:0.0565372626168573
 gg5 gg9:0.113074525233715
 gg5 gg10:0.0565372626168573
 gg5 gg11:0
 gg5 gg12:0.395760838318001
 gg5 gg13:1.41343156542143
 gg5 gg14:0.678447151402288
 gg5 gg15:0.88014705882353
 gg5 gg16:0.621909888785431
 gg5 gg17:0.0565372626168573
 gg5 gg18:0.0565372626168573
 gg5 gg19:0.226149050467429
 gg5 gg20:0.282686313084287
 gg5 gg21:0.169611787850572
 gg5 gg22:0.0565372626168573
 gg5 gg23:0.113074525233715
 gg5 gg24:0.0565372626168573
 gg5 gg25:0.226149050467429
 gg5 gg26:0.339223575701144
 gg5 gg27:1.35689430280458
 gg6 gg1:11.7086538461538
 gg6 gg2:7.7466796875
 gg6 gg4:1.46996882803829
 gg6 gg5:3.10954944392715
 gg6 gg6:22.7279795719767
 gg6 gg7:2.54417681775858
 gg6 gg8:5.93641257477002
 gg6 gg9:0.84805893925286
 gg6 gg10:1.13074525233715
 gg6 gg11:1.13074525233715
 gg6 gg12:5.25796542336773
 gg6 gg13:33.1873731560953
 gg6 gg14:3.8445338579463
 gg6 gg15:8.42426470588235
 gg6 gg16:2.03534145420686
 gg6 gg17:0.0565372626168573
 gg6 gg18:0.226149050467429
 gg6 gg19:2.09187871682372
 gg6 gg20:1.187282514954
 gg6 gg21:2.54417681775858
 gg6 gg22:0.678447151402288
 gg6 gg23:0.282686313084287
 gg6 gg24:0.226149050467429
 gg6 gg25:0.113074525233715
 gg6 gg26:3.95760838318001
 gg6 gg27:4.29683195888116
 gg7 gg1:1.56115384615385
 gg7 gg2:1.95380859375
 gg7 gg4:0.169611787850572
 gg7 gg5:0.339223575701144
 gg7 gg6:1.41343156542143
 gg7 gg7:1.58304335327201
 gg7 gg8:0.226149050467429
 gg7 gg9:0.282686313084287
 gg7 gg10:0.113074525233715
 gg7 gg11:0
 gg7 gg12:0.565372626168573
 gg7 gg13:2.37456502990801
 gg7 gg14:2.26149050467429
 gg7 gg15:3.33198529411765
 gg7 gg16:0.678447151402288
 gg7 gg17:0.169611787850572
 gg7 gg18:0.0565372626168573
 gg7 gg19:0.961133464486575
 gg7 gg20:0.791521676636003
 gg7 gg21:1.13074525233715
 gg7 gg22:0.226149050467429
 gg7 gg23:0.113074525233715
 gg7 gg24:0.169611787850572
 gg7 gg25:0.452298100934859
 gg7 gg26:0.452298100934859
 gg7 gg27:0.734984414019145
 gg8 gg1:2.05788461538462
 gg8 gg2:3.4962890625
 gg8 gg4:0.0565372626168573
 gg8 gg5:0.113074525233715
 gg8 gg6:3.0530121813103
 gg8 gg7:0.339223575701144
 gg8 gg8:1.80919240373944
 gg8 gg9:0.339223575701144
 gg8 gg10:0.169611787850572
 gg8 gg11:0.282686313084287
 gg8 gg12:1.41343156542143
 gg8 gg13:6.95408330187345
 gg8 gg14:3.8445338579463
 gg8 gg15:5.90955882352941
 gg8 gg16:1.41343156542143
 gg8 gg17:0.113074525233715
 gg8 gg18:0.226149050467429
 gg8 gg19:1.92226692897315
 gg8 gg20:0.508835363551716
 gg8 gg21:0.508835363551716
 gg8 gg22:1.58304335327201
 gg8 gg23:0.395760838318001
 gg8 gg24:0.169611787850572
 gg8 gg25:0.395760838318001
 gg8 gg26:0.734984414019145
 gg8 gg27:1.13074525233715
 gg9 gg1:0.425769230769231
 gg9 gg2:0.37705078125
 gg9 gg4:0.113074525233715
 gg9 gg5:0.0565372626168573
 gg9 gg6:0.734984414019145
 gg9 gg7:0.226149050467429
 gg9 gg8:0.678447151402288
 gg9 gg9:1.187282514954
 gg9 gg10:0.678447151402288
 gg9 gg11:0.0565372626168573
 gg9 gg12:0.84805893925286
 gg9 gg13:1.30035704018772
 gg9 gg14:1.01767072710343
 gg9 gg15:0.88014705882353
 gg9 gg16:0.395760838318001
 gg9 gg17:0.0565372626168573
 gg9 gg18:0.0565372626168573
 gg9 gg19:0.226149050467429
 gg9 gg20:0.452298100934859
 gg9 gg21:0.565372626168573
 gg9 gg22:0.621909888785431
 gg9 gg23:0.226149050467429
 gg9 gg24:0
 gg9 gg25:0.395760838318001
 gg9 gg26:0.169611787850572
 gg9 gg27:0.621909888785431
 gg10 gg1:0.851538461538462
 gg10 gg2:0.58271484375
 gg10 gg4:0
 gg10 gg5:0.0565372626168573
 gg10 gg6:0.339223575701144
 gg10 gg7:0.226149050467429
 gg10 gg8:0
 gg10 gg9:0.0565372626168573
 gg10 gg10:1.01767072710343
 gg10 gg11:0
 gg10 gg12:1.07420798972029
 gg10 gg13:0.961133464486575
 gg10 gg14:2.03534145420686
 gg10 gg15:3.83492647058824
 gg10 gg16:0.226149050467429
 gg10 gg17:0.339223575701144
 gg10 gg18:0.169611787850572
 gg10 gg19:0.282686313084287
 gg10 gg20:0.113074525233715
 gg10 gg21:0.0565372626168573
 gg10 gg22:0.113074525233715
 gg10 gg23:0.0565372626168573
 gg10 gg24:0
 gg10 gg25:0
 gg10 gg26:0.0565372626168573
 gg10 gg27:0.282686313084287
 gg11 gg1:0.496730769230769
 gg11 gg2:0.2056640625
 gg11 gg4:0
 gg11 gg5:0.113074525233715
 gg11 gg6:0.169611787850572
 gg11 gg7:0
 gg11 gg8:0.0565372626168573
 gg11 gg9:0.0565372626168573
 gg11 gg10:0.0565372626168573
 gg11 gg11:1.30035704018772
 gg11 gg12:0.113074525233715
 gg11 gg13:0.904596201869718
 gg11 gg14:0.452298100934859
 gg11 gg15:0.440073529411765
 gg11 gg16:0
 gg11 gg17:0
 gg11 gg18:0
 gg11 gg19:0
 gg11 gg20:0.0565372626168573
 gg11 gg21:0
 gg11 gg22:0.0565372626168573
 gg11 gg23:0
 gg11 gg24:0
 gg11 gg25:0.0565372626168573
 gg11 gg26:0
 gg11 gg27:0.169611787850572
 gg12 gg1:0.9225
 gg12 gg2:0.65126953125
 gg12 gg4:0.113074525233715
 gg12 gg5:0.169611787850572
 gg12 gg6:4.52298100934859
 gg12 gg7:0.452298100934859
 gg12 gg8:0.621909888785431
 gg12 gg9:0.339223575701144
 gg12 gg10:1.24381977757086
 gg12 gg11:1.01767072710343
 gg12 gg12:9.83748369533318
 gg12 gg13:16.6784924719729
 gg12 gg14:8.65020118037918
 gg12 gg15:17.7915441176471
 gg12 gg16:3.16608670654401
 gg12 gg17:0.621909888785431
 gg12 gg18:0.734984414019145
 gg12 gg19:0.84805893925286
 gg12 gg20:0.961133464486575
 gg12 gg21:0.904596201869718
 gg12 gg22:0.282686313084287
 gg12 gg23:0.734984414019145
 gg12 gg24:0.734984414019145
 gg12 gg25:0.169611787850572
 gg12 gg26:1.35689430280458
 gg12 gg27:0.961133464486575
 gg13 gg1:20.0111538461538
 gg13 gg2:28.21025390625
 gg13 gg4:0.904596201869718
 gg13 gg5:2.37456502990801
 gg13 gg6:12.7774213514098
 gg13 gg7:3.4487730196283
 gg13 gg8:4.86220458504973
 gg13 gg9:0.678447151402288
 gg13 gg10:1.24381977757086
 gg13 gg11:0.508835363551716
 gg13 gg12:7.57599319065888
 gg13 gg13:14.2473901794481
 gg13 gg14:21.8799206327238
 gg13 gg15:60.7301470588235
 gg13 gg16:7.63253045327574
 gg13 gg17:0.452298100934859
 gg13 gg18:0.904596201869718
 gg13 gg19:7.06715782710717
 gg13 gg20:4.69259279719916
 gg13 gg21:2.93993765607658
 gg13 gg22:1.187282514954
 gg13 gg23:0.678447151402288
 gg13 gg24:0.565372626168573
 gg13 gg25:0.621909888785431
 gg13 gg26:3.50531028224516
 gg13 gg27:7.12369508972403
