t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      2      3  10.94795
      2      4  .2567902
      2      5  4.634359
      3      2  4.765445
      3      8  .2575916
      3     10  .2575916
      3     11  .9015707
      3  21010  .0004385
      3  21030  .0032679
      3  21050  .0009469
      3  21080  .0028589
      3  21100  .0024969
      3  21150  .0016783
      3  21160  .0065330
      3  22010  .0257124
      3  22390  .0411284
      3  22400  .0382033
      3  22530  .0352053
      3  23370  .1761782
      3  23440  .0371466
      3  23450  .0254110
      3  23460  .0519795
      3  23500  .0715959
      3  24140  .0015763
      3  24150  .0044295
      3  24160  .0058982
      3  24260  .0036281
      3  24270  .0014971
      3  24280  .0030249
      3  24300  .0049378
      3  24320  .0589287
      3  24340  .0024388
      3  24350  .0049558
      3  24400  .0054927
      3  25120  .0521295
      3  25130  .0633111
      3  25220  .0393656
      3  25230  .0088181
      3  25280  .0762274
      3  25290  .0075892
      3  25300  .0061624
      3  25310  .0080974
      3  25320  .0160803
      3  25370  .0278246
      3  25380  .0229051
      3  25390  .1249624
      3  25660  .0127450
      3  25740  .0199799
      3  25800  .0514517
      3  25810  .0654229
      3  26310  .0355047
      3  26340  .0141630
      3  26390  .0112452
      3  26410  .0063830
      3  27140  .1133622
      3  27160  .0275470
      3  27170  .0117192
      3  27220  .0208764
      3  27230  .0468746
      3  27290  .0003047
      3  27660  .2589285
      3  28080  .1030173
      3  28090  .0065638
      3  28220  .0702582
      3  28270  .1593622
      3  28380  .0311906
      3  28390  .0175121
      3  28600  .0232177
      3  28610  .0178752
      3  28710  .0071288
      3  28720  .0155361
      3  28730  .0030593
      3  28740  .0527795
      3  28750  .0432531
      3  29040  .0002888
      3  29060  .0007096
      3  29070  .0005543
      3  29120  .0028886
      3  29280  .0332844
      3  29340  .0910701
      3  41030  .4677763
      3  41040  .0364882
      3  41050  .0276692
      3  41070  .0085131
      3  41110  .0217239
      3  42010  .0062930
      3  42200  .0040223
      3  42210  .0094426
      3  42290  .0410740
      3  51490  .0431603
      3  51590  .0514504
      3  51640  .0431603
