ALL	@brdpeneff	0.75	i=233607 and j=233608
ALL	@brdpeneff	0.75	i=233601 and j=231700	line=099W3X
ALL	@brdpeneff	0.5	i=233610 and j=233611
ALL	@brdpeneff	0.5	i=233610 and j=233609
ALL	@brdpeneff	0.5	i=254203 and j=254009
ALL	dwt	0.76	i=210305 and j=210502	line=004E1X
ALL	dwt	0.38	i=210501 and j=230202	line=004E1X
ALL	dwt	0.38	i=230203 and j=230301	line=004E1X
ALL	dwt	0.76	i=230301 and j=231401	line=004E1X
ALL	dwt	0.76	i=231600 and j=230503	line=004E1X
ALL	dwt	0.38	i=230503 and j=231701	line=004E1X
ALL	dwt	0.76	i=231701 and j=230702	line=004E1X
ALL	dwt	0.38	i=230702 and j=231901	line=004E1X
ALL	dwt	0.38	i=232005 and j=232201	line=004E1X
ALL	dwt	0.38	i=250905 and j=250906	line=004E1X
ALL	dwt	0.38	i=251401 and j=250402	line=004E1X
ALL	dwt	0.38	i=251501 and j=250401	line=004E1X
ALL	dwt	0.76	i=250403 and j=250501	line=004E1X
ALL	dwt	0.38	i=250601 and j=250602	line=004E1X
ALL	dwt	0.76	i=250501 and j=250403	line=004W1X
ALL	dwt	0.38	i=250401 and j=251501	line=004W1X
ALL	dwt	0.38	i=250402 and j=251401	line=004W1X
ALL	dwt	0.38	i=226205 and j=226204	line=004W1X
ALL	dwt	0.38	i=224006 and j=223905	line=004W1X
ALL	dwt	0.38	i=231901 and j=230702	line=004W1X
ALL	dwt	0.38	i=230702 and j=231701	line=004W1X
ALL	dwt	0.38	i=231701 and j=230503	line=004W1X
ALL	dwt	0.76	i=230503 and j=231600	line=004W1X
ALL	dwt	0.76	i=231401 and j=230301	line=004W1X
ALL	dwt	0.76	i=230301 and j=230203	line=004W1X
ALL	dwt	0.38	i=230202 and j=210501	line=004W1X
ALL	dwt	0.76	i=210502 and j=210305	line=004W1X
ALL	dwt	0.76	i=210305 and j=210502	line=009E1A
ALL	dwt	0.38	i=210502 and j=234401	line=009E1A
ALL	dwt	0.38	i=234401 and j=234500	line=009E1A
ALL	dwt	1.14	i=234500 and j=231403	line=009E1A
ALL	dwt	0.38	i=231403 and j=233401	line=009E1A
ALL	dwt	0.38	i=231601 and j=233501	line=009E1A
ALL	dwt	0.76	i=233501 and j=231700	line=009E1A
ALL	dwt	0.38	i=231700 and j=233601	line=009E1A
ALL	dwt	0.38	i=234102 and j=234103	line=009E1A
ALL	dwt	0.38	i=234301 and j=234303	line=009E1A
ALL	dwt	0.38	i=255303 and j=254803	line=009E1A
ALL	dwt	0.38	i=254803 and j=254902	line=009E1A
ALL	dwt	0.38	i=255702 and j=254403	line=009E1A
ALL	dwt	0.38	i=254403 and j=255105	line=009E1A
ALL	dwt	0.38	i=255106 and j=256001	line=009E1A
ALL	dwt	0.76	i=210305 and j=210502	line=009E1P
ALL	dwt	0.38	i=210502 and j=234401	line=009E1P
ALL	dwt	0.38	i=234401 and j=234500	line=009E1P
ALL	dwt	1.14	i=234500 and j=231403	line=009E1P
ALL	dwt	0.38	i=231403 and j=233401	line=009E1P
ALL	dwt	0.38	i=231601 and j=233501	line=009E1P
ALL	dwt	0.76	i=233501 and j=231700	line=009E1P
ALL	dwt	0.38	i=231700 and j=233601	line=009E1P
ALL	dwt	0.38	i=234102 and j=234103	line=009E1P
ALL	dwt	0.38	i=234302 and j=234303	line=009E1P
ALL	dwt	0.38	i=255303 and j=255304	line=009E1P
ALL	dwt	0.38	i=255401 and j=254902	line=009E1P
ALL	dwt	0.38	i=255702 and j=254403	line=009E1P
ALL	dwt	0.38	i=254403 and j=255105	line=009E1P
ALL	dwt	0.38	i=255106 and j=256001	line=009E1P
ALL	dwt	0.38	i=231601 and j=233501	line=009E2X
ALL	dwt	0.76	i=233501 and j=231700	line=009E2X
ALL	dwt	0.38	i=231700 and j=233601	line=009E2X
ALL	dwt	0.38	i=233601 and j=233603	line=009E2X
ALL	dwt	0.38	i=233603 and j=232013	line=009E2X
ALL	dwt	0.38	i=234101 and j=234103	line=009E2X
ALL	dwt	0.38	i=234301 and j=234303	line=009E2X
ALL	dwt	0.38	i=255303 and j=254803	line=009E2X
ALL	dwt	0.38	i=254803 and j=254902	line=009E2X
ALL	dwt	0.38	i=255702 and j=254403	line=009E2X
ALL	dwt	0.38	i=254403 and j=255105	line=009E2X
ALL	dwt	0.38	i=255106 and j=256001	line=009E2X
ALL	dwt	0.38	i=234102 and j=234103	line=009E3A
ALL	dwt	0.38	i=234301 and j=234303	line=009E3A
ALL	dwt	0.38	i=255303 and j=254803	line=009E3A
ALL	dwt	0.38	i=254803 and j=254902	line=009E3A
ALL	dwt	0.38	i=255702 and j=254403	line=009E3A
ALL	dwt	0.38	i=254403 and j=255105	line=009E3A
ALL	dwt	0.38	i=255106 and j=256001	line=009E3A
ALL	dwt	0.38	i=234102 and j=234103	line=009E3P
ALL	dwt	0.38	i=234302 and j=234303	line=009E3P
ALL	dwt	0.38	i=255303 and j=255304	line=009E3P
ALL	dwt	0.38	i=255401 and j=254902	line=009E3P
ALL	dwt	0.38	i=255702 and j=254403	line=009E3P
ALL	dwt	0.38	i=254403 and j=255105	line=009E3P
ALL	dwt	0.38	i=255106 and j=256001	line=009E3P
ALL	dwt	0.38	i=234101 and j=234103	line=009E4X
ALL	dwt	0.38	i=234301 and j=234303	line=009E4X
ALL	dwt	0.38	i=255303 and j=254803	line=009E4X
ALL	dwt	0.38	i=254803 and j=254902	line=009E4X
ALL	dwt	0.38	i=256101 and j=256001	line=009W1A
ALL	dwt	0.38	i=256001 and j=255106	line=009W1A
ALL	dwt	0.76	i=254403 and j=255702	line=009W1A
ALL	dwt	0.38	i=254901 and j=254803	line=009W1A
ALL	dwt	0.38	i=254803 and j=254802	line=009W1A
ALL	dwt	0.38	i=233304 and j=234301	line=009W1A
ALL	dwt	0.38	i=233108 and j=234101	line=009W1A
ALL	dwt	0.38	i=233601 and j=231700	line=009W1A
ALL	dwt	0.38	i=231700 and j=233501	line=009W1A
ALL	dwt	0.38	i=233501 and j=231601	line=009W1A
ALL	dwt	1.14	i=231403 and j=234500	line=009W1A
ALL	dwt	0.38	i=234500 and j=234401	line=009W1A
ALL	dwt	0.38	i=234401 and j=210502	line=009W1A
ALL	dwt	0.76	i=210502 and j=210305	line=009W1A
ALL	dwt	0.38	i=256101 and j=256001	line=009W1P
ALL	dwt	0.38	i=256001 and j=255106	line=009W1P
ALL	dwt	0.76	i=254403 and j=255702	line=009W1P
ALL	dwt	0.38	i=254901 and j=254803	line=009W1P
ALL	dwt	0.38	i=254803 and j=254802	line=009W1P
ALL	dwt	0.38	i=233304 and j=234301	line=009W1P
ALL	dwt	0.38	i=233108 and j=234101	line=009W1P
ALL	dwt	0.38	i=233601 and j=231700	line=009W1P
ALL	dwt	0.38	i=231700 and j=233501	line=009W1P
ALL	dwt	0.38	i=233501 and j=231601	line=009W1P
ALL	dwt	1.14	i=231403 and j=234500	line=009W1P
ALL	dwt	0.38	i=234500 and j=234401	line=009W1P
ALL	dwt	0.38	i=234401 and j=210502	line=009W1P
ALL	dwt	0.76	i=210502 and j=210305	line=009W1P
ALL	dwt	0.38	i=256101 and j=256001	line=009W2X
ALL	dwt	0.38	i=256001 and j=255106	line=009W2X
ALL	dwt	0.76	i=254403 and j=255702	line=009W2X
ALL	dwt	0.38	i=254902 and j=254803	line=009W2X
ALL	dwt	0.38	i=254803 and j=255303	line=009W2X
ALL	dwt	0.38	i=234303 and j=234301	line=009W2X
ALL	dwt	0.38	i=234103 and j=234101	line=009W2X
ALL	dwt	0.38	i=232013 and j=233603	line=009W2X
ALL	dwt	0.38	i=233603 and j=233601	line=009W2X
ALL	dwt	0.38	i=233601 and j=231700	line=009W2X
ALL	dwt	0.38	i=231700 and j=233501	line=009W2X
ALL	dwt	0.38	i=233501 and j=231601	line=009W2X
ALL	dwt	0.38	i=256101 and j=256001	line=009W3A
ALL	dwt	0.38	i=256001 and j=255106	line=009W3A
ALL	dwt	0.76	i=254403 and j=255702	line=009W3A
ALL	dwt	0.38	i=254901 and j=254803	line=009W3A
ALL	dwt	0.38	i=254803 and j=254802	line=009W3A
ALL	dwt	0.38	i=233304 and j=234301	line=009W3A
ALL	dwt	0.38	i=233108 and j=234101	line=009W3A
ALL	dwt	0.38	i=256101 and j=256001	line=009W3P
ALL	dwt	0.38	i=256001 and j=255106	line=009W3P
ALL	dwt	0.76	i=254403 and j=255702	line=009W3P
ALL	dwt	0.38	i=254901 and j=254803	line=009W3P
ALL	dwt	0.38	i=254803 and j=254802	line=009W3P
ALL	dwt	0.38	i=233304 and j=234301	line=009W3P
ALL	dwt	0.38	i=233108 and j=234101	line=009W3P
ALL	dwt	0.38	i=254902 and j=254803	line=009W4X
ALL	dwt	0.38	i=254803 and j=255303	line=009W4X
ALL	dwt	0.38	i=234303 and j=234301	line=009W4X
ALL	dwt	0.38	i=234103 and j=234101	line=009W4X
ALL	dwt	0.38	i=232013 and j=233603	line=009W4X
ALL	dwt	0.76	i=210305 and j=210502	line=014E1A
ALL	dwt	0.38	i=210502 and j=234401	line=014E1A
ALL	dwt	0.38	i=234401 and j=234500	line=014E1A
ALL	dwt	1.14	i=234500 and j=231403	line=014E1A
ALL	dwt	0.38	i=231403 and j=233401	line=014E1A
ALL	dwt	0.38	i=231601 and j=233501	line=014E1A
ALL	dwt	0.76	i=233501 and j=231700	line=014E1A
ALL	dwt	0.38	i=231700 and j=233601	line=014E1A
ALL	dwt	0.38	i=232005 and j=232201	line=014E1A
ALL	dwt	0.38	i=250911 and j=250913	line=014E1A
ALL	dwt	0.38	i=251108 and j=251203	line=014E1A
ALL	dwt	0.38	i=251203 and j=251206	line=014E1A
ALL	dwt	0.76	i=252401 and j=251502	line=014E1A
ALL	dwt	0.38	i=251502 and j=251504	line=014E1A
ALL	dwt	0.76	i=251504 and j=250718	line=014E1A
ALL	dwt	0.38	i=250718 and j=250720	line=014E1A
ALL	dwt	0.76	i=210305 and j=210502	line=014E1M
ALL	dwt	0.38	i=210502 and j=234401	line=014E1M
ALL	dwt	0.38	i=234401 and j=234500	line=014E1M
ALL	dwt	1.14	i=234500 and j=231403	line=014E1M
ALL	dwt	0.38	i=231403 and j=233401	line=014E1M
ALL	dwt	0.38	i=231601 and j=233501	line=014E1M
