TAZ1741,HHInc,purpose,mode,Access_final
11010,1,HbEs,Active,10.95247171
11010,1,HbEs,All,13.31800114
11010,1,HbEs,Auto,13.31792728
11010,1,HbEs,Transit,11.06964341
11010,1,HbPb,Active,7.215427171
11010,1,HbPb,All,14.81264115
11010,1,HbPb,Auto,14.81110123
11010,1,HbPb,Transit,10.31226111
11010,1,HbSh,Active,5.236842322
11010,1,HbSh,All,14.17607063
11010,1,HbSh,Auto,14.14122543
11010,1,HbSh,Transit,10.44493552
11010,1,HbSo,Active,7.382651416
11010,1,HbSo,All,15.58860095
11010,1,HbSo,Auto,15.58632331
11010,1,HbSo,Transit,9.716116198
11010,1,HbW,Active,9.433196925
11010,1,HbW,All,15.34325149
11010,1,HbW,Auto,15.28217309
11010,1,HbW,Transit,13.06852601
11010,2,HbEs,Active,10.95247171
11010,2,HbEs,All,13.36359018
11010,2,HbEs,Auto,13.36355554
11010,2,HbEs,Transit,11.06321721
11010,2,HbPb,Active,7.215427171
11010,2,HbPb,All,14.97550414
11010,2,HbPb,Auto,14.97487202
11010,2,HbPb,Transit,10.27558685
11010,2,HbSh,Active,5.236842322
11010,2,HbSh,All,14.46288922
11010,2,HbSh,Auto,14.4490134
11010,2,HbSh,Transit,10.39922539
11010,2,HbSo,Active,7.382651416
11010,2,HbSo,All,16.23097343
11010,2,HbSo,Auto,16.2296549
11010,2,HbSo,Transit,9.81999249
11010,2,HbW,Active,9.433196925
11010,2,HbW,All,15.8446024
11010,2,HbW,Auto,15.81188084
11010,2,HbW,Transit,13.24154283
11010,3,HbEs,Active,10.95247171
11010,3,HbEs,All,13.40589295
11010,3,HbEs,Auto,13.40587091
11010,3,HbEs,Transit,11.06185316
11010,3,HbPb,Active,7.215427171
11010,3,HbPb,All,15.17818703
11010,3,HbPb,Auto,15.17784308
11010,3,HbPb,Transit,10.29386722
11010,3,HbSh,Active,5.236842322
11010,3,HbSh,All,15.18270569
11010,3,HbSh,Auto,15.17733682
11010,3,HbSh,Transit,10.57958191
11010,3,HbSo,Active,7.382651416
