mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
11010,220.4073,9.625272,7.376784,13.22266,7.099656,12.29723,55.40657,42.65705,72.72208,73.01064,14.61127,9.356511,8.553227,10.21597,11.55834,9.51331,9.202008,0,0,0,84.25123,14.45038,30.35624,19.12421,20.32039
11020,23.52524,1.36412,1.642654,1.164388,2.650669,5.603629,3.795223,3.15748,4.14708,252.0497,18.70405,35.15086,11.37505,10.94652,77.94327,73.60964,24.32034,0,0,0,6.588516,0,3.196146,0,3.39237
11030,2682.567,134.4026,219.2014,158.0697,229.6696,216.008,678.9835,353.3727,692.8599,1313.503,114.7474,41.52275,499.7556,33.21917,157.4056,340.1041,126.7483,285,0,0,982.9468,136.2992,348.3202,195.5676,302.7598
11040,3618.62,136.4395,218.8448,245.755,362.9249,720.0085,869.1291,434.8998,630.6183,507.2111,51.24981,10.12126,17.3464,11.05097,50.13373,15.8134,351.4956,544,363,0,1488.658,310.7751,544.3675,362.463,271.0524
11050,1022.102,23.91527,121.4729,78.19521,121.8743,108.2341,312.0117,125.1256,131.2729,142.2919,45.24686,10.1005,13.12312,11.0283,35.76681,11.40415,15.62215,0,0,0,327.1235,33.68881,70.65687,66.05203,156.7258
11060,2245.49,97.79277,209.5563,154.1917,221.3145,102.3039,651.9158,337.7953,470.6203,661.4683,129.8106,14.5716,50.63679,50.36375,219.8462,136.6511,59.58824,84,0,0,775.145,53.21089,284.976,166.4506,270.5074
11070,1949.25,49.37582,96.1716,66.03259,124.6755,249.6815,448.605,328.1364,586.571,535.5903,62.85459,89.54755,36.42413,11.05737,87.01829,68.50175,180.1866,0,0,0,776.8548,146.9087,304.2302,134.7499,190.9661
