mat_id,mo50,mo60,mo61,mo69,mo70,mo71,mo80
mat_name,areahc,prk2hr,prk8hr,railStn,cs250,cs500,bikesc
mat_desc,taz_a_area_hec,parkingcost2hr,parkingcost8hr,railstationinzone,car_share_250m,car_share_500m,bikescore
TAZ1700,Hectares,parking_two_hr_rate,parking_eight_hr_rate,rail_stn_dummy,car_share_250m,car_share_500m,bike_score_taz
11010,119.0695,0,0,0,0,0,1
11020,4479.011,0,0,0,0,0,1
11030,188.1835,6.89,10.71,0,0,0,4
11040,1436.048,0,0,0,0,0,3
11050,92.2381,0,0,0,0,0,3
11060,291.1515,0,0,0,0,0,4
11070,141.8509,0,0,0,0,0,3
11080,245.4971,0,0,0,0,0,3
11090,539.8455,0,0,0,0,0,3
11100,381.2663,0,0,0,0,0,4
11110,92.4252,0,0,0,0,0,4
11120,109.4498,0,0,0,0,0,4
11130,41.12051,0,0,0,0,0,3
11140,32.11432,0,0,0,0,0,3
11150,33.54576,0,0,0,0,0,3
11160,78.29492,0,0,0,0,0,3
11170,18.28399,0,0,0,0,0,4
11180,24.45023,0,0,0,0,0,3
11190,22.36873,0,0,0,0,0,3
11200,55.49699,0,0,0,0,0,3
11210,58.80519,0,0,0,0,0,3
11220,59.50126,0,0,0,0,0,3
11230,79.07343,0,0,0,0,0,3
11240,92.56984,0,0,0,0,0,3
11250,34.06668,4.743867,0,0,0,0,3
11260,59.31865,4.746407,0,0,1,1,3
11270,88.10941,0,6.13,0,1,1,3
11280,150.4236,0,0,0,0,0,3
12010,3646.708,0,0,0,0,0,2
12020,8723.994,0,0,0,0,0,2
12030,185.567,0,0,0,0,0,2
12040,317.4176,0,0,0,0,0,2
12050,191.0508,0,0,0,0,0,3
12060,201.7104,0,0,0,0,1,2
12070,159.1986,0,0,0,0,0,3
12080,134.0151,0,0,0,0,0,2
12090,97.91331,0,0,0,0,0,2
12100,66.97706,0,0,0,0,0,2
12110,52.0847,0,0,0,1,1,2
12120,60.42668,0,0,0,0,1,2
12130,28.56754,0,0,0,0,0,3
12140,19.6743,0,0,0,0,0,3
12150,80.98683,0,0,0,0,0,3
12160,29.143,0,0,0,0,0,3
12170,10.55221,4.57999,0,0,0,0,3
12180,98.85047,0,0,0,1,2,3
12190,60.93371,0,0,0,0,0,3
12200,28.55546,0,0,0,0,1,3
12210,199.4453,0,0,0,0,0,3
12220,32.98208,0,0,0,1,2,3
12230,62.51857,0,0,0,1,1,3
12240,28.02872,0,0,0,1,1,3
12250,161.8748,0,0,0,0,0,3
12260,146.6875,0,0,0,0,0,3
12270,121.2622,0,0,0,0,0,2
12280,172.9863,0,0,0,0,0,2
12290,81.97573,0,0,0,0,0,3
12300,103.2334,5.712956,6.357003,0,0,0,3
12310,121.2739,0,0,0,0,0,3
12320,92.45673,0,0,0,0,1,3
12330,111.6487,0,0,0,0,0,3
12340,40.28427,0,0,0,0,0,3
12350,28.05573,0,0,0,0,0,3
12360,38.21535,0,0,0,0,0,3
12370,82.86915,0,0,0,0,0,2
12380,199.9559,0,0,0,0,0,1
12390,218.246,0,0,0,0,0,2
12400,28.21881,0,0,0,0,0,2
12410,70.41411,0,0,0,0,0,3
12420,150.8676,0,0,0,0,0,2
13010,56.38146,0,0,0,1,2,3
13020,60.74711,0,0,0,0,2,3
13030,55.63991,0,0,0,0,2,3
13040,44.83517,0,0,0,0,1,3
13050,57.41867,0,0,0,0,2,3
13060,25.30798,4.584158,0,0,1,2,3
13070,25.13915,11.16,13.95,0,1,2,3
13080,108.1903,0,0,0,1,2,3
13090,22.33187,0,0,0,0,1,3
13100,27.33246,0,0,0,0,2,3
13110,18.97939,0,0,0,0,1,3
13120,59.71196,0,0,0,1,2,3
13130,15.11893,0,0,0,1,2,3
13140,11.72242,4.780539,5.876833,0,1,2,4
13150,61.05708,0,0,0,0,1,3
13160,41.49234,0,0,0,0,1,3
13170,21.62016,0,0,0,0,2,3
13180,34.8184,0,0,0,2,3,3
13190,33.51395,6.23,6.664702,0,1,2,4
13200,78.16346,0,0,0,0,2,3
13210,17.89644,6.452033,6.859476,1,2,3,4
13220,21.14506,5.96,5.835693,0,2,3,4
13230,8.304335,4.761708,7.91,0,2,3,4
13240,13.55943,0,0,0,2,3,4
13250,48.85102,0,0,0,1,2,3
13260,12.61328,0,0,0,1,3,3
13270,45.84397,0,0,0,0,0,4
13280,11.99302,0,0,0,0,3,3
13290,38.96228,0,0,0,1,2,3
13300,8.179626,4.608094,5.74465,0,1,3,3
13310,35.70151,0,0,0,0,0,4
13320,44.99226,0,0,0,0,1,4
13330,45.09842,0,0,0,0,0,4
14010,31376.04,0,0,0,0,0,1
14020,269.2642,0,0,0,0,0,2
14030,58.91315,0,0,0,0,0,1
14040,5026.706,0,0,0,0,0,1
21010,182.4843,0,0,0,0,1,2
21020,29.27179,5.883348,6.470039,0,2,2,3
21030,57.56915,5.738716,6.38201,0,2,2,2
21040,67.47582,5.931846,6.497202,0,2,1,3
21050,116.7174,0,0,0,2,2,2
21060,16.88153,6.376484,6.797313,0,1,2,3
21070,24.12598,6.250736,6.686538,0,2,2,3
21080,87.06036,0,0,0,2,2,2
21090,55.71287,5.58,5.58,0,2,2,3
21100,43.06266,5.696912,6.342639,0,2,2,2
21110,33.84103,5.58,5.754834,0,1,2,3
21120,42.18936,5.662469,6.309217,0,1,2,3
21130,48.08926,5.73618,6.375731,0,1,1,3
21140,135.7545,5.58,5.58,0,0,2,3
21150,514.222,0,0,0,1,1,2
21160,186.4477,0,0,0,0,0,3
22010,403.3297,6.31,0,0,2,2,4
22020,13.25039,6.153652,7.360203,0,2,3,4
22030,5.386152,6.289855,7.486017,0,2,3,4
22040,5.822625,6.480732,7.632121,0,2,3,4
22050,8.023005,12.55,7.604865,0,2,3,5
22060,5.154059,6.788275,7.858081,0,2,3,5
22070,15.91894,6.166191,7.388996,0,2,3,4
22080,10.73397,6.254899,7.45928,0,2,3,4
22090,4.266599,7.192017,8.120284,0,2,3,4
