purpose,geo,gb_i,IX,mode,peakperiod,direction,shares
hbesc,A,9999,IX,Active,AM,PtoA,0.070721
hbesc,A,9999,IX,Active,AM,AtoP,0.010346
hbesc,A,9999,IX,Active,MD,PtoA,0.003867
hbesc,A,9999,IX,Active,MD,AtoP,0.009954
hbesc,A,9999,IX,Active,PM,PtoA,0.016528
hbesc,A,9999,IX,Active,PM,AtoP,0.025294
hbesc,A,9999,IX,Auto,AM,PtoA,0.110172
hbesc,A,9999,IX,Auto,AM,AtoP,0.026673
hbesc,A,9999,IX,Auto,MD,PtoA,0.012847
hbesc,A,9999,IX,Auto,MD,AtoP,0.012015
hbesc,A,9999,IX,Auto,PM,PtoA,0.029616
hbesc,A,9999,IX,Auto,PM,AtoP,0.055285
hbesc,A,1,IX,Bus,AM,PtoA,0.081921
hbesc,A,2,IX,Bus,AM,PtoA,0.073736
hbesc,A,3,IX,Bus,AM,PtoA,0.069607
hbesc,A,4,IX,Bus,AM,PtoA,0.069607
hbesc,A,5,IX,Bus,AM,PtoA,0.073736
hbesc,A,1,IX,Bus,AM,AtoP,0.005067
hbesc,A,2,IX,Bus,AM,AtoP,0.004561
hbesc,A,3,IX,Bus,AM,AtoP,0.004306
hbesc,A,4,IX,Bus,AM,AtoP,0.004306
hbesc,A,5,IX,Bus,AM,AtoP,0.004561
hbesc,A,1,IX,Bus,PM,PtoA,0.00481
hbesc,A,2,IX,Bus,PM,PtoA,0.00481
hbesc,A,3,IX,Bus,PM,PtoA,0.00481
hbesc,A,4,IX,Bus,PM,PtoA,0.00481
hbesc,A,5,IX,Bus,PM,PtoA,0.00481
hbesc,A,1,IX,Bus,PM,AtoP,0.05069
hbesc,A,2,IX,Bus,PM,AtoP,0.05069
hbesc,A,3,IX,Bus,PM,AtoP,0.05069
hbesc,A,4,IX,Bus,PM,AtoP,0.05069
hbesc,A,5,IX,Bus,PM,AtoP,0.05069
hbesc,A,1,IX,Rail,AM,PtoA,0.08605
hbesc,A,2,IX,Rail,AM,PtoA,0.073736
hbesc,A,3,IX,Rail,AM,PtoA,0.073736
hbesc,A,4,IX,Rail,AM,PtoA,0.077865
hbesc,A,5,IX,Rail,AM,PtoA,0.073736
hbesc,A,1,IX,Rail,AM,AtoP,0.005323
hbesc,A,2,IX,Rail,AM,AtoP,0.004561
hbesc,A,3,IX,Rail,AM,AtoP,0.004561
hbesc,A,4,IX,Rail,AM,AtoP,0.004816
hbesc,A,5,IX,Rail,AM,AtoP,0.004561
hbesc,A,1,IX,Rail,PM,PtoA,0.005061
hbesc,A,2,IX,Rail,PM,PtoA,0.00481
hbesc,A,3,IX,Rail,PM,PtoA,0.00481
hbesc,A,4,IX,Rail,PM,PtoA,0.00481
hbesc,A,5,IX,Rail,PM,PtoA,0.00481
hbesc,A,1,IX,Rail,PM,AtoP,0.05333
hbesc,A,2,IX,Rail,PM,AtoP,0.05069
hbesc,A,3,IX,Rail,PM,AtoP,0.05069
hbesc,A,4,IX,Rail,PM,AtoP,0.05069
hbesc,A,5,IX,Rail,PM,AtoP,0.05069
hbesc,A,9999,IX,Transit,MD,PtoA,0.048978
hbesc,A,9999,IX,Transit,MD,AtoP,0.005316
hbpb,A,9999,IX,Active,AM,PtoA,0.018877
hbpb,A,9999,IX,Active,AM,AtoP,0.005566
hbpb,A,9999,IX,Active,MD,PtoA,0.035328
hbpb,A,9999,IX,Active,MD,AtoP,0.036294
hbpb,A,9999,IX,Active,PM,PtoA,0.019937
hbpb,A,9999,IX,Active,PM,AtoP,0.048376
hbpb,A,9999,IX,Auto,AM,PtoA,0.022981
hbpb,A,9999,IX,Auto,AM,AtoP,0.004934
hbpb,A,9999,IX,Auto,MD,PtoA,0.038415
hbpb,A,9999,IX,Auto,MD,AtoP,0.036535
hbpb,A,9999,IX,Auto,PM,PtoA,0.021752
hbpb,A,9999,IX,Auto,PM,AtoP,0.05329
hbpb,A,1,IX,Bus,AM,PtoA,0.025971
hbpb,A,2,IX,Bus,AM,PtoA,0.023376
hbpb,A,3,IX,Bus,AM,PtoA,0.022067
hbpb,A,4,IX,Bus,AM,PtoA,0.022067
hbpb,A,5,IX,Bus,AM,PtoA,0.023376
hbpb,A,1,IX,Bus,AM,AtoP,0.00393
hbpb,A,2,IX,Bus,AM,AtoP,0.003537
hbpb,A,3,IX,Bus,AM,AtoP,0.003339
hbpb,A,4,IX,Bus,AM,AtoP,0.003339
hbpb,A,5,IX,Bus,AM,AtoP,0.003537
hbpb,A,1,IX,Bus,PM,PtoA,0.008402
hbpb,A,2,IX,Bus,PM,PtoA,0.008402
hbpb,A,3,IX,Bus,PM,PtoA,0.008402
hbpb,A,4,IX,Bus,PM,PtoA,0.008402
hbpb,A,5,IX,Bus,PM,PtoA,0.008402
hbpb,A,1,IX,Bus,PM,AtoP,0.054157
hbpb,A,2,IX,Bus,PM,AtoP,0.054157
hbpb,A,3,IX,Bus,PM,AtoP,0.054157
hbpb,A,4,IX,Bus,PM,AtoP,0.054157
hbpb,A,5,IX,Bus,PM,AtoP,0.054157
hbpb,A,1,IX,Rail,AM,PtoA,0.02728
hbpb,A,2,IX,Rail,AM,PtoA,0.023376
hbpb,A,3,IX,Rail,AM,PtoA,0.023376
hbpb,A,4,IX,Rail,AM,PtoA,0.024685
hbpb,A,5,IX,Rail,AM,PtoA,0.023376
hbpb,A,1,IX,Rail,AM,AtoP,0.004128
hbpb,A,2,IX,Rail,AM,AtoP,0.003537
hbpb,A,3,IX,Rail,AM,AtoP,0.003537
hbpb,A,4,IX,Rail,AM,AtoP,0.003735
hbpb,A,5,IX,Rail,AM,AtoP,0.003537
hbpb,A,1,IX,Rail,PM,PtoA,0.008839
hbpb,A,2,IX,Rail,PM,PtoA,0.008402
hbpb,A,3,IX,Rail,PM,PtoA,0.008402
hbpb,A,4,IX,Rail,PM,PtoA,0.008402
hbpb,A,5,IX,Rail,PM,PtoA,0.008402
hbpb,A,1,IX,Rail,PM,AtoP,0.056978
hbpb,A,2,IX,Rail,PM,AtoP,0.054157
hbpb,A,3,IX,Rail,PM,AtoP,0.054157
hbpb,A,4,IX,Rail,PM,AtoP,0.054157
hbpb,A,5,IX,Rail,PM,AtoP,0.054157
hbpb,A,9999,IX,Transit,MD,PtoA,0.057879
hbpb,A,9999,IX,Transit,MD,AtoP,0.054895
hbsch,A,9999,IX,Active,AM,PtoA,0.22696
hbsch,A,9999,IX,Active,AM,AtoP,0.000786
hbsch,A,9999,IX,Active,MD,PtoA,0.002339
hbsch,A,9999,IX,Active,MD,AtoP,0.002764
hbsch,A,9999,IX,Active,PM,PtoA,0.001164
hbsch,A,9999,IX,Active,PM,AtoP,0.017504
hbsch,A,9999,IX,Auto,AM,PtoA,0.322477
hbsch,A,9999,IX,Auto,AM,AtoP,0.000352
hbsch,A,9999,IX,Auto,MD,PtoA,0.001041
hbsch,A,9999,IX,Auto,MD,AtoP,0.002738
hbsch,A,9999,IX,Auto,PM,PtoA,0.003094
hbsch,A,9999,IX,Auto,PM,AtoP,0.032283
hbsch,A,1,IX,Bus,AM,PtoA,0.338117
hbsch,A,2,IX,Bus,AM,PtoA,0.304336
hbsch,A,3,IX,Bus,AM,PtoA,0.287293
hbsch,A,4,IX,Bus,AM,PtoA,0.287293
hbsch,A,5,IX,Bus,AM,PtoA,0.304336
hbsch,A,1,IX,Bus,AM,AtoP,0.000524
hbsch,A,2,IX,Bus,AM,AtoP,0.000472
hbsch,A,3,IX,Bus,AM,AtoP,0.000446
hbsch,A,4,IX,Bus,AM,AtoP,0.000446
hbsch,A,5,IX,Bus,AM,AtoP,0.000472
hbsch,A,1,IX,Bus,PM,PtoA,0.002228
hbsch,A,2,IX,Bus,PM,PtoA,0.002228
hbsch,A,3,IX,Bus,PM,PtoA,0.002228
hbsch,A,4,IX,Bus,PM,PtoA,0.002228
hbsch,A,5,IX,Bus,PM,PtoA,0.002228
hbsch,A,1,IX,Bus,PM,AtoP,0.027532
hbsch,A,2,IX,Bus,PM,AtoP,0.027532
hbsch,A,3,IX,Bus,PM,AtoP,0.027532
hbsch,A,4,IX,Bus,PM,AtoP,0.027532
hbsch,A,5,IX,Bus,PM,AtoP,0.027532
hbsch,A,1,IX,Rail,AM,PtoA,0.35516
hbsch,A,2,IX,Rail,AM,PtoA,0.304336
hbsch,A,3,IX,Rail,AM,PtoA,0.304336
hbsch,A,4,IX,Rail,AM,PtoA,0.321379
hbsch,A,5,IX,Rail,AM,PtoA,0.304336
hbsch,A,1,IX,Rail,AM,AtoP,0.000551
hbsch,A,2,IX,Rail,AM,AtoP,0.000472
hbsch,A,3,IX,Rail,AM,AtoP,0.000472
hbsch,A,4,IX,Rail,AM,AtoP,0.000498
hbsch,A,5,IX,Rail,AM,AtoP,0.000472
hbsch,A,1,IX,Rail,PM,PtoA,0.002344
hbsch,A,2,IX,Rail,PM,PtoA,0.002228
hbsch,A,3,IX,Rail,PM,PtoA,0.002228
hbsch,A,4,IX,Rail,PM,PtoA,0.002228
hbsch,A,5,IX,Rail,PM,PtoA,0.002228
hbsch,A,1,IX,Rail,PM,AtoP,0.028966
hbsch,A,2,IX,Rail,PM,AtoP,0.027532
hbsch,A,3,IX,Rail,PM,AtoP,0.027532
hbsch,A,4,IX,Rail,PM,AtoP,0.027532
hbsch,A,5,IX,Rail,PM,AtoP,0.027532
hbsch,A,9999,IX,Transit,MD,PtoA,0.002895
hbsch,A,9999,IX,Transit,MD,AtoP,0.001494
hbshop,A,9999,IX,Active,AM,PtoA,0.005502
hbshop,A,9999,IX,Active,AM,AtoP,0.001868
hbshop,A,9999,IX,Active,MD,PtoA,0.034866
hbshop,A,9999,IX,Active,MD,AtoP,0.03511
hbshop,A,9999,IX,Active,PM,PtoA,0.03246
hbshop,A,9999,IX,Active,PM,AtoP,0.05917
hbshop,A,9999,IX,Auto,AM,PtoA,0.004183
