purpose,gb_i,IX,mode,peakperiod,direction,shares
hbesc,1,I,Auto,AM,PtoA,0.124804
hbesc,1,I,Auto,MD,PtoA,0.013016
hbesc,1,I,Auto,PM,PtoA,0.024188
hbesc,1,I,Auto,AM,AtoP,0.024877
hbesc,1,I,Auto,MD,AtoP,0.021001
hbesc,1,I,Auto,PM,AtoP,0.039417
hbesc,1,X,Auto,AM,PtoA,0.057076
hbesc,1,X,Auto,MD,PtoA,0.020476
hbesc,1,X,Auto,PM,PtoA,0.037883
hbesc,1,X,Auto,AM,AtoP,0.012744
hbesc,1,X,Auto,MD,AtoP,0.004027
hbesc,1,X,Auto,PM,AtoP,0.042263
hbesc,2,I,Auto,AM,PtoA,0.104983
hbesc,2,I,Auto,MD,PtoA,0.009352
hbesc,2,I,Auto,PM,PtoA,0.031444
hbesc,2,I,Auto,AM,AtoP,0.022179
hbesc,2,I,Auto,MD,AtoP,0.011713
hbesc,2,I,Auto,PM,AtoP,0.054976
hbesc,2,X,Auto,AM,PtoA,0.063953
hbesc,2,X,Auto,MD,PtoA,0.004049
hbesc,2,X,Auto,PM,PtoA,0.009228
hbesc,2,X,Auto,AM,AtoP,0.002592
hbesc,2,X,Auto,MD,AtoP,0.031102
hbesc,2,X,Auto,PM,AtoP,0.049805
hbesc,3,I,Auto,AM,PtoA,0.112361
hbesc,3,I,Auto,MD,PtoA,0.015419
hbesc,3,I,Auto,PM,PtoA,0.02985
hbesc,3,I,Auto,AM,AtoP,0.0345
hbesc,3,I,Auto,MD,AtoP,0.007673
hbesc,3,I,Auto,PM,AtoP,0.031871
hbesc,3,X,Auto,AM,PtoA,0.044717
hbesc,3,X,Auto,MD,PtoA,0.033907
hbesc,3,X,Auto,PM,PtoA,0.009992
hbesc,3,X,Auto,AM,AtoP,0.006118
hbesc,3,X,Auto,MD,AtoP,0.007785
hbesc,3,X,Auto,PM,AtoP,0.056631
hbesc,4,I,Auto,AM,PtoA,0.118078
hbesc,4,I,Auto,MD,PtoA,0.014115
hbesc,4,I,Auto,PM,PtoA,0.029377
hbesc,4,I,Auto,AM,AtoP,0.031238
hbesc,4,I,Auto,MD,AtoP,0.012366
hbesc,4,I,Auto,PM,AtoP,0.056407
hbesc,4,X,Auto,AM,PtoA,0.055424
hbesc,4,X,Auto,MD,PtoA,0.02358
hbesc,4,X,Auto,PM,PtoA,0.016072
hbesc,4,X,Auto,AM,AtoP,0.026727
hbesc,4,X,Auto,MD,AtoP,0.011668
hbesc,4,X,Auto,PM,AtoP,0.064638
hbesc,5,I,Auto,AM,PtoA,0.133067
hbesc,5,I,Auto,MD,PtoA,0.005842
hbesc,5,I,Auto,PM,PtoA,0.037393
hbesc,5,I,Auto,AM,AtoP,0.040401
hbesc,5,I,Auto,MD,AtoP,0.007962
hbesc,5,I,Auto,PM,AtoP,0.05798
hbesc,5,X,Auto,AM,PtoA,0.0958
hbesc,5,X,Auto,MD,PtoA,0.023155
hbesc,5,X,Auto,PM,PtoA,0.021186
hbesc,5,X,Auto,AM,AtoP,0.016438
hbesc,5,X,Auto,MD,AtoP,0.011503
hbesc,5,X,Auto,PM,AtoP,0.079883
hbpb,1,I,Auto,AM,PtoA,0.012755
hbpb,1,I,Auto,MD,PtoA,0.028298
hbpb,1,I,Auto,PM,PtoA,0.011114
hbpb,1,I,Auto,AM,AtoP,0.005273
hbpb,1,I,Auto,MD,AtoP,0.03733
hbpb,1,I,Auto,PM,AtoP,0.023596
hbpb,1,X,Auto,AM,PtoA,0.065073
hbpb,1,X,Auto,MD,PtoA,0.054114
hbpb,1,X,Auto,PM,PtoA,0.003141
hbpb,1,X,Auto,MD,AtoP,0.062469
hbpb,1,X,Auto,PM,AtoP,0.045267
