gy_o,gy_d,Mode,bias_add,purp
6,4,rail,0,hbu
6,5,rail,0,hbu
6,5,bus,0,hbu
6,6,rail,0,hbu
6,5,rail,0,hbsh
4,6,rail,0,hbu
6,5,bus,0,hbsh
6,5,rail,0,hbpb
6,6,rail,0,hbsh
6,5,bus,0,hbpb
6,6,bus,0,hbsh
6,6,bus,0,hbu
5,6,rail,0,hbu
12,9,bus,0,hbsh
6,6,rail,0,hbpb
5,6,rail,0,hbpb
9,12,bus,0,hbsh
10,10,bus,0,hbsh
6,4,rail,0,hbsh
12,12,bus,0,hbsh
5,6,bus,0,hbpb
6,6,bus,0,hbpb
11,11,bus,0,hbsh
2,2,bus,0,hbsh
5,6,bus,0,hbu
2,2,bus,0,hbpb
8,8,bus,0,hbsh
5,6,rail,0,hbsh
5,6,bus,0,hbsh
12,9,bus,0,hbpb
3,3,bus,0,hbpb
3,3,bus,0,hbsh
9,12,bus,0,hbpb
12,12,bus,0,hbpb
6,4,rail,0,hbpb
10,10,bus,0,hbpb
11,11,bus,0,hbpb
4,6,rail,0,hbpb
9,9,bus,0,hbsh
4,6,rail,0,hbsh
8,8,bus,0,hbpb
2,2,bus,0,hbu
3,3,rail,0,hbsh
3,3,rail,0,hbpb
9,9,bus,0,hbpb
6,6,rail,0,hbw
12,12,bus,0,hbu
12,9,bus,0,hbu
6,5,rail,0,hbw
9,12,bus,0,hbu
11,11,bus,0,hbu
10,10,bus,0,hbu
7,7,bus,0,hbsh
7,7,bus,0,hbpb
8,8,bus,0,hbu
9,9,bus,0,hbu
6,4,rail,0,hbw
6,5,bus,0,hbw
2,4,bus,0,hbsh
4,2,bus,0,hbsh
5,5,bus,0,hbu
4,2,bus,0,hbpb
3,3,bus,0,hbu
5,5,bus,0,hbpb
6,6,bus,0,hbw
3,3,bus,0,hbsc
5,6,rail,0,hbes
3,3,bus,0,hbes
5,5,bus,0,hbsh
6,6,rail,0,hbsc
6,5,rail,0,hbes
6,6,rail,0,hbes
6,5,rail,0,hbso
6,6,bus,0,hbsc
4,2,bus,0,hbu
2,2,bus,0,hbsc
10,10,bus,0,hbsc
8,8,bus,0,hbsc
6,5,bus,0,hbso
12,12,bus,0,hbsc
6,4,rail,0,hbso
4,6,rail,0,hbes
6,4,rail,0,hbes
2,4,bus,0,hbpb
5,6,bus,0,hbes
11,11,bus,0,hbsc
6,6,rail,0,hbso
6,5,bus,0,hbes
9,9,bus,0,hbsc
3,4,bus,0,hbu
2,2,bus,0,hbes
6,6,bus,0,hbes
8,8,bus,0,hbw
10,10,bus,0,hbes
12,12,bus,0,hbw
4,5,bus,0,hbu
3,3,rail,0,hbu
4,5,bus,0,hbpb
12,9,bus,0,hbes
3,3,rail,0,hbes
11,11,bus,0,hbes
7,7,bus,0,hbsc
6,6,bus,0,hbso
12,12,bus,0,hbes
12,9,bus,0,hbw
9,12,bus,0,hbes
8,8,bus,0,hbes
3,4,bus,0,hbsh
3,3,rail,0,hbsc
5,4,bus,0,hbsh
3,4,bus,0,hbsc
4,5,bus,0,hbsh
4,6,rail,0,hbw
4,4,rail,0,hbpb
2,2,bus,0,hbw
10,10,bus,0,hbw
6,6,rail,0,nhbw
4,4,rail,0,hbu
5,4,bus,0,hbpb
9,9,bus,0,hbes
5,6,rail,0,hbso
5,6,bus,0,hbso
4,6,rail,0,hbso
3,3,bus,0,hbso
2,2,bus,0,hbso
12,9,bus,0,hbso
5,6,rail,0,nhbw
6,5,rail,0,nhbw
