c Emme Modeller - Base Network Transaction
c Scenario 1000:  2011 Base Network
t nodes
c   Node          X-coord          Y-coord   Data1   Data2   Data3 Label
a*     1     612.99646844    5474.40799367       0       0       0 0001
a*     2     616.69607426    5469.40738892       0       0       0 0002
a*     3     553.76248542    5427.44508726       0       0       0 0003
a*     4     537.66583155    5427.30723931       0       0       0 0004
a*     5     519.38350013    5427.19246707       0       0       0 0005
a*     6     518.09216347    5427.26560059       0       0       0 0006
a*     7     495.03244179    5427.14889074       0       0       0 0007
a*     8     490.52453681    5428.53302534       0       0       0 0008
a*     9     486.57123563     5448.7794212       0       0       0 0009
a*    10     480.35214385     5469.7647572       0       0       0 0010
a*    11     482.02476251    5481.42725005       0       0       0 0011
a*   101           613.73             5474       0       0       0 0101
a*   102     497.84206348    5461.48172032       0       0       0 0102
a*   103      479.8316129    5468.06152188       0       0       0 0103
a*   104     489.95026607    5463.94317453       0       0       0 0104
a*   105           490.77    5448.12999988       0       0       0 0105
a*   106     495.59270303    5437.21404187       0       0       0 0106
a*   107     495.06818305    5431.46896694       0       0       0 0107
a*   108     516.27365494    5448.56707798       0       0       0 0108
a*   109     509.20160911     5450.0886096       0       0       0 0109
a*   110          515.189         5458.534       0       0       0 0110
a*   111     511.39539501    5447.65842634       0       0       0 0111
a*   112      512.9657887    5435.63914439       0       0       0 0112
a*   113 524.523137221629 5446.34178981096       0       0       0 0113
a*   114     514.57731132      5458.180325       0       0       0 0114
a*   115          508.032         5456.478       0       0       0 0115
a*   116     510.99931041    5458.34466947       0       0       0 0116
a*   117     516.42041426    5456.39679656       0       0       0 0117
a*   118     522.74767158    5452.53697625       0       0       0 0118
a*   119     524.25362882    5451.66970674       0       0       0 0119
a*   120     550.79471182    5442.44911113       0       0       0 0120
a*   121          545.385         5434.297       0       0       0 0121
a*   122          551.738         5431.356       0       0       0 0122
a*   123      484.1100437    5465.93799123       0       0       0 0123
a*   124          572.526 5444.26020819208       0       0       0 0124
a*   125           613.73           5475.2       0       0       0 0125
a*   126     490.71987477    5449.18638993       0       0       0 0126
a*   127           613.73           5475.4       0       0       0 0127
a*   128     515.24785916    5459.32316079       0       0       0 0128
a*   129           613.73           5475.6       0       0       0 0129
a*   130           613.73           5475.8       0       0       0 0130
a* 11010      481.8735251     5471.8585072       0       0       0 0000
