    line   @hdwyam   @hdwymd   @hdwypm
'002E1A'         9         0         0
'002E1M'         0        12         0
'002E1P'         0         0         8
'002E2A'         5         0         0
'002E2M'         0        12         0
'002E2P'         0         0         8
'002W1A'         9         0         0
'002W1M'         0        12         0
'002W1P'         0         0         8
'002W2A'         5         0         0
'002W2M'         0        12         0
'002W2P'         0         0         8
'003N1X'         5         7         6
'003S1X'         6         7         5
'004E1X'        12        12        12
'004W1X'        12        12         9
'005E1X'         4         6         5
'005W1X'         4         6         5
'006E1X'         5         6         5
'006W1X'         4         6         5
'007E1X'        12        12        12
'007W1X'        12         0         9
'007W2M'         0        12         0
'008E1X'         5         7         6
'008W1X'         5         7         7
'009E1A'        12         0         0
'009E1P'         0         0         9
'009E2X'        23         9         0
'009E3A'         9         0         0
'009E3P'         0         0         8
'009E4X'        23        12         0
'009W1A'         8         0         0
'009W1P'         0         0         9
'009W2X'         0        12        47
'009W3A'         9         0         0
'009W3P'         0         0         9
'009W4X'        23        12        23
'010N1X'         4         9         5
'010S1X'         5         9         5
'014E1A'         8         0         0
'014E1M'         0         9         0
'014E1P'         0         0         9
'014W1A'         8         0         0
'014W1M'         0         9         0
'014W1P'         0         0         9
'015N1X'        12        16        12
'015S1X'        12        12        12
'016E1A'         8         0         0
'016E1M'         0         8         0
'016E1P'         0         0         8
'016W1A'         8         0         0
'016W1M'         0         8         0
'016W1P'         0         0         8
'017E1X'         7        12         6
'017W1X'         7        12         7
'019E1X'         9         9         9
'019W1X'         8         9         9
'020N1A'         5         0         0
'020N1M'         0         6         0
'020N1P'         0         0         7
'020S1A'         5         0         0
'020S1M'         0         6         0
'020S1P'         0         0         6
'022E1A'         5         0         0
'022E1M'         0         9         0
'022E1P'         0         0         5
'022E2A'        23         0         0
'022W1A'         5         0         0
'022W1M'         0         9         0
'022W1P'         0         0         7
'022W2A'        23         0         0
'022W2P'         0         0        47
'023E1X'         6         9         6
'023W1X'         6         9         6
'025E1X'         4         8         6
'025W1X'         3         8         6
'026E1X'        12        16        12
'026W1X'        12        16        12
'027N1X'        12        16        12
'027S1X'        12        16        12
'028N1A'         9         0         0
'028N1M'         0        12         0
'028N1P'         0         0        12
'028S1A'        16         0         0
'028S1M'         0        12         0
'028S1P'         0         0        12
'029N1X'        12        16        12
'029S1X'        12        16        12
'032N1A'        23         0         0
'032S1P'         0         0        23
'033E1X'         9        12         8
'033W1X'         8        12         9
'041E1X'        10        10        10
'041W1X'        10        10        10
'043E1X'         0         0         0
'043W1X'         0         0         0
'044E1X'        16        16         9
'044W1X'         6        16        12
'049E1X'         5         7         4
'049W1X'         4         7         4
'050N1X'        12        12        12
'050S1X'        12        12        12
'068N1X'        23        23        23
'068S1X'        23        23        23
'070N1X'        23        23        23
'070S1X'        23        23        23
'084E1X'         5         9         5
'084W1X'         4         9         5
'099E1A'         0         0         0
'099E1M'         0         0         0
'099E1P'         0         0         0
'099E2P'         0         0         0
'099E3X'         2         2         2
'099W1A'         0         0         0
'099W1M'         0         0         0
'099W1P'         0         0         0
'099W2X'         0         0         0
'099W3X'         2         2         2
'100E1X'         7         9         7
'100W1X'         8        12         7
'101E1X'        16        23        16
'101W1X'        16        23        16
'103E1X'         9        12         9
'103W1X'         9        12         9
'104N1X'        12        23        12
'104S1X'        12        23        12
'105N1X'        23        23        23
'105S1X'        23        23        23
'106E1X'         6         8         6
'106W1X'         6         8         6
'109N1X'        23        47        23
'109S1X'        23        47        23
'110E1X'        16        23        16
'110W1X'        16        23        16
'112E1X'        12        12        12
'112W1X'        12        12        12
'116E1X'        23        23        16
'116W1X'        16        23        16
'119E1X'         6         8         6
'119W1X'         6         8         6
'123E1X'         9        12         9
'123W1X'         9        12         9
'125N1A'         6         0         0
'125S1P'         0         0         5
'128E1X'        16        23        16
'128W1X'        12        23        12
'129E1X'        12        23        12
'129W1X'        12        23        12
'130N1A'         9         0         0
'130N1M'         0         6         0
'130N1P'         0         0         8
'130N2A'         9         0         0
'130N2P'         0         0         8
'130S1A'         9         0         0
'130S1M'         0         6         0
'130S1P'         0         0         9
'130S2A'         8         0         0
'130S2P'         0         0         9
'131E1X'        23        47        23
'131W1X'        23        47        23
'132N1X'        23        47        23
'132S1X'        23        47        23
'133E1X'        12        23        12
'133W1X'        12        23        12
'134E1X'        23        23        23
'134W1X'        23        23        23
'136E1X'        23        23        23
'136W1X'        23        23        23
'143E1X'         8        12         8
'143W1X'         8        12         8
'144N1X'         8        12         9
'144S1X'         9        12         8
'145N1X'         3         6         6
'145S1X'         8         6         4
'146N1X'        23        23        23
'146S1X'        23        23        23
'147E1X'        23        23        12
'147W1X'        12        23        23
'148E1X'        23        23        12
'148W1X'        12        23        23
'151E1X'        23        23        23
'151W1X'        23        23        23
'152E1X'        47        23        23
'152E2X'        23         0        23
'152W1X'        23        23        23
'152W2X'        47         0        23
'153E1X'         9        23         9
'153W1X'         9        23         9
'155E1X'        12        23        16
'155W1X'        16        23        16
'156E1X'        23        23        23
'156W1X'        16        23        23
'157E1X'        23        23        23
'157W1X'        23        23        23
'159E1X'        23        23        12
'159W1X'        23        23        16
'160E1X'         9        12         0
'160E2P'         0         0        12
'160W1X'         0        12        12
'160W2A'        16         0         0
'169E1X'        23        23        16
'169W1X'        23        23        23
'170N1X'         9        23        12
'170S1X'         8        23        12
'171E1X'        16        23        12
'171W1X'        12        23        16
'172E1X'        16        23        12
'172W1X'        12        23        12
'173E1X'        23        23        12
'173W1X'        12        23        16
'174E1X'        16        23        12
'174W1X'        16        23        12
'175E1X'        23         0        47
'175W1X'        23         0        23
'180N1X'        12        12        12
'180S1X'        12        12        12
'181N1X'        23        47        23
'181S1X'        23        47        23
'182N1X'        23        16        23
'182S1X'        23        23        23
'183E1X'        12        23        12
'183W1X'        12        23         9
'184N1X'        12        23        12
'184S1X'        16        23        12
'185N1X'        12        23        12
'185S1X'        12        23        12
'186N1X'         9        23         8
'186S1X'         9        23         8
'187N1X'        12        23         8
'187S1X'        12        23         8
'188E1X'        16        23        12
'188W1X'        16        23        12
'189N1X'        23        23        23
'189S1X'        23        23        23
'191N1X'        23        23        23
'191S1X'        23        23        23
'210N1A'        12         0         0
'210N1M'         0        23         0
'210N1P'         0         0        12
'210S1A'         7         0         0
'210S1M'         0        23         0
'210S1P'         0         0        12
'211E1A'        23         0         0
'211E1M'         0        23         0
'211E1P'         0         0        12
'211W1A'        12         0         0
'211W1M'         0        23         0
'211W2X'        47         0        16
'212E1X'        23        23        23
'212W1X'        23        23        23
'214E1P'         0         0        23
'214E2X'        16        23        23
'214W1A'        23         0         0
'214W2X'        47        23        23
'215E1X'        12        23        12
'215W1X'        12        23        12
'227N1X'        23        23        23
'227S1X'        23        23        23
'228N1X'        12        23        12
'228S1X'        16        23        12
'229E1X'        23        23        12
'229W1X'        16        23        23
'230N1X'        16        23        12
'230S1X'        12        23        12
'231E1P'         0         0        23
'231W1X'        23         0        47
'232E1X'        23        23        47
'232W1X'        23        23        23
'236N1X'        47        23        12
'236S1X'        47        23        12
'239E1X'         0         0         0
'239E2X'         6         8         6
'239W1X'         0         0         0
'239W2X'         6         8         6
'240E1A'         7         0         0
'240E1M'         0        12         0
'240E1P'         0         0         7
'240W1X'         6        12         8
'241N1P'         0         0        12
'241N2A'        47         0         0
'241S1A'         8         0         0
'246E1A'        12         0         0
'246E1M'         0        23         0
'246E1P'         0         0         9
'246W1A'        12         0         0
'246W1M'         0        23         0
'246W1P'         0         0        12
'247N1P'         0         0        47
'247S1A'        23         0         0
'249E1X'        12        23         9
'249W1X'        12        23        12
'250E1A'        16         0         0
'250E1M'         0        23         0
'250E1P'         0         0        47
'250E2A'         9         0         0
'250E2M'         0        12         0
'250E2P'         0         0        12
'250W1A'        16         0         0
'250W1M'         0        23         0
'250W1P'         0         0        12
'250W2A'         9         0         0
'250W2M'         0        12         0
'250W2P'         0         0        12
'251E1X'        23        47        23
'251W1X'        23        47        23
'252E1X'        23        47        23
