    line   @hdwyam   @hdwymd   @hdwypm  @brdline
'002E1A'         8         0         0         1
'002E1M'         0        10         0         1
'002E1P'         0         0         7         1
'002E2A'         4         0         0         1
'002E2M'         0        10         0         1
'002E2P'         0         0         7         1
'002W1A'         8         0         0         1
'002W1M'         0        10         0         1
'002W1P'         0         0         7         1
'002W2A'         5         0         0         1
'002W2M'         0        10         0         1
'002W2P'         0         0         7         1
'003N1X'         5         6         5         1
'003S1X'         5         6         5         1
'004E1X'        10        10        10         1
'004W1X'        10        10         8         1
'005E1X'         4         5         4         1
'005W1X'         3         5         4         1
'006E1X'         4         5         4         1
'006W1X'         3         5         4         1
'007E1X'        10        10        10         1
'007W1X'        10         0         8         1
'007W2M'         0        10         0         1
'008E1X'         5         6         5         1
'008W1X'         5         6         6         1
'009E1A'        10         0         0         1
'009E1P'         0         0         8         1
'009E2X'        21         8         0         1
'009E3A'         8         0         0         1
'009E3P'         0         0         7         1
'009E4X'        21        10         0         1
'009W1A'         7         0         0         1
'009W1P'         0         0         8         1
'009W2X'         0        10        41         1
'009W3A'         8         0         0         1
'009W3P'         0         0         8         1
'009W4X'        21        10        21         1
'010N1X'         4         8         4         1
'010S1X'         4         8         4         1
'014E1A'         7         0         0         1
'014E1M'         0         8         0         1
'014E1P'         0         0         8         1
'014W1A'         7         0         0         1
'014W1M'         0         8         0         1
'014W1P'         0         0         8         1
'015N1X'        10        14        10         1
'015S1X'        10        10        10         1
'016E1A'         7         0         0         1
'016E1M'         0         7         0         1
'016E1P'         0         0         7         1
'016W1A'         7         0         0         1
'016W1M'         0         7         0         1
'016W1P'         0         0         7         1
'017E1X'         6        10         5         1
'017W1X'         6        10         6         1
'019E1X'         8         8         8         1
'019W1X'         7         8         8         1
'020N1A'         4         0         0         1
'020N1M'         0         5         0         1
'020N1P'         0         0         6         1
'020S1A'         5         0         0         1
'020S1M'         0         5         0         1
'020S1P'         0         0         5         1
'022E1A'         4         0         0         1
'022E1M'         0         8         0         1
'022E1P'         0         0         5         1
'022E2A'        21         0         0         1
'022W1A'         5         0         0         1
'022W1M'         0         8         0         1
'022W1P'         0         0         6         1
'022W2A'        21         0         0         1
'022W2P'         0         0        41         1
'023E1X'         5         8         5         1
'023W1X'         5         8         5         1
'025E1X'         4         7         5         1
'025W1X'         3         7         5         1
'026E1X'        10        14        10         1
'026W1X'        10        14        10         1
'027N1X'        10        14        10         1
'027S1X'        10        14        10         1
'028N1A'         8         0         0         1
'028N1M'         0        10         0         1
'028N1P'         0         0        10         1
'028S1A'        14         0         0         1
'028S1M'         0        10         0         1
'028S1P'         0         0        10         1
'029N1X'        10        14        10         1
'029S1X'        10        14        10         1
'032N1A'        21         0         0         1
'032S1P'         0         0        21         1
'033E1X'         8        10         7         1
'033W1X'         7        10         8         1
'041E1X'         0         0         0         1
'041E2X'         9         9         9         1
'041W1X'         0         0         0         1
'041W2X'         9         9         9         1
'043E1X'         0         0         0         1
'043W1X'         0         0         0         1
'044E1X'        14        14         8         1
'044W1X'         5        14        10         1
'049E1X'         4         6         4         1
'049W1X'         4         6         4         1
'050N1X'        10        10        10         1
'050S1X'        10        10        10         1
'068N1X'        21        21        21         1
'068S1X'        21        21        21         1
'070N1X'        21        21        21         1
'070S1X'        21        21        21         1
'084E1X'         4         8         5         1
'084W1X'         3         8         5         1
'099E1A'         0         0         0         1
'099E1M'         0         0         0         1
'099E1P'         0         0         0         1
'099E2P'         0         0         0         1
'099E3X'         0         0         0         1
'099W1A'         0         0         0         1
'099W1M'         0         0         0         1
'099W1P'         0         0         0         1
'099W2X'         0         0         0         1
'099W3X'         0         0         0         1
'100E1X'         6         8         6         1
'100W1X'         7        10         6         1
'101E1X'        14        21        14         1
'101W1X'        14        21        14         1
'103E1X'         8        10         8         1
'103W1X'         8        10         8         1
'104N1X'        10        21        10         1
'104S1X'        10        21        10         1
'105N1X'        21        21        21         1
'105S1X'        21        21        21         1
'106E1X'         5         7         5         1
'106W1X'         5         7         5         1
'109N1X'        21        41        21         1
'109S1X'        21        41        21         1
'110E1X'        14        21        14         1
'110W1X'        14        21        14         1
'112E1X'        10        10        10         1
'112W1X'        10        10        10         1
'116E1X'        21        21        14         1
'116W1X'        14        21        14         1
