mat_id,mo120,mo121,mo122,mo123,mo124,mo125,mo126,mo127,mo128,mo129,mo130,mo131,mo132,mo133,mo134,mo135,mo136,mo137,mo138,mo139,mo140,mo141,mo142,mo143,mo144,mo145
mat_name,ga_ensem,gb_ensem,gc_ensem,gd_ensem,ge_ensem,gf_ensem,gg_ensem,gh_ensem,gi_ensem,gj_ensem,gk_ensem,gl_ensem,gm_ensem,gn_ensem,go_ensem,gp_ensem,gq_ensem,gr_ensem,gs_ensem,gt_ensem,gu_ensem,gv_ensem,gw_ensem,gx_ensem,gy_ensem,gz_ensem
mat_desc,ga Ensemble Groups,gb Ensemble Groups,gc Ensemble Groups,gd Ensemble Groups,ge Ensemble Groups,gf Ensemble Groups,gg Ensemble Groups,gh Ensemble Groups,gi Ensemble Groups,gj Ensemble Groups,gk Ensemble Groups,gl Ensemble Groups,gm Ensemble Groups,gn Ensemble Groups,go Ensemble Groups,gp Ensemble Groups,gq Ensemble Groups,gr Ensemble Groups,gs Ensemble Groups,gt Ensemble Groups,gu Ensemble Groups,gv Ensemble Groups,gw Ensemble Groups,gx Ensemble Groups,gy Ensemble Groups,gz Ensemble Groups
TAZ1700,ga,gb,gc,gd,ge,gf,gg,gh,gi,gj,gk,gl,gm,gn,go,gp,gq,gr,gs,gt,gu,gv,gw,gx,gy,gz
1,25,6,0,0,0,25,0,1,0,0,0,0,400,0,0,0,0,0,15,201,15,1,0,16,15,1
2,25,6,0,0,0,26,0,2,0,0,0,0,400,0,0,0,0,0,15,202,15,2,0,16,15,2
3,25,6,0,0,0,26,0,3,0,0,0,0,400,0,0,0,0,0,15,203,15,3,0,16,15,3
4,25,6,0,0,0,29,0,4,0,0,0,0,400,0,0,0,0,0,15,204,15,4,0,16,15,4
5,25,6,0,0,0,10,0,5,0,0,0,0,400,0,0,0,0,0,15,205,15,5,0,16,15,5
6,25,6,0,0,0,10,0,6,0,0,0,0,400,0,0,0,0,0,15,206,15,6,0,16,15,6
7,25,6,0,0,0,8,0,7,0,0,0,0,400,0,0,0,0,0,15,207,15,7,0,16,15,7
8,25,6,0,0,0,8,0,8,0,0,0,0,400,0,0,0,0,0,15,208,15,8,0,16,15,8
9,25,6,0,0,0,7,0,9,0,0,0,0,400,0,0,0,0,0,15,209,15,9,0,16,15,9
10,25,6,0,0,0,1,0,10,0,0,0,0,400,0,0,0,0,0,15,210,15,10,0,16,15,10
11,25,6,0,0,0,1,0,11,0,0,0,0,400,0,0,0,0,0,15,211,15,11,0,16,15,11
101,26,6,0,4,0,4,0,51,2,0,0,0,300,0,0,0,0,0,0,0,4,4,0,16,15,101
102,26,1,0,2,0,2,0,52,2,0,0,0,300,1,0,0,0,0,0,0,2,2,0,16,2,102
103,26,1,0,1,0,1,0,53,2,0,0,0,300,1,0,0,0,0,0,0,1,1,0,16,1,103
104,26,1,0,1,0,1,0,54,2,0,0,0,300,1,0,0,0,0,0,0,1,1,0,16,1,104
105,26,3,0,7,0,7,0,55,2,0,0,0,300,2,0,0,0,0,0,0,7,7,0,16,7,105
