c Emme Modeller - Turn Transaction
c Scenario 3000:  2030 Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 110507 110506 110504    -1      0      0      0
a 110507 110506 110506     0      0      0      0
a 110507 110509 110504     0      0      0      0
a 110507 110509 110506    -1      0      0      0
a 110608 110113 110113     0      0      0      0
a 110608 110113 110312    -1      0      0      0
a 110608 110113 110605    -1      0      0      0
a 110608 110312 110113    -1      0      0      0
a 110608 110312 110312     0      0      0      0
a 110608 110312 110605    -1      0      0      0
a 110608 110603 110113    -1      0      0      0
a 110608 110603 110312    -1      0      0      0
a 110608 110603 110605     0      0      0      0
a 110612 110611 110611     0      0      0      0
a 110612 110611 111002    -1      0      0      0
a 110612 110611 111006    -1      0      0      0
a 110612 111002 110611    -1      0      0      0
a 110612 111002 111002     0      0      0      0
a 110612 111002 111006    -1      0      0      0
a 110612 111006 110611    -1      0      0      0
a 110612 111006 111002     0      0      0      0
a 110612 111006 111006     0      0      0      0
a 110811 110810 110810     0      0      0      0
a 110811 110810 110812    -1      0      0      0
a 110811 110812 110810    -1      0      0      0
a 110811 110812 110812     0      0      0      0
a 110811 110813 110810    -1      0      0      0
a 110811 110813 110812    -1      0      0      0
a 110812 110805 110805     0      0      0      0
a 110812 110805 110811    -1      0      0      0
a 110812 110811 110805    -1      0      0      0
a 110812 110811 110811     0      0      0      0
a 110812 110813 110805    -1      0      0      0
a 110812 110813 110811     0      0      0      0
a 111102 110410 110412    -1      0      0      0
a 111102 110410 111005    -1      0      0      0
a 111102 110410 111101     0      0      0      0
a 111102 110410 111203    -1      0      0      0
a 111102 110412 110412     0      0      0      0
a 111102 110412 111005    -1      0      0      0
a 111102 110412 111101    -1      0      0      0
a 111102 110412 111203    -1      0      0      0
a 111102 111005 110412    -1      0      0      0
a 111102 111005 111005     0      0      0      0
a 111102 111005 111101    -1      0      0      0
a 111102 111005 111203    -1      0      0      0
a 111102 111203 110412    -1      0      0      0
a 111102 111203 111005    -1      0      0      0
a 111102 111203 111101    -1      0      0      0
a 111102 111203 111203     0      0      0      0
a 112505 112504 112504     0      0      0      0
a 112505 112504 112506    -1      0      0      0
a 112505 112504 112605    -1      0      0      0
a 112505 112506 112504    -1      0      0      0
a 112505 112506 112506     0      0      0      0
a 112505 112506 112605    -1      0      0      0
a 112505 112605 112504    -1      0      0      0
a 112505 112605 112506     0      0      0      0
a 112505 112605 112605     0      0      0      0
a 112801 112805 112802    -1      0      0      0
a 112801 112805 112805     0      0      0      0
a 112801 112805 112806    -1      0      0      0
a 112801 112806 112802     0      0      0      0
a 112801 112806 112805    -1      0      0      0
a 112801 112806 112806     0      0      0      0
a 112805 112801 112801     0      0      0      0
a 112805 112801 112804    -1      0      0      0
a 112805 112807 112801    -1      0      0      0
a 112805 112807 112804     0      0      0      0
a 112809 112803 112806     0      0      0      0
a 112809 112803 220103    -1      0      0      0
a 112809 112806 112806     0      0      0      0
a 112809 112806 220103    -1      0      0      0
a 112809 220103 112806    -1      0      0      0
a 112809 220103 220103     0      0      0      0
a 112810 112808 112807     0      0      0      0
a 112810 112808 112812    -1      0      0      0
a 112810 112808 122004    -1      0      0      0
a 112810 112808 122201    -1      0      0      0
a 112810 112812 112807     0      0      0      0
a 112810 112812 112812     0      0      0      0
a 112810 112812 122004    -1      0      0      0
a 112810 112812 122201    -1      0      0      0
a 112810 122004 112807    -1      0      0      0
a 112810 122004 112812    -1      0      0      0
a 112810 122004 122004     0      0      0      0
a 112810 122004 122201    -1      0      0      0
a 112810 122201 112807    -1      0      0      0
a 112810 122201 112812    -1      0      0      0
a 112810 122201 122004    -1      0      0      0
a 112810 122201 122201     0      0      0      0
a 121402  12140  12140     0      0      0      0
a 121402  12140 121401    -1      0      0      0
a 121402  12140 121403    -1      0      0      0
a 121402 121401  12140    -1      0      0      0
a 121402 121401 121401     0      0      0      0
a 121402 121401 121403     0      0      0      0
a 121402 121403  12140    -1      0      0      0
a 121402 121403 121401    -1      0      0      0
a 121402 121403 121403     0      0      0      0
a 122107 122106 122106     0      0      0      0
a 122107 122106 122109    -1      0      0      0
a 122107 122106 123205    -1      0      0      0
a 122107 122111 122106    -1      0      0      0
a 122107 122111 122109     0      0      0      0
a 122107 122111 123205    -1      0      0      0
a 122107 123205 122106    -1      0      0      0
a 122107 123205 122109    -1      0      0      0
a 122107 123205 123205     0      0      0      0
a 122906 122907 122905    -1      0      0      0
a 122906 122907 122907     0      0      0      0
a 122906 122907 123505    -1      0      0      0
a 122906 123505 122905     0      0      0      0
a 122906 123505 122907    -1      0      0      0
a 122906 123505 123505     0      0      0      0
a 122907 122902 122902     0      0      0      0
a 122907 122902 122906    -1      0      0      0
a 122907 122902 123603    -1      0      0      0
a 122907 122906 122902    -1      0      0      0
a 122907 122906 122906     0      0      0      0
a 122907 122906 123603    -1      0      0      0
a 122907 123002 122902    -1      0      0      0
a 122907 123002 122906    -1      0      0      0
a 122907 123002 123603     0      0      0      0
a 122907 123601 122902    -1      0      0      0
a 122907 123601 122906    -1      0      0      0
a 122907 123601 123603    -1      0      0      0
a 123203 123202 123202     0      0      0      0
a 123203 123202 123204    -1      0      0      0
a 123203 123202 132701    -1      0      0      0
a 123203 123204 123202    -1      0      0      0
a 123203 123204 123204     0      0      0      0
a 123203 123204 132701     0      0      0      0
a 123203 132701 123202     0      0      0      0
a 123203 132701 123204    -1      0      0      0
a 123203 132701 132701     0      0      0      0
a 123204 123203 123203     0      0      0      0
a 123204 123203 123205    -1      0      0      0
a 123204 123203 123401    -1      0      0      0
a 123204 123203 133302    -1      0      0      0
a 123204 123205 123203    -1      0      0      0
a 123204 123205 123205     0      0      0      0
a 123204 123205 123401    -1      0      0      0
a 123204 123205 133302    -1      0      0      0
a 123204 123401 123203    -1      0      0      0
a 123204 123401 123205    -1      0      0      0
a 123204 123401 123401     0      0      0      0
a 123204 123401 133302    -1      0      0      0
a 123204 133302 123203    -1      0      0      0
a 123204 133302 123205    -1      0      0      0
a 123204 133302 123401    -1      0      0      0
a 123204 133302 133302     0      0      0      0
a 123205 122107 122107     0      0      0      0
a 123205 122107 123204    -1      0      0      0
a 123205 122107 123501    -1      0      0      0
a 123205 122110 122107     0      0      0      0
a 123205 122110 123204    -1      0      0      0
a 123205 122110 123501     0      0      0      0
