Client:,TransLink,,,,,,,,,,,,,
Project:,Arbutus to UBC Modelling Phase 2,,,,,,,,,,,,,
Project #:,2121-00651-00,,,,,,,,,,,,,
Model:,RTM3.4,,,,,,,,,,,,,
Years:,"2017, 2035, 2050",,,,,,,,,,,,,
Location:,\\corp\vcr\2121-EMME\2121-00651-00 Arbutus to UBC Phase 2\RTM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Parent Scenario,Name,Year,AM,MD,PM,Zones,Land Use,Road Network,Transit Network,Notes,By:,Date,Databank,Reference (git SHA1 ID)
3500,2035 Base Network,2035,-,-,-,RTM 1700,2035,2035,2035,2035 Base Network from RTM3.4,-,-,,d241faebfd8ab3a8392086d5a532a38a5363b3f5
3601,2035 BAU: Business As Usual,2035,34011,34012,34013,RTM 1700,2035,2035,2035,Includes 2017 base validation edits and adjustment to board penalty (7.5 mins) for rail to bus,KK,2020.10.30,UBCx_Ph2_2035BAU,c5d4b1657d1cf9e52c93ac2bcf33af0703c3e50f
3602,2035 BAU: Run 2,2035,34021,34022,34023,RTM 1700,2035,2035,2035,,KK,2020.11.27,UBCx_Ph2_2035BAU,d0a270237d68d53d3d00c76445aa1ef2ac5e7fbf
3603,2035 BAU: Run 3,2035,36031,36032,36033,RTM 1700,2035,2035,2035,,KK,2020.12.12,UBCx_Ph2_2035BAU,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3604,2035 BAU,2035,36041,36042,36043,RTM 1700,2035,2035,2035,,KK,2021.01.01,UBCx_Ph2_2035BAU_2020-12-31,f2cf0b9eddc80a12a022a6aca25317cfb602824a
3606,2035 BAU,2035,36061,36062,36063,RTM 1700,2035,2035,2035,,KK,2021.02.06,UBCx_Ph2_2035BAU_2021-02-05,281dac9f594902bc07bc9b1917060c8208201ea1
3607,2035 BAU,2035,36071,36072,36073,RTM 1700,2035,2035,2035,Changed 99 B-Line headway back to 3/3/3,KK,2021.02.13,UBCx_Ph2_2035BAU_2021-02-12,45eec103b0fe65ec3229409c29c0d4b84aee4998
3612,2035 Alt 1A,2035,36121,36122,36123,RTM 1700,2035,2035,2035,,KK,2020.12.01,UBCx_Ph2_2035Alt_1A,d0a270237d68d53d3d00c76445aa1ef2ac5e7fbf
3613,2035 Alt 1A,2035,36131,36132,36133,RTM 1700,2035,2035,2035,,KK,2020.12.12,UBCx_Ph2_2035Alt_1A,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3614,2035 Alt 1A,2035,36141,36142,36143,RTM 1700,2035,2035,2035,,KK,2021.01.02,UBCx_Ph2_2035Alt_1A_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
