ScenarioID,Scenario,Transit Line
3500,2035 BAU,931
3510,2035 Alt 1A,932
3520,2035 Alt 1B,933
3530,2035 Alt 1C,934
3540,2035 Alt 2A,935
3550,2035 Alt 3A,936
3560,2035 Alt 4A,937
3570,2035 Alt 1D,938
3580,2035 Alt 2B,939
3590,2035 Alt 3B,940
3710,2035 Alt 3C,941
3720,2035 Alt 4B,942
3730,2035 Alt 4C,943
,,
,,
5000,2050 BAU,931
5010,2050 Alt 1A,932
5020,2050 Alt 1B,933
5030,2050 Alt 1C,934
5040,2050 Alt 2A,935
5050,2050 Alt 3A,936
5060,2050 Alt 4A,937
5070,2050 Alt 1D,938
5080,2050 Alt 2B,939
5090,2050 Alt 3B,940
5210,2050 Alt 3C,941
5220,2050 Alt 4B,942
5230,2050 Alt 4C,943
5300,2050 BAU: Ph1 Assumptions ,
