gu,HHSIZE,#WORKERS,Income1,Income2,Income3
1,1,0,0.4531,0.3344,0.2125
1,1,1,0.2864,0.2728,0.4408
1,2,0,0.3651,0.318,0.3169
1,2,1,0.4166,0.1779,0.4055
1,2,2,0.1434,0.2187,0.6379
1,3,0,0.5862,0.0857,0.3281
1,3,1,0.2758,0.3421,0.3821
1,3,2,0.114,0.1749,0.7111
1,3,3,0.0885,0.0648,0.8467
1,4,0,0.5962,0.0857,0.3181
1,4,1,0.3429,0.0526,0.6045
1,4,2,0.0845,0.143,0.7725
1,4,3,0.0692,0.2568,0.6739
2,1,0,0.4531,0.4044,0.1425
2,1,1,0.2864,0.3428,0.3708
2,2,0,0.3651,0.388,0.2469
2,2,1,0.4166,0.2479,0.3355
2,2,2,0.1434,0.2887,0.5679
2,3,0,0.5862,0.1557,0.2581
2,3,1,0.2758,0.4121,0.3121
2,3,2,0.114,0.2449,0.6411
2,3,3,0.0885,0.1348,0.7767
2,4,0,0.5962,0.1557,0.2481
2,4,1,0.3429,0.1226,0.5345
2,4,2,0.0845,0.213,0.7025
2,4,3,0.0692,0.3268,0.6039
5,1,0,0.5613,0.3675,0.0711
5,1,1,0.3153,0.3407,0.344
5,2,0,0.6718,0.2043,0.1239
5,2,1,0.6088,0.2267,0.1645
5,2,2,0.2197,0.3354,0.4449
5,3,0,0.8005,0.1319,0.0676
5,3,1,0.3743,0.4939,0.1318
5,3,2,0.1698,0.4079,0.4223
5,3,3,0.1676,0.4719,0.3604
5,4,0,0.8105,0.1319,0.0576
5,4,1,0.5036,0.2939,0.2026
5,4,2,0.173,0.3379,0.4891
5,4,3,0.1663,0.3143,0.5194
6,1,0,0.5985,0.3468,0.0547
6,1,1,0.2791,0.3892,0.3317
6,2,0,0.541,0.3318,0.1272
6,2,1,0.4389,0.3278,0.2333
6,2,2,0.1635,0.3368,0.4997
6,3,0,0.9055,0.0518,0.0427
6,3,1,0.3781,0.46,0.1619
6,3,2,0.144,0.4494,0.4066
6,3,3,0.0895,0.3373,0.5733
6,4,0,0.9155,0.0518,0.0327
6,4,1,0.436,0.2632,0.3008
6,4,2,0.1244,0.3635,0.5122
6,4,3,0.1397,0.2756,0.5847
7,1,0,0.5545,0.3583,0.0872
7,1,1,0.2693,0.4188,0.3119
7,2,0,0.5381,0.2973,0.1645
7,2,1,0.4797,0.2462,0.2741
7,2,2,0.2073,0.3472,0.4455
7,3,0,0.91,0.02,0.07
7,3,1,0.3833,0.3715,0.2452
7,3,2,0.25,0.3695,0.3805
7,3,3,0.125,0.3675,0.5075
7,4,0,0.92,0.02,0.06
7,4,1,0.5148,0.1923,0.2928
7,4,2,0.1611,0.3994,0.4395
7,4,3,0.1531,0.3031,0.5439
8,1,0,0.4545,0.3583,0.1872
8,1,1,0.1693,0.4188,0.4119
8,2,0,0.4381,0.2973,0.2645
8,2,1,0.3797,0.2462,0.3741
8,2,2,0.1073,0.3472,0.5455
