mat_id,  mo23, md21, md22, mo24, mo25, mo26, mo19, mo20,mo01, mo50, mo51, mo52, mo53, md05, md06, md07, md08,md09, md10, md11, md12, md23
mat_name, Pp1_11, Pp2_11, Pp3_11, Pp4_11, Pp5_11, Pp6_11, Pp10_11, PpTt11, HtTt11, P1Hh11, P2Hh11, P3Hh11, P4Hh11, Con11, FIRE11, TCWh11, Ret11, Bus11, AcIn11, HeEd11, Emp11, PSEn11
mat_desc, 2011_Pop_0to4, 2011_Pop 5to12, 2011_Pop_13to17, 2011_Pop_18to24, 2011_Pop_25to44, 2011_Pop_45to64, 2011_Pop_65plus, 2011_total_population, 2011_total_hhs, 2011_1p_hhs, 2011_2p_hhs, 2011_3p_hhs, 2011_4p_hhs, 2011_Const_Mfg, 2011_FIRE, 2011_TCU_WhSale, 2011_Retail, 2011_Business_OthServ, 2011_Accom_Fd_Info, 2011_Health_Ed_PubAd, 2011_total_emp, PostSec 2011 FT Enrl
11010, 1.11772, 1.102743, 14.02325, 1.1656, 0, 0, 62.70989, 186.9515, 69.57892, 12.55101, 27.0118, 10.65455, 19.36156, 11.78476, 2.379375, 5.28962, 3.303738, 6.082982, 4.358143, 7.410408, 40.60902, 0
11020, 0.97676, 1.927343, 0.9803775, 6.111611, 0, 0, 2.989162, 30.33874, 10.6452, 3.103861, 3.536642, 1.820229, 2.184465, 12.76124, 7.651076, 6.071669, 10.39675, 14.8355, 11.13755, 18.23095, 81.08475, 0
11030, 96.29952, 199.5192, 149.8171, 205.8707, 0, 0, 535.3785, 2294.257, 890.3809, 186.3059, 348.3457, 136.2567, 219.4725, 5.111282, 1.971321, 539.3902, 33.75449, 140.6428, 264.7507, 117.336, 1102.957, 0
11040, 1.925752, 28.49921, 24.16105, 35.14431, 0, 0, 221.0005, 682.1992, 304.2649, 52.3564, 166.3076, 59.79921, 25.80168, 6.536799, 2.521114, 3.99898, 2.46677, 86.60291, 67.71772, 241.4018, 411.2461, 0
11050, 19.57091, 125.5063, 83.48441, 122.4557, 0, 0, 114.794, 1005.649, 308.6174, 43.87194, 69.11754, 44.69148, 150.9364, 11.78664, 4.545875, 7.210646, 4.447886, 84.08377, 4.884131, 4.705694, 121.6646, 0
11060, 81.98437, 222.4359, 169.719, 229.7715, 0, 0, 423.3859, 2294.074, 801.3377, 85.94935, 332.8303, 135.6243, 246.9338, 8.127398, 86.20085, 4.972051, 30.67009, 207.0692, 151.5518, 3.244779, 491.8362, 0
11070, 41.16748, 101.5396, 72.30991, 128.793, 0, 0, 524.9338, 1900.284, 840.4828, 239.4172, 358.557, 110.7017, 131.8069, 6.267148, 120.8558, 3.834017, 2.365013, 134.1261, 25.96972, 100.0837, 393.5015, 0
11080, 102.7047, 202.657, 250.3495, 357.0144, 0, 0, 419.0739, 2926.669, 925.4033, 132.0686, 227.8817, 156.1278, 409.3252, 217.5593, 74.03677, 31.31647, 1.931756, 119.9888, 296.971, 301.4494, 1043.253, 0
11090, 188.8215, 455.9236, 304.2308, 487.0935, 0, 0, 876.9085, 4760.628, 1599.298, 197.6088, 540.3633, 288.5302, 572.7957, 124.935, 117.7854, 76.43075, 20.95391, 209.3762, 184.0724, 321.4424, 1054.996, 0
11100, 155.9237, 425.6084, 438.2033, 455.2887, 0, 0, 1118.7, 4891.425, 1719.883, 225.298, 679.3473, 283.4059, 531.8322, 164.8334, 127.1459, 3.361305, 186.6079, 268.7751, 108.147, 268.716, 1127.587, 0
11110, 61.81571, 106.7279, 93.06697, 128.9275, 0, 0, 204.938, 1172.261, 425.691, 60.80532, 177.0498, 67.10294, 120.733, 43.28528, 44.51807, 1.765359, 16.33442, 61.75786, 14.94707, 66.24458, 248.8526, 0
11120, 40.02495, 182.6349, 90.38966, 130.436, 0, 0, 204.1461, 1253.188, 386.5491, 34.78329, 118.265, 53.99321, 179.5076, 44.29191, 45.55337, 1.806414, 16.71429, 63.19409, 15.29468, 67.78516, 254.6399, 0
11130, 1.86582, 32.21432, 56.1819, 68.10113, 0, 0, 147.5067, 535.5958, 185.0675, 23.08133, 60.7785, 45.45748, 55.75021, 10.02669, 6.01156, 4.770597, 8.168877, 11.65647, 8.750932, 14.32432, 63.70944, 0
11140, 2.048542, 60.63275, 51.40322, 96.13332, 0, 0, 177.625, 737.7067, 272.5527, 35.35917, 125.3389, 37.73491, 74.11964, 9.015889, 3.47725, 5.515598, 3.402297, 110.2589, 3.735991, 3.5995, 139.0055, 0
11150, 2.023345, 109.7928, 106.619, 84.40079, 0, 0, 103.2001, 833.7473, 247.4699, 32.26033, 46.67524, 81.37493, 87.15945, 10.93821, 6.558065, 5.204288, 8.911502, 12.71615, 9.546471, 15.62653, 69.50121, 0
11160, 51.8384, 138.0882, 83.24862, 135.1476, 0, 0, 296.1283, 1283.506, 422.4953, 55.82787, 123.3632, 91.33786, 151.9664, 32.33415, 27.01972, 16.48406, 0.8134555, 37.34592, 0.8932384, 30.12117, 145.0117, 0
11170, 20.86998, 1.372688, 1.396485, 1.450933, 0, 0, 49.67514, 212.2762, 80.66038, 1.337828, 56.70077, 6.912848, 15.70893, 11.78476, 2.379375, 5.28962, 3.303738, 6.082982, 4.358143, 7.410408, 40.60902, 0
11180, 2.047946, 25.2563, 77.08241, 64.07025, 0, 0, 135.7914, 611.557, 240.6087, 40.98862, 106.3758, 43.49405, 49.75017, 6.347663, 67.32462, 3.883273, 209.5972, 135.8492, 65.75838, 152.0543, 640.8147, 0
11190, 2.058803, 2.031215, 2.066428, 21.46997, 0, 0, 367.5303, 586.3387, 361.0989, 184.4639, 142.711, 27.83847, 6.085579, 6.351573, 42.86933, 48.57081, 47.93744, 142.4059, 118.438, 190.1849, 596.7579, 0
11200, 101.9338, 201.1358, 91.54168, 117.4899, 0, 0, 432.3464, 1637.239, 688.64, 289.9461, 130.8087, 98.4541, 169.4312, 5.985751, 63.48611, 3.661868, 2.258823, 73.20216, 12.40183, 412.2316, 573.2281, 0
11210, 39.02264, 153.999, 156.6687, 106.8225, 0, 0, 154.2512, 1253.244, 387.6591, 53.01479, 87.86031, 68.73378, 178.0502, 7.674887, 22.20039, 4.695221, 2.896247, 109.5025, 3.180308, 191.5074, 341.657, 0
11220, 37.71179, 164.7715, 173.0352, 146.0727, 0, 0, 241.8088, 1571.653, 522.5691, 84.45753, 136.3247, 118.2984, 183.4885, 62.08157, 51.87787, 31.6494, 1.561834, 71.70416, 1.715018, 57.83265, 278.4225, 0
11230, 65.93842, 189.7434, 93.75874, 108.8748, 0, 0, 493.265, 1844.37, 641.8792, 95.35453, 323.5207, 90.66005, 132.3439, 47.39497, 18.2793, 3.865939, 2.384704, 122.3626, 32.73243, 340.595, 567.6149, 0
11240, 59.16335, 191.031, 86.3745, 157.0488, 0, 0, 609.0085, 2046.616, 823.8638, 328.3725, 227.419, 98.38427, 169.688, 124.111, 101.0528, 25.30888, 2.081571, 337.2895, 2.285729, 357.8611, 949.9907, 0
11250, 25.09566, 79.23003, 60.45266, 68.04381, 0, 0, 1479.677, 2577.146, 1677.648, 1023.52, 513.2693, 79.29461, 61.56427, 28.87365, 373.0558, 52.99159, 283.2948, 347.2224, 442.6909, 368.8801, 1897.009, 0
11260, 77.37574, 122.1423, 248.5194, 215.1742, 0, 0, 1315.509, 3810.568, 2122.539, 1181.657, 568.21, 214.109, 158.5628, 141.0621, 326.4293, 43.14838, 228.8983, 316.2694, 163.6687, 799.7097, 2019.186, 10
11270, 21.7061, 74.95335, 92.59258, 96.20272, 0, 0, 271.2428, 1076.372, 535.057, 234.7004, 170.1718, 67.01615, 63.16866, 129.7546, 316.944, 52.91949, 1719.218, 517.1863, 609.3653, 270.5277, 3615.916, 15
11280, 86.7521, 114.1195, 58.04893, 221.1448, 0, 0, 270.4023, 1855.353, 909.7651, 440.9551, 211.0267, 121.7591, 136.0243, 44.08016, 11.3339, 44.94444, 27.72397, 59.89711, 182.6587, 46.92945, 417.5677, 0
12010, 1.019925, 2.960751, 1.947692, 12.49195, 0, 0, 6.227808, 56.02371, 18.67098, 5.30384, 5.894892, 3.014095, 4.458151, 5.619014, 3.622691, 53.37747, 3.210532, 134.8507, 60.41963, 3.45656, 264.5565, 0
12020, 2.266916, 87.74199, 2.164498, 34.70621, 0, 0, 46.14035, 504.1897, 142.7182, 2.174671, 45.65253, 12.16471, 82.72623, 85.40933, 18.35504, 54.08937, 2.168901, 127.5392, 122.4509, 29.18883, 439.2016, 0
12030, 215.5757, 392.3645, 284.2499, 424.3421, 0, 0, 605.9321, 4293.2, 1393.842, 101.4636, 466.0962, 313.8322, 512.4498, 26.53176, 34.21112, 3.36049, 15.15943, 124.5171, 374.0447, 48.96336, 626.788, 0
12040, 258.0619, 1013.823, 768.7767, 642.6793, 0, 0, 1328.893, 7807.032, 2523.996, 335.314, 765.4027, 337.6902, 1085.589, 165.8789, 106.9454, 70.03359, 57.91994, 454.1204, 46.24271, 374.1506, 1275.292, 0
12050, 338.1351, 625.0828, 428.8716, 592.3712, 0, 0, 647.1449, 5688.545, 1847.684, 253.4401, 525.2927, 309.0483, 759.9026, 80.93909, 32.61441, 3.844379, 2.312305, 135.9719, 65.27359, 317.4113, 638.367, 0
12060, 168.2277, 379.8274, 272.5795, 421.4529, 0, 0, 861.206, 4318.734, 1484.643, 191.4337, 537.4905, 243.6752, 512.0436, 38.71432, 56.15978, 36.77643, 2.212018, 322.0896, 34.69032, 303.6447, 794.2872, 2
12070, 150.5685, 306.463, 247.8722, 397.4458, 0, 0, 401.5736, 3223.686, 1052.374, 137.8464, 257.2256, 275.5084, 381.7935, 29.2432, 33.93662, 2.222351, 1.336693, 127.261, 12.57775, 86.34756, 292.9252, 0
12080, 102.3176, 231.0145, 200.8174, 168.2505, 0, 0, 404.9406, 2571.838, 922.9861, 170.9892, 286.0742, 210.535, 255.3876, 23.872, 27.70337, 1.814164, 1.091178, 103.8866, 10.26755, 70.4878, 239.1226, 0
12090, 131.249, 156.3093, 130.1392, 200.9407, 0, 0, 431.5364, 2149.218, 839.0259, 215.3232, 267.1336, 140.0556, 216.5134, 4.134767, 2.665767, 3.927795, 2.362478, 158.7683, 214.8897, 25.43518, 412.1841, 0
12100, 2.090821, 121.3892, 109.7997, 101.3657, 0, 0, 180.8636, 1059.259, 392.4232, 91.6213, 103.0837, 93.79319, 103.9249, 38.95574, 163.2511, 3.700575, 328.3071, 118.4204, 132.6452, 167.7465, 953.0266, 0
