mat_id, mo393, mo394, mo27, mo28, mo13
mat_name, 250C30, 500C30, WrPr30, OtPk30, BkSc30
mat_desc, 2030_250m_car_share, 2030_500m_car_share, 2030_work_parking, 2030_nonwork_parking, 2030_bike_score
11010, 0, 0, 0, 0, 1
11020, 0, 0, 0, 0, 1
11030, 0, 0, 0, 0.2, 4
11040, 0, 0, 0.3, 0.2, 3
11050, 0, 0, 0.3, 0.2, 3
11060, 0, 0, 0.3, 0.2, 4
11070, 0, 0, 0.3, 0.2, 3
11080, 0, 0, 0.3, 0.2, 3
11090, 0, 0, 0.3, 0.2, 3
11100, 0, 0, 0.3, 0.2, 4
11110, 0, 0, 0, 0.2, 4
11120, 0, 0, 0, 0.2, 4
11130, 0, 0, 0.3, 0.2, 3
11140, 0, 0, 0.3, 0.2, 3
11150, 0, 0, 0.3, 0.2, 3
11160, 0, 0, 0.3, 0.2, 3
11170, 0, 0, 0, 0.2, 4
11180, 0, 0, 0.3, 0.2, 3
11190, 0, 0, 0.35, 0.2, 3
11200, 0, 0, 0.3, 0.2, 3
11210, 0, 0, 0.3, 0.2, 3
11220, 0, 0, 0.3, 0.2, 3
11230, 0, 0, 0.3, 0.2, 3
11240, 0, 0, 0.3, 0.2, 3
11250, 0, 0, 0.35, 0.2, 3
11260, 1, 1, 0.35, 0.2, 3
11270, 1, 1, 0.35, 0.2, 3
11280, 0, 0, 0.3, 0.2, 3
12010, 0, 0, 0, 0, 2
12020, 0, 0, 0, 0.2, 2
12030, 0, 0, 0.25, 0.2, 2
12040, 0, 0, 0.25, 0.2, 2
12050, 0, 0, 0.35, 0.25, 3
12060, 0, 1, 0.25, 0.2, 2
12070, 0, 0, 0.35, 0.25, 3
12080, 0, 0, 0.25, 0.2, 2
12090, 0, 0, 0.25, 0.2, 2
12100, 0, 0, 0.25, 0.2, 2
12110, 1, 1, 0.25, 0.2, 2
12120, 0, 1, 0.25, 0.2, 2
12130, 0, 0, 0.35, 0.25, 3
12140, 0, 0, 0.35, 0.25, 3
12150, 0, 0, 0.35, 0.25, 3
12160, 0, 0, 0.35, 0.25, 3
12170, 0, 0, 0.35, 0.25, 3
12180, 1, 2, 0.25, 0.2, 3
12190, 0, 0, 0.35, 0.25, 3
12200, 0, 1, 0.25, 0.2, 3
12210, 0, 0, 0.35, 0.25, 3
12220, 1, 2, 0.25, 0.2, 3
12230, 1, 1, 0.25, 0.2, 3
12240, 1, 1, 0.25, 0.2, 3
12250, 0, 0, 0.25, 0.2, 3
12260, 0, 0, 0.25, 0.2, 3
12270, 0, 0, 0.25, 0.2, 2
12280, 0, 0, 0.25, 0.2, 2
12290, 0, 0, 0.55, 0.3, 3
12300, 0, 0, 0.55, 0.3, 3
12310, 0, 0, 0.25, 0.2, 3
12320, 0, 1, 0.25, 0, 3
12330, 0, 0, 0.25, 0.2, 3
12340, 0, 0, 0.3, 0.2, 3
12350, 0, 0, 0.3, 0.2, 3
12360, 0, 0, 0.3, 0.2, 3
12370, 0, 0, 0, 0.2, 2
12380, 0, 0, 0.25, 0.2, 1
12390, 0, 0, 0.25, 0.2, 2
12400, 0, 0, 0, 0.2, 2
12410, 0, 0, 0.3, 0.2, 3
12420, 0, 0, 0, 0.2, 2
13010, 1, 2, 0.35, 0.25, 3
13020, 0, 2, 0.35, 0.25, 3
13030, 0, 2, 0.35, 0.25, 3
13040, 0, 1, 0.35, 0.25, 3
13050, 0, 2, 0.35, 0.25, 3
13060, 1, 2, 0.35, 0.25, 3
13070, 1, 2, 0.35, 0.25, 3
13080, 1, 2, 0.35, 0.25, 3
13090, 0, 1, 0.35, 0.25, 3
13100, 0, 2, 0.4, 0.25, 3
13110, 0, 1, 0.35, 0.25, 3
13120, 1, 2, 0.35, 0.25, 3
13130, 1, 2, 0.4, 0.25, 3
13140, 1, 2, 0.45, 0.3, 4
13150, 0, 1, 0.35, 0.25, 3
13160, 0, 1, 0.4, 0.25, 3
13170, 0, 2, 0.4, 0.25, 3
13180, 2, 3, 0.4, 0.25, 3
13190, 1, 2, 0.45, 0.3, 4
13200, 0, 2, 0.35, 0.25, 3
13210, 2, 3, 0.45, 0.3, 4
13220, 2, 3, 0.45, 0.3, 4
13230, 2, 3, 0.45, 0.3, 4
13240, 2, 3, 0.45, 0.3, 4
13250, 1, 2, 0.35, 0.25, 3
13260, 1, 3, 0.35, 0.25, 3
13270, 0, 0, 0.25, 0.2, 4
13280, 0, 3, 0.35, 0.25, 3
13290, 1, 2, 0.35, 0.25, 3
13300, 1, 3, 0.35, 0.25, 3
13310, 0, 0, 0.25, 0.2, 4
13320, 0, 1, 0.25, 0.2, 4
13330, 0, 0, 0.25, 0.2, 4
14010, 0, 0, 0.3, 0, 1
14020, 0, 0, 0.3, 0.2, 2
14030, 0, 0, 0.3, 0, 1
14040, 0, 0, 0, 0, 1
21010, 0, 1, 0.4, 0.35, 2
21020, 2, 2, 1.5, 0.45, 3
21030, 2, 2, 0.4, 0.35, 2
21040, 2, 1, 1.5, 0.45, 3
21050, 2, 2, 0.4, 0.35, 2
21060, 1, 2, 1.1, 0.6, 3
21070, 2, 2, 1.1, 0.6, 3
21080, 2, 2, 0.4, 0.35, 2
21090, 2, 2, 1.1, 0.6, 3
21100, 2, 2, 0.4, 0.35, 2
21110, 1, 2, 1.1, 0.6, 3
21120, 1, 2, 1.1, 0.6, 3
21130, 1, 1, 1.1, 0.6, 3
21140, 0, 2, 1.1, 0.6, 3
21150, 1, 1, 0.4, 0.35, 2
21160, 0, 0, 0.2, 0.35, 3
22010, 2, 2, 0.35, 0.25, 4
22020, 2, 3, 0.35, 0.25, 4
22030, 2, 3, 0.35, 0.25, 4
22040, 2, 3, 0.45, 0.25, 4
22050, 2, 3, 0.5, 0.25, 5
22060, 2, 3, 0.5, 0.25, 5
22070, 2, 3, 0.35, 0.3, 4
22080, 2, 3, 0.45, 0.25, 4
22090, 2, 3, 0.45, 0.25, 4
22100, 2, 3, 1.5, 0.75, 4
22110, 2, 3, 0.95, 0.4, 5
