TZ, Pp1_45, Pp2_45, Pp3_45, Pp4_45, Pp5_45, Pp6_45, Pp10_45, PpTt45, HtTt45, P1Hh45, P2Hh45, P3Hh45, P4Hh45, Con45, FIRE45, TCWh45, Ret45, Bus45, AcIn45, HeEd45, Emp45, PSEn45
Zone, 2045_Pop_0to4, 2045_Pop 5to12, 2045_Pop_13to17, 2045_Pop_18to24, 2045_Pop_25to44, 2045_Pop_45to64, 2045_Pop_65plus, 2045_total_population, 2045_total_hhs, 2045_1p_hhs, 2045_2p_hhs, 2045_3p_hhs, 2045_4p_hhs, 2045_Const_Mfg, 2045_FIRE, 2045_TCU_WhSale, 2045_Retail, 2045_Business_OthServ, 2045_Accom_Fd_Info, 2045_Health_Ed_PubAd, 2045_total_emp, PostSec 2045 FT Enrl
11010, 18.14624, 16.4634, 20.52721, 13.59936, 0, 0, 98.51387, 350.4268, 130.0031, 20.914, 47.25948, 22.50222, 39.3274, 8.843306, 5.673567, 6.874881, 4.025575, 5.718988, 5.031228, 9.832184, 45.99973, 0
11020, 2.153888, 2.735799, 2.084966, 1.614191, 0, 0, 6.339818, 30.33883, 9.000214, 1.741155, 2.758411, 1.737892, 2.762757, 12.87159, 8.144724, 9.869278, 6.372413, 12.91813, 8.531825, 27.29214, 86.00011, 0
11030, 146.7531, 275.855, 184.1702, 235.12, 0, 0, 706.3158, 3067.42, 1160.028, 212.5482, 417.271, 197.0246, 333.1838, 10.07708, 8.630374, 594.7873, 21.7948, 129.012, 213.6508, 185.0439, 1162.996, 0
11040, 140.4969, 251.519, 276.2598, 366.0107, 0, 0, 496.297, 3562.663, 1607.038, 432.85, 780.4124, 194.0478, 199.7277, 11.85522, 7.011871, 8.496556, 4.975144, 135.5923, 93.27379, 649.791, 910.9958, 0
11050, 22.49215, 130.8635, 77.39626, 105.4704, 0, 0, 114.2125, 1019.655, 339.0081, 48.00081, 79.4012, 61.97524, 149.6308, 12.39109, 8.174775, 9.905692, 5.800261, 76.31142, 7.249259, 14.16673, 133.9992, 0
11060, 106.9375, 263.231, 178.5765, 224.609, 0, 0, 478.0907, 2608.358, 942.0225, 92.23396, 375.0147, 184.4665, 290.3074, 16.94128, 153.8869, 12.47948, 38.84872, 372.622, 239.9214, 17.84765, 852.5474, 0
11070, 54.08642, 121.0326, 76.63488, 126.8113, 0, 0, 597.0535, 2185.053, 863.0204, 204.8299, 322.0871, 120.0394, 216.064, 9.544186, 105.6495, 9.904738, 5.799703, 118.1888, 20.13191, 151.6203, 420.8391, 0
11080, 116.9941, 209.444, 230.0461, 304.7831, 0, 0, 413.2747, 2966.688, 1010.024, 140.1642, 253.936, 210.0147, 405.9092, 211.1703, 61.54571, 31.54512, 5.784503, 100.5435, 218.9184, 434.2687, 1063.776, 0
11090, 225.6376, 494.2936, 293.2634, 436.2185, 0, 0, 907.1707, 5024.665, 1781.042, 205.5584, 590.1902, 380.4102, 604.8837, 124.5065, 100.5297, 79.04604, 12.68936, 180.133, 139.3187, 475.4445, 1111.668, 0
11100, 183.5852, 454.6411, 416.1941, 401.7391, 0, 0, 1140.286, 5011.421, 1808.043, 215.6932, 682.8856, 343.8901, 565.5742, 179.1316, 118.3381, 10.54399, 123.2321, 252.1589, 89.25954, 433.4205, 1206.085, 0
11110, 72.15134, 113.0203, 87.62658, 112.7776, 0, 0, 207.0822, 1187.262, 435.0104, 55.80462, 170.6086, 78.05521, 130.5419, 44.45779, 39.15968, 9.78783, 10.19479, 54.75932, 11.65942, 100.9827, 271.0015, 0
11120, 54.5812, 225.9587, 99.43192, 133.3035, 0, 0, 241.0061, 1504.569, 503.012, 44.78982, 159.8976, 88.12104, 210.2035, 47.07414, 41.46423, 9.806866, 10.79476, 57.98191, 12.34557, 106.9255, 286.393, 0
11130, 11.33762, 33.13628, 51.38224, 57.86395, 0, 0, 144.7799, 535.5946, 195.0047, 22.12155, 61.16202, 55.21943, 56.50166, 10.67041, 7.84682, 9.508296, 5.567567, 10.70899, 7.072792, 22.62489, 73.99978, 0
11140, 11.67381, 64.21743, 48.40583, 84.10434, 0, 0, 179.5112, 762.7053, 282.0067, 32.7094, 121.7401, 44.24311, 83.31413, 9.342539, 8.00129, 9.695474, 5.677168, 95.32128, 7.095416, 13.86608, 148.9993, 0
11150, 11.73667, 116.91, 100.9425, 74.23746, 0, 0, 104.8576, 858.7502, 272.0065, 33.116, 50.3075, 105.8745, 82.70847, 11.78833, 8.018744, 9.716622, 5.836116, 11.83095, 7.813793, 24.99526, 79.99982, 0
11160, 60.24238, 145.5928, 78.0409, 117.7038, 0, 0, 297.9238, 1308.506, 457.0109, 56.44196, 130.9525, 117.0398, 152.5767, 30.87649, 22.09747, 16.33559, 5.428828, 30.78703, 6.785036, 42.6901, 155.0005, 0
11170, 19.79814, 8.606675, 7.652391, 7.109421, 0, 0, 40.79588, 204.3655, 79.00188, 6.936783, 48.36159, 7.117432, 16.58607, 12.8432, 6.660492, 8.070777, 4.72583, 6.713814, 5.906417, 11.98626, 56.90678, 0
11180, 14.55811, 33.35859, 90.52218, 69.90258, 0, 0, 171.1402, 775.7103, 342.0081, 88.42033, 149.0024, 58.83351, 45.75187, 10.83234, 93.23376, 11.24155, 205.9475, 189.6354, 80.75477, 364.915, 956.5604, 0
11190, 15.88516, 14.41201, 12.81405, 25.55964, 0, 0, 505.4282, 856.1598, 479.0111, 290.2007, 145.7827, 27.46241, 15.56535, 13.12386, 75.86165, 104.1502, 60.1897, 254.0192, 185.8593, 583.2375, 1276.441, 0
11200, 117.8888, 211.0459, 85.40203, 101.8326, 0, 0, 432.8737, 1683.324, 814.019, 467.9574, 137.0841, 99.63892, 109.3386, 7.58952, 66.18479, 7.876231, 4.611914, 76.9248, 11.46524, 744.757, 919.4095, 0
11210, 55.54604, 198.8782, 179.8926, 113.9543, 0, 0, 190.0815, 1582.552, 531.0127, 71.31126, 124.0883, 117.1826, 218.4305, 8.016182, 18.24804, 8.319011, 4.871183, 90.72825, 6.088082, 272.794, 409.0648, 0
11220, 46.73727, 185.2683, 172.9878, 135.671, 0, 0, 259.4377, 1724.586, 605.0144, 90.7039, 153.7231, 161.0268, 199.5606, 59.53725, 42.6092, 31.49893, 5.633853, 59.36474, 7.041279, 82.31672, 288.002, 0
11230, 81.60063, 213.0367, 93.59688, 100.9751, 0, 0, 528.4574, 1984.362, 641.0153, 82.37656, 293.455, 99.26819, 165.9156, 38.30327, 12.65198, 8.236338, 4.822773, 85.37099, 20.09068, 408.5365, 578.0125, 0
11240, 116.627, 341.6514, 137.3494, 232.0133, 0, 0, 1039.308, 3558.264, 1296.031, 434.4672, 315.9323, 164.9862, 380.645, 133.3256, 92.97092, 28.21503, 5.392564, 312.7983, 6.739712, 570.5673, 1150.009, 0
11250, 60.43958, 173.1193, 117.4445, 122.8127, 0, 0, 3085.065, 5384.196, 3077.071, 2078.414, 754.0574, 100.545, 144.0547, 47.97629, 530.8771, 91.37684, 286.0424, 498.0705, 558.6484, 909.702, 2922.693, 0
11260, 125.647, 179.9477, 325.5384, 261.86, 0, 0, 1849.336, 5405.362, 2877.067, 1847.044, 642.5666, 208.9786, 178.4775, 243.4998, 482.5834, 77.29596, 240.103, 471.3065, 214.5689, 2048.846, 3778.204, 10
11270, 163.3585, 140.3539, 88.28387, 287.3976, 0, 0, 706.9563, 3313.855, 1512.036, 602.5921, 440.9202, 264.1762, 204.347, 280.1785, 586.1243, 118.5855, 2255.848, 964.0889, 999.3155, 866.9871, 6071.128, 16
11280, 156.1332, 186.3409, 84.27608, 298.2799, 0, 0, 421.3088, 3043.186, 1645.038, 1036.522, 339.9883, 160.8456, 107.682, 291.571, 64.20599, 308.5185, 111.4355, 342.0307, 917.6021, 460.7183, 2496.082, 0
12010, 2.991542, 4.031689, 3.128681, 2.648498, 0, 0, 17.7028, 56.00006, 14.00188, 3.517511, 4.217108, 2.208539, 4.058719, 7.561879, 9.91336, 55.00436, 6.552042, 130.5341, 63.72536, 11.69808, 284.9892, 0
12020, 8.706502, 73.53856, 7.588024, 26.75195, 0, 0, 69.91858, 503.9994, 162.0217, 21.52882, 56.87642, 15.5231, 68.09338, 71.60228, 20.17288, 57.36155, 7.02714, 127.0529, 132.9126, 37.855, 453.9843, 0
12030, 213.8487, 374.6799, 245.7491, 372.6725, 0, 0, 1046.162, 4751.388, 1594.214, 151.6235, 567.3746, 385.8574, 489.3582, 21.66573, 36.62398, 9.854902, 10.72598, 120.8246, 395.4696, 61.85337, 657.0182, 0
12040, 245.9366, 930.0906, 638.5347, 542.2482, 0, 0, 2204.231, 8386.99, 2816.377, 486.6299, 904.8472, 403.217, 1021.683, 133.8782, 113.1546, 71.50105, 40.5036, 435.5207, 48.32195, 467.1432, 1310.023, 0
12050, 374.3564, 666.1875, 413.8159, 580.6219, 0, 0, 1246.995, 6916.32, 2334.313, 413.8079, 698.6552, 415.1672, 806.6826, 63.48529, 33.53632, 9.171652, 6.282133, 126.7311, 66.28798, 385.1432, 690.6376, 0
12060, 169.5462, 368.5029, 239.4247, 376.0488, 0, 0, 1510.657, 5011.521, 1760.236, 282.7507, 646.6873, 296.1215, 534.6765, 32.22105, 61.27518, 38.71907, 6.468409, 318.5399, 37.38168, 390.9478, 885.5531, 2
12070, 146.4251, 286.8953, 210.0846, 342.1873, 0, 0, 679.6959, 3452.566, 1169.157, 196.4014, 298.5392, 322.9663, 351.2498, 27.53928, 41.89743, 9.459263, 6.479131, 142.4106, 15.33603, 125.7948, 368.9165, 0
12080, 100.7516, 218.9801, 172.3407, 146.6772, 0, 0, 694.0023, 2850.969, 1025.137, 225.6013, 307.4608, 228.5444, 263.5309, 18.20922, 27.70296, 9.266451, 6.347065, 94.16317, 10.14032, 83.17667, 249.0059, 0
