Zone, 250C11, 500C11, WrPr11, OtPk11, BkSc11
Zone, 2011_250m_car_share, 2011_500m_car_share, 2011_work_parking, 2011_nonwork_parking, 2011_bike_score
11010, 0, 0, 0, 0, 1
11020, 0, 0, 0, 0, 1
11030, 0, 0, 0, 0.2, 3
11040, 0, 0, 0.3, 0.2, 2
11050, 0, 0, 0.3, 0.2, 2
11060, 0, 0, 0.3, 0.2, 3
11070, 0, 0, 0.3, 0.2, 3
11080, 0, 0, 0.3, 0.2, 3
11090, 0, 0, 0.3, 0.2, 3
11100, 0, 0, 0.3, 0.2, 3
11110, 0, 0, 0, 0.2, 3
11120, 0, 0, 0, 0.2, 3
11130, 0, 0, 0.3, 0.2, 3
11140, 0, 0, 0.3, 0.2, 3
11150, 0, 0, 0.3, 0.2, 3
11160, 0, 0, 0.3, 0.2, 3
11170, 0, 0, 0, 0.2, 3
11180, 0, 0, 0.3, 0.2, 3
11190, 0, 0, 0.3, 0.2, 3
11200, 0, 0, 0.3, 0.2, 3
11210, 0, 0, 0.3, 0.2, 3
11220, 0, 0, 0.3, 0.2, 3
11230, 0, 0, 0.3, 0.2, 3
11240, 0, 0, 0.3, 0.2, 3
11250, 0, 0, 0.3, 0.2, 3
11260, 0, 0, 0.3, 0.2, 3
11270, 0, 0, 0.3, 0.2, 3
11280, 0, 0, 0.3, 0.2, 3
12010, 0, 0, 0, 0, 2
12020, 0, 0, 0, 0.2, 1
12030, 0, 0, 0.25, 0.2, 2
12040, 0, 0, 0.25, 0.2, 2
12050, 0, 0, 0.35, 0.25, 3
12060, 0, 1, 0.25, 0.2, 2
12070, 0, 0, 0.35, 0.25, 3
12080, 0, 0, 0.25, 0.2, 2
12090, 0, 0, 0.25, 0.2, 2
12100, 0, 0, 0.25, 0.2, 2
12110, 1, 1, 0.25, 0.2, 2
12120, 0, 1, 0.25, 0.2, 2
12130, 0, 0, 0.35, 0.25, 3
12140, 0, 0, 0.35, 0.25, 3
12150, 0, 0, 0.35, 0.25, 3
12160, 0, 0, 0.35, 0.25, 3
12170, 0, 0, 0.35, 0.25, 3
12180, 1, 1, 0.25, 0.2, 3
12190, 0, 0, 0.35, 0.25, 3
12200, 0, 0, 0.25, 0.2, 3
12210, 0, 0, 0.35, 0.25, 3
12220, 1, 1, 0.25, 0.2, 3
12230, 1, 1, 0.25, 0.2, 3
12240, 1, 1, 0.25, 0.2, 3
12250, 0, 0, 0.25, 0.2, 3
12260, 0, 0, 0.25, 0.2, 3
12270, 0, 0, 0.25, 0.2, 2
12280, 0, 0, 0.25, 0.2, 2
12290, 0, 0, 0.55, 0.3, 3
12300, 0, 0, 0.55, 0.3, 3
12310, 0, 0, 0.25, 0.2, 3
12320, 0, 0, 0.25, 0, 3
12330, 0, 0, 0.25, 0.2, 3
12340, 0, 0, 0.25, 0.2, 3
12350, 0, 0, 0.25, 0.2, 3
12360, 0, 0, 0.25, 0.2, 3
12370, 0, 0, 0, 0.2, 2
12380, 0, 0, 0.25, 0.2, 1
12390, 0, 0, 0.25, 0.2, 2
12400, 0, 0, 0, 0.2, 2
12410, 0, 0, 0.25, 0.2, 3
12420, 0, 0, 0, 0.2, 2
13010, 1, 1, 0.35, 0.25, 3
