HHSIZE,WORKERS,INCOME,CARS,HBW,NHBW,HBU,HBSCHO,HBSHOP,HBPB,HBSOC,HBESC,NHBO
ANY,0,1,0,0.0806737,0.0243927,,,,,,,
ANY,1,1,0,1.1547448,0.3667505,,,,,,,
ANY,2,1,0,2.1793269,0.5770138,,,,,,,
ANY,3,1,0,3.8032738,0.6721049,,,,,,,
ANY,0,2,0,0.0884719,0.0308451,,,,,,,
ANY,1,2,0,1.3112756,0.5389285,,,,,,,
ANY,2,2,0,2.4852552,0.897933,,,,,,,
ANY,3,2,0,3.8877959,0.8248035,,,,,,,
ANY,0,3,0,0.1410343,0.0737331,,,,,,,
ANY,1,3,0,1.3205423,0.6633637,,,,,,,
ANY,2,3,0,2.4755625,0.9919999,,,,,,,
ANY,3,3,0,4.3783125,1.1063617,,,,,,,
ANY,0,1,1,0.0806737,0.0243927,,,,,,,
ANY,1,1,1,1.1547448,0.3667505,,,,,,,
ANY,2,1,1,2.1793269,0.5770138,,,,,,,
ANY,3,1,1,3.8032738,0.6721049,,,,,,,
ANY,0,2,1,0.0884719,0.0308451,,,,,,,
ANY,1,2,1,1.3112756,0.5389285,,,,,,,
ANY,2,2,1,2.4852552,0.897933,,,,,,,
ANY,3,2,1,3.8877959,0.8248035,,,,,,,
ANY,0,3,1,0.1410343,0.0737331,,,,,,,
ANY,1,3,1,1.3205423,0.6633637,,,,,,,
ANY,2,3,1,2.4755625,0.9919999,,,,,,,
ANY,3,3,1,4.3783125,1.1063617,,,,,,,
ANY,0,1,2,0.0904284,0.0537857,,,,,,,
ANY,1,1,2,1.302636,0.4236006,,,,,,,
ANY,2,1,2,2.3229842,0.7869165,,,,,,,
ANY,3,1,2,3.8032738,0.6721049,,,,,,,
ANY,0,2,2,0.1535286,0.0732171,,,,,,,
ANY,1,2,2,1.358585,0.5389285,,,,,,,
ANY,2,2,2,2.510632,0.897933,,,,,,,
ANY,3,2,2,4.2777556,0.8248035,,,,,,,
ANY,0,3,2,0.1410343,0.0737331,,,,,,,
ANY,1,3,2,1.4191233,0.7165025,,,,,,,
ANY,2,3,2,2.4988486,1.1711796,,,,,,,
ANY,3,3,2,4.3783125,1.141757,,,,,,,
ANY,0,1,3,0.0904284,0.0537857,,,,,,,
ANY,1,1,3,1.302636,0.4236006,,,,,,,
ANY,2,1,3,2.3229842,0.7869165,,,,,,,
ANY,3,1,3,3.8032738,0.6721049,,,,,,,
ANY,0,2,3,0.1535286,0.0732171,,,,,,,
ANY,1,2,3,1.358585,0.5389285,,,,,,,
ANY,2,2,3,2.510632,0.897933,,,,,,,
ANY,3,2,3,4.2777556,0.8248035,,,,,,,
ANY,0,3,3,0.1410343,0.0737331,,,,,,,
ANY,1,3,3,1.4191233,0.7165025,,,,,,,
ANY,2,3,3,2.4988486,1.1711796,,,,,,,
ANY,3,3,3,4.3783125,1.141757,,,,,,,
1,ANY,1,0,,,1,0,0.4913,0.4543,0.4957,0.01957,0.337
2,ANY,1,0,,,1,0.1181843,0.8398399,0.5329013,0.8398757,0.07645,0.8146849
3,ANY,1,0,,,1,0.8112482,0.5739429,0.3648143,0.8800679,0.3492,0.8163661
4,ANY,1,0,,,1,2.0484006,0.7677181,0.4548116,0.8871168,0.6905,1.1967471
1,ANY,2,0,,,1,0,0.4321,0.2586,0.4681,0.01146,0.2635
2,ANY,2,0,,,1,0.0591198,0.6323084,0.471527,0.8825093,0.05085,0.6164599
3,ANY,2,0,,,1,0.7151485,0.5677432,0.4558291,0.8349666,0.6101847,0.7072809
4,ANY,2,0,,,1,1.9484855,0.6435404,0.4118412,1.2812133,1.3265429,1.1544665
1,ANY,3,0,,,1,0,0.2333,0.1222,0.6222,0.02222,0.1889
2,ANY,3,0,,,1,0.0166153,0.5301879,0.4153976,0.794564,0.01429,0.596694
3,ANY,3,0,,,1,0.6390349,0.6182166,0.373417,0.9170324,0.6101847,0.659734
4,ANY,3,0,,,1,1.9240468,0.5316161,0.446244,1.4304209,1.3265429,1.2120658
1,ANY,1,1,,,1,0,0.5805779,0.3964602,0.5699133,0.0849572,0.6584345
2,ANY,1,1,,,1,0.1181843,0.8398399,0.5329013,0.8398757,0.3844,0.8146849
3,ANY,1,1,,,1,0.8112482,0.5739429,0.3648143,0.8800679,0.9149,0.8163661
4,ANY,1,1,,,1,2.0484006,0.7677181,0.4548116,0.8871168,1.8396,1.1967471
1,ANY,2,1,,,1,0,0.4604104,0.3437258,0.6096,0.1088789,0.602341
2,ANY,2,1,,,1,0.0591198,0.6323084,0.471527,0.8825093,0.3264,0.6164599
3,ANY,2,1,,,1,0.7151485,0.5677432,0.4558291,0.8349666,1.043,0.7072809
4,ANY,2,1,,,1,1.9484855,0.6435404,0.4118412,1.2812133,1.87,1.1544665
1,ANY,3,1,,,1,0,0.3171524,0.2825799,0.5290518,0.0832012,0.3909124
2,ANY,3,1,,,1,0.0166153,0.5301879,0.4153976,0.794564,0.3243,0.596694
3,ANY,3,1,,,1,0.6390349,0.6182166,0.373417,0.9170324,1.1195,0.659734
4,ANY,3,1,,,1,1.9240468,0.5316161,0.446244,1.4304209,1.8339,1.2120658
1,ANY,1,2,,,1,0,0.5805779,0.3964602,0.5699133,0.0849572,0.6584345
2,ANY,1,2,,,1,0.0070176,0.9193432,0.7473811,1.0351074,0.2701621,0.9174979
3,ANY,1,2,,,1,0.3809143,0.8571857,0.4973619,0.8888524,0.7301619,0.9100952
4,ANY,1,2,,,1,1.6968813,0.7847331,0.5183861,1.1983232,1.7527,1.2294371
1,ANY,2,2,,,1,0,0.4604104,0.3437258,0.6096,0.1088789,0.602341
2,ANY,2,2,,,1,0.0044962,0.7604094,0.5504603,1.0834486,0.2171029,0.8503638
3,ANY,2,2,,,1,0.4150634,0.7609977,0.5798897,1.0993353,0.799,0.9370977
4,ANY,2,2,,,1,1.8656869,0.7456966,0.5242926,1.4299794,2.0376,1.317876
1,ANY,3,2,,,1,0,0.3171524,0.2825799,0.5290518,0.0832012,0.3909124
2,ANY,3,2,,,1,0.0032493,0.6149241,0.4582004,0.9991617,0.2282,0.6522755
3,ANY,3,2,,,1,0.432276,0.6270998,0.5225333,1.0986057,0.9647,0.7434938
4,ANY,3,2,,,1,1.9285571,0.6332381,0.5469857,1.7535095,2.159,1.3166048
1,ANY,1,3,,,1,0,0.5805779,0.3964602,0.5699133,0.0849572,0.6584345
2,ANY,1,3,,,1,0.0070176,0.9193432,0.7473811,1.0351074,0.2701621,0.9174979
3,ANY,1,3,,,1,0.3809143,0.8571857,0.4973619,0.8888524,0.7301619,0.9100952
4,ANY,1,3,,,1,1.6968813,0.7847331,0.5183861,1.1983232,1.3333,1.2294371
1,ANY,2,3,,,1,0,0.4604104,0.3437258,0.6096,0.1088789,0.602341
2,ANY,2,3,,,1,0.0044962,0.7604094,0.5504603,1.0834486,0.2171029,0.8503638
3,ANY,2,3,,,1,0.4150634,0.7609977,0.5798897,1.0993353,0.351,0.9370977
4,ANY,2,3,,,1,1.8656869,0.7456966,0.5242926,1.4299794,1.3966,1.317876
1,ANY,3,3,,,1,0,0.3171524,0.2825799,0.5290518,0.0832012,0.3909124
2,ANY,3,3,,,1,0.0032493,0.6149241,0.4582004,0.9991617,0.1436,0.6522755
3,ANY,3,3,,,1,0.432276,0.6270998,0.5225333,1.0986057,0.4127,0.7434938
4,ANY,3,3,,,1,1.9285571,0.6332381,0.5469857,1.7535095,1.2618,1.3166048
