TZ,Pp1_11,Pp2_11,Pp3_11,Pp4_11,Pp5_11,Pp6_11,Pp10_11,PpTt11,HtTt11,P1Hh11,P2Hh11,P3Hh11,P4Hh11,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,Emp11,PSEn11
Zone,2011_Pop_0to4,2011_Pop 5to12,2011_Pop_13to17,2011_Pop_18to24,2011_Pop_25to44,2011_Pop_45to64,2011_Pop_65plus,2011_total_population,2011_total_hhs,2011_1p_hhs,2011_2p_hhs,2011_3p_hhs,2011_4p_hhs,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_emp,PostSec 2011 FT Enrl
11010,1.12,1.1,14.02,1.17,0,0,62.71,186.95,69.58,12.55,27.01,10.65,19.36,11.78,2.38,5.29,3.3,6.08,4.36,7.41,40.61,0
11020,0.98,1.93,0.98,6.11,0,0,2.99,30.34,10.65,3.1,3.54,1.82,2.18,12.76,7.65,6.07,10.4,14.84,11.14,18.23,81.08,0
11030,96.3,199.52,149.82,205.87,0,0,535.38,2294.26,890.38,186.31,348.35,136.26,219.47,5.11,1.97,539.39,33.75,140.64,264.75,117.34,1102.96,0
11040,1.93,28.5,24.16,35.14,0,0,221,682.2,304.26,52.36,166.31,59.8,25.8,6.54,2.52,4,2.47,86.6,67.72,241.4,411.25,0
11050,19.57,125.51,83.48,122.46,0,0,114.79,1005.65,308.62,43.87,69.12,44.69,150.94,11.79,4.55,7.21,4.45,84.08,4.88,4.71,121.66,0
11060,81.98,222.44,169.72,229.77,0,0,423.39,2294.07,801.34,85.95,332.83,135.62,246.93,8.13,86.2,4.97,30.67,207.07,151.55,3.24,491.84,0
11070,41.17,101.54,72.31,128.79,0,0,524.93,1900.28,840.48,239.42,358.56,110.7,131.81,6.27,120.86,3.83,2.37,134.13,25.97,100.08,393.5,0
11080,102.7,202.66,250.35,357.01,0,0,419.07,2926.67,925.4,132.07,227.88,156.13,409.33,217.56,74.04,31.32,1.93,119.99,296.97,301.45,1043.25,0
11090,188.82,455.92,304.23,487.09,0,0,876.91,4760.63,1599.3,197.61,540.36,288.53,572.8,124.93,117.79,76.43,20.95,209.38,184.07,321.44,1055,0
11100,155.92,425.61,438.2,455.29,0,0,1118.7,4891.43,1719.88,225.3,679.35,283.41,531.83,164.83,127.15,3.36,186.61,268.78,108.15,268.72,1127.59,0
11110,61.82,106.73,93.07,128.93,0,0,204.94,1172.26,425.69,60.81,177.05,67.1,120.73,43.29,44.52,1.77,16.33,61.76,14.95,66.24,248.85,0
11120,40.02,182.63,90.39,130.44,0,0,204.15,1253.19,386.55,34.78,118.27,53.99,179.51,44.29,45.55,1.81,16.71,63.19,15.29,67.79,254.64,0
11130,1.87,32.21,56.18,68.1,0,0,147.51,535.6,185.07,23.08,60.78,45.46,55.75,10.03,6.01,4.77,8.17,11.66,8.75,14.32,63.71,0
11140,2.05,60.63,51.4,96.13,0,0,177.62,737.71,272.55,35.36,125.34,37.73,74.12,9.02,3.48,5.52,3.4,110.26,3.74,3.6,139.01,0
