t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      2      3     7.038
      2      4  .2460000
      2      5    1.0656
      3      2    4.7916
      3      3  .0852000
      3      8  .0336000
      3     10  .0936000
      3     11  .1428000
      3  12020  .0024000
      3  21010  .0004479
      3  21030  .0023282
      3  21050  .0010811
      3  21080  .0005946
      3  21100  .0018178
      3  21150  .0009304
      3  21160  .0029147
      3  22010  .0180000
      3  22390  .0337890
      3  22400  .0189658
      3  22530  .0228452
      3  23370  .1113107
      3  23440  .0212349
      3  23450  .0139623
      3  23460  .0308028
      3  23500  .0458893
      3  24140  .0006704
      3  24150  .0020126
      3  24160  .0029039
      3  24260  .0015898
      3  24270  .0006803
      3  24280  .0009316
      3  24300  .0022983
      3  24320  .0252363
      3  24340  .0012031
      3  24350  .0019709
      3  24400  .0020241
      3  25120  .0366260
      3  25130  .0385038
      3  25220  .0319909
      3  25230  .0068793
      3  25280  .0050356
      3  25290  .0163230
      3  25300  .0036122
      3  25310  .0167721
      3  25320  .0129015
      3  25370  .0105684
      3  25380  .0317677
      3  25390  .0518194
      3  25660  .0074703
      3  25740  .0105297
      3  25800  .0244444
      3  25810  .0355556
      3  26310  .0123603
      3  26340  .0058257
      3  26390  .0032397
      3  26410  .0025379
      3  27140  .0785146
      3  27160  .0178655
      3  27170  .0071299
      3  27220  .0124251
      3  27230  .0290602
      3  27290  .0002046
      3  27660  .1925167
      3  28080  .0630715
      3  28090  .0053285
      3  28220  .0497133
      3  28270  .0745700
      3  28380  .0142091
      3  28390  .0169909
      3  28600  .0133400
      3  28610  .0070600
      3  28710  .0017577
      3  28720  .0047958
      3  28730  .0026508
      3  28740  .0364385
      3  28750  .0215572
      3  29040  .0001832
      3  29060  .0004056
      3  29070  .0002658
      3  29120  .0015454
      3  29280  .0155904
      3  29340  .0516096
      3  31110  .0010834
      3  31120  .0087010
      3  31130  .0014245
      3  31160  .0014079
      3  31170  .0013855
      3  31180  .0017174
      3  31190  .0018981
      3  31210  .0065105
      3  31220  .0029050
      3  31230  .0007473
      3  31240  .0015949
      3  31250  .0006245
      3  32230  .0264000
      3  32250  .0144000
      3  32600  .0097291
      3  32610  .0022455
      3  32620  .0204254
      3  33010  .0132000
      3  33160  .0030318
      3  33200  .0089682
      3  34250  .0360000
      3  41030  .1080000
      3  41040  .0114521
      3  41050  .0084440
      3  41070  .0033150
      3  41110  .0007889
      3  42010  .0024000
      3  42200  .0003584
      3  42210  .0008645
      3  42290  .0131771
      3  42440  .0060000
      3  51490  .0144000
      3  51590  .0147137
      3  51640  .0120000
      3  51710  .0080863
      3  52110  .0272392
      3  52120  .0147608
      3  52210  .0011459
      3  52250  .0011851
      3  52260  .0020267
      3  52270  .0040422
      3  53010  .0005861
      3  53020  .0005636
      3  53030  .0046126
      3  53040  .0026804
      3  53060  .0004326
      3  53100  .0019247
      3  54010  .0234827
      3  54040  .0293173
      3  54050  .0480000
      3  54080  .0017245
      3  54090  .0028095
      3  54100  .0036009
      3  54120  .0027521
      3  54150  .0071130
      3  54160  .0072000
      3  54200  .0192000
      3  54210  .0206882
      3  54240  .0009118
      3  54290  .0540000
      3  54400  .0276000
      3  61090  .0041235
      3  61130  .0026687
      3  61140  .0010227
      3  61210  .0025984
      3  61260  .0194555
      3  61270  .0107192
      3  61300  .0044544
      3  61370  .0269018
      3  61380  .0180381
      3  61390  .0064854
      3  61420  .0049142
      3  61480  .0030560
      3  61500  .0006181
      3  61530  .0192694
      3  61610  .0040746
      3  61800  .0064324
      3  61840  .0262082
      3  61870  .0081594
      3  61910  .0311297
      3  61920  .0132703
      3  62220  .0038049
      3  62290  .0117951
      3  62390  .0184139
