c Emme Module:    3.14(v15101)  Date: 14-08-30 12:25   User: E496/HFA......none
c Project:        2011_DB_Assigning_FMS                                       
t matrices
a matrix=mf1018 PMVAM 0 PMVAM                
 gg1 gg1:8.16057692307692
 gg1 gg2:6.6863108719736
 gg1 gg4:0.141923076923077
 gg1 gg5:0.0709615384615385
 gg1 gg6:5.46403846153846
 gg1 gg7:1.06442307692308
 gg1 gg8:1.63211538461538
 gg1 gg9:0.709615384615385
 gg1 gg10:0.141923076923077
 gg1 gg11:0.496730769230769
 gg1 gg12:2.90942307692308
 gg1 gg13:7.30903846153846
 gg1 gg14:5.96076923076923
 gg1 gg15:4.62523124224764
 gg1 gg16:0.851538461538462
 gg1 gg17:0.638653846153846
 gg1 gg18:1.06442307692308
 gg1 gg19:1.70307692307692
 gg1 gg20:6.59942307692308
 gg1 gg21:1.13538461538462
 gg1 gg22:0.993461538461538
 gg1 gg23:0.9225
 gg1 gg24:0.567692307692308
 gg1 gg25:2.69653846153846
 gg1 gg26:1.20634615384615
 gg1 gg27:3.61903846153846
 gg2 gg1:6.30148722466577
 gg2 gg2:9.6946875
 gg2 gg4:0.2025
 gg2 gg5:0.7340625
 gg2 gg6:3.2146875
 gg2 gg7:0.9365625
 gg2 gg8:0.860625
 gg2 gg9:0.151875
 gg2 gg10:0.30375
 gg2 gg11:0.1265625
 gg2 gg12:1.3921875
 gg2 gg13:5.4928125
 gg2 gg14:4.3284375
 gg2 gg15:6.29020299446364
 gg2 gg16:1.1390625
 gg2 gg17:0.3796875
 gg2 gg18:0.759375
 gg2 gg19:1.063125
 gg2 gg20:1.72125
 gg2 gg21:0.6075
 gg2 gg22:0.50625
 gg2 gg23:0.4303125
 gg2 gg24:0.2278125
 gg2 gg25:0.5315625
 gg2 gg26:0.6328125
 gg2 gg27:3.189375
 gg4 gg1:1.845
 gg4 gg2:0.4809375
 gg4 gg4:0.214514508350316
 gg4 gg5:0.214514508350316
 gg4 gg6:0.160885881262737
 gg4 gg7:0.053628627087579
 gg4 gg8:0.053628627087579
 gg4 gg9:0.160885881262737
 gg4 gg10:0.107257254175158
 gg4 gg11:0.107257254175158
 gg4 gg12:0.268143135437895
 gg4 gg13:1.23345842301432
 gg4 gg14:0.482657643788211
 gg4 gg15:1.00588235294118
 gg4 gg16:0.429029016700632
 gg4 gg17:0.214514508350316
 gg4 gg18:0
 gg4 gg19:0.107257254175158
 gg4 gg20:0.107257254175158
 gg4 gg21:0.107257254175158
 gg4 gg22:0.107257254175158
 gg4 gg23:0
 gg4 gg24:0.053628627087579
 gg4 gg25:0.107257254175158
 gg4 gg26:0.053628627087579
 gg4 gg27:0.375400389613053
 gg5 gg1:4.32865384615385
 gg5 gg2:5.011875
 gg5 gg4:0.429029016700632
 gg5 gg5:3.00320311690442
 gg5 gg6:0.214514508350316
 gg5 gg7:0.321771762525474
 gg5 gg8:0.053628627087579
 gg5 gg9:0.107257254175158
 gg5 gg10:0.053628627087579
 gg5 gg11:0
 gg5 gg12:0.375400389613053
 gg5 gg13:1.34071567718948
 gg5 gg14:0.643543525050948
 gg5 gg15:0.88014705882353
 gg5 gg16:0.589914897963369
 gg5 gg17:0.053628627087579
 gg5 gg18:0.053628627087579
 gg5 gg19:0.214514508350316
 gg5 gg20:0.268143135437895
 gg5 gg21:0.160885881262737
 gg5 gg22:0.053628627087579
 gg5 gg23:0.107257254175158
 gg5 gg24:0.053628627087579
 gg5 gg25:0.214514508350316
 gg5 gg26:0.321771762525474
 gg5 gg27:1.2870870501019
 gg6 gg1:11.7086538461538
 gg6 gg2:5.720625
 gg6 gg4:1.39434430427705
 gg6 gg5:2.94957448981685
 gg6 gg6:21.5587080892068
 gg6 gg7:2.41328821894106
 gg6 gg8:5.6310058441958
 gg6 gg9:0.804429406313685
 gg6 gg10:1.07257254175158
 gg6 gg11:1.07257254175158
 gg6 gg12:4.98746231914485
 gg6 gg13:31.4800041004089
 gg6 gg14:3.64674664195537
 gg6 gg15:8.42426470588235
 gg6 gg16:1.93063057515284
 gg6 gg17:0.053628627087579
 gg6 gg18:0.214514508350316
 gg6 gg19:1.98425920224042
 gg6 gg20:1.12620116883916
 gg6 gg21:2.41328821894106
 gg6 gg22:0.643543525050948
 gg6 gg23:0.268143135437895
 gg6 gg24:0.214514508350316
 gg6 gg25:0.107257254175158
 gg6 gg26:3.75400389613053
 gg6 gg27:4.07577565865601
 gg7 gg1:1.56115384615385
 gg7 gg2:1.4428125
 gg7 gg4:0.160885881262737
 gg7 gg5:0.321771762525474
 gg7 gg6:1.34071567718948
 gg7 gg7:1.50160155845221
 gg7 gg8:0.214514508350316
 gg7 gg9:0.268143135437895
 gg7 gg10:0.107257254175158
 gg7 gg11:0
 gg7 gg12:0.53628627087579
 gg7 gg13:2.25240233767832
 gg7 gg14:2.14514508350316
 gg7 gg15:3.33198529411765
 gg7 gg16:0.643543525050948
 gg7 gg17:0.160885881262737
 gg7 gg18:0.053628627087579
 gg7 gg19:0.911686660488843
 gg7 gg20:0.750800779226106
 gg7 gg21:1.07257254175158
 gg7 gg22:0.214514508350316
 gg7 gg23:0.107257254175158
 gg7 gg24:0.160885881262737
 gg7 gg25:0.429029016700632
 gg7 gg26:0.429029016700632
 gg7 gg27:0.697172152138527
 gg8 gg1:2.05788461538462
 gg8 gg2:2.581875
 gg8 gg4:0.053628627087579
 gg8 gg5:0.107257254175158
 gg8 gg6:2.89594586272927
 gg8 gg7:0.321771762525474
 gg8 gg8:1.71611606680253
 gg8 gg9:0.321771762525474
 gg8 gg10:0.160885881262737
 gg8 gg11:0.268143135437895
 gg8 gg12:1.34071567718948
 gg8 gg13:6.59632113177222
 gg8 gg14:3.64674664195537
 gg8 gg15:5.90955882352941
 gg8 gg16:1.34071567718948
 gg8 gg17:0.107257254175158
 gg8 gg18:0.214514508350316
 gg8 gg19:1.82337332097769
 gg8 gg20:0.482657643788211
 gg8 gg21:0.482657643788211
 gg8 gg22:1.50160155845221
 gg8 gg23:0.375400389613053
 gg8 gg24:0.160885881262737
 gg8 gg25:0.375400389613053
 gg8 gg26:0.697172152138527
 gg8 gg27:1.07257254175158
 gg9 gg1:0.425769230769231
 gg9 gg2:0.2784375
 gg9 gg4:0.107257254175158
 gg9 gg5:0.053628627087579
 gg9 gg6:0.697172152138527
 gg9 gg7:0.214514508350316
 gg9 gg8:0.643543525050948
 gg9 gg9:1.12620116883916
 gg9 gg10:0.643543525050948
 gg9 gg11:0.053628627087579
