t matrices
a matrix=mf1008  IRLg99     0 IR Light Truck 1999 Survey Rat           
 gz1 gz1000:.00097
 gz1 gz1010:.00139
 gz1 gz1030:.00028
 gz1 gz1040:.00069
 gz1 gz1050:.00125
 gz1 gz1060:.00125
 gz1 gz1070:.00097
 gz1 gz1080:.00042
 gz1 gz1090:.00222
 gz1 gz1100:.00458
 gz1 gz1110:.00083
 gz1 gz1150:.00028
 gz1 gz1260:.00111
 gz1 gz1270:.00278
 gz1 gz1280:.00208
 gz1 gz1290:.00264
 gz1 gz1620:.00042
 gz1 gz1640:.00028
 gz1 gz1650:.00139
 gz1 gz1660:.00028
 gz1 gz1670:.00014
 gz1 gz1680:.00042
 gz1 gz1690:.00083
 gz1 gz1700:.00014
 gz1 gz1710:.00028
 gz1 gz1900:.00056
 gz1 gz1910:.00014
 gz1 gz1930:.00194
 gz1 gz2080:.00014
 gz1 gz2100:.00014
 gz1 gz2110:.00014
 gz1 gz2120:.00014
 gz1 gz2130:.00028
 gz1 gz2150:.00042
 gz1 gz2160:.00014
 gz1 gz2170:.00014
 gz1 gz2180:.00014
 gz1 gz2190:.00014
 gz1 gz2200:.00014
 gz1 gz2220:.00014
 gz1 gz2290:.00014
 gz1 gz3000:.00319
 gz1 gz3010:.00430
 gz1 gz3020:.00208
 gz1 gz3030:.00430
 gz1 gz3040:.00403
 gz1 gz3150:.00083
 gz1 gz3160:.00847
 gz1 gz3210:.00417
 gz1 gz3220:.00194
 gz1 gz3230:.00153
 gz1 gz3240:.00139
 gz1 gz3250:.00250
 gz1 gz3260:.00125
 gz1 gz3270:.00333
 gz1 gz3280:.00097
 gz1 gz3290:.00181
 gz1 gz3330:.00278
 gz1 gz3340:.00639
 gz1 gz3350:.00278
 gz1 gz3360:.00306
 gz1 gz3400:.00125
 gz1 gz3410:.00194
 gz1 gz3420:.00014
 gz1 gz3430:.00056
 gz1 gz3440:.00056
 gz1 gz3450:.00417
 gz1 gz3460:.00430
 gz1 gz3480:.00056
 gz1 gz3490:.00028
 gz1 gz3520:.00014
 gz1 gz3530:.00014
 gz1 gz3570:.00028
 gz1 gz3850:.00083
 gz1 gz3860:.00458
 gz1 gz3890:.00111
 gz1 gz3910:.00028
 gz1 gz3920:.00014
 gz1 gz3970:.00014
 gz1 gz3980:.00056
 gz1 gz4020:.00278
 gz1 gz4030:.00153
 gz1 gz4070:.00056
 gz1 gz4080:.00139
 gz1 gz4100:.00097
 gz1 gz4120:.00083
 gz1 gz4130:.00014
 gz1 gz4150:.00042
 gz1 gz4160:.01042
 gz1 gz4170:.00014
 gz1 gz4180:.00042
 gz1 gz4190:.00319
 gz1 gz4200:.00056
 gz1 gz4220:.00056
 gz1 gz4230:.00028
 gz1 gz4240:.00042
 gz1 gz4250:.00028
 gz1 gz4260:.00083
 gz1 gz4270:.00042
 gz1 gz4280:.00222
 gz1 gz4290:.00236
 gz1 gz4300:.00042
 gz1 gz4310:.00028
 gz1 gz4330:.00028
 gz1 gz4340:.00014
 gz1 gz4350:.00139
 gz1 gz4380:.00042
 gz1 gz4390:.00208
 gz1 gz4400:.00042
 gz1 gz4410:.00264
 gz1 gz4420:.00208
 gz1 gz4430:.00430
 gz1 gz4440:.00319
 gz1 gz4470:.00014
 gz1 gz4480:.00014
 gz1 gz4490:.00014
 gz1 gz4510:.00014
 gz1 gz4550:.00097
 gz1 gz4560:.00264
 gz1 gz4700:.00042
 gz1 gz4710:.01208
 gz1 gz4720:.00167
 gz1 gz4730:.00250
 gz1 gz4740:.00361
 gz1 gz4750:.00153
 gz1 gz4760:.01125
 gz1 gz4770:.00764
 gz1 gz4780:.00042
 gz1 gz4790:.00139
 gz1 gz4800:.00236
 gz1 gz4810:.00111
 gz1 gz4820:.00319
 gz1 gz4830:.00875
 gz1 gz4840:.00430
 gz1 gz5100:.00028
 gz1 gz5110:.00083
 gz1 gz5120:.00153
 gz1 gz5130:.00014
 gz1 gz5140:.00250
 gz1 gz5150:.00181
 gz1 gz5160:.00097
 gz1 gz5170:.00222
 gz1 gz5180:.00181
 gz1 gz5190:.00528
 gz1 gz5200:.00361
 gz1 gz5210:.01069
 gz1 gz5220:.00042
 gz1 gz5230:.00194
 gz1 gz5240:.00042
 gz1 gz5250:.00250
 gz1 gz5260:.00056
 gz1 gz5270:.00042
 gz1 gz5280:.00014
 gz1 gz5290:.00458
 gz1 gz5300:.00042
 gz1 gz5310:.00097
 gz1 gz5320:.00181
