mat_id,  md205
mat_name, PMVrat
mat_desc, PMV activity ratio
25020,1.000000
25030,1.000000
25380,0.293440
25400,0.706560
51010,1.000000
54010,0.444749
54040,0.555251
27300,0.121708
27420,0.028941
27510,0.302068
27520,0.433618
27550,0.113666
28710,0.023404
28720,0.063856
28740,0.485180
28750,0.287036
29400,0.004881
29410,0.025408
29420,0.109148
29430,0.001087
29020,0.074714
29100,0.925286
52220,1.000000
51110,0.592105
51320,0.407895
51050,0.094224
51060,0.006281
51080,0.016662
51090,0.159727
51100,0.181777
51130,0.016164
51200,0.112717
51210,0.141274
51300,0.022553
51310,0.041996
51400,0.017726
51410,0.089441
53010,0.010116
53020,0.009727
53030,0.079614
53140,0.635404
53160,0.157499
53170,0.207097
53190,0.000000
54080,0.095807
54090,0.156083
54100,0.200049
54120,0.152895
54150,0.395166
54390,1.000000
61010,0.118511
61020,0.151387
61040,0.125357
61130,0.051662
61140,0.019798
61210,0.050302
61300,0.086231
61490,0.174270
61560,0.222482
65200,0.049464
65340,0.510600
65470,0.439937
62010,0.029029
62090,0.070997
62170,0.008408
62180,0.106619
62240,0.363414
62250,0.142368
62270,0.206662
62320,0.072503
63050,1.000000
63230,0.094233
63250,0.173450
63300,0.192003
63320,0.227148
68010,0.031516
68030,0.064710
68040,0.068784
68050,0.107505
68060,0.040651
34170,0.000000
34200,0.021311
34210,0.000000
34220,0.247891
34240,0.443921
34270,0.286877
32600,0.024518
32610,0.005659
32620,0.051474
32630,0.232667
32640,0.685682
63970,0.292908
65040,0.182255
67040,0.055691
67050,0.161719
68450,0.307427
68520,1.000000
12330,0.655103
12410,0.201258
12420,0.000000
13280,0.017967
13320,0.087415
13330,0.038258
41010,1.000000
