mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
11010,350.4268,18.14624,16.4634,20.52721,13.59936,19.23388,99.28194,64.66089,98.51387,45.99972,6.624826,6.566684,6.582186,6.436324,6.6168,6.541324,6.631577,0,0,0,126.1589,23.97205,43.09919,21.96035,37.12732
11020,30.33883,2.153888,2.735799,2.084966,1.614191,4.565975,5.868814,4.975378,6.339818,86.00011,11.96307,9.212593,9.234342,9.029708,11.99178,9.177015,25.39161,0,0,0,8.407969,1.56109,2.609874,1.675651,2.561354
11030,3067.42,146.7531,275.855,184.1702,235.12,199.4402,919.4919,400.2742,706.3158,1162.997,10.12783,9.962155,593.9351,21.28129,129.5047,212.0203,186.1653,263,0,0,1106.868,194.1894,402.3057,193.5791,316.7942
11040,3562.663,140.4969,251.519,276.2598,366.0107,600.8809,1028.318,402.8801,496.297,910.9964,11.74688,9.821658,9.844844,9.626682,134.1905,91.25654,644.5093,502,351,0,1590.268,404.9899,770.55,195.2476,219.4804
11050,1019.655,22.49215,130.8635,77.39626,105.4704,86.38566,363.3251,119.5093,114.2125,133.9992,11.67414,9.338717,9.360762,9.153327,71.80895,9.302651,13.36065,0,0,0,317.0808,43.64119,76.1807,60.59493,136.6639
11060,2608.358,106.9375,263.231,178.5765,224.609,94.78048,883.3333,378.7998,478.0907,852.5471,17.06122,153.6162,12.48693,38.01054,374.8054,238.5745,17.99232,77,0,0,887.111,82.92118,355.7892,178.3455,270.0552
11070,2185.053,54.08642,121.0326,76.63488,126.8113,231.6988,608.929,368.8064,597.0535,420.8392,9.92377,103.924,9.859896,9.6414,117.1457,19.72663,150.6178,0,0,0,836.0795,189.9068,315.1304,119.6854,211.3569
