purpose,geo,mode,peakperiod,direction,shares
hbesc,A,Active,AM,PtoA,0.153565
hbesc,A,Active,AM,AtoP,0.041739
hbesc,A,Active,MD,PtoA,0.003863
hbesc,A,Active,MD,AtoP,0.009943
hbesc,A,Active,PM,PtoA,0.016813
hbesc,A,Active,PM,AtoP,0.032532
hbesc,A,Auto,AM,PtoA,0.142504
hbesc,A,Auto,AM,AtoP,0.045538
hbesc,A,Auto,MD,PtoA,0.012844
hbesc,A,Auto,MD,AtoP,0.012012
hbesc,A,Auto,PM,PtoA,0.034888
hbesc,A,Auto,PM,AtoP,0.061512
hbesc,A,Transit,AM,PtoA,0.15414
hbesc,A,Transit,AM,AtoP,0.014924
hbesc,A,Transit,MD,PtoA,0.046646
hbesc,A,Transit,MD,AtoP,0.005063
hbesc,A,Transit,PM,PtoA,0.005061
hbesc,A,Transit,PM,AtoP,0.058798
hbpb,A,Active,AM,PtoA,0.029463
hbpb,A,Active,AM,AtoP,0.007143
hbpb,A,Active,MD,PtoA,0.03522
hbpb,A,Active,MD,AtoP,0.036183
hbpb,A,Active,PM,PtoA,0.013675
hbpb,A,Active,PM,AtoP,0.056928
hbpb,A,Auto,AM,PtoA,0.033208
hbpb,A,Auto,AM,AtoP,0.006526
hbpb,A,Auto,MD,PtoA,0.038439
hbpb,A,Auto,MD,AtoP,0.036479
hbpb,A,Auto,PM,PtoA,0.020213
hbpb,A,Auto,PM,AtoP,0.059446
hbpb,A,Transit,AM,PtoA,0.035389
hbpb,A,Transit,AM,AtoP,0.004061
hbpb,A,Transit,MD,PtoA,0.056466
hbpb,A,Transit,MD,AtoP,0.051545
hbpb,A,Transit,PM,PtoA,0.011349
hbpb,A,Transit,PM,AtoP,0.06281
hbsch,A,Active,AM,PtoA,0.365897
hbsch,A,Active,AM,AtoP,0.001178
hbsch,A,Active,MD,PtoA,0.002339
hbsch,A,Active,MD,AtoP,0.002764
hbsch,A,Active,PM,PtoA,0.000346
hbsch,A,Active,PM,AtoP,0.015716
hbsch,A,Auto,AM,PtoA,0.447456
hbsch,A,Auto,AM,AtoP,0.000391
hbsch,A,Auto,MD,PtoA,0.00104
hbsch,A,Auto,MD,AtoP,0.002736
hbsch,A,Auto,PM,PtoA,0.003434
hbsch,A,Auto,PM,AtoP,0.034321
hbsch,A,Transit,AM,PtoA,0.329355
hbsch,A,Transit,AM,AtoP,0.000525
hbsch,A,Transit,MD,PtoA,0.002757
hbsch,A,Transit,MD,AtoP,0.001423
hbsch,A,Transit,PM,PtoA,0.002344
hbsch,A,Transit,PM,AtoP,0.0312
hbshop,A,Active,AM,PtoA,0.010645
hbshop,A,Active,AM,AtoP,0.002551
hbshop,A,Active,MD,PtoA,0.034793
hbshop,A,Active,MD,AtoP,0.035036
hbshop,A,Active,PM,PtoA,0.032241
hbshop,A,Active,PM,AtoP,0.072896
hbshop,A,Auto,AM,PtoA,0.007046
hbshop,A,Auto,AM,AtoP,0.001572
hbshop,A,Auto,MD,PtoA,0.032274
hbshop,A,Auto,MD,AtoP,0.051918
hbshop,A,Auto,PM,PtoA,0.023422
hbshop,A,Auto,PM,AtoP,0.071337
hbshop,A,Transit,AM,PtoA,0.012187
hbshop,A,Transit,AM,AtoP,0.001409
hbshop,A,Transit,MD,PtoA,0.046746
hbshop,A,Transit,MD,AtoP,0.049335
hbshop,A,Transit,PM,PtoA,0.022084
hbshop,A,Transit,PM,AtoP,0.067411
hbsoc,A,Active,AM,PtoA,0.022723
hbsoc,A,Active,AM,AtoP,0.00527
hbsoc,A,Active,MD,PtoA,0.023338
hbsoc,A,Active,MD,AtoP,0.031971
hbsoc,A,Active,PM,PtoA,0.040032
hbsoc,A,Active,PM,AtoP,0.048599
hbsoc,A,Auto,AM,PtoA,0.022114
hbsoc,A,Auto,AM,AtoP,0.005226
hbsoc,A,Auto,MD,PtoA,0.022784
hbsoc,A,Auto,MD,AtoP,0.022432
hbsoc,A,Auto,PM,PtoA,0.04808
hbsoc,A,Auto,PM,AtoP,0.043872
hbsoc,A,Transit,AM,PtoA,0.026151
hbsoc,A,Transit,AM,AtoP,0.000684
hbsoc,A,Transit,MD,PtoA,0.031051
hbsoc,A,Transit,MD,AtoP,0.026381
hbsoc,A,Transit,PM,PtoA,0.038985
hbsoc,A,Transit,PM,AtoP,0.040823
hbu,A,Active,AM,PtoA,0.190305
hbu,A,Active,AM,AtoP,0.041205
hbu,A,Active,MD,PtoA,0.019324
hbu,A,Active,MD,AtoP,0.015192
hbu,A,Active,PM,PtoA,0.00335
hbu,A,Active,PM,AtoP,0.045821
hbu,A,Auto,AM,PtoA,0.221285
hbu,A,Auto,AM,AtoP,0.036992
hbu,A,Auto,MD,PtoA,0.021748
hbu,A,Auto,MD,AtoP,0.014188
hbu,A,Auto,PM,PtoA,0.014558
hbu,A,Auto,PM,AtoP,0.048514
hbu,A,Transit,AM,PtoA,0.156379
hbu,A,Transit,AM,AtoP,0.000164
hbu,A,Transit,MD,PtoA,0.018158
hbu,A,Transit,MD,AtoP,0.019463
hbu,A,Transit,PM,PtoA,0.006066
hbu,A,Transit,PM,AtoP,0.091007
hbw,A,Active,AM,PtoA,0.168274
hbw,A,Active,AM,AtoP,0.00071
hbw,A,Active,MD,PtoA,0.014164
hbw,A,Active,MD,AtoP,0.019207
hbw,A,Active,PM,PtoA,0.009108
hbw,A,Active,PM,AtoP,0.129783
hbw,A,Auto,AM,PtoA,0.145598
hbw,A,Auto,AM,AtoP,0.002012
hbw,A,Auto,MD,PtoA,0.010996
hbw,A,Auto,MD,AtoP,0.01095
hbw,A,Auto,PM,PtoA,0.007302
hbw,A,Auto,PM,AtoP,0.120797
hbw,A,Transit,AM,PtoA,0.162673
hbw,A,Transit,AM,AtoP,0.001786
hbw,A,Transit,MD,PtoA,0.011966
hbw,A,Transit,MD,AtoP,0.004569
hbw,A,Transit,PM,PtoA,0.004353
hbw,A,Transit,PM,AtoP,0.143439
hbw,A,WCE,AM,PtoA,0.160615
hbw,A,WCE,PM,AtoP,0.225763
nhbo,A,Active,AM,PtoA,0.042477
nhbo,A,Active,MD,PtoA,0.081282
nhbo,A,Active,PM,PtoA,0.090087
nhbo,A,Auto,AM,PtoA,0.053671
nhbo,A,Auto,MD,PtoA,0.082134
nhbo,A,Auto,PM,PtoA,0.075345
nhbo,A,Transit,AM,PtoA,0.015796
nhbo,A,Transit,MD,PtoA,0.097409
nhbo,A,Transit,PM,PtoA,0.111818
nhbw,A,Active,AM,PtoA,0.022618
nhbw,A,Active,MD,PtoA,0.179965
nhbw,A,Active,PM,PtoA,0.108138
nhbw,A,Auto,AM,PtoA,0.092741
nhbw,A,Auto,MD,PtoA,0.103728
nhbw,A,Auto,PM,PtoA,0.099757
nhbw,A,Transit,AM,PtoA,0.046078
nhbw,A,Transit,MD,PtoA,0.076027
nhbw,A,Transit,PM,PtoA,0.183353
