   inode    jnode  @lanesam  @lanesmd  @lanespm    @vdfam    @vdfmd    @vdfpm   @tollam   @tollmd   @tollpm
       1   720101         1         1         1         1         1         1         0         0         0
       2   830126         1         1         1         1         1         1         0         0         0
       3   816609         1         1         1         1         1         1         0         0         0
       4   688413         1         1         1         1         1         1         0         0         0
       5   656409         1         1         1         1         1         1         0         0         0
       6   656805         1         1         1         1         1         1         0         0         0
       7   544403         1         1         1         1         1         1         0         0         0
       8   544201         1         1         1         1         1         1         0         0         0
       9   510203         1         1         1         1         1         1         0         0         0
      10   110301         1         1         1         1         1         1         0         0         0
      11   140101         1         1         1         1         1         1         0         0         0
     101   250720         1         1         1         1         1         1         0         0         0
     102   123509         1         1         1         1         1         1         0         0         0
     103   110311         1         1         1         1         1         1         0         0         0
     104   112703         1         1         1         1         1         1         0         0         0
     105   511404         1         1         1         1         1         1         0         0         0
     106   542702         1         1         1         1         1         1         0         0         0
     107   543304         1         1         1         1         1         1         0         0         0
     108   631604         1         1         1         1         1         1         0         0         0
     109   611415         1         1         1         1         1         1         0         0         0
     110   614302         1         1         1         1         1         1         0         0         0
     111   617302         1         1         1         1         1         1         0         0         0
     112   641025         1         1         1         1         1         1         0         0         0
     113   681601         1         1         1         1         1         1         0         0         0
     114   320306         1         1         1         1         1         1         0         0         0
     115   325104         1         1         1         1         1         1         0         0         0
     116   311703         1         1         1         1         1         1         0         0         0
     117   341309         1         1         1         1         1         1         0         0         0
     118   410801         1         1         1         1         1         1         0         0         0
     119   422607         1         1         1         1         1         1         0         0         0
     120   711718         1         1         1         1         1         1         0         0         0
     121   132104         1         1         1         1         1         1         0         0         0
     122   140205         1         1         1         1         1         1         0         0         0
     123   111005         1         1         1         1         1         1         0         0         0
     124   720101         1         1         1         1         1         1         0         0         0
     125   720101         1         1         1         1         1         1         0         0         0
     126   510503         1         1         1         1         1         1         0         0         0
     127   275209         1         1         1         1         1         1         0         0         0
     128   332008         1         1         1         1         1         1         0         0         0
     129   720101         1         1         1         1         1         1         0         0         0
     130   720101         1         1         1         1         1         1         0         0         0
   11010   110102         1         1         1         1         1         1         0         0         0
   11020   110202         1         1         1         1         1         1         0         0         0
   11030   110304         1         1         1         1         1         1         0         0         0
   11040   110405         1         1         1         1         1         1         0         0         0
   11050   110502         1         1         1         1         1         1         0         0         0
   11060   110611         1         1         1         1         1         1         0         0         0
   11070   110704         1         1         1         1         1         1         0         0         0
   11080   110803         1         1         1         1         1         1         0         0         0
   11090   110902         1         1         1         1         1         1         0         0         0
   11100   111003         1         1         1         1         1         1         0         0         0
   11110   111103         1         1         1         1         1         1         0         0         0
   11120   111203         1         1         1         1         1         1         0         0         0
   11130   111310         1         1         1         1         1         1         0         0         0
   11140   111308         1         1         1         1         1         1         0         0         0
   11150   111501         1         1         1         1         1         1         0         0         0
   11160   111611         1         1         1         1         1         1         0         0         0
   11170   111205         1         1         1         1         1         1         0         0         0
   11180   111801         1         1         1         1         1         1         0         0         0
   11190   111903         1         1         1         1         1         1         0         0         0
   11200   112002         1         1         1         1         1         1         0         0         0
   11210   112102         1         1         1         1         1         1         0         0         0
   11220   112204         1         1         1         1         1         1         0         0         0
   11230   112312         1         1         1         1         1         1         0         0         0
   11240   112408         1         1         1         1         1         1         0         0         0
   11250   112503         1         1         1         1         1         1         0         0         0
   11260   112603         1         1         1         1         1         1         0         0         0
   11270   112702         1         1         1         1         1         1         0         0         0
   11280   112811         1         1         1         1         1         1         0         0         0
   12010   120301         1         1         1         1         1         1         0         0         0
