    line   @hdwyam   @hdwymd   @hdwypm
'002E1 '         0         0        15
'002W1 '         0         0       7.5
'003N1 '         0         0       7.5
'003S1 '         0         0       7.5
'004E1 '         0         0        15
'004E2 '         0         0        60
'004W1 '         0         0        12
'005E1 '         0         0         6
'005W1 '         0         0      5.45
'006E1 '         0         0         6
'006W1 '         0         0      5.45
'007E1 '         0         0        15
'007W1 '         0         0        10
'008E1 '         0         0         6
'008W1 '         0         0         6
'008W2 '         0         0        30
'009E1 '         0         0      8.57
'009E2 '         0         0      8.57
'009W1 '         0         0        10
'009W2 '         0         0        15
'009W3 '         0         0        20
'010N1 '         0         0         5
'010S1 '         0         0         5
'014E1 '         0         0        10
'014W1 '         0         0        10
'015N1 '         0         0        15
'015S1 '         0         0        15
'016E1 '         0         0        10
'016W1 '         0         0        10
'017E1 '         0         0       7.5
'017W1 '         0         0       7.5
'019E1 '         0         0        10
'019W1 '         0         0        12
'020N1 '         0         0       7.5
'020N2 '         0         0        60
'020S1 '         0         0       7.5
'022E1 '         0         0        10
'022E2 '         0         0        12
'022W1 '         0         0        60
'022W2 '         0         0        10
'022W3 '         0         0        60
'022W4 '         0         0        60
'022W5 '         0         0        60
'025E1 '         0         0      6.66
'025W1 '         0         0      6.66
'026E1 '         0         0        15
'026W1 '         0         0        15
'027N1 '         0         0        15
'027S1 '         0         0        15
'028N1 '         0         0        15
'028S1 '         0         0        20
'029N1 '         0         0        15
'029S1 '         0         0        15
'032S1 '         0         0        12
'033E1 '         0         0        10
'033W1 '         0         0        12
'041E1 '         0         0         6
'041W1 '         0         0         6
'041W2 '         0         0        60
'043E1 '         0         0        10
'043W1 '         0         0        12
'044E1 '         0         0        15
'044W1 '         0         0        15
'049E1 '         0         0       7.5
'049E2 '         0         0        60
'049E3 '         0         0        20
'049W1 '         0         0       7.5
'050N1 '         0         0        15
'050S1 '         0         0        15
'084E1 '         0         0      6.66
'084W1 '         0         0      6.66
'097E1 '         0         0       7.5
'097W1 '         0         0       7.5
'099E1 '         0         0         4
'099E2 '         0         0        10
'099W1 '         0         0         4
'100E1 '         0         0        12
'100E2 '         0         0        60
'100W1 '         0         0        12
'100W2 '         0         0        60
'101E1 '         0         0        20
'101W1 '         0         0        20
'104N1 '         0         0        15
'104S1 '         0         0        15
'106E1 '         0         0       7.5
'106W1 '         0         0        10
'110E1 '         0         0        20
'110W1 '         0         0        20
'112E1 '         0         0        15
'112W1 '         0         0        15
'116E1 '         0         0        12
'116W1 '         0         0        15
'123E1 '         0         0        12
'123W1 '         0         0        12
'125S1 '         0         0      8.57
'129E1 '         0         0        12
'129W1 '         0         0        10
'130N1 '         0         0        15
'130N2 '         0         0        15
'130S1 '         0         0        12
'130S2 '         0         0        15
'134E1 '         0         0        30
'134W1 '         0         0        30
'135E1 '         0         0       7.5
'135W1 '         0         0       7.5
'136E1 '         0         0        20
'136W1 '         0         0        20
'143E1 '         0         0        10
'143W1 '         0         0        20
'144N1 '         0         0        12
'144S1 '         0         0        10
'145N1 '         0         0       7.5
'145S1 '         0         0         5
'151E1 '         0         0        20
'151W1 '         0         0        20
'152E1 '         0         0        30
'152E2 '         0         0        30
'152W1 '         0         0        30
'152W2 '         0         0        30
'153E1 '         0         0        30
'153W1 '         0         0        30
'154E1 '         0         0        20
'154W1 '         0         0        20
'155E1 '         0         0        20
'155W1 '         0         0        20
'156E1 '         0         0        30
'156W1 '         0         0        30
'157E1 '         0         0        30
'157W1 '         0         0        30
'159E1 '         0         0        30
'159W1 '         0         0        20
'160E1 '         0         0        20
'160E2 '         0         0        60
'160W1 '         0         0        30
'169E1 '         0         0        12
'169W1 '         0         0        15
'177E1 '         0         0        30
'177E2 '         0         0        20
'177W1 '         0         0        30
'177W2 '         0         0        30
'179N1 '         0         0        30
'179S1 '         0         0        30
'189E1 '         0         0        30
'189W1 '         0         0        30
'190E1 '         0         0        30
'197E1 '         0         0        15
'197W1 '         0         0        15
'210N1 '         0         0        15
'210S1 '         0         0        15
'211E1 '         0         0        12
'211W1 '         0         0        60
'211W2 '         0         0        60
'212E1 '         0         0        30
'212W1 '         0         0        30
'214E1 '         0         0        30
'214E2 '         0         0        30
'214W1 '         0         0        20
'228N1 '         0         0        15
'228S1 '         0         0        15
'229E1 '         0         0        30
'229E2 '         0         0        30
'229E3 '         0         0        30
'229W1 '         0         0        30
'229W2 '         0         0        30
'230N1 '         0         0        15
'230N2 '         0         0        60
