c Emme Modeller - Turn Transaction
c Date: 2016-05-31 15:30:30
c Project:        Combined Itineraries                                        
c Scenario 2100:  2015 MD Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 110107 110108 110108     0      0      0      0
a 110107 110108 110111     0      0      0      0
a 110107 110108 110601    -1      0      0      0
a 110107 110109 110108    -1      0      0      0
a 110107 110109 110111     0      0      0      0
a 110107 110109 110601    -1      0      0      0
a 110107 110601 110108    -1      0      0      0
a 110107 110601 110111    -1      0      0      0
a 110107 110601 110601     0      0      0      0
a 110109 110106 110106     0      0      0      0
a 110109 110106 110107    -1      0      0      0
a 110109 110106 110108    -1      0      0      0
a 110109 110108 110106    -1      0      0      0
a 110109 110108 110107     0      0      0      0
a 110109 110108 110108     0      0      0      0
a 110111 110107 110108     0      0      0      0
a 110111 110107 110110    -1      0      0      0
a 110111 110108 110108     0      0      0      0
a 110111 110108 110110    -1      0      0      0
a 110111 110110 110108    -1      0      0      0
a 110111 110110 110110     0      0      0      0
a 110612 110611 110611     0      0      0      0
a 110612 110611 111002    -1      0      0      0
a 110612 110611 111006    -1      0      0      0
a 110612 111002 110611    -1      0      0      0
a 110612 111002 111002     0      0      0      0
a 110612 111002 111006    -1      0      0      0
a 110612 111006 110611    -1      0      0      0
a 110612 111006 111002     0      0      0      0
a 110612 111006 111006     0      0      0      0
a 110816 110817 110818     0      0      0      0
a 110816 110817 112302    -1      0      0      0
a 110816 110818 110818     0      0      0      0
a 110816 110818 112302    -1      0      0      0
a 110818 110816 110816     0      0      0      0
a 110818 110816 110907     0      0      0      0
a 110818 110816 112305    -1      0      0      0
a 110818 110817 110816    -1      0      0      0
a 110818 110817 110907     0      0      0      0
a 110818 110817 112305    -1      0      0      0
a 110818 110908 110816    -1      0      0      0
a 110818 110908 110907    -1      0      0      0
a 110818 110908 112305    -1      0      0      0
a 110818 112404 110816    -1      0      0      0
a 110818 112404 110907    -1      0      0      0
a 110818 112404 112305    -1      0      0      0
a 111605 111604 111606    -1      0      0      0
a 111605 111604 111607     0      0      0      0
a 111605 111604 111609    -1      0      0      0
a 111605 111606 111606     0      0      0      0
a 111605 111606 111607     0      0      0      0
a 111605 111606 111609    -1      0      0      0
a 111605 111609 111606    -1      0      0      0
a 111605 111609 111607    -1      0      0      0
a 111605 111609 111609     0      0      0      0
a 112307 112304 112306    -1      0      0      0
a 112307 112304 112402    -1      0      0      0
a 112307 112305 112306    -1      0      0      0
a 112307 112305 112402     0      0      0      0
a 112505 112504 112504     0      0      0      0
a 112505 112504 112506    -1      0      0      0
a 112505 112504 112605    -1      0      0      0
a 112505 112506 112504    -1      0      0      0
a 112505 112506 112506     0      0      0      0
a 112505 112506 112605    -1      0      0      0
a 112505 112605 112504    -1      0      0      0
a 112505 112605 112506     0      0      0      0
a 112505 112605 112605     0      0      0      0
a 112801 112802 112802     0      0      0      0
a 112801 112802 112805    -1      0      0      0
a 112801 112802 112806    -1      0      0      0
a 112801 112805 112802     0      0      0      0
a 112801 112805 112805     0      0      0      0
a 112801 112805 112806    -1      0      0      0
a 112801 112806 112802    -1      0      0      0
a 112801 112806 112805    -1      0      0      0
a 112801 112806 112806     0      0      0      0
a 112802 112801 112409    -1      0      0      0
a 112802 112801 112801     0      0      0      0
a 112802 112804 112409    -1      0      0      0
a 112802 112804 112801     0      0      0      0
a 112810 112808 112807     0      0      0      0
a 112810 112808 112812    -1      0      0      0
a 112810 112808 122004    -1      0      0      0
a 112810 112808 122201    -1      0      0      0
a 112810 112812 112807     0      0      0      0
a 112810 112812 112812     0      0      0      0
a 112810 112812 122004    -1      0      0      0
a 112810 112812 122201    -1      0      0      0
a 112810 122004 112807    -1      0      0      0
a 112810 122004 112812    -1      0      0      0
a 112810 122004 122004     0      0      0      0
a 112810 122004 122201    -1      0      0      0
a 112810 122201 112807    -1      0      0      0
a 112810 122201 112812    -1      0      0      0
a 112810 122201 122004    -1      0      0      0
a 112810 122201 122201     0      0      0      0
a 121402  12140  12140     0      0      0      0
a 121402  12140 121401    -1      0      0      0
a 121402  12140 121403    -1      0      0      0
a 121402 121401  12140    -1      0      0      0
a 121402 121401 121401     0      0      0      0
a 121402 121401 121403     0      0      0      0
a 121402 121403  12140    -1      0      0      0
a 121402 121403 121401    -1      0      0      0
a 121402 121403 121403     0      0      0      0
a 121805 121804 121804     0      0      0      0
a 121805 121804 121806    -1      0      0      0
a 121805 121804 122001    -1      0      0      0
a 121805 121806 121804    -1      0      0      0
a 121805 121806 121806     0      0      0      0
a 121805 121806 122001    -1      0      0      0
a 121805 122002 121804    -1      0      0      0
a 121805 122002 121806    -1      0      0      0
a 121805 122002 122001     0      0      0      0
a 122001 120904 120904     0      0      0      0
a 122001 120904 121804    -1      0      0      0
a 122001 121804 120904    -1      0      0      0
a 122001 121804 121804     0      0      0      0
a 122001 121805 120904    -1      0      0      0
a 122001 121805 121804     0      0      0      0
a 122002 121804 121804     0      0      0      0
a 122002 121804 121805     0      0      0      0
a 122002 121804 122003    -1      0      0      0
a 122002 122003 121804    -1      0      0      0
a 122002 122003 121805    -1      0      0      0
a 122002 122003 122003     0      0      0      0
a 122907 122902 122904    -1      0      0      0
a 122907 122902 122906    -1      0      0      0
a 122907 122902 123505    -1      0      0      0
a 122907 122902 123603    -1      0      0      0
a 122907 122906 122904    -1      0      0      0
a 122907 122906 122906     0      0      0      0
a 122907 122906 123505    -1      0      0      0
a 122907 122906 123603    -1      0      0      0
a 122907 123001 122904     0      0      0      0
a 122907 123001 122906    -1      0      0      0
a 122907 123001 123505     0      0      0      0
a 122907 123001 123603     0      0      0      0
a 122907 123602 122904    -1      0      0      0
a 122907 123602 122906    -1      0      0      0
a 122907 123602 123505     0      0      0      0
a 122907 123602 123603    -1      0      0      0
a 123203 123202 123202     0      0      0      0
a 123203 123202 123204    -1      0      0      0
a 123203 123202 132701    -1      0      0      0
a 123203 123204 123202    -1      0      0      0
a 123203 123204 123204     0      0      0      0
a 123203 123204 132701     0      0      0      0
a 123203 132701 123202     0      0      0      0
a 123203 132701 123204    -1      0      0      0
a 123203 132701 132701     0      0      0      0
a 124102 123510 123409    -1      0      0      0
a 124102 123510 123610    -1      0      0      0
a 124102 123514 123409    -1      0      0      0
a 124102 123514 123610    -1      0      0      0
a 124102 124101 123409     0      0      0      0
a 124102 124101 123610    -1      0      0      0
a 130601 130108 130108     0      0      0      0
a 130601 130108 130603    -1      0      0      0
a 130601 130108 130701     0      0      0      0
a 130601 130501 130108    -1      0      0      0
a 130601 130501 130603    -1      0      0      0
a 130601 130501 130701    -1      0      0      0
a 130601 130603 130108    -1      0      0      0
a 130601 130603 130603     0      0      0      0
a 130601 130603 130701    -1      0      0      0
a 131101 130308 130308     0      0      0      0
a 131101 130308 131003    -1      0      0      0
a 131101 130308 131102    -1      0      0      0
a 131101 130308 131103    -1      0      0      0
a 131101 131003 130308    -1      0      0      0
a 131101 131003 131003     0      0      0      0
a 131101 131003 131102    -1      0      0      0
a 131101 131003 131103    -1      0      0      0
a 131101 131102 130308    -1      0      0      0
a 131101 131102 131003     0      0      0      0
a 131101 131102 131102     0      0      0      0
a 131101 131102 131103    -1      0      0      0
a 131101 131202 130308    -1      0      0      0
a 131101 131202 131003    -1      0      0      0
a 131101 131202 131102    -1      0      0      0
a 131101 131202 131103    -1      0      0      0
a 131501 130202 130806    -1      0      0      0
a 131501 130202 131502    -1      0      0      0
a 131501 130202 131504    -1      0      0      0
a 131501 130202 131505    -1      0      0      0
a 131501 131504 130806    -1      0      0      0
a 131501 131504 131502    -1      0      0      0
a 131501 131504 131504     0      0      0      0
a 131501 131504 131505    -1      0      0      0
a 131501 131505 130806    -1      0      0      0
a 131501 131505 131502     0      0      0      0
