t matrices
d mo47
a matrix=mo47 AuAc 0 Auto Accessibility
1000 all:7.83928
1010 all:4.24239
1020 all:7.43086
1030 all:6.44174
1040 all:7.61789
1050 all:13.19874
1060 all:4.87242
1070 all:17.07514
1080 all:12.47441
1090 all:14.41908
1100 all:15.19009
1110 all:16.01781
1150 all:2.73232
1200 all:25.12905
1210 all:28.03151
1220 all:23.11591
1230 all:26.86665
1240 all:31.14152
1250 all:34.55667
1260 all:25.66332
1270 all:27.91054
1280 all:20.77578
1290 all:18.80084
1500 all:13.28733
1510 all:12.28126
1520 all:21.39989
1530 all:9.29505
1540 all:5.73159
1550 all:9.96702
1560 all:11.54345
1570 all:12.63068
1580 all:9.70742
1590 all:12.86393
1600 all:8.32733
1610 all:12.15497
1620 all:17.54730
1630 all:4.81270
1640 all:12.30870
1650 all:17.17727
1660 all:5.73694
1670 all:10.45920
1680 all:4.67521
1690 all:10.77932
1700 all:10.26539
1710 all:6.58967
1900 all:.43595
1910 all:3.14267
1920 all:4.52134
1930 all:7.06468
2000 all:11.22680
2010 all:44.72961
2020 all:59.69496
2030 all:56.52125
2040 all:69.92060
2050 all:147.77528
2060 all:137.38471
2070 all:118.70413
2080 all:204.63067
2090 all:148.62484
2100 all:188.20747
2110 all:273.55761
2120 all:238.82298
2130 all:188.17628
2140 all:288.36352
2150 all:329.81838
2160 all:171.16413
2170 all:267.92449
2180 all:229.24311
2190 all:187.07919
2200 all:199.26544
2210 all:147.42311
2220 all:219.52175
2230 all:187.56538
2240 all:194.25077
2250 all:121.95041
2260 all:114.68099
2270 all:142.19548
2280 all:120.83204
2290 all:174.58148
2300 all:92.67154
2310 all:254.95193
2320 all:260.36639
2330 all:87.45919
2900 all:11.04652
2910 all:12.62135
2920 all:11.84799
3000 all:13.95561
3010 all:18.91423
3020 all:25.39666
3030 all:29.27124
3040 all:27.14118
3050 all:66.09552
3060 all:78.53196
3070 all:68.87494
3080 all:62.39264
3090 all:57.22423
3100 all:63.72045
3110 all:40.39573
3120 all:118.20218
3130 all:176.26620
3140 all:135.97618
3150 all:43.46978
3160 all:78.90154
3170 all:148.71400
3180 all:105.08756
3190 all:45.62506
3200 all:84.63701
3210 all:23.33764
3220 all:21.54894
3230 all:26.97265
3240 all:22.37892
3250 all:27.94252
3260 all:32.91584
3270 all:27.25167
3280 all:31.70253
3290 all:26.50667
3300 all:27.73924
3310 all:30.91967
3320 all:26.70213
3330 all:19.02636
3340 all:21.87304
3350 all:21.15999
3360 all:19.26746
3370 all:28.56974
3380 all:22.13509
3390 all:23.23069
3400 all:16.84840
3410 all:23.23735
3420 all:66.84104
3430 all:133.47270
3440 all:57.00694
3450 all:32.79113
3460 all:39.32563
3470 all:42.58118
3480 all:43.39358
3490 all:44.64590
3500 all:20.66789
3510 all:25.56050
3520 all:28.01791
3530 all:31.14599
3540 all:36.63240
3550 all:27.27028
3560 all:20.07464
3570 all:30.87582
3580 all:31.60860
3590 all:50.00708
3600 all:34.98054
3610 all:32.08631
3620 all:31.21301
3630 all:31.72960
3640 all:36.68006
3650 all:30.93152
3660 all:26.20863
3670 all:26.26443
3680 all:31.46040
3690 all:27.08069
3700 all:35.71989
3710 all:33.73803
3720 all:24.60028
3730 all:26.36927
3740 all:29.46914
3750 all:26.08508
3760 all:35.63457
3770 all:24.94780
3780 all:36.82093
3790 all:19.89442
3800 all:19.82939
3810 all:25.27024
3820 all:37.48189
3830 all:23.68779
3840 all:25.58468
3850 all:26.37254
3860 all:24.94879
3870 all:25.75184
3880 all:24.33364
3890 all:17.94154
3900 all:26.94622
3910 all:21.37769
3920 all:19.18852
3930 all:28.79497
3940 all:20.54224
3950 all:18.46850
3960 all:30.78595
3970 all:26.33497
3980 all:22.74880
3990 all:18.00362
4000 all:17.19625
4010 all:22.53642
4020 all:36.21297
4030 all:39.23721
4040 all:14.36202
4050 all:14.21420
4060 all:22.54618
4070 all:22.75836
4080 all:28.84836
4090 all:20.73163
4100 all:21.95300
4110 all:18.41821
4120 all:17.19117
4130 all:22.20426
4140 all:8.76787
4150 all:11.10216
4160 all:21.29184
4170 all:28.12641
4180 all:24.78216
4190 all:42.77348
4200 all:30.41493
4210 all:26.22342
4220 all:36.54187
4230 all:40.89162
4240 all:66.39067
4250 all:19.03479
4260 all:30.25367
4270 all:22.60149
4280 all:25.42294
4290 all:21.87768
4300 all:26.53883
4310 all:18.91911
4320 all:28.52737
4330 all:85.24532
4340 all:110.97640
4350 all:100.22809
4360 all:26.26065
4370 all:25.39594
4380 all:30.73374
4390 all:24.21470
4400 all:26.78365
4410 all:21.06027
4420 all:16.97062
4430 all:17.63907
4440 all:17.08085
4450 all:21.13105
4460 all:19.48865
4470 all:26.98854
4480 all:28.96662
4490 all:23.09786
4500 all:23.38422
4510 all:13.48870
4520 all:17.55112
4530 all:20.57534
4540 all:15.07012
4550 all:21.18964
4560 all:26.68446
4700 all:20.03652
4710 all:6.62582
4720 all:25.93168
4730 all:26.96735
4740 all:33.98988
4750 all:27.23695
4760 all:30.96496
4770 all:49.58620
4780 all:22.63294
4790 all:22.07658
4800 all:31.35677
4810 all:26.12807
4820 all:19.75790
4830 all:21.43492
4840 all:17.94012
5000 all:3.18689
5010 all:5.56966
5020 all:4.17945
5030 all:5.61185
5040 all:7.10392
5050 all:10.39562
5060 all:10.30676
5070 all:8.00455
5080 all:11.30486
5100 all:15.27617
5110 all:20.94898
5120 all:18.03463
5130 all:20.75841
5140 all:26.52862
5150 all:27.26670
5160 all:12.89407
5170 all:19.36610
5180 all:25.62456
5190 all:33.29241
5200 all:29.79448
5210 all:16.44321
5220 all:9.41762
5230 all:14.77173
5240 all:15.60960
5250 all:17.28960
5260 all:18.43130
5270 all:13.54227
5280 all:19.79336
5290 all:15.14255
5300 all:4.01612
5310 all:6.23113
5320 all:15.35641
5330 all:13.12767
5340 all:17.86850
5350 all:10.97836
5360 all:9.48896
5370 all:17.75395
5380 all:32.45776
5390 all:35.03082
5400 all:6.94316
5410 all:11.90314
5420 all:9.18090
5430 all:7.33824
