Zone,250C11,500C11,WrPr11,OtPk11,BkSc11
Zone,2011_250m_car_share,2011_500m_car_share,2011_work_parking,2011_nonwork_parking,2011_bike_score
1000,0,0,0,0.2,3
1010,0,0,0.3,0.2,3
1020,0,0,0,0,1
1030,0,0,0.3,0.2,2
1040,0,0,0,0.2,3
1050,0,0,0.3,0.2,3
1060,0,0,0.3,0.2,3
1070,0,0,0.3,0.2,3
1080,0,0,0.3,0.2,3
1090,0,0,0.3,0.2,3
1100,0,0,0.3,0.2,3
1110,0,0,0.3,0.2,3
1150,0,0,0.3,0.2,2
1200,0,1,0.35,0.25,2
1210,0,2,0.35,0.25,3
1220,1,1,0.35,0.25,3
1230,1,2,0.35,0.25,3
1240,2,2,0.35,0.25,3
1250,2,2,0.35,0.25,3
1260,1,1,0.35,0.25,3
1270,0,1,0.35,0.25,3
1280,1,2,0.35,0.25,3
1290,0,0,0.25,0.2,4
1500,0,0,0.25,0.2,2
1510,1,1,0.25,0.2,3
1520,1,1,0.25,0.2,3
1530,0,0,0.25,0.2,2
1540,0,0,0,0,2
1550,0,0,0.25,0.2,2
1560,0,0,0.25,0.2,2
1570,1,1,0.25,0.2,2
1580,0,1,0.25,0.2,2
1590,0,0,0.35,0.25,3
1600,0,0,0.35,0.25,3
1610,0,0,0.35,0.25,3
1620,0,0,0.25,0,3
1630,0,0,0,0.2,1
1640,0,0,0.55,0.3,3
1650,0,0,0.25,0.2,3
1660,0,0,0.25,0.2,3
1670,0,0,0.25,0.2,3
1680,0,0,0.25,0.2,2
1690,0,0,0,0.2,2
1700,0,0,0.25,0.2,1
1710,0,0,0.25,0.2,2
1900,0,0,0,0,1
1910,0,0,0.3,0,1
1920,0,0,0,0,1
1930,0,0,0,0,1
2000,2,2,0.35,0.25,4
2010,2,3,0.35,0.25,4
2020,2,3,0.35,0.3,4
2030,2,3,0.45,0.25,5
2040,2,3,0.45,0.25,4
2050,2,3,0.35,0.35,4
2060,2,3,0.45,0.25,4
2070,2,3,0.35,0.25,4
2080,2,3,1.3,0.3,4
2090,2,3,0.6,0.25,4
2100,2,3,0.85,0.4,5
2110,2,3,1.55,0.75,5
2120,2,3,1.9,1,5
2130,2,3,1.35,0.7,4
2140,2,3,1.8,1.05,5
2150,2,3,1.5,0.6,5
2160,2,3,1.65,0.5,5
2170,2,3,0.95,1.1,5
2180,2,3,1.8,1,5
2190,2,3,1.45,0.4,5
2200,2,3,1.7,0.65,5
2210,2,3,1.3,0.55,5
2220,2,3,1.2,0.5,5
2230,2,3,0.35,0.25,5
2240,2,3,0.85,0.25,5
2250,2,3,0.85,0.5,5
2260,1,3,0.5,0.25,5
2270,1,3,0.9,0.6,5
2280,0,3,0.35,0.25,5
2290,2,3,0.85,0.65,5
2300,2,3,0.5,0.4,5
2310,2,3,0.7,0.35,5
2320,2,3,1.45,0.65,5
2330,2,3,0.35,0.45,5
2900,1,2,1.45,0.45,3
2910,2,2,1.05,0.6,3
2920,2,2,0.4,0.35,2
3000,2,3,0.2,0.35,3
3010,1,3,0.4,0.35,3
3020,2,3,0.4,0.35,4
3030,2,3,0.4,0.35,3
3040,2,3,0.4,0.25,3
3050,2,3,0.4,0.35,4
3060,2,3,0.4,0.35,3
3070,2,3,0.45,0.25,4
3080,2,3,0.45,0.25,5
3090,2,3,0.3,0.35,3
3100,2,3,0.45,0.25,3
3110,1,3,0.45,0.25,5
3120,2,3,0.3,0.25,5
3130,2,3,0.45,0.25,5
3140,2,3,0.45,0.25,5
3150,1,3,0.3,0.25,5
3160,2,3,0.3,0.25,5
3170,2,3,0.45,0.25,3
3180,2,3,0.45,0.25,3
3190,2,3,0.45,0.25,3
3200,2,3,0.45,0.25,3
3210,1,2,0.3,0.25,3
3220,0,2,0.4,0.25,3
3230,0,2,0.4,0.35,3
3240,0,1,0.3,0.35,3
3250,0,2,0.4,0.35,3
3260,0,1,0.4,0.25,3
3270,0,2,0.4,0.35,3
3280,1,3,0.4,0.35,3
3290,0,2,0,0.25,3
3300,2,3,0.4,0.35,3
3310,2,3,0.45,0.25,3
3320,0,2,0.3,0.25,3
3330,0,0,0.2,0.35,3
3340,1,1,0.2,0.25,3
3350,1,1,0.4,0.35,4
3360,1,1,0,0.25,3
3370,0,0,0.3,0.25,4
3380,0,0,0.4,0.35,3
3390,1,1,0.4,0.25,3
3400,1,1,0.2,0.25,3
3410,1,1,0.2,0.25,3
3420,0,1,0.3,0.25,3
3430,1,2,0.45,0.25,3
3440,1,2,0.3,0.25,3
3450,1,2,0.3,0.25,3
3460,2,3,0.3,0.25,3
3470,1,2,0.3,0.25,4
3480,2,3,0.2,0.25,4
3490,2,3,0.3,0.35,4
3500,1,2,0.3,0.25,4
3510,1,2,0.3,0.35,4
3520,2,3,0.4,0.35,3
3530,1,3,0.2,0.25,3
3540,1,1,0.3,0.25,3
3550,0,1,0.3,0.35,3
3560,0,0,0.4,0.25,3
3570,0,1,0.4,0.35,3
3580,1,1,0.3,0.25,3
3590,2,3,0.3,0.25,4
3600,1,2,0.3,0.25,3
3610,1,2,0.2,0.25,3
3620,1,2,0.4,0.25,4
3630,1,2,0.45,0.25,4
3640,2,3,0.3,0.25,4
3650,1,3,0.3,0.25,4
3660,1,2,0.4,0.35,4
3670,0,2,0,0.35,4
3680,2,3,0.2,0.35,3
3690,0,1,0.4,0.35,4
3700,1,3,0.4,0.25,4
3710,0,1,0.4,0.35,4
3720,0,1,0.4,0.35,3
3730,1,1,0.2,0.25,4
3740,0,1,0.2,0.25,4
3750,0,0,0.4,0.25,4
3760,1,1,0.3,0.25,4
3770,0,1,0.3,0.25,4
3780,0,0,0.4,0.25,4
3790,0,0,0.2,0.25,4
3800,2,2,0.45,0.25,4
3810,2,2,0.3,0.25,4
3820,0,2,0.2,0.35,4
3830,1,1,0.45,0.25,4
3840,0,1,0.45,0.25,4
3850,1,1,0.2,0.25,4
3860,1,1,0.2,0.25,3
3870,0,0,0.4,0.35,4
3880,0,0,0.2,0.25,4
3890,0,0,0.4,0.25,4
3900,0,0,0.2,0.25,3
3910,0,0,0.2,0.25,3
3920,0,0,0,0,5
3930,0,0,0.2,0.25,3
3940,0,0,0.3,0.25,3
3950,0,0,0.2,0,5
3960,0,0,0.4,0.25,3
3970,0,0,0.2,0.25,3
3980,0,0,0.2,0.35,3
3990,0,0,0,0.25,5
4000,1,1,0.25,0.2,3
4010,1,1,0.35,0.15,3
4020,1,1,0.25,0.15,3
4030,1,1,0.35,0.15,3
4040,1,1,0.25,0.2,3
4050,0,0,0.25,0.2,3
4060,1,1,0.25,0.15,3
4070,1,1,0.35,0.15,3
4080,1,1,0.25,0.15,3
4090,0,0,0.25,0.2,3
4100,0,0,0.35,0.15,3
4110,0,0,0.25,0.2,3
4120,0,0,0.25,0.2,3
4130,0,0,0.25,0.2,3
4140,1,1,1.4,0.6,3
4150,0,0,0.25,0.15,4
4160,0,0,0.25,0.15,4
4170,0,0,0.35,0.15,3
4180,0,0,0,0.15,3
4190,1,1,0.25,0.2,3
4200,0,1,0.25,0.2,3
4210,0,0,0.25,0.2,3
4220,1,1,0.35,0.15,3
4230,1,2,0.35,0.15,3
4240,1,2,0.35,0.15,3
4250,0,0,0.35,0,2
4260,0,1,0.25,0.15,2
4270,0,0,0.25,0.2,2
4280,0,1,0.35,0.15,2
4290,0,0,0.25,0.15,3
4300,0,0,0.25,0.2,3
4310,0,0,0.25,0.2,2
4320,0,1,0.35,0.15,3
4330,1,2,0.35,0.15,3
4340,2,2,0.35,0.15,3
4350,2,2,0.25,0.15,3
4360,0,0,0.25,0.15,3
4370,0,1,0.25,0.15,3
4380,0,1,0.25,0.15,3
4390,0,0,0.25,0.15,2
4400,1,1,0.35,0.15,2
4410,0,0,0.25,0.2,2
4420,0,0,0.25,0.15,2
4430,0,0,0.25,0.2,4
4440,0,0,0.25,0.2,4
4450,0,0,0.35,0.15,3
4460,0,1,0.25,0.2,3
4470,1,1,0.25,0.15,3
4480,1,1,0.25,0.15,3
4490,1,1,0.25,0.15,3
4500,0,1,0.25,0.15,3
4510,0,0,0.25,0.15,3
4520,0,0,0,0,3
4530,0,0,0.25,0.2,3
4540,0,0,0,0,3
4550,1,1,0.25,0.15,4
4560,1,1,0,0.15,4
4700,1,1,0.25,0.2,3
4710,0,1,0.25,0.2,2
4720,1,1,0.25,0.2,3
4730,0,1,0,0.15,3
4740,0,1,0.35,0.15,3
4750,1,1,0.25,0.15,3
4760,1,1,0.25,0.15,3
4770,1,1,0.35,0.15,3
4780,0,0,0,0.2,3
4790,0,1,0.25,0.15,3
4800,1,1,0.25,0.15,3
4810,0,0,0.25,0.2,3
4820,0,0,0.25,0.15,3
4830,1,1,0.25,0.2,4
4840,1,1,0,0.2,3
5000,0,0,0,0,1
5010,0,0,0.2,0.15,1
5020,0,0,0,0,1
5030,0,0,0,0,1
5040,0,0,0.2,0.15,2
5050,0,0,0.25,0.2,2
5060,0,0,0.25,0.2,2
5070,0,0,0.2,0.15,3
5080,0,0,0.25,0.2,4
5100,0,0,0.2,0.15,1
5110,0,0,0.2,0.15,1
5120,1,1,0.25,0.2,1
5130,0,1,0,0,2
5140,1,1,0.25,0.2,2
5150,1,1,0.25,0.2,1
5160,0,0,0.2,0.15,2
5170,0,0,0.2,0.15,2
5180,0,0,0.2,0.15,2
5190,0,0,0,0.15,1
5200,0,0,0,0.15,2
5210,0,0,0,0.15,2
5220,0,0,0.2,0.15,1
5230,0,0,0.2,0.15,2
5240,0,0,0.2,0.15,3
5250,0,0,0,0.15,2
5260,0,0,0.2,0.15,2
5270,0,0,0.25,0.2,1
5280,0,0,0.25,0.2,1
5290,0,0,0.2,0.15,1
5300,0,0,0,0,2
5310,0,0,0,0,2
5320,0,0,0.25,0.2,2
5330,0,0,0.25,0.2,2
5340,0,0,0.25,0.2,3
5350,0,0,0.25,0.2,2
5360,0,0,0.25,0.2,3
5370,0,0,0.25,0.2,2
5380,0,0,0.25,0.2,2
5390,0,0,0.25,0.2,2
5400,0,0,0.25,0.2,3
5410,0,0,0.25,0.2,2
5420,0,0,0.2,0.15,2
5430,0,0,0,0,2
5440,0,0,0,0,2
5450,0,0,0,0,2
5460,0,0,0,0,2
5500,0,0,0.25,0.2,1
