GU,senprop_gt20pcnt,HH size,0 worker,1 worker,2 worker,3+ worker,3+adjust
1,0,1,0.425334072,0.574665928,0,0,3.28
1,0,2,0.494266401,0.151762561,0.353971039,0,3.28
1,0,3,0.049350629,0.277715114,0.444344182,0.228590075,3.28
1,0,4,0.032902893,0.370314665,0.444377598,0.152404843,3.28
1,1,1,0.581746137,0.418253863,0,0,3.28
1,1,2,0.504500579,0.268377798,0.227121623,0,3.28
1,1,3,0.081070869,0.303968484,0.364797444,0.250163203,3.28
1,1,4,0.032902893,0.370314665,0.444377598,0.152404843,3.28
2,0,1,0.475518069,0.524481931,0,0,3.28
2,0,2,0.262962744,0.278368703,0.458668553,0,3.28
2,0,3,0.053209048,0.242548084,0.533624705,0.170618162,3.28
2,0,4,0.012583682,0.202564328,0.494392777,0.290459214,3.28
2,1,1,0.475518069,0.524481931,0,0,3.28
2,1,2,0.262962744,0.278368703,0.458668553,0,3.28
2,1,3,0.053209048,0.242548084,0.533624705,0.170618162,3.28
2,1,4,0.012583682,0.202564328,0.494392777,0.290459214,3.28
5,0,1,0.392,0.608,0,0,3.28
5,0,2,0.3238,0.2598,0.4164,0,3.28
5,0,3,0.0871,0.3065,0.4516,0.1548,3.28
5,0,4,0.0325,0.2512,0.5093,0.207,3.28
5,1,1,0.392,0.608,0,0,3.28
5,1,2,0.3238,0.2598,0.4164,0,3.28
5,1,3,0.0871,0.3065,0.4516,0.1548,3.28
5,1,4,0.0325,0.2512,0.5093,0.207,3.28
6,0,1,0.370298745,0.629701255,0,0,3.28
6,0,2,0.284474144,0.285270126,0.43025573,0,3.28
6,0,3,0.044111566,0.255306884,0.487188507,0.213393043,3.28
6,0,4,0.013386709,0.206437487,0.486183221,0.293992583,3.28
6,1,1,0.370298745,0.629701255,0,0,3.28
6,1,2,0.284474144,0.285270126,0.43025573,0,3.28
6,1,3,0.044111566,0.255306884,0.487188507,0.213393043,3.28
6,1,4,0.013386709,0.206437487,0.486183221,0.293992583,3.28
7,0,1,0.438662613,0.561337387,0,0,3.28
7,0,2,0.311798163,0.319643808,0.36855803,0,3.28
7,0,3,0.072076205,0.319137132,0.443176193,0.16561047,3.28
7,0,4,0.037803466,0.239594703,0.402497136,0.320104695,3.28
7,1,1,0.438662613,0.561337387,0,0,3.28
7,1,2,0.311798163,0.319643808,0.36855803,0,3.28
7,1,3,0.072076205,0.319137132,0.443176193,0.16561047,3.28
7,1,4,0.037803466,0.239594703,0.402497136,0.320104695,3.28
8,0,1,0.560054101,0.439945899,0,0,3.28
