source,car_model11_78rw.F12,,,,,,,,,,,,,
1bias,2.696828033,,,,,,,,,,,,,
lowinc0,1.388078266,,,,,,,,,,,,,
lowinc1,0.449917394,,,,,,,,,,,,,
hiinc0,-1.67908368,,,,,,,,,,,,,
hiinc1,-0.799760907,,,,,,,,,,,,,
hiinc2,-0.363799833,,,,,,,,,,,,,
traccc0,0.14397241,,,,,,,,,,,,,
traccc1,0.109618997,,,,,,,,,,,,,
dens_c0,0.003884325,,,,,,,,,,,,,
dens_c2,-0.008875319,,,,,,,,,,,,,
crsh2501,0.330609173,,,,,,,,,,,,,
crsh500p0,0.389695563,,,,,,,,,,,,,
sen20c0,0.47058175,,,,,,,,,,,,,
sen20c1,0.309245104,,,,,,,,,,,,,
sen25c0,0.641420054,,,,,,,,,,,,,
sen25c1,0.41810309,,,,,,,,,,,,,
lrg_c1,0.990137635,,,,,,,,,,,,,
lrg_c2,1.805050808,,,,,,,,,,,,,
lrg_c3,2.51517841,,,,,,,,,,,,,
Beta00199,-0.608652863,,,,,,,,,,,,,
cbd_c0l,0.351686387,,,,,,,,,,,,,
cbd_c1h,-0.597631204,,,,,,,,,,,,,
van_c0,0.260573824,,,,,,,,,,,,,
van_c3,-0.209820107,,,,,,,,,,,,,
rur_c3,0.371368754,,,,,,,,,,,,,
burn_c0,0.756678159,,,,,,,,,,,,,
burn_c1,0.518375217,,,,,,,,,,,,,
burn_c2,0.24424242,,,,,,,,,,,,,
crsh500p3,-0.354423011,,,,,,,,,,,,,
wrkr0_c0,0.31641966,,,,,,,,,,,,,
wrkr3_c2,-0.639681135,,,,,,,,,,,,,
wrkr0_c2,-0.166628746,,,,,,,,,,,,,
wrkr3_c1,-0.742072532,,,,,,,,,,,,,
dens_c3,-0.015878752,,,,,,,,,,,,,
crsh2500l,0.857565279,,,,,,,,,,,,,
crsh2500h,1.136806967,,,,,,,,,,,,,
theta1,0.877129988,,,,,,,,,,,,,
GY_list,gy1,gy2,gy3,gy4,gy5,gy6,gy7,gy8,gy9,gy10,gy11,gy12,gy13,gy14
2bias,1.802216083,1.952216083,2.502216083,2.502216083,2.502216083,1.502216083,2.502216083,2.352216083,2.352216083,2.352216083,1.302216083,1.302216083,2.002216083,2.502216083
3bias,-0.576420186,-0.076420186,-0.076420186,-0.076420186,-0.076420186,-0.076420186,-0.076420186,-0.076420186,-0.076420186,-0.076420186,-0.076420186,-0.576420186,-0.576420186,-0.076420186
wrkr2_c23,0.37251253,0.67251253,0.87251253,0.87251253,0.87251253,0.67251253,0.87251253,0.67251253,0.67251253,0.67251253,0.37251253,0.37251253,0.27251253,0.67251253
wrkrs_c3,0.37744868,0.57744868,0.72744868,0.72744868,0.72744868,0.57744868,0.72744868,0.57744868,0.57744868,0.57744868,0.37744868,0.37744868,0.27744868,0.57744868
