c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
   gu01    all  7568.094
   gu02    all  12941.92
   gu05    all  20806.68
   gu06    all   14719.5
   gu07    all  14731.34
   gu08    all  4393.747
   gu09    all  24724.37
   gu10    all  11702.26
   gu11    all  7570.284
   gu12    all  11240.55
   gu13    all  5591.506
   gu14    all  24205.47
   gu16    all   7335.17
   gu21    all  11406.46
   gu22    all  3168.539
   gu23    all  5691.101
   gu24    all  12319.67
   gu25    all  25102.79
a matrix=mo55   s-1--   0.0 Segment W1                              
   gu01    all  7492.769
   gu02    all  18285.49
   gu05    all  32622.64
   gu06    all  27411.46
   gu07    all  24498.54
   gu08    all  5651.913
   gu09    all  48104.71
   gu10    all   10575.2
   gu11    all  11560.57
   gu12    all  15962.79
   gu13    all  4593.626
   gu14    all  21841.74
   gu16    all  12556.16
   gu21    all  31860.34
   gu22    all  5635.125
   gu23    all  9454.023
   gu24    all  21815.68
   gu25    all  57180.68
a matrix=mo56   s-2--   0.0 Segment W2                              
   gu01    all   5812.12
   gu02    all  19768.47
   gu05    all  29957.92
   gu06    all  30257.32
   gu07    all  22428.35
   gu08    all  6033.949
   gu09    all  53533.86
   gu10    all  12372.49
   gu11    all   12791.2
   gu12    all  16575.52
   gu13    all  7061.559
   gu14    all   28519.1
   gu16    all  10367.29
   gu21    all  10819.68
   gu22    all  3447.391
   gu23    all  5107.215
   gu24    all  16752.13
   gu25    all  44613.58
a matrix=mo57   s-3--   0.0 Segment W3+                             
   gu01    all  1578.016
   gu02    all  5474.116
   gu05    all  6984.752
   gu06    all  10547.72
   gu07    all  9090.767
   gu08    all   2268.39
   gu09    all  23982.07
   gu10    all  2368.053
   gu11    all  4322.944
   gu12    all  6771.141
   gu13    all  2786.959
   gu14    all  10857.71
   gu16    all   1558.38
   gu21    all  597.5239
   gu22    all  395.9448
   gu23    all  768.6607
   gu24    all  3318.521
   gu25    all  11687.96
a matrix=mo58  Wk3Adj   0.0 Adjustment 3+ Num Workers               
   gu01    all     55.76
   gu02    all    111.52
   gu05    all    186.96
   gu06    all    219.76
   gu07    all       164
   gu08    all      65.6
   gu09    all    321.44
   gu10    all     75.44
   gu11    all     78.72
   gu12    all    177.12
   gu13    all     72.16
   gu14    all    141.04
   gu16    all      49.2
