c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
   gy01    all  7568.094
   gy02    all  12941.92
   gy03    all  12653.38
   gy04    all  45035.18
   gy05    all  28141.86
   gy06    all   14719.5
   gy07    all  14731.34
   gy08    all  4393.747
   gy09    all  24724.37
   gy10    all  11702.26
   gy11    all  7570.284
   gy12    all  11240.55
   gy13    all  5591.506
   gy14    all  24205.47
a matrix=mo55   s-1--   0.0 Segment W1                              
   gy01    all  7492.769
   gy02    all  18285.49
   gy03    all  34040.83
   gy04    all  91905.02
   gy05    all  45178.81
   gy06    all  27411.46
   gy07    all  24498.54
   gy08    all  5651.913
   gy09    all  48104.71
   gy10    all   10575.2
   gy11    all  11560.57
   gy12    all  15962.79
   gy13    all  4593.626
   gy14    all  21841.74
a matrix=mo56   s-2--   0.0 Segment W2                              
   gy01    all   5812.12
   gy02    all  19768.47
   gy03    all  12107.44
   gy04    all  68632.55
   gy05    all  40325.21
   gy06    all  30257.32
   gy07    all  22428.35
   gy08    all  6033.949
   gy09    all  53533.86
   gy10    all  12372.49
   gy11    all   12791.2
   gy12    all  16575.52
   gy13    all  7061.559
   gy14    all   28519.1
a matrix=mo57   s-3--   0.0 Segment W3+                             
   gy01    all  1578.016
   gy02    all  5474.116
   gy03    all  725.3578
   gy04    all  16043.26
   gy05    all  8543.132
   gy06    all  10547.72
   gy07    all  9090.767
   gy08    all   2268.39
   gy09    all  23982.07
   gy10    all  2368.053
   gy11    all  4322.944
   gy12    all  6771.141
   gy13    all  2786.959
   gy14    all  10857.71
a matrix=mo58  Wk3Adj   0.0 Adjustment 3+ Num Workers               
   gy01    all     55.76
   gy02    all    111.52
   gy03    all    111.54
   gy04    all    349.17
   gy05    all    236.16
   gy06    all    219.76
   gy07    all       164
   gy08    all      65.6
   gy09    all    321.44
   gy10    all     75.44
   gy11    all     78.72
   gy12    all    177.12
   gy13    all     72.16
   gy14    all    141.04
a matrix=mo61   s10--   0.0 Segment H1W0                            
   gy01    all  3370.131
   gy02    all  7565.018
   gy03    all  8339.289
   gy04    all  25844.71
   gy05    all  14465.49
   gy06    all  6616.867
   gy07    all  6470.712
   gy08    all  2225.095
   gy09    all  11977.61
   gy10    all  5646.809
   gy11    all  3801.972
   gy12    all  5654.628
   gy13    all  2992.578
   gy14    all  12561.84
a matrix=mo62   s11--   0.0 Segment H1W1                            
   gy01    all  2944.869
   gy02    all  8343.982
   gy03    all  22756.71
   gy04    all  49949.29
   gy05    all  22758.51
   gy06    all  11252.13
   gy07    all  8280.287
   gy08    all  1747.905
   gy09    all   17460.4
   gy10    all  3975.191
   gy11    all  4178.029
   gy12    all  6504.372
   gy13    all  1707.622
   gy14    all  8543.836
a matrix=mo63   s20--   0.0 Segment H2W0                            
   gy01    all  3810.736
   gy02    all   4722.81
   gy03    all  3584.969
   gy04    all  15195.37
   gy05    all  11126.69
   gy06    all  7084.828
   gy07    all  6426.784
   gy08    all  1919.992
   gy09    all  11043.19
   gy10    all  4762.199
   gy11    all  3283.537
   gy12    all   5104.03
   gy13    all  2256.853
   gy14    all  10698.73
a matrix=mo64   s21--   0.0 Segment H2W1                            
   gy01    all  1646.204
   gy02    all  4999.501
   gy03    all  7207.966
   gy04    all  20476.66
   gy05    all  9920.915
   gy06    all  7104.652
   gy07    all  6588.499
   gy08    all  1696.764
   gy09    all  14178.28
   gy10    all  2818.165
   gy11    all  3307.523
   gy12    all  4718.454
   gy13    all  1663.749
   gy14    all  6590.397
a matrix=mo65   s22--   0.0 Segment H2W2                            
   gy01    all  2166.061
   gy02    all  8237.688
   gy03    all  8415.065
   gy04    all  31529.97
   gy05    all   17123.4
   gy06    all  10715.52
   gy07    all  7596.717
   gy08    all  2175.243
   gy09    all  17706.53
   gy10    all  3502.636
   gy11    all   5067.94
   gy12    all  6794.517
   gy13    all  3124.968
   gy14    all  11572.94
a matrix=mo66   s30--   0.0 Segment H3W0                            
   gy01    all  212.2834
   gy02    all  484.2024
   gy03    all  332.7813
   gy04    all  2022.713
   gy05    all  1684.201
   gy06    all  689.3756
   gy07    all  1043.375
   gy08    all   141.503
   gy09    all  753.4387
   gy10    all  715.8045
   gy11    all  249.5777
   gy12    all  228.4365
   gy13    all  204.2981
   gy14    all  565.0237
a matrix=mo67   s31--   0.0 Segment H3W1                            
   gy01    all  932.7333
   gy02    all  2207.188
   gy03    all  2590.253
   gy04    all  10816.26
   gy05    all  6213.694
   gy06    all  3989.936
   gy07    all  4619.829
   gy08    all  945.1139
   gy09    all  6288.279
   gy10    all  1549.826
   gy11    all  1702.048
   gy12    all   2132.15
   gy13    all  544.8682
   gy14    all   2551.96
a matrix=mo68   s32--   0.0 Segment H3W2                            
   gy01    all  1283.304
   gy02    all  4855.985
   gy03    all  2005.395
   gy04    all  15383.96
   gy05    all  9383.347
   gy06    all  7613.782
   gy07    all  6415.418
   gy08    all  1334.445
   gy09    all  11627.96
   gy10    all  2347.847
   gy11    all  3130.453
   gy12    all  3222.513
   gy13    all   1239.34
   gy14    all  5767.295
a matrix=mo69   s33--   0.0 Segment H3W3                            
   gy01    all  767.6797
   gy02    all  1552.626
   gy03    all  385.5704
   gy04    all  3970.072
   gy05    all  3131.759
   gy06    all  3334.906
   gy07    all  2397.377
   gy08    all  555.9384
   gy09    all  6154.327
   gy10    all  832.5234
   gy11    all  1308.921
   gy12    all    2426.9
   gy13    all  1082.543
   gy14    all  3388.582
a matrix=mo70   s40--   0.0 Segment H4+W0                           
   gy01    all  174.9447
   gy02    all  169.8923
   gy03    all  396.3371
   gy04    all  1972.384
   gy05    all  865.4729
   gy06    all  328.4296
   gy07    all  790.4705
   gy08    all  107.1567
   gy09    all  950.1281
   gy10    all  577.4488
   gy11    all  235.1977
   gy12    all  253.4528
   gy13    all  137.7761
   gy14    all  379.8768
a matrix=mo71   s41--   0.0 Segment H4+W1                           
   gy01    all  1968.963
   gy02    all  2734.821
   gy03    all  1485.895
   gy04    all  10662.82
   gy05    all  6285.687
   gy06    all  5064.738
   gy07    all  5009.925
   gy08    all   1262.13
   gy09    all  10177.76
   gy10    all  2232.018
   gy11    all  2372.968
   gy12    all  2607.816
   gy13    all  677.3876
   gy14    all  4155.546
a matrix=mo72   s42--   0.0 Segment H4+W2                           
   gy01    all  2362.756
   gy02    all  6674.797
   gy03    all  1686.981
   gy04    all  21718.62
   gy05    all  13818.47
   gy06    all  11928.02
   gy07    all  8416.215
   gy08    all  2524.261
   gy09    all  24199.37
   gy10    all  6522.004
   gy11    all  4592.811
   gy12    all  6558.491
   gy13    all  2697.251
   gy14    all  11178.86
a matrix=mo73   s43--   0.0 Segment H4+W3+                          
   gy01    all  810.3364
   gy02    all   3921.49
   gy03    all  339.7874
   gy04    all  12073.18
   gy05    all  5411.373
   gy06    all  7212.815
   gy07    all  6693.389
   gy08    all  1712.452
   gy09    all  17827.75
   gy10    all   1535.53
   gy11    all  3014.023
   gy12    all  4344.241
   gy13    all  1704.416
   gy14    all  7469.127
a matrix=mo74   s101-   0.0 Segment H1W0L                           
   gy01    all  1527.006
   gy02    all   3427.71
   gy03    all  5614.313
   gy04    all  15485.74
   gy05    all  7819.082
   gy06    all  3960.195
   gy07    all   3588.01
   gy08    all  1011.306
   gy09    all  6358.911
   gy10    all   2433.21
   gy11    all   2275.48
   gy12    all  2992.429
   gy13    all  1791.058
   gy14    all  7903.907
a matrix=mo75   s111-   0.0 Segment H1W1L                           
   gy01    all  843.4106
   gy02    all  2389.717
   gy03    all  8149.215
   gy04    all  16475.34
   gy05    all  6842.392
   gy06    all   3140.47
   gy07    all  2229.881
   gy08    all  295.9203
   gy09    all  5419.707
   gy10    all  836.3803
   gy11    all  1166.088
   gy12    all  1442.019
   gy13    all  476.5972
   gy14    all  2748.552
a matrix=mo76   s201-   0.0 Segment H2W0L                           
   gy01    all    1391.3
   gy02    all  1724.298
   gy03    all  1908.653
   gy04    all   8069.58
   gy05    all  7233.368
   gy06    all  3832.892
   gy07    all  3458.253
   gy08    all  841.1486
   gy09    all  5754.608
   gy10    all  2005.362
   gy11    all  1776.394
   gy12    all  2424.925
   gy13    all  1220.958
   gy14    all   6152.84
a matrix=mo77   s211-   0.0 Segment H2W1L                           
   gy01    all  685.8085
   gy02    all  2082.792
   gy03    all  3617.246
   gy04    all   10676.9
   gy05    all  5892.099
   gy06    all  3118.232
   gy07    all  3160.503
   gy08    all  644.2612
   gy09    all  5956.294
   gy10    all  902.0947
   gy11    all  1451.672
   gy12    all  1927.488
   gy13    all  730.2193
   gy14    all  3351.217
a matrix=mo78   s221-   0.0 Segment H2W2L                           
