c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 15:45:21
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo161   p1-10   0.0 ProducWkLA0                             
   gu01    all  292.1976
   gu02    all  1566.925
   gu05    all  5687.027
   gu06    all  2097.253
   gu07    all  2215.815
   gu08    all  222.5853
   gu09    all  3727.017
   gu10    all  612.3939
   gu11    all  656.6233
   gu12    all  1298.791
   gu13    all  391.7016
   gu14    all  1767.661
   gu16    all  2038.241
   gu21    all  5022.228
   gu22    all  2527.534
   gu23    all  1572.452
   gu24    all  2747.003
   gu25    all  11601.07
a matrix=mo162   p1-20   0.0 ProducWkMA0                             
   gu01    all  520.3001
   gu02    all  2838.176
   gu05    all  6915.209
   gu06    all  2930.131
   gu07    all   2051.93
   gu08    all  345.7142
   gu09    all  5123.446
   gu10    all  720.2322
   gu11    all  1235.605
   gu12    all  1987.491
   gu13    all  591.1795
   gu14    all  1902.812
   gu16    all  3102.549
   gu21    all     12416
   gu22    all  2168.626
   gu23    all  2749.677
   gu24    all  3834.297
   gu25    all  17142.78
a matrix=mo163   p1-30   0.0 ProducWkHA0                             
   gu01    all  205.7831
   gu02    all  1154.018
   gu05    all   1914.75
   gu06    all  925.5317
   gu07    all  443.1926
   gu08    all   163.744
   gu09    all  1090.412
   gu10    all  331.8943
   gu11    all  320.8756
   gu12    all  495.1012
   gu13    all  105.9177
   gu14    all  298.1965
   gu16    all  871.1316
   gu21    all  5287.654
   gu22    all  315.6837
   gu23    all  1122.582
   gu24    all  1610.965
   gu25    all  5176.921
a matrix=mo164   p1-11   0.0 ProducWkLA1                             
   gu01    all  1342.603
   gu02    all  4219.738
   gu05    all   12376.8
   gu06    all  9766.547
   gu07    all  9540.296
   gu08    all  1073.426
   gu09    all   17195.7
   gu10    all  2608.789
   gu11    all  3430.273
   gu12    all  6163.987
   gu13    all  1943.411
   gu14    all  7924.574
   gu16    all  4025.138
   gu21    all  2602.861
   gu22    all  2065.922
   gu23    all  1658.182
   gu24    all  5038.166
   gu25    all  17311.45
a matrix=mo165   p1-21   0.0 ProducWkMA1                             
   gu01    all  5197.403
   gu02    all  16024.53
   gu05    all  32186.24
   gu06    all  31051.74
   gu07    all  18644.39
   gu08    all   3650.32
   gu09    all  52818.15
   gu10    all  7301.829
   gu11    all  14835.71
   gu12    all   22792.4
   gu13    all   6832.75
   gu14    all  19483.55
