c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 15:45:21
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo161   p1-10   0.0 ProducWkLA0                             
   gy01    all  292.1976
   gy02    all  1566.925
   gy03    all  5845.394
   gy04    all  17624.89
   gy05    all  7725.268
   gy06    all  2097.253
   gy07    all  2215.815
   gy08    all  222.5853
   gy09    all  3727.017
   gy10    all  612.3939
   gy11    all  656.6233
   gy12    all  1298.791
   gy13    all  391.7016
   gy14    all  1767.661
a matrix=mo162   p1-20   0.0 ProducWkMA0                             
   gy01    all  520.3001
   gy02    all  2838.176
   gy03    all  13284.49
   gy04    all  25026.89
   gy05    all  10017.76
   gy06    all  2930.131
   gy07    all   2051.93
   gy08    all  345.7142
   gy09    all  5123.446
   gy10    all  720.2322
   gy11    all  1235.605
   gy12    all  1987.491
   gy13    all  591.1795
   gy14    all  1902.812
a matrix=mo163   p1-30   0.0 ProducWkHA0                             
   gy01    all  205.7831
   gy02    all  1154.018
   gy03    all  5414.146
   gy04    all  8099.659
   gy05    all  2785.882
   gy06    all  925.5317
   gy07    all  443.1926
   gy08    all   163.744
   gy09    all  1090.412
   gy10    all  331.8943
   gy11    all  320.8756
   gy12    all  495.1012
   gy13    all  105.9177
   gy14    all  298.1965
a matrix=mo164   p1-11   0.0 ProducWkLA1                             
   gy01    all  1342.603
   gy02    all  4219.738
   gy03    all   3142.07
   gy04    all  25534.51
   gy05    all  16401.94
   gy06    all  9766.547
   gy07    all  9540.296
   gy08    all  1073.426
   gy09    all   17195.7
   gy10    all  2608.789
   gy11    all  3430.273
   gy12    all  6163.987
   gy13    all  1943.411
   gy14    all  7924.574
a matrix=mo165   p1-21   0.0 ProducWkMA1                             
   gy01    all  5197.403
   gy02    all  16024.53
   gy03    all  21914.69
   gy04    all  78589.82
   gy05    all  45522.71
   gy06    all  31051.74
   gy07    all  18644.39
   gy08    all   3650.32
   gy09    all  52818.15
   gy10    all  7301.829
   gy11    all  14835.71
   gy12    all   22792.4
   gy13    all   6832.75
   gy14    all  19483.55
a matrix=mo166   p1-31   0.0 ProducWkHA1                             
   gy01    all  4700.934
   gy02    all  13717.51
   gy03    all  18103.96
   gy04    all  52288.17
   gy05    all  24471.34
   gy06    all  19429.48
   gy07    all  8048.623
   gy08    all   3483.73
   gy09    all  22772.62
   gy10    all  6821.893
   gy11    all  7657.869
   gy12    all  11423.81
   gy13    all  2481.486
   gy14    all    6142.9
a matrix=mo167   p1-12   0.0 ProducWkLA2                             
   gy01    all  453.0357
   gy02    all  1647.674
   gy03    all  210.7544
   gy04    all  9419.693
   gy05    all  7544.606
   gy06    all  3218.695
   gy07    all  7873.219
   gy08    all  758.4142
   gy09    all  12564.35
   gy10    all  1377.301
   gy11    all  918.7248
   gy12    all   1347.82
   gy13    all  1020.248
   gy14    all  7403.814
a matrix=mo168   p1-22   0.0 ProducWkMA2                             
   gy01    all  2864.262
   gy02    all     10921
   gy03    all   2510.49
   gy04    all  49729.57
   gy05    all  35302.82
   gy06    all  17978.94
   gy07    all  26119.75
   gy08    all  5050.993
   gy09    all  70622.85
   gy10    all  8737.599
   gy11    all  6676.363
   gy12    all  10094.24
   gy13    all  6125.903
   gy14    all  33179.93
a matrix=mo169   p1-32   0.0 ProducWkHA2                             
   gy01    all  4505.402
   gy02    all  15251.36
   gy03    all    5237.2
   gy04    all  50821.55
   gy05    all  27771.04
   gy06    all  17506.75
   gy07    all  17019.44
   gy08    all    7282.3
   gy09    all   45504.7
   gy10    all  12164.11
   gy11    all  5265.582
   gy12    all  7673.132
   gy13    all  3448.216
   gy14    all  16722.46
a matrix=mo170   p1-13   0.0 ProducWkLA3+                            
   gy01    all  118.4202
   gy02    all  672.9819
   gy03    all  13.10772
   gy04    all    2309.5
   gy05    all  1704.069
   gy06    all  2477.358
   gy07    all  2462.064
   gy08    all  216.1911
   gy09    all  4369.954
   gy10    all   342.013
   gy11    all  1046.195
   gy12    all  763.9237
   gy13    all  336.8791
   gy14    all  3075.387
a matrix=mo171   p1-23   0.0 ProducWkMA3+                            
   gy01    all  870.0088
   gy02    all   5503.48
   gy03    all  158.8346
   gy04    all  12998.47
   gy05    all  8672.843
   gy06    all  14295.43
   gy07    all   9114.89
   gy08    all  1895.098
   gy09    all   27842.4
   gy10    all  2871.479
   gy11    all  8052.594
   gy12    all  8301.236
   gy13    all  2190.055
   gy14    all  15686.48
a matrix=mo172   p1-33   0.0 ProducWkHA3+                            
   gy01    all  2110.182
   gy02    all  10531.55
   gy03    all  380.6361
   gy04    all  16730.91
   gy05    all   9239.27
   gy06    all  21706.13
   gy07    all  9221.504
   gy08    all  4152.847
   gy09    all  24611.73
   gy10    all  5482.805
   gy11    all  9776.437
