_mos:,md5,md6,md7,md8,md9,md10,md11,md21,md22,md23
_names:,cnsman,fire,tcuws,rtail,busoth,acfdnf,hledpa,p5-12,p13-17,Psfte
ZONE,Contruction/Mfg - 2011 Base Emp,FIRE - 2011 Base Emp,TCU/Wholesale - 2011 Base Emp,Retail - 2011 Base Emp,Business/OtherServices - 2011 Base Emp,AccomFood/InfoCult - 2011 Base Emp,Health/Educat/PubAdmin - 2011 Base Emp,POP5-12,POP13-17,PostSec 2011 FT Enrl
1000,0,61,51,32,146,283,118,171,134,0
1010,289,148,318,51,507,578,281,714,530,0
1020,199,22,285,6,26,263,147,66,45,0
1030,0,0,0,5,96,4,46,141,126,0
1040,144,88,62,22,258,39,82,361,270,0
1050,120,226,75,26,465,87,206,572,550,0
1060,317,98,153,32,379,246,356,472,370,0
1070,0,69,0,6,216,73,878,560,407,0
1080,18,28,0,5,98,60,442,176,184,0
1090,173,449,108,309,899,626,459,187,163,0
1100,593,1177,168,3344,1609,1204,980,303,247,25
1110,171,60,5,38,141,149,191,148,126,0
1150,18,16,11,21,143,23,80,121,75,0
1200,27,215,106,332,262,281,528,564,384,0
1210,1038,235,684,1187,1695,716,202,33,22,3
1220,94,240,49,368,258,647,565,468,339,8
1230,55,17,0,25,56,106,602,271,201,0
1240,253,2246,424,350,1362,914,759,191,138,292
1250,82,719,110,485,882,649,1696,305,224,25
1260,223,0,0,14,303,55,401,805,515,0
1270,82,43,19,4,150,173,2418,348,226,0
1280,409,33,757,135,313,64,138,422,225,0
1290,475,93,264,505,950,815,63,77,51,0
1500,0,175,21,249,263,121,174,226,144,0
1510,61,277,79,565,379,284,135,444,341,0
1520,1155,330,1108,357,1343,401,168,162,88,0
1530,108,63,81,13,218,622,126,314,257,0
1540,0,0,0,0,0,0,0,0,0,0
1550,0,45,0,6,172,183,301,449,349,0
1560,73,43,0,31,196,7,191,624,415,0
1570,0,182,0,138,286,187,744,577,414,3
1580,103,0,0,21,259,47,89,427,312,0
1590,0,214,38,198,232,127,693,610,456,0
1600,145,87,31,62,156,53,458,897,683,0
1610,67,164,26,488,134,286,450,741,566,0
1620,252,36,34,13,21,163,348,211,157,0
1630,18,0,0,2,43,55,8,58,49,0
1640,0,0,0,16,115,165,788,291,174,6265
1650,873,105,1018,421,461,213,160,98,47,0
1660,188,0,0,8,297,106,142,658,549,0
1670,91,18,0,205,143,211,115,62,45,0
1680,130,149,59,71,474,282,272,1042,658,0
1690,792,22,301,72,276,148,531,150,136,0
1700,90,36,0,25,182,6,85,372,278,0
1710,64,76,0,45,57,272,71,287,233,0
1900,191,55,62,160,397,434,217,379,210,0
1910,9,0,0,0,6,1,3,6,5,0
1920,0,0,0,0,0,0,0,0,0,0
1930,44,0,0,6,0,5,0,11,8,0
2000,0,0,0,160,162,408,78,0,0,0
2010,116,143,144,51,329,330,31,81,79,0
2020,0,88,40,102,44,371,258,49,22,0
2030,180,149,138,63,894,635,74,111,64,0
2040,72,159,154,463,971,1222,561,150,78,424
2050,14,109,33,351,129,705,215,122,51,0
2060,0,433,0,40,127,514,0,86,28,0
2070,35,52,54,471,382,763,1084,104,86,0
2080,60,67,0,301,657,978,3821,95,38,205
2090,27,197,57,193,684,728,179,134,76,0
2100,221,534,524,27,1299,474,769,134,69,165
2110,721,1327,404,139,2445,900,1640,16,11,0
2120,1139,2757,1041,134,4540,457,1345,0,0,1775
2130,758,3765,1163,900,5653,2524,966,134,105,3297
2140,430,1701,556,118,2240,1459,815,0,0,171
2150,722,6265,1043,1150,8087,2669,1253,0,0,1945
2160,119,1193,171,1277,3283,1854,2991,15,9,772
2170,1186,1209,480,218,3769,3048,895,1,0,2786
2180,427,1345,209,756,2874,765,1000,14,0,8968
2190,374,214,227,1091,1386,2371,569,55,25,4667
2200,118,75,2255,23,1073,815,1712,0,0,3485
2210,472,563,186,253,1940,2354,549,70,74,1928
2220,166,118,50,242,1399,928,803,49,18,2558
2230,69,27,50,137,277,517,182,72,29,0
2240,137,97,0,11,319,247,100,152,111,0
2250,255,116,81,3,573,1245,213,83,32,0
2260,159,182,391,154,906,991,685,36,17,0
2270,173,86,13,200,345,390,234,27,9,110
2280,271,37,5,17,64,131,69,127,108,0
2290,163,812,538,327,2111,2388,1631,32,28,324
2300,430,54,24,15,358,151,15,84,54,0
2310,295,228,61,138,827,634,294,74,48,0
2320,239,142,265,122,1660,1067,53,44,18,0
2330,341,167,155,261,1937,537,360,322,182,445
2900,0,0,0,87,929,839,6258,16,15,20704
2910,352,245,46,142,1322,1105,6660,69,36,20294
2920,60,41,8,116,227,235,1143,725,558,0
3000,113,191,61,149,495,320,621,336,253,0
3010,91,319,153,268,605,415,454,688,537,996
3020,123,38,32,170,321,334,94,186,118,0
3030,173,180,83,507,437,820,377,343,186,0
3040,162,204,207,338,556,335,328,436,311,0
3050,74,246,93,456,703,662,195,121,110,0
3060,60,670,47,287,632,873,351,145,125,0
3070,370,358,52,353,1202,821,701,177,95,172
3080,708,1046,528,830,2640,949,960,47,30,330
3090,78,205,127,365,923,453,1180,356,264,6
3100,456,529,76,617,932,495,1310,96,50,178
3110,450,416,181,455,551,1022,590,73,65,1977
3120,155,177,91,73,340,466,318,151,98,0
3130,526,752,133,307,2045,508,843,83,53,556
3140,511,411,228,446,1652,1239,2250,117,80,138
3150,0,839,80,127,129,512,33,87,42,0
3160,3193,1607,1273,1143,3223,2341,1295,21,43,884
3170,177,309,114,615,773,766,492,141,63,188
3180,450,215,106,302,2095,841,10562,30,8,1122
3190,51,95,0,54,248,250,365,215,137,0
3200,86,160,118,400,439,248,2420,216,78,145
3210,134,180,84,340,441,228,739,710,469,0
3220,32,96,0,334,338,128,315,587,477,0
3230,30,146,88,76,132,7,222,412,378,0
3240,77,0,20,62,295,5,394,382,294,0
3250,81,146,0,179,121,225,208,303,325,0
3260,40,27,19,69,160,4,341,390,400,0
3270,62,360,0,270,585,248,116,198,224,13
3280,142,0,0,23,128,82,450,200,149,0
3290,38,46,90,60,167,159,206,191,155,0
3300,70,53,15,17,143,66,438,247,159,0
3310,132,113,72,365,772,399,6007,508,282,6
3320,0,145,1163,93,400,176,2055,124,121,0
3330,85,60,30,75,174,357,403,367,453,0
3340,244,678,236,337,611,323,718,518,573,0
3350,202,189,58,286,339,226,220,628,601,858
3360,637,38,582,113,481,210,184,56,63,0
3370,25,682,120,1247,775,361,853,346,304,6
3380,0,71,42,49,228,59,444,309,386,0
3390,170,230,68,126,266,144,981,707,784,0
3400,382,218,151,131,832,316,250,278,176,0
3410,865,69,506,336,568,231,94,144,136,47
3420,247,44,356,52,276,25,26,5,0,0
3430,855,335,712,226,830,335,1993,94,64,0
3440,852,348,731,455,540,628,564,482,347,0
3450,1265,251,2677,307,1117,372,930,71,34,1226
3460,908,186,1382,495,1625,865,1590,419,220,5040
3470,2016,181,852,353,502,205,111,201,111,0
3480,698,107,735,483,530,469,714,268,178,0
3490,229,173,277,506,285,318,388,308,189,0
3500,136,0,95,74,59,91,152,243,127,0
3510,368,194,175,312,578,384,220,346,224,21
3520,140,21,52,110,130,27,494,600,425,0
3530,306,71,0,314,204,71,190,629,408,0
3540,437,37,489,10,48,68,37,29,10,0
3550,171,121,413,115,342,1478,815,515,308,0
3560,18,0,20,43,254,170,98,247,130,0
3570,397,36,143,204,446,147,212,544,343,0
3580,370,73,275,128,368,235,283,520,348,0
3590,335,65,52,280,713,496,1138,293,149,305
3600,358,190,16,269,299,272,206,438,216,0
3610,230,110,34,61,193,221,430,315,209,0
3620,191,90,58,375,315,363,314,552,334,0
3630,26,13,98,42,265,154,305,366,293,0
3640,61,91,25,265,365,216,1150,594,363,127
3650,505,315,111,190,388,372,452,717,449,0
3660,151,0,0,38,122,55,438,683,393,0
3670,0,0,318,48,0,156,271,625,400,0
3680,59,74,116,221,194,94,448,353,211,0
3690,0,0,30,57,21,5,555,198,153,0
3700,347,64,34,240,256,164,463,565,430,0
3710,178,108,36,156,102,200,49,412,247,0
3720,127,146,32,341,204,192,144,621,360,0
3730,133,0,0,4,0,4,0,285,226,0
3740,243,13,81,135,103,3,278,579,365,0
3750,61,49,22,91,145,236,255,569,402,0
3760,1277,595,498,1332,796,521,423,69,47,98
3770,237,12,12,24,141,90,289,427,328,0
3780,241,154,226,574,631,669,31,72,53,0
3790,49,0,0,38,25,66,210,409,302,0
3800,19,0,50,41,159,78,232,641,445,0
3810,145,314,39,92,688,240,600,734,479,0
3820,134,134,0,281,79,230,261,482,365,787
3830,88,279,0,261,245,143,727,570,421,0
3840,220,246,130,481,531,274,289,613,353,8886
3850,171,49,107,34,158,167,525,899,557,0
3860,1779,41,1449,1073,484,268,297,0,0,0
3870,81,205,0,92,120,110,374,532,385,0
3880,26,132,0,90,160,22,266,789,593,0
3890,1018,48,345,182,287,278,421,875,521,0
3900,133,45,56,420,285,146,372,729,604,0
3910,0,14,0,24,118,69,570,442,458,0
3920,115,0,66,53,69,5,18,199,129,0
3930,0,205,23,49,111,88,599,442,398,0
3940,0,0,0,5,66,27,322,273,247,0
3950,34,51,69,9,0,9,0,106,68,0
3960,0,0,27,53,83,6,146,393,358,0
3970,0,75,0,6,96,6,328,565,430,0
3980,52,82,214,116,101,101,317,317,223,0
3990,0,0,0,33,0,32,0,105,92,0
4000,359,359,33,422,475,262,445,553,329,26
4010,99,50,104,78,113,148,162,587,387,0
4020,1199,516,1409,512,1362,1653,269,83,63,0
4030,532,258,639,290,999,659,119,50,57,0
4040,186,49,69,194,296,284,612,445,359,0
4050,71,0,0,122,112,159,0,75,80,0
4060,92,44,53,55,80,76,370,402,295,0
4070,81,294,66,1087,316,330,166,304,148,0
4080,230,150,586,97,594,235,119,94,45,0
4090,67,73,65,206,300,110,643,551,468,0
4100,199,125,510,200,361,167,80,272,221,0
4110,105,0,69,35,72,197,325,466,421,0
4120,0,0,0,85,82,196,111,380,323,0
4130,372,39,124,36,87,262,0,203,175,0
4140,634,56,160,124,426,686,4789,114,85,19901
4150,0,117,0,7,31,39,139,498,376,0
4160,1981,353,1805,275,1549,725,256,0,0,0
4170,29,0,0,15,74,26,182,340,218,0
4180,0,133,0,31,70,68,98,142,106,0
4190,986,1337,1261,437,3682,1307,797,112,53,0
4200,1326,684,204,167,961,1811,3093,372,338,108
4210,63,0,0,16,22,5,118,304,235,0
4220,11,27,34,17,616,2656,199,156,103,0
4230,83,523,257,117,314,291,1081,411,259,6
4240,32,63,156,17,152,90,209,594,280,0
4250,0,0,25,32,135,4,51,122,111,0
4260,24,0,0,4,165,32,670,426,325,0
