VARIABLE,GROUP,Contruction/Mfg,FIRE,TCU/Wholesale,Retail,AccomFood/InfoCult,Health/Educat/PubAdmin,POP 5 to 17,Total_Population,Households_Low,Household_Medium,Households_high,PS2011,Business/OtherServices
HBWL,1,0.109507501,0.096677412,0,0.089511442,0.089511442,0.161603937,0,0,0,0,0,0,0.096677412
HBWL,2,0.178002658,0.181018326,0.077290933,0,0.253857735,0.108062978,0,0,0,0,0,0,0.181018326
HBWL,3,0.669045933,0.069154569,0,0.785831249,0.156595792,0.222135884,0,0,0,0,0,0,0.069154569
HBWL,4,0.231141052,0.235056976,0.100364275,0,0.329640831,0.14032257,0,0,0,0,0,0,0.235056976
HBWL,5,0.217563138,0.221249028,0.094468578,0,0.310276746,0.132079604,0,0,0,0,0,0,0.221249028
HBWL,6,0.20006563,0.203455083,0.086870946,0,0.285322749,0.121457106,0,0,0,0,0,0,0.203455083
HBWL,7,0.266420328,0.270933942,0.115682968,0,0.37995422,0.161740135,0,0,0,0,0,0,0.270933942
HBWL,8,0.206542681,0.210041866,0.089683361,0,0.294559969,0.125389235,0,0,0,0,0,0,0.210041866
HBWL,9,0.210750715,0.214321192,0.091510541,0,0.300561239,0.127943875,0,0,0,0,0,0,0.214321192
HBWL,10,0.173044076,0.152769931,0,0.141446244,0.141446244,0.255367018,0,0,0,0,0,0,0.152769931
HBWL,11,0.142633806,0.125922581,0,0.116588887,0.116588887,0.21048955,0,0,0,0,0,0,0.125922581
HBWL,12,0.191653522,0.194900459,0.083218305,0,0.273325857,0.116350231,0,0,0,0,0,0,0.194900459
HBWL,13,0.132659495,0.117116878,0,0.108435883,0.108435883,0.19577012,0,0,0,0,0,0,0.117116878
HBWL,14,0.178235963,0.157353528,0,0.145690093,0.145690093,0.263028862,0,0,0,0,0,0,0.157353528
HBWM,1,0.264045756,0.543583653,0.38236077,0,0,0.524100426,0,0,0,0,0,0,0.543583653
HBWM,2,0.827599275,0.701974815,0.336473638,0.274590248,0.274590248,0.635673391,0,0,0,0,0,0,0.701974815
HBWM,3,2.064646932,0.350986553,0,1.143848285,1.143848285,0.858403181,0,0,0,0,0,0,0.350986553
HBWM,4,0.89232422,0.756874913,0.362788594,0.296065423,0.296065423,0.685388183,0,0,0,0,0,0,0.756874913
HBWM,5,0.947636426,0.803791068,0.38527665,0.314417532,0.314417532,0.727873113,0,0,0,0,0,0,0.803791068
HBWM,6,0.764043224,0.64806618,0.310633916,0.253502903,0.253502903,0.586856419,0,0,0,0,0,0,0.64806618
HBWM,7,0.900117408,0.763485143,0.365957038,0.298651135,0.298651135,0.691374078,0,0,0,0,0,0,0.763485143
HBWM,8,0.894345067,0.758589008,0.363610201,0.296735922,0.296735922,0.686940382,0,0,0,0,0,0,0.758589008
HBWM,9,0.869110171,0.737184614,0.353350553,0.288363203,0.288363203,0.667557629,0,0,0,0,0,0,0.737184614
HBWM,10,0.39671016,0.816696172,0.574470139,0,0,0.787423995,0,0,0,0,0,0,0.816696172
HBWM,11,0.411136504,0.846395285,0.595360715,0,0,0.816058626,0,0,0,0,0,0,0.846395285
HBWM,12,0.975217576,0.82718557,0.396490205,0.323568718,0.323568718,0.749058008,0,0,0,0,0,0,0.82718557
HBWM,13,0.348499314,0.717445843,0.504656722,0,0,0.691731015,0,0,0,0,0,0,0.717445843
