c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:47
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   gu01   6389.25
    all   gu02  14263.82
    all   gu05  33788.45
    all   gu06  24331.84
    all   gu07  24322.18
    all   gu08  4479.037
    all   gu09  41275.93
    all   gu10  8514.876
    all   gu11  11178.05
    all   gu12  12008.69
    all   gu13  6391.244
    all   gu14  30037.35
    all   gu16  10381.39
    all   gu21  20122.52
    all   gu22  8558.823
    all   gu23  6317.328
    all   gu24  15907.64
    all   gu25  50318.63
a matrix=md25  HhMdIn   0.0 Household Medium Income                 
    all   gu01  5184.728
    all   gu02  16818.17
    all   gu05  29664.11
    all   gu06  29054.01
    all   gu07  23314.68
    all   gu08  6096.485
    all   gu09  55635.45
    all   gu10  13485.07
    all   gu11  12606.27
    all   gu12  19166.99
    all   gu13  6868.059
    all   gu14  32103.26
    all   gu16  11612.68
    all   gu21   16096.7
    all   gu22  2740.886
    all   gu23  6281.445
    all   gu24  14556.29
    all   gu25  43333.13
a matrix=md31    aWkL   0.0 AttracWkL                               
    all   gu01  2460.038
    all   gu02  8433.988
    all   gu05  25177.86
    all   gu06   12356.5
    all   gu07  27469.86
    all   gu08  7086.073
    all   gu09   24244.8
    all   gu10  5718.042
    all   gu11  4343.247
    all   gu12  10267.61
    all   gu13  2530.101
    all   gu14  17924.94
    all   gu16   5163.73
    all   gu21  29273.53
    all   gu22  4428.912
    all   gu23  4655.771
    all   gu24   11817.4
    all   gu25  27915.21
a matrix=md32    aWkM   0.0 AttracWkM                               
    all   gu01   7724.48
    all   gu02  32585.77
    all   gu05  89708.28
    all   gu06  41664.91
    all   gu07  76231.41
    all   gu08  27991.71
    all   gu09  91732.51
    all   gu10  16737.56
    all   gu11   15454.8
    all   gu12  46631.78
    all   gu13   8089.18
    all   gu14   61398.6
    all   gu16  20256.53
    all   gu21  114814.9
    all   gu22   16233.3
    all   gu23   13194.5
    all   gu24   41306.1
    all   gu25  93278.47
a matrix=md33    aWkH   0.0 AttracWkH                               
    all   gu01  6572.625
    all   gu02  27664.87
    all   gu05  71754.72
    all   gu06  29314.59
    all   gu07  54101.31
    all   gu08  19738.74
    all   gu09  60768.71
    all   gu10  12357.74
    all   gu11   9042.18
    all   gu12  27272.93
    all   gu13  4257.141
    all   gu14  31718.54
    all   gu16  16261.06
    all   gu21  105367.5
    all   gu22  12303.49
    all   gu23  9358.392
    all   gu24  30759.18
    all   gu25  66047.68
a matrix=md34     aNw   0.0 AttracNw                                
    all   gu01  10498.48
    all   gu02  30655.55
    all   gu05  63804.26
    all   gu06  36706.48
    all   gu07  50830.29
    all   gu08  11916.48
    all   gu09  62388.88
    all   gu10  13853.69
    all   gu11  13176.67
    all   gu12  34049.62
    all   gu13  5503.973
    all   gu14  51035.32
    all   gu16     13911
    all   gu21  62422.42
    all   gu22   9773.92
    all   gu23  12818.63
    all   gu24  34034.34
    all   gu25  77798.23
a matrix=md35     aUv   0.0 AttracUv                                
    all   gu01  621.0102
    all   gu02  10117.65
    all   gu05  51329.26
    all   gu06  4553.462
    all   gu07  6824.793
    all   gu08  1046.626
    all   gu09  19425.08
    all   gu10  348.8068
    all   gu11  710.1433
    all   gu12  7078.694
    all   gu13  591.4692
    all   gu14  17274.17
    all   gu16  14727.51
    all   gu21  12470.65
    all   gu22  1264.444
    all   gu23  853.1348
    all   gu24  50273.51
    all   gu25  27985.18
a matrix=md36     aSc   0.0 AttracSc                                
    all   gu01  15311.13
    all   gu02  30527.81
    all   gu05  44778.43
    all   gu06  56890.55
    all   gu07  42897.98
    all   gu08  12326.02
    all   gu09  128763.2
    all   gu10  21144.64
    all   gu11  22682.21
    all   gu12  35402.61
    all   gu13     13689
    all   gu14  64429.99
    all   gu16  11966.04
    all   gu21  2913.621
    all   gu22  2570.268
    all   gu23  4085.791
    all   gu24  32287.28
    all   gu25  73821.74
a matrix=md37     aSh   0.0 AttracSh                                
    all   gu01  13395.66
    all   gu02  32205.51
    all   gu05  75077.26
    all   gu06  46716.93
    all   gu07  51450.06
    all   gu08  9151.708
    all   gu09  78556.07
