c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:20:25
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01   2629.35
   gy01   gy02  924.8896
   gy01   gy03   88.1579
   gy01   gy04  70.88314
   gy01   gy05    25.353
   gy01   gy06  1.204792
   gy01   gy07  1.627734
   gy01   gy08  .0034422
   gy01   gy09  .2215472
   gy01   gy10  .0016667
   gy01   gy11  .0218905
   gy01   gy12  .0022381
   gy01   gy13  .0000081
   gy01   gy14  .0000078
   gy02   gy01  922.1981
   gy02   gy02  9273.936
   gy02   gy03  213.1364
   gy02   gy04  460.8931
   gy02   gy05  223.4849
   gy02   gy06  20.58436
   gy02   gy07  9.540972
   gy02   gy08  .0314981
   gy02   gy09  2.750424
   gy02   gy10  .0106958
   gy02   gy11  .8059720
   gy02   gy12  .0828209
   gy02   gy13  .0001333
   gy02   gy14  .0002881
   gy03   gy01  100.1682
   gy03   gy02  240.1149
   gy03   gy03  1515.345
   gy03   gy04  2211.849
   gy03   gy05  155.5005
   gy03   gy06  10.86437
   gy03   gy07  72.70485
   gy03   gy08  .5634615
   gy03   gy09  2.094354
   gy03   gy10  .1868369
   gy03   gy11  .4367609
   gy03   gy12  .0479097
   gy03   gy13  .0001645
   gy03   gy14  .0000772
   gy04   gy01  72.36998
   gy04   gy02  465.5102
   gy04   gy03  1956.914
   gy04   gy04   29144.2
   gy04   gy05  1963.012
   gy04   gy06  166.8298
   gy04   gy07  1099.139
   gy04   gy08   35.9038
   gy04   gy09  175.9035
   gy04   gy10  7.509424
   gy04   gy11  7.564805
   gy04   gy12  .4099680
   gy04   gy13  .0028353
   gy04   gy14  .0028768
   gy05   gy01  25.47412
   gy05   gy02  224.4246
   gy05   gy03  127.6971
   gy05   gy04  1964.047
   gy05   gy05  14600.64
   gy05   gy06  1318.114
   gy05   gy07  408.9759
   gy05   gy08  15.23726
   gy05   gy09  347.8691
   gy05   gy10  13.63873
   gy05   gy11   91.7015
   gy05   gy12   13.3423
