c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:15:31
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  3605.733
   gy01   gy02  1496.776
   gy01   gy03  130.2568
   gy01   gy04  168.1923
   gy01   gy05  56.97459
   gy01   gy06  1.042498
   gy01   gy07   2.09495
   gy01   gy08  .1380086
   gy01   gy09  .2038182
   gy01   gy10  .0039980
   gy01   gy11  .0184297
   gy01   gy12  .0038128
   gy01   gy13  .0000596
   gy01   gy14  .0000253
   gy02   gy01  1488.582
   gy02   gy02  12909.28
   gy02   gy03  123.4643
   gy02   gy04    452.39
   gy02   gy05  616.4414
   gy02   gy06  19.75867
   gy02   gy07  11.54912
   gy02   gy08  .3218197
   gy02   gy09  2.497007
   gy02   gy10  .0389571
   gy02   gy11  .2111263
   gy02   gy12  .0956652
   gy02   gy13  .0006761
   gy02   gy14  .0003156
   gy03   gy01  219.1653
   gy03   gy02  229.3413
   gy03   gy03  2915.735
   gy03   gy04   2451.68
   gy03   gy05  238.3796
   gy03   gy06  11.65926
   gy03   gy07  116.1681
   gy03   gy08  10.88927
   gy03   gy09  7.402416
   gy03   gy10  .5863902
   gy03   gy11  .3018609
   gy03   gy12  .0606995
   gy03   gy13  .0010668
   gy03   gy14  .0004573
   gy04   gy01  175.6064
   gy04   gy02  469.4587
   gy04   gy03  1476.942
   gy04   gy04  38802.36
   gy04   gy05  3800.978
   gy04   gy06  222.7206
   gy04   gy07   2167.92
   gy04   gy08  118.5873
   gy04   gy09  110.0385
   gy04   gy10  7.902424
   gy04   gy11  3.745101
   gy04   gy12  .8871185
   gy04   gy13  .0120975
   gy04   gy14  .0025197
   gy05   gy01  58.29645
   gy05   gy02  655.5154
   gy05   gy03  122.0499
   gy05   gy04  4081.622
   gy05   gy05   23677.9
   gy05   gy06  2277.542
   gy05   gy07  630.5661
   gy05   gy08  88.93858
   gy05   gy09  1335.462
   gy05   gy10  69.17122
   gy05   gy11   79.8487
