c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:19:13
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01    5758.8
   gy01   gy02  2023.142
   gy01   gy03  382.9692
   gy01   gy04  679.3502
   gy01   gy05  179.5039
   gy01   gy06  17.26054
   gy01   gy07  42.17241
   gy01   gy08  2.573741
   gy01   gy09  7.678192
   gy01   gy10  .3265120
   gy01   gy11  1.402312
   gy01   gy12  .9245489
   gy01   gy13  .0015165
   gy01   gy14  .0106732
   gy02   gy01  2025.421
   gy02   gy02  13890.29
   gy02   gy03  382.4467
   gy02   gy04  1629.483
   gy02   gy05  642.7547
   gy02   gy06  133.6873
   gy02   gy07  93.98984
   gy02   gy08  5.258625
   gy02   gy09  78.79503
   gy02   gy10  1.931584
   gy02   gy11   9.09204
   gy02   gy12  4.993924
   gy02   gy13  .0224375
   gy02   gy14  .0443583
   gy03   gy01   599.074
   gy03   gy02    649.28
   gy03   gy03  2144.514
   gy03   gy04  6300.667
   gy03   gy05  835.2404
   gy03   gy06  268.1838
   gy03   gy07  489.3514
   gy03   gy08  51.70578
   gy03   gy09  176.6237
   gy03   gy10  13.01483
   gy03   gy11  18.25195
   gy03   gy12  8.905623
   gy03   gy13  .0249996
   gy03   gy14  .1091025
   gy04   gy01  684.6781
   gy04   gy02   1657.54
   gy04   gy03  4043.033
   gy04   gy04  36836.28
   gy04   gy05  6251.555
   gy04   gy06  967.9023
   gy04   gy07  3854.927
   gy04   gy08  530.2375
   gy04   gy09  929.9358
   gy04   gy10  134.7628
   gy04   gy11  51.69623
   gy04   gy12  38.34419
   gy04   gy13  .1291598
   gy04   gy14  .4608932
   gy05   gy01  179.2127
   gy05   gy02  657.7548
   gy05   gy03  502.0817
   gy05   gy04  6426.855
   gy05   gy05  19335.98
   gy05   gy06   2295.88
   gy05   gy07  738.9012
   gy05   gy08  166.6644
   gy05   gy09  1442.801
   gy05   gy10  110.8582
   gy05   gy11  119.3971
   gy05   gy12  181.7942
   gy05   gy13  .6146629
   gy05   gy14  3.809539
   gy06   gy01  16.68458
   gy06   gy02  131.9391
   gy06   gy03   151.143
   gy06   gy04  949.7522
   gy06   gy05  2236.805
   gy06   gy06  19774.96
   gy06   gy07   157.722
   gy06   gy08  23.88004
   gy06   gy09  971.2559
   gy06   gy10   59.2279
   gy06   gy11  1085.844
   gy06   gy12  269.2204
   gy06   gy13  6.103751
   gy06   gy14  9.156674
   gy07   gy01  41.86633
   gy07   gy02   96.1379
   gy07   gy03   303.755
   gy07   gy04  3902.879
   gy07   gy05  736.8515
   gy07   gy06  162.0698
   gy07   gy07  18809.15
   gy07   gy08   707.069
   gy07   gy09  561.0276
   gy07   gy10  188.3328
   gy07   gy11  3.078446
   gy07   gy12  25.33691
   gy07   gy13  .0150975
   gy07   gy14  .1534504
   gy08   gy01  2.436707
   gy08   gy02   5.10972
   gy08   gy03  29.59684
   gy08   gy04  510.5692
   gy08   gy05  161.0935
   gy08   gy06  23.75013
   gy08   gy07  688.7814
   gy08   gy08  5485.539
   gy08   gy09  728.2324
   gy08   gy10  180.8851
   gy08   gy11  1.253926
   gy08   gy12  33.04379
   gy08   gy13  .0043151
   gy08   gy14  .1380133
   gy09   gy01   7.36516
   gy09   gy02  77.56026
   gy09   gy03  97.60449
   gy09   gy04  913.5782
   gy09   gy05   1387.22
   gy09   gy06  967.2038
   gy09   gy07  543.0639
   gy09   gy08  730.6547
   gy09   gy09  34457.27
   gy09   gy10  2045.058
   gy09   gy11   238.675
   gy09   gy12  3605.905
   gy09   gy13  2.737217
   gy09   gy14  162.3993
   gy10   gy01  .3134979
   gy10   gy02  1.889089
   gy10   gy03  7.541283
   gy10   gy04  131.0705
   gy10   gy05  105.5902
   gy10   gy06   58.2178
   gy10   gy07   181.862
   gy10   gy08   180.367
   gy10   gy09  2029.435
   gy10   gy10  10567.82
   gy10   gy11  4.346786
   gy10   gy12  875.9839
   gy10   gy13  .2009018
   gy10   gy14   16.6292
   gy11   gy01  1.355612
   gy11   gy02  8.907165
   gy11   gy03  11.04272
   gy11   gy04  50.17327
   gy11   gy05  115.9555
   gy11   gy06  1014.169
   gy11   gy07   2.99057
   gy11   gy08  1.262002
   gy11   gy09   233.972
   gy11   gy10  4.265395
   gy11   gy11  10315.72
   gy11   gy12  286.5812
   gy11   gy13   318.261
   gy11   gy14  150.3217
   gy12   gy01  .9019492
   gy12   gy02  4.940908
   gy12   gy03  5.569011
   gy12   gy04  37.53419
   gy12   gy05  177.6506
   gy12   gy06  263.5625
   gy12   gy07  24.99535
   gy12   gy08  33.36563
   gy12   gy09  3621.249
   gy12   gy10  880.4252
   gy12   gy11  288.2407
   gy12   gy12   16051.8
   gy12   gy13  46.51892
   gy12   gy14  1129.264
   gy13   gy01  .0014600
   gy13   gy02  .0215188
   gy13   gy03  .0170950
   gy13   gy04  .1222540
   gy13   gy05  .5788396
   gy13   gy06  5.792435
   gy13   gy07  .0145497
   gy13   gy08  .0042147
   gy13   gy09  2.648927
   gy13   gy10  .2003336
   gy13   gy11  313.4031
   gy13   gy12  46.17592
   gy13   gy13  4868.714
   gy13   gy14  1173.654
   gy14   gy01  .0105391
   gy14   gy02  .0435170
   gy14   gy03  .0693797
   gy14   gy04  .4412591
   gy14   gy05  3.767157
   gy14   gy06  8.683109
   gy14   gy07  .1514656
   gy14   gy08  .1381334
   gy14   gy09  160.8292
   gy14   gy10  16.57998
   gy14   gy11  146.3379
   gy14   gy12    1126.8
   gy14   gy13  1174.677
   gy14   gy14  31799.55
a matrix=mf883   Calc2   0.0 Calculation 2                           
   gy01   gy01  8582.946
   gy01   gy02  3101.063
   gy01   gy03  908.1626
   gy01   gy04  865.3674
   gy01   gy05  303.9708
   gy01   gy06  31.50859
   gy01   gy07  73.46574
   gy01   gy08  4.908434
   gy01   gy09  15.02138
   gy01   gy10  .7127447
   gy01   gy11  2.615903
   gy01   gy12   1.74053
   gy01   gy13  .0034729
   gy01   gy14  .0256802
   gy02   gy01  3081.609
   gy02   gy02   20509.5
   gy02   gy03  908.0282
   gy02   gy04  2036.231
   gy02   gy05  1017.344
   gy02   gy06  228.5999
   gy02   gy07  163.2328
   gy02   gy08  9.954173
   gy02   gy09  144.4012
   gy02   gy10  3.960857
   gy02   gy11  15.88256
   gy02   gy12  8.836393
   gy02   gy13  .0482482
   gy02   gy14  .0996438
   gy03   gy01  1053.727
   gy03   gy02  1139.095
   gy03   gy03  3531.123
   gy03   gy04  8329.443
   gy03   gy05  1459.473
   gy03   gy06  506.3122
   gy03   gy07  898.6539
   gy03   gy08  103.2958
   gy03   gy09    359.57
   gy03   gy10  29.53749
   gy03   gy11  35.36025
   gy03   gy12  17.36198
   gy03   gy13  .0604507
   gy03   gy14  .2770063
   gy04   gy01   815.923
   gy04   gy02  1986.814
   gy04   gy03  6864.594
   gy04   gy04  57695.92
   gy04   gy05  7350.226
   gy04   gy06   1224.66
   gy04   gy07  4646.996
   gy04   gy08  697.5382
   gy04   gy09  1249.663
   gy04   gy10  200.1138
   gy04   gy11  66.57777
   gy04   gy12  49.90357
   gy04   gy13  .2049272
   gy04   gy14  .7624977
   gy05   gy01  294.7192
   gy05   gy02  1014.978
   gy05   gy03  1194.689
   gy05   gy04  7557.736
   gy05   gy05  28160.41
   gy05   gy06  3471.089
   gy05   gy07  1166.922
   gy05   gy08  266.0923
   gy05   gy09  2236.558
   gy05   gy10    193.18
   gy05   gy11  182.1899
   gy05   gy12  277.9256
   gy05   gy13  1.160862
   gy05   gy14  7.393367
   gy06   gy01  30.30484
   gy06   gy02  225.7091
   gy06   gy03  399.3506
   gy06   gy04   1250.91
   gy06   gy05  3425.662
   gy06   gy06  29448.49
   gy06   gy07  272.7574
   gy06   gy08  40.80672
   gy06   gy09  1559.557
   gy06   gy10  105.8079
   gy06   gy11  1556.327
   gy06   gy12  415.1068
   gy06   gy13  10.70363
   gy06   gy14  17.55383
   gy07   gy01  71.90057
   gy07   gy02  165.4756
   gy07   gy03  761.7376
   gy07   gy04  4798.106
   gy07   gy05  1187.468
   gy07   gy06  280.2792
   gy07   gy07  28294.48
   gy07   gy08  1143.074
   gy07   gy09  959.1235
   gy07   gy10  343.7091
   gy07   gy11  5.359489
   gy07   gy12  43.12983
   gy07   gy13  .0323183
   gy07   gy14  .3352394
   gy08   gy01   4.77538
   gy08   gy02  9.947328
   gy08   gy03  84.34903
   gy08   gy04  713.5656
   gy08   gy05   267.549
   gy08   gy06  41.39837
   gy08   gy07   1158.93
   gy08   gy08  8350.333
   gy08   gy09  1218.951
   gy08   gy10  322.0178
   gy08   gy11  2.201488
   gy08   gy12   54.8938
   gy08   gy13  .0096034
   gy08   gy14  .2915223
   gy09   gy01  14.28866
   gy09   gy02  141.8565
   gy09   gy03   277.039
   gy09   gy04  1262.229
   gy09   gy05  2187.852
   gy09   gy06   1542.66
   gy09   gy07  927.3344
   gy09   gy08  1199.139
   gy09   gy09  51949.01
   gy09   gy10  3301.029
   gy09   gy11   380.742
   gy09   gy12  5041.454
   gy09   gy13  5.068825
   gy09   gy14  282.4014
   gy10   gy01  .6882496
   gy10   gy02  3.924586
   gy10   gy03   24.1136
   gy10   gy04  203.7488
   gy10   gy05  190.3992
   gy10   gy06  105.3957
   gy10   gy07  338.5194
   gy10   gy08  319.9473
   gy10   gy09  3309.084
   gy10   gy10  15790.64
   gy10   gy11  7.863305
   gy10   gy12  1275.075
   gy10   gy13  .3923800
   gy10   gy14  29.27278
   gy11   gy01  2.562304
   gy11   gy02  15.87057
   gy11   gy03  30.25363
   gy11   gy04  68.66543
   gy11   gy05  183.3306
   gy11   gy06  1463.301
   gy11   gy07  5.314462
   gy11   gy08  2.222147
   gy11   gy09  380.0197
   gy11   gy10  7.691692
   gy11   gy11  13914.63
   gy11   gy12  457.4383
   gy11   gy13  486.3372
   gy11   gy14  257.1917
   gy12   gy01  1.706272
   gy12   gy02  8.835818
   gy12   gy03  15.29255
   gy12   gy04  51.33373
   gy12   gy05  278.7264
   gy12   gy06   407.689
   gy12   gy07  42.77903
   gy12   gy08  54.51647
   gy12   gy09  5043.864
   gy12   gy10  1272.785
   gy12   gy11  454.8078
   gy12   gy12  21141.72
   gy12   gy13  75.42117
   gy12   gy14   1693.34
   gy13   gy01  .0033949
   gy13   gy02  .0471598
   gy13   gy03  .0579559
   gy13   gy04  .2056990
   gy13   gy05  1.128991
   gy13   gy06  10.24869
   gy13   gy07  .0318635
   gy13   gy08  .0093327
   gy13   gy09  4.936089
   gy13   gy10  .3929482
   gy13   gy11  477.0597
   gy13   gy12   74.5663
   gy13   gy13  6772.401
   gy13   gy14  1787.897
   gy14   gy01  .0257337
   gy14   gy02  .0993574
   gy14   gy03  .2430219
   gy14   gy04  .7706705
   gy14   gy05  7.626798
   gy14   gy06  16.75128
   gy14   gy07  .3363553
   gy14   gy08  .2920373
   gy14   gy09  284.0653
   gy14   gy10  29.34799
   gy14   gy11  246.9883
   gy14   gy12  1691.345
   gy14   gy13  1787.272
   gy14   gy14  44690.11
a matrix=mf884   Calc3   0.0 Calculation 3                           
   gy01   gy01         0
   gy01   gy02         0
   gy01   gy03         0
   gy01   gy04         0
   gy01   gy05         0
   gy01   gy06         0
   gy01   gy07         0
   gy01   gy08         0
   gy01   gy09         0
   gy01   gy10         0
   gy01   gy11         0
   gy01   gy12         0
   gy01   gy13         0
   gy01   gy14         0
   gy02   gy01         0
   gy02   gy02         0
   gy02   gy03         0
   gy02   gy04         0
   gy02   gy05         0
   gy02   gy06         0
   gy02   gy07         0
   gy02   gy08         0
   gy02   gy09         0
   gy02   gy10         0
   gy02   gy11         0
   gy02   gy12         0
   gy02   gy13         0
   gy02   gy14         0
   gy03   gy01         0
   gy03   gy02         0
   gy03   gy03         0
   gy03   gy04         0
   gy03   gy05         0
   gy03   gy06         0
   gy03   gy07         0
   gy03   gy08         0
   gy03   gy09         0
   gy03   gy10         0
   gy03   gy11         0
   gy03   gy12         0
   gy03   gy13         0
   gy03   gy14         0
   gy04   gy01         0
   gy04   gy02         0
   gy04   gy03         0
   gy04   gy04         0
   gy04   gy05         0
   gy04   gy06         0
   gy04   gy07         0
   gy04   gy08         0
   gy04   gy09         0
   gy04   gy10         0
   gy04   gy11         0
   gy04   gy12         0
   gy04   gy13         0
   gy04   gy14         0
   gy05   gy01         0
   gy05   gy02         0
   gy05   gy03         0
   gy05   gy04         0
   gy05   gy05         0
   gy05   gy06         0
   gy05   gy07         0
   gy05   gy08         0
   gy05   gy09         0
   gy05   gy10         0
   gy05   gy11         0
   gy05   gy12         0
   gy05   gy13         0
   gy05   gy14         0
   gy06   gy01         0
   gy06   gy02         0
   gy06   gy03         0
   gy06   gy04         0
   gy06   gy05         0
   gy06   gy06         0
   gy06   gy07         0
   gy06   gy08         0
   gy06   gy09         0
   gy06   gy10         0
   gy06   gy11         0
   gy06   gy12         0
   gy06   gy13         0
   gy06   gy14         0
   gy07   gy01         0
   gy07   gy02         0
   gy07   gy03         0
   gy07   gy04         0
   gy07   gy05         0
   gy07   gy06         0
   gy07   gy07         0
   gy07   gy08         0
   gy07   gy09         0
   gy07   gy10         0
   gy07   gy11         0
   gy07   gy12         0
   gy07   gy13         0
   gy07   gy14         0
   gy08   gy01         0
   gy08   gy02         0
   gy08   gy03         0
   gy08   gy04         0
   gy08   gy05         0
   gy08   gy06         0
   gy08   gy07         0
   gy08   gy08         0
   gy08   gy09         0
   gy08   gy10         0
   gy08   gy11         0
   gy08   gy12         0
   gy08   gy13         0
   gy08   gy14         0
   gy09   gy01         0
   gy09   gy02         0
   gy09   gy03         0
   gy09   gy04         0
   gy09   gy05         0
   gy09   gy06         0
   gy09   gy07         0
   gy09   gy08         0
   gy09   gy09         0
   gy09   gy10         0
   gy09   gy11         0
   gy09   gy12         0
   gy09   gy13         0
   gy09   gy14         0
   gy10   gy01         0
   gy10   gy02         0
   gy10   gy03         0
   gy10   gy04         0
   gy10   gy05         0
   gy10   gy06         0
   gy10   gy07         0
   gy10   gy08         0
   gy10   gy09         0
   gy10   gy10         0
   gy10   gy11         0
   gy10   gy12         0
   gy10   gy13         0
   gy10   gy14         0
   gy11   gy01         0
   gy11   gy02         0
   gy11   gy03         0
   gy11   gy04         0
   gy11   gy05         0
   gy11   gy06         0
   gy11   gy07         0
   gy11   gy08         0
   gy11   gy09         0
   gy11   gy10         0
   gy11   gy11         0
   gy11   gy12         0
   gy11   gy13         0
   gy11   gy14         0
   gy12   gy01         0
   gy12   gy02         0
   gy12   gy03         0
   gy12   gy04         0
   gy12   gy05         0
   gy12   gy06         0
   gy12   gy07         0
   gy12   gy08         0
   gy12   gy09         0
   gy12   gy10         0
   gy12   gy11         0
   gy12   gy12         0
   gy12   gy13         0
   gy12   gy14         0
   gy13   gy01         0
   gy13   gy02         0
