c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:17:55
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  114.6887
   gy01   gy02   95.9482
   gy01   gy03  25.95368
   gy01   gy04  149.9751
   gy01   gy05  125.5046
   gy01   gy06  2.711599
   gy01   gy07  13.71173
   gy01   gy08  .8333738
   gy01   gy09  3.000326
   gy01   gy10  .1758706
   gy01   gy11  .5550895
   gy01   gy12  .8318281
   gy01   gy13  .0303309
   gy01   gy14  .1073762
   gy02   gy01   96.8691
   gy02   gy02  1561.924
   gy02   gy03  74.65211
   gy02   gy04  516.7911
   gy02   gy05  551.6459
   gy02   gy06  121.4083
   gy02   gy07  59.22607
   gy02   gy08  30.36202
   gy02   gy09  133.9403
   gy02   gy10  8.312188
   gy02   gy11  47.75888
   gy02   gy12  24.52812
   gy02   gy13  1.061323
   gy02   gy14  6.719964
   gy03   gy01  98.24041
   gy03   gy02  346.9098
   gy03   gy03  201.7261
   gy03   gy04  816.8721
   gy03   gy05  461.2731
   gy03   gy06    91.015
   gy03   gy07   247.011
   gy03   gy08   49.9079
   gy03   gy09  313.8055
   gy03   gy10  13.60828
   gy03   gy11  41.70601
   gy03   gy12  42.87768
   gy03   gy13  .8870836
   gy03   gy14  5.691997
   gy04   gy01  163.5674
   gy04   gy02   585.474
   gy04   gy03  194.1308
   gy04   gy04   3510.43
   gy04   gy05  1047.113
   gy04   gy06  274.1557
   gy04   gy07  1103.364
   gy04   gy08  391.4403
   gy04   gy09  824.9458
   gy04   gy10  107.4679
   gy04   gy11  49.03207
   gy04   gy12  166.9062
   gy04   gy13  3.807528
   gy04   gy14   51.0887
   gy05   gy01  124.9608
   gy05   gy02  514.7697
   gy05   gy03    73.453
   gy05   gy04  870.4311
   gy05   gy05  2534.945
   gy05   gy06   1335.97
   gy05   gy07  572.8997
   gy05   gy08  110.3482
   gy05   gy09  1730.852
   gy05   gy10   104.772
   gy05   gy11   243.851
   gy05   gy12    338.84
   gy05   gy13  48.43195
   gy05   gy14  132.4194
   gy06   gy01  2.519365
   gy06   gy02  110.0267
   gy06   gy03   15.5678
   gy06   gy04  200.0891
   gy06   gy05  1178.676
   gy06   gy06  1019.924
   gy06   gy07  29.57877
   gy06   gy08  6.408401
   gy06   gy09  205.8821
   gy06   gy10   10.9833
   gy06   gy11  126.8729
   gy06   gy12  60.31791
   gy06   gy13  7.884701
   gy06   gy14  24.62345
   gy07   gy01  14.47167
   gy07   gy02  57.57596
   gy07   gy03  55.58501
   gy07   gy04  966.6034
   gy07   gy05  531.2958
   gy07   gy06   35.9311
   gy07   gy07  1103.704
   gy07   gy08  196.8165
   gy07   gy09  141.0352
   gy07   gy10  34.90788
   gy07   gy11  4.620379
   gy07   gy12  36.01386
   gy07   gy13  .2470188
   gy07   gy14  2.698208
   gy08   gy01  .7375826
   gy08   gy02  27.41575
   gy08   gy03  10.48429
   gy08   gy04   299.238
   gy08   gy05  94.53452
   gy08   gy06  6.358457
   gy08   gy07  156.7641
   gy08   gy08  114.4929
   gy08   gy09  126.8132
   gy08   gy10  15.22405
   gy08   gy11   1.47609
   gy08   gy12  27.33082
   gy08   gy13  .1276801
   gy08   gy14  1.498984
   gy09   gy01  2.713256
   gy09   gy02  116.1616
   gy09   gy03  51.10453
   gy09   gy04  607.9774
   gy09   gy05  1441.593
   gy09   gy06  197.3964
   gy09   gy07  136.1678
   gy09   gy08  138.5133
   gy09   gy09  5432.237
   gy09   gy10  274.4125
   gy09   gy11  63.14113
   gy09   gy12  999.6856
   gy09   gy13  11.63931
   gy09   gy14  242.6973
   gy10   gy01  .1490773
   gy10   gy02  7.102116
   gy10   gy03  2.207822
   gy10   gy04  85.50265
   gy10   gy05  80.28701
   gy10   gy06  9.716305
   gy10   gy07  28.18916
   gy10   gy08  15.16187
   gy10   gy09  238.8782
   gy10   gy10  89.88437
   gy10   gy11  1.788203
   gy10   gy12  136.6146
   gy10   gy13  .2758853
   gy10   gy14  17.38858
   gy11   gy01  .4963059
   gy11   gy02  43.30253
   gy11   gy03  7.975604
   gy11   gy04  36.55896
   gy11   gy05  243.2181
   gy11   gy06  104.0239
   gy11   gy07  3.795385
   gy11   gy08  1.510371
   gy11   gy09  63.02813
   gy11   gy10  1.704054
   gy11   gy11   198.443
   gy11   gy12  35.82784
   gy11   gy13  32.47475
   gy11   gy14  147.9798
   gy12   gy01  .8378132
   gy12   gy02  22.69902
   gy12   gy03  12.98144
   gy12   gy04  142.6706
   gy12   gy05  308.9593
   gy12   gy06  58.84597
   gy12   gy07  35.39815
   gy12   gy08  29.02073
   gy12   gy09  1034.229
   gy12   gy10  144.7175
   gy12   gy11  36.29884
   gy12   gy12  1867.968
   gy12   gy13  28.46319
   gy12   gy14  921.5824
   gy13   gy01  .0255427
   gy13   gy02  .9609741
   gy13   gy03  .2827191
   gy13   gy04  2.554504
   gy13   gy05  36.97744
   gy13   gy06  6.490411
   gy13   gy07  .2016932
