c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:12:40
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01   3045.28
   gy01   gy02  3315.838
   gy01   gy03   1930.32
   gy01   gy04  1932.729
   gy01   gy05  1207.236
   gy01   gy06   320.897
   gy01   gy07  432.0264
   gy01   gy08   66.3939
   gy01   gy09  360.0243
   gy01   gy10   17.2363
   gy01   gy11  103.2507
   gy01   gy12  41.32283
   gy01   gy13   10.2534
   gy01   gy14  24.88275
   gy02   gy01  3314.826
   gy02   gy02  20285.22
   gy02   gy03  4128.267
   gy02   gy04  7668.272
   gy02   gy05  6463.834
   gy02   gy06   1929.58
   gy02   gy07  1335.909
   gy02   gy08  301.8886
   gy02   gy09  1753.012
   gy02   gy10  164.0712
   gy02   gy11  473.0476
   gy02   gy12  276.2806
   gy02   gy13  25.66413
   gy02   gy14  83.28767
   gy03   gy01  2996.088
   gy03   gy02  6579.276
   gy03   gy03  5874.281
   gy03   gy04  21403.66
   gy03   gy05  9994.884
   gy03   gy06  6157.376
   gy03   gy07    5932.5
   gy03   gy08  1270.273
   gy03   gy09   7143.67
   gy03   gy10  1218.776
   gy03   gy11  1278.367
   gy03   gy12  961.7192
   gy03   gy13  180.9611
   gy03   gy14   438.826
   gy04   gy01  1940.905
   gy04   gy02  7791.851
   gy04   gy03  11197.34
   gy04   gy04  74157.49
   gy04   gy05  24752.37
   gy04   gy06  7325.969
   gy04   gy07  18262.15
   gy04   gy08  2582.377
   gy04   gy09  12248.24
   gy04   gy10  1577.315
   gy04   gy11  1630.171
   gy04   gy12   1576.11
   gy04   gy13  147.8823
   gy04   gy14  554.6571
   gy05   gy01  1188.048
   gy05   gy02  6395.963
   gy05   gy03  5530.454
   gy05   gy04  24363.12
   gy05   gy05  39334.94
   gy05   gy06  15511.74
   gy05   gy07  7950.767
   gy05   gy08  2930.527
   gy05   gy09  16730.89
   gy05   gy10  1781.441
   gy05   gy11  3422.277
   gy05   gy12  3099.759
   gy05   gy13  311.0367
   gy05   gy14  1703.712
   gy06   gy01  311.5663
   gy06   gy02  1854.111
   gy06   gy03  3313.355
   gy06   gy04  6924.229
   gy06   gy05  15414.97
   gy06   gy06   28971.3
   gy06   gy07  2026.697
   gy06   gy08  994.3412
   gy06   gy09  6839.635
   gy06   gy10  647.5615
   gy06   gy11  6335.324
   gy06   gy12  2201.298
   gy06   gy13  756.4215
   gy06   gy14  1218.045
   gy07   gy01  427.0499
   gy07   gy02  1329.814
   gy07   gy03  3672.056
   gy07   gy04  18350.09
   gy07   gy05  7997.182
   gy07   gy06  2069.982
   gy07   gy07  37669.72
   gy07   gy08  4701.514
   gy07   gy09  10925.34
   gy07   gy10  2526.058
   gy07   gy11  566.7423
   gy07   gy12  1359.488
   gy07   gy13  53.06897
   gy07   gy14  318.5031
   gy08   gy01  64.07727
   gy08   gy02  292.1684
   gy08   gy03  786.9481
   gy08   gy04  2431.317
   gy08   gy05  2811.558
   gy08   gy06  969.6419
   gy08   gy07  4589.043
   gy08   gy08   7680.03
   gy08   gy09  8384.382
   gy08   gy10  1403.922
   gy08   gy11   317.165
   gy08   gy12  1301.234
   gy08   gy13  59.44417
   gy08   gy14  259.6126
   gy09   gy01   351.697
   gy09   gy02  1707.989
   gy09   gy03  3995.909
   gy09   gy04   11799.8
   gy09   gy05  16542.78
   gy09   gy06  6808.798
   gy09   gy07  10846.98
   gy09   gy08  8562.339
   gy09   gy09  75085.85
   gy09   gy10  9056.793
   gy09   gy11  2840.084
   gy09   gy12  16195.88
   gy09   gy13  528.9497
   gy09   gy14  4575.358
   gy10   gy01  16.59672
   gy10   gy02   157.892
   gy10   gy03  717.3649
   gy10   gy04   1501.25
   gy10   gy05  1713.094
   gy10   gy06  632.2701
   gy10   gy07  2484.317
   gy10   gy08  1401.949
   gy10   gy09  8866.267
   gy10   gy10  9505.631
   gy10   gy11  287.3711
   gy10   gy12  3273.713
   gy10   gy13  50.76045
   gy10   gy14  812.7729
   gy11   gy01  99.60683
   gy11   gy02  451.6257
   gy11   gy03  723.2815
   gy11   gy04  1512.032
   gy11   gy05  3406.012
   gy11   gy06  5871.773
   gy11   gy07  549.3172
   gy11   gy08  321.9826
   gy11   gy09  2789.843
   gy11   gy10  284.8663
   gy11   gy11  11830.96
   gy11   gy12  1838.205
   gy11   gy13  1242.894
   gy11   gy14  1442.067
   gy12   gy01  40.87731
   gy12   gy02  270.0006
   gy12   gy03  605.5469
   gy12   gy04  1494.171
   gy12   gy05  3046.507
   gy12   gy06  2162.004
   gy12   gy07  1345.566
   gy12   gy08   1321.77
   gy12   gy09   16067.9
   gy12   gy10  3294.785
   gy12   gy11  1848.037
   gy12   gy12  24741.45
   gy12   gy13  1131.654
   gy12   gy14  7892.633
   gy13   gy01  9.584903
   gy13   gy02  23.68908
   gy13   gy03  93.50076
   gy13   gy04    126.61
   gy13   gy05  285.1808
   gy13   gy06  684.0489
   gy13   gy07  49.64379
   gy13   gy08  58.55669
   gy13   gy09  500.0555
   gy13   gy10  50.44787
   gy13   gy11  1176.865
   gy13   gy12  1106.452
   gy13   gy13  7363.556
   gy13   gy14  5185.528
   gy14   gy01  24.59553
   gy14   gy02  81.16389
   gy14   gy03  280.1788
   gy14   gy04  512.6218
   gy14   gy05  1657.875
   gy14   gy06  1168.001
   gy14   gy07  312.3431
   gy14   gy08  259.6656
   gy14   gy09  4481.745
   gy14   gy10  809.8065
   gy14   gy11  1414.375
   gy14   gy12  7842.537
   gy14   gy13  5196.581
   gy14   gy14  71049.77
a matrix=mf883   Calc2   0.0 Calculation 2                           
   gy01   gy01  630.4319
   gy01   gy02  386.5076
   gy01   gy03  525.2518
   gy01   gy04  320.5023
   gy01   gy05  150.4767
   gy01   gy06   41.6851
   gy01   gy07  53.59805
   gy01   gy08  8.366432
   gy01   gy09  45.93947
   gy01   gy10  2.328401
   gy01   gy11  14.41362
   gy01   gy12  7.063906
   gy01   gy13  1.928229
   gy01   gy14  4.616169
   gy02   gy01  364.4067
   gy02   gy02  3724.549
   gy02   gy03  996.0069
   gy02   gy04  1135.963
   gy02   gy05  711.7017
   gy02   gy06  226.9834
   gy02   gy07   155.502
   gy02   gy08  34.07419
   gy02   gy09   200.865
   gy02   gy10  19.29623
   gy02   gy11  58.73347
   gy02   gy12  43.08238
   gy02   gy13  4.299794
   gy02   gy14  14.01266
   gy03   gy01  194.2056
   gy03   gy02  399.1355
   gy03   gy03  822.5157
   gy03   gy04  1775.496
   gy03   gy05   624.033
   gy03   gy06   377.171
   gy03   gy07  377.9817
   gy03   gy08  80.14337
   gy03   gy09  429.0545
   gy03   gy10   79.0699
   gy03   gy11  86.12238
   gy03   gy12  81.66757
   gy03   gy13  17.14749
   gy03   gy14  40.89362
   gy04   gy01  243.3031
   gy04   gy02  946.6444
   gy04   gy03  3150.038
   gy04   gy04  14110.45
   gy04   gy05  3124.662
   gy04   gy06  913.2215
   gy04   gy07   2363.19
   gy04   gy08  340.9614
   gy04   gy09  1551.695
   gy04   gy10   209.739
   gy04   gy11  222.6345
   gy04   gy12   263.979
   gy04   gy13  27.75285
   gy04   gy14  96.07939
   gy05   gy01  126.8885
   gy05   gy02  639.7018
   gy05   gy03  1283.374
   gy05   gy04  3279.989
   gy05   gy05  7023.542
   gy05   gy06  1561.909
   gy05   gy07  828.9351
   gy05   gy08  308.3393
   gy05   gy09  1630.804
   gy05   gy10  186.0377
   gy05   gy11  377.2931
   gy05   gy12  414.7373
   gy05   gy13  46.26368
   gy05   gy14  242.4694
   gy06   gy01  39.24052
   gy06   gy02  225.5927
   gy06   gy03  865.5432
   gy06   gy04  1091.979
   gy06   gy05  1699.416
   gy06   gy06  5579.271
   gy06   gy07  243.4024
   gy06   gy08  115.0315
   gy06   gy09  756.3499
   gy06   gy10  78.70252
   gy06   gy11  728.2382
   gy06   gy12  318.4222
   gy06   gy13  117.1996
   gy06   gy14  186.6038
   gy07   gy01  49.44799
   gy07   gy02  151.3647
   gy07   gy03  897.1187
   gy07   gy04  2712.726
   gy07   gy05  907.2553
   gy07   gy06  241.8157
   gy07   gy07    6767.7
   gy07   gy08  482.7651
   gy07   gy09  1181.762
   gy07   gy10  278.5805
   gy07   gy11  70.05264
   gy07   gy12  208.1095
   gy07   gy13  9.124495
   gy07   gy14  50.25717
   gy08   gy01  8.430659
   gy08   gy02  36.14798
   gy08   gy03  216.1611
   gy08   gy04  407.9128
   gy08   gy05  349.3736
   gy08   gy06  119.9248
   gy08   gy07  529.3041
   gy08   gy08  1502.616
   gy08   gy09  985.7036
   gy08   gy10  169.7484
   gy08   gy11  46.28119
   gy08   gy12   207.865
   gy08   gy13  10.98299
   gy08   gy14  44.63649
   gy09   gy01  39.25122
   gy09   gy02  183.9734
   gy09   gy03  927.9311
   gy09   gy04  1675.059
   gy09   gy05  1631.753
   gy09   gy06  686.0683
   gy09   gy07  1121.014
   gy09   gy08  876.0726
   gy09   gy09  12998.17
   gy09   gy10  892.5239
   gy09   gy11  327.6638
   gy09   gy12  1970.002
   gy09   gy13  81.89638
   gy09   gy14   599.197
   gy10   gy01  2.284525
   gy10   gy02     20.19
   gy10   gy03   207.995
   gy10   gy04  260.2791
   gy10   gy05   208.626
   gy10   gy06   80.8057
   gy10   gy07  299.0398
   gy10   gy08  165.8718
   gy10   gy09  994.9203
   gy10   gy10  1871.552
   gy10   gy11  39.29185
   gy10   gy12  463.0386
   gy10   gy13  8.800103
   gy10   gy14  128.2152
   gy11   gy01  14.55794
   gy11   gy02  62.46949
   gy11   gy03  221.8151
   gy11   gy04  283.4796
   gy11   gy05  445.6796
   gy11   gy06  718.7376
   gy11   gy07  75.13048
   gy11   gy08  47.08009
   gy11   gy09  368.8708
   gy11   gy10  39.49609
   gy11   gy11  2500.259
   gy11   gy12  280.5921
   gy11   gy13  196.4111
   gy11   gy14  226.4319
   gy12   gy01  7.014279
   gy12   gy02  44.53416
   gy12   gy03  224.3781
   gy12   gy04  322.5027
   gy12   gy05  459.4724
   gy12   gy06  318.2276
   gy12   gy07  218.0578
   gy12   gy08  200.6995
   gy12   gy09  2082.764
   gy12   gy10  450.2664
   gy12   gy11  267.0932
   gy12   gy12  3309.203
   gy12   gy13  175.2665
   gy12   gy14   1120.05
   gy13   gy01  1.911216
   gy13   gy02  4.467045
   gy13   gy03  40.21177
   gy13   gy04  32.70029
   gy13   gy05  50.37659
   gy13   gy06  114.2672
   gy13   gy07  9.510979
   gy13   gy08  10.95988
   gy13   gy09   88.2853
   gy13   gy10  9.056268
   gy13   gy11  184.9928
   gy13   gy12  177.5651
   gy13   gy13  1061.892
   gy13   gy14  784.9732
   gy14   gy01  4.833124
   gy14   gy02  15.29918
   gy14   gy03  116.3192
   gy14   gy04  121.7107
   gy14   gy05  281.0909
   gy14   gy06  192.4349
   gy14   gy07  54.99984
   gy14   gy08   44.7333
   gy14   gy09  680.2256
   gy14   gy10  131.0403
   gy14   gy11  218.7145
   gy14   gy12  1148.585
   gy14   gy13  774.5638
   gy14   gy14  9339.567
a matrix=mf884   Calc3   0.0 Calculation 3                           
   gy01   gy01  103.3318
   gy01   gy02  76.02194
   gy01   gy03  95.77432
   gy01   gy04  86.69645
   gy01   gy05   29.9181
   gy01   gy06  8.759212
   gy01   gy07  11.20687
   gy01   gy08  1.686789
   gy01   gy09  9.673456
   gy01   gy10  .4905703
   gy01   gy11  3.138241
   gy01   gy12  1.555782
   gy01   gy13  .4608027
   gy01   gy14  1.162863
   gy02   gy01  71.72978
   gy02   gy02  608.0588
   gy02   gy03  178.8313
   gy02   gy04   300.919
   gy02   gy05  141.6883
   gy02   gy06  47.06082
   gy02   gy07   31.4107
   gy02   gy08  6.563357
   gy02   gy09  42.31392
   gy02   gy10  3.820665
   gy02   gy11  12.19665
   gy02   gy12  9.356859
   gy02   gy13  1.001458
   gy02   gy14  3.351172
   gy03   gy01  36.02332
   gy03   gy02  72.85164
   gy03   gy03  131.1027
   gy03   gy04  447.5728
   gy03   gy05  118.7083
   gy03   gy06  71.78888
   gy03   gy07  72.50922
   gy03   gy08  14.87447
   gy03   gy09  84.35853
   gy03   gy10  15.11836
   gy03   gy11  16.89597
   gy03   gy12  16.53491
   gy03   gy13  3.691366
   gy03   gy14  9.187746
   gy04   gy01  65.86137
   gy04   gy02  250.9741
   gy04   gy03  781.1276
   gy04   gy04  2755.402
   gy04   gy05  846.1163
   gy04   gy06  249.7442
   gy04   gy07   648.795
   gy04   gy08  91.58031
   gy04   gy09  432.8374
   gy04   gy10  58.18972
   gy04   gy11  64.25458
   gy04   gy12  75.92507
   gy04   gy13  9.030404
   gy04   gy14  30.06006
   gy05   gy01  25.18566
   gy05   gy02  127.2193
   gy05   gy03  241.0852
   gy05   gy04  888.2394
   gy05   gy05   1183.55
   gy05   gy06  308.4641
   gy05   gy07  174.4466
   gy05   gy08  63.50456
   gy05   gy09  330.4362
   gy05   gy10  37.37911
   gy05   gy11  78.71859
   gy05   gy12  86.54792
   gy05   gy13  10.73379
   gy05   gy14  56.53358
   gy06   gy01  8.220591
   gy06   gy02  46.59957
   gy06   gy03  162.5477
   gy06   gy04  297.8353
   gy06   gy05  335.5883
   gy06   gy06  923.3616
   gy06   gy07  49.95307
   gy06   gy08  22.85785
   gy06   gy09  153.0858
   gy06   gy10  16.01985
   gy06   gy11  149.1211
   gy06   gy12  67.96188
   gy06   gy13  26.49073
   gy06   gy14  42.57854
   gy07   gy01  10.34385
   gy07   gy02  30.61429
   gy07   gy03  170.0557
   gy07   gy04  747.4604
   gy07   gy05  191.3962
   gy07   gy06  49.77723
   gy07   gy07  1142.249
   gy07   gy08  96.13435
   gy07   gy09  245.6644
   gy07   gy10  55.26752
   gy07   gy11  14.37974
   gy07   gy12  45.33355
   gy07   gy13  2.047234
   gy07   gy14   11.7699
   gy08   gy01   1.69594
   gy08   gy02  6.944827
   gy08   gy03  39.34846
   gy08   gy04  109.2709
   gy08   gy05  71.74964
   gy08   gy06  23.77296
   gy08   gy07  105.4792
   gy08   gy08  245.1791
   gy08   gy09  203.3708
   gy08   gy10  33.95667
   gy08   gy11  10.45646
   gy08   gy12  43.65419
   gy08   gy13  2.571185
   gy08   gy14  10.06119
   gy09   gy01  8.345249
   gy09   gy02  39.10103
   gy09   gy03  182.2021
   gy09   gy04  471.3793
   gy09   gy05  333.9362
   gy09   gy06   140.254
   gy09   gy07  234.9939
   gy09   gy08  182.5715
   gy09   gy09   2207.25
   gy09   gy10  180.0166
   gy09   gy11  70.72765
   gy09   gy12  411.0055
   gy09   gy13  19.11208
   gy09   gy14   132.913
   gy10   gy01  .4792140
   gy10   gy02  3.981853
   gy10   gy03  39.33794
   gy10   gy04  72.12711
   gy10   gy05   41.7844
   gy10   gy06  16.40127
   gy10   gy07  59.28636
   gy10   gy08  33.22676
   gy10   gy09  198.0259
   gy10   gy10  308.0685
   gy10   gy11  8.232501
   gy10   gy12  94.74056
   gy10   gy13  1.985004
   gy10   gy14  28.93307
   gy11   gy01  3.157908
   gy11   gy02  12.91382
   gy11   gy03  42.95669
   gy11   gy04  81.55296
   gy11   gy05  93.07368
   gy11   gy06  146.2491
   gy11   gy07  15.36843
   gy11   gy08  10.65804
   gy11   gy09  78.66955
   gy11   gy10  8.263411
   gy11   gy11  418.9892
   gy11   gy12   58.3381
   gy11   gy13  43.57125
   gy11   gy14  49.39971
   gy12   gy01  1.543682
   gy12   gy02  9.654701
   gy12   gy03   44.8843
   gy12   gy04   92.7379
   gy12   gy05  95.89328
   gy12   gy06  67.74748
   gy12   gy07  47.47219
   gy12   gy08  42.24312
   gy12   gy09  430.6356
   gy12   gy10  92.27087
   gy12   gy11  55.48853
   gy12   gy12  671.5801
   gy12   gy13  39.30174
   gy12   gy14  240.3138
   gy13   gy01  .4528776
   gy13   gy02  1.030259
   gy13   gy03  8.464577
   gy13   gy04  10.51723
   gy13   gy05  11.57886
   gy13   gy06  25.52504
   gy13   gy07  2.111891
   gy13   gy08  2.558175
   gy13   gy09  20.23428
   gy13   gy10  2.041196
   gy13   gy11  40.70624
   gy13   gy12  39.66038
   gy13   gy13  219.7986
   gy13   gy14  167.8024
   gy14   gy01  1.216768
   gy14   gy02  3.649028
   gy14   gy03  25.54705
   gy14   gy04  37.87816
   gy14   gy05  65.48871
   gy14   gy06  43.56173
   gy14   gy07  12.85761
   gy14   gy08  10.07965
   gy14   gy09   149.175
   gy14   gy10  29.56878
   gy14   gy11  47.46158
   gy14   gy12  246.3097
   gy14   gy13  165.6397
   gy14   gy14  1934.054
a matrix=mf885   Calc4   0.0 Calculation 4                           
   gy01   gy01  267.9357
   gy01   gy02   413.405
   gy01   gy03   1257.08
   gy01   gy04  243.9211
   gy01   gy05  52.87808
   gy01   gy06  8.114279
   gy01   gy07  9.807407
   gy01   gy08  .8446475
   gy01   gy09  2.450301
   gy01   gy10  .2136361
   gy01   gy11  .7987005
   gy01   gy12  .0167827
   gy01   gy13         0
   gy01   gy14         0
   gy02   gy01  406.1416
   gy02   gy02   2955.98
   gy02   gy03  2530.329
   gy02   gy04  995.0211
   gy02   gy05  430.2348
   gy02   gy06  72.38235
   gy02   gy07  43.05766
   gy02   gy08  4.098918
   gy02   gy09  9.846108
   gy02   gy10   1.54605
   gy02   gy11  6.016514
   gy02   gy12  .2649774
   gy02   gy13         0
   gy02   gy14         0
   gy03   gy01  800.5428
   gy03   gy02   1246.12
   gy03   gy03  4414.475
   gy03   gy04  10919.32
   gy03   gy05  1540.998
   gy03   gy06  504.5034
   gy03   gy07  411.7456
   gy03   gy08  51.22682
   gy03   gy09  126.0358
   gy03   gy10  41.61118
   gy03   gy11   37.7211
   gy03   gy12  6.124737
   gy03   gy13         0
   gy03   gy14         0
   gy04   gy01  165.2661
   gy04   gy02  693.3019
   gy04   gy03   12304.6
   gy04   gy04  29640.68
   gy04   gy05  2731.572
   gy04   gy06  302.5697
   gy04   gy07  1164.475
   gy04   gy08  117.9749
   gy04   gy09  230.3968
   gy04   gy10  45.94322
   gy04   gy11  28.07489
   gy04   gy12  10.20277
   gy04   gy13         0
   gy04   gy14         0
   gy05   gy01  40.58016
   gy05   gy02  376.7041
   gy05   gy03  2030.495
   gy05   gy04    2803.5
   gy05   gy05  4564.916
   gy05   gy06  835.9694
   gy05   gy07  483.4634
   gy05   gy08  172.9639
   gy05   gy09  296.1026
   gy05   gy10  26.32536
   gy05   gy11   85.1329
   gy05   gy12  27.50923
   gy05   gy13         0
   gy05   gy14         0
   gy06   gy01  8.841336
   gy06   gy02  71.93276
   gy06   gy03   855.636
   gy06   gy04  409.9117
   gy06   gy05  933.9912
   gy06   gy06  3146.432
   gy06   gy07  52.73933
   gy06   gy08  23.77588
   gy06   gy09  93.14518
   gy06   gy10  6.058619
   gy06   gy11  488.0973
   gy06   gy12  45.68292
   gy06   gy13         0
   gy06   gy14         0
   gy07   gy01  8.820858
   gy07   gy02  37.01577
   gy07   gy03  691.6666
   gy07   gy04   1397.48
   gy07   gy05   482.464
   gy07   gy06  49.81809
   gy07   gy07  4025.722
   gy07   gy08   218.257
   gy07   gy09   376.866
   gy07   gy10  100.9724
   gy07   gy11   6.44696
   gy07   gy12  21.20712
   gy07   gy13         0
   gy07   gy14         0
   gy08   gy01  .8238651
   gy08   gy02  3.738557
   gy08   gy03  100.8054
   gy08   gy04  148.2854
   gy08   gy05   175.309
   gy08   gy06  20.15719
   gy08   gy07  266.9872
   gy08   gy08  490.8214
   gy08   gy09  479.0379
   gy08   gy10   53.9678
   gy08   gy11   4.85096
   gy08   gy12  28.29479
   gy08   gy13         0
   gy08   gy14  .0046118
   gy09   gy01  1.723385
   gy09   gy02  7.237084
   gy09   gy03  193.7782
   gy09   gy04  268.7896
   gy09   gy05    291.66
   gy09   gy06   86.3774
   gy09   gy07  320.9258
   gy09   gy08  433.9838
   gy09   gy09  6691.928
   gy09   gy10  545.5485
   gy09   gy11  100.7095
   gy09   gy12  919.0761
   gy09   gy13  .0702755
   gy09   gy14  18.91047
   gy10   gy01  .2310604
   gy10   gy02  1.715215
   gy10   gy03  84.13139
   gy10   gy04  71.01608
   gy10   gy05   33.0889
   gy10   gy06  5.790589
   gy10   gy07  115.2129
   gy10   gy08  47.69183
   gy10   gy09  586.9067
   gy10   gy10  874.3802
   gy10   gy11  4.701443
   gy10   gy12  108.3183
   gy10   gy13         0
   gy10   gy14  .4968178
   gy11   gy01  1.090518
   gy11   gy02  7.264707
   gy11   gy03  77.98664
   gy11   gy04  46.43711
   gy11   gy05  116.1292
   gy11   gy06  330.0069
   gy11   gy07  6.999511
   gy11   gy08  6.410184
   gy11   gy09  90.09522
   gy11   gy10  2.522796
   gy11   gy11  939.3876
   gy11   gy12  70.99648
   gy11   gy13         0
   gy11   gy14  .4105273
   gy12   gy01  .0248283
   gy12   gy02  1.023663
   gy12   gy03  17.52956
   gy12   gy04   14.7719
   gy12   gy05   36.9636
   gy12   gy06  49.12711
   gy12   gy07  20.08551
   gy12   gy08  24.74399
   gy12   gy09  910.9387
   gy12   gy10  103.4556
   gy12   gy11  82.09069
   gy12   gy12  1658.529
   gy12   gy13  2.280287
   gy12   gy14  71.24641
   gy13   gy01         0
   gy13   gy02         0
   gy13   gy03         0
   gy13   gy04         0
   gy13   gy05         0
   gy13   gy06         0
   gy13   gy07         0
   gy13   gy08         0
   gy13   gy09  .0035082
   gy13   gy10         0
   gy13   gy11         0
   gy13   gy12  1.267106
   gy13   gy13  236.6472
   gy13   gy14  139.1923
   gy14   gy01         0
   gy14   gy02         0
   gy14   gy03         0
   gy14   gy04         0
   gy14   gy05         0
   gy14   gy06         0
   gy14   gy07         0
   gy14   gy08         0
   gy14   gy09  10.11638
   gy14   gy10         0
   gy14   gy11  .0068631
   gy14   gy12  58.82212
   gy14   gy13  141.6106
   gy14   gy14  2875.164
a matrix=mf886   Calc5   0.0 Calculation 5                           
   gy01   gy01         0
   gy01   gy02  21.80505
   gy01   gy03  529.8616
   gy01   gy04  318.3472
   gy01   gy05  170.3651
   gy01   gy06  30.73972
   gy01   gy07  61.30107
   gy01   gy08  3.373088
   gy01   gy09  43.00954
   gy01   gy10  1.216159
   gy01   gy11   5.99069
   gy01   gy12  2.160785
   gy01   gy13         0
   gy01   gy14         0
   gy02   gy01         0
   gy02   gy02         0
   gy02   gy03  3119.445
   gy02   gy04  1004.951
   gy02   gy05  690.1338
   gy02   gy06  171.8617
   gy02   gy07  151.1202
   gy02   gy08  12.07848
   gy02   gy09  170.2291
   gy02   gy10  8.095369
   gy02   gy11  23.86377
   gy02   gy12  13.90903
   gy02   gy13         0
   gy02   gy14         0
   gy03   gy01  214.4459
   gy03   gy02  2553.452
   gy03   gy03  2486.422
   gy03   gy04   14209.7
   gy03   gy05  8075.661
   gy03   gy06  2563.845
   gy03   gy07   3790.72
   gy03   gy08  296.2648
   gy03   gy09  3674.982
   gy03   gy10  375.5898
   gy03   gy11   329.134
   gy03   gy12  225.4133
   gy03   gy13         0
   gy03   gy14  1.059991
   gy04   gy01  468.7114
   gy04   gy02  1377.439
   gy04   gy03  20099.24
   gy04   gy04  7906.452
   gy04   gy05  7486.987
   gy04   gy06  1488.972
   gy04   gy07  5018.732
   gy04   gy08   291.243
   gy04   gy09  2530.181
   gy04   gy10  227.7328
   gy04   gy11  196.2542
   gy04   gy12  148.2995
   gy04   gy13         0
   gy04   gy14  .4834552
   gy05   gy01  230.8525
   gy05   gy02  943.3668
   gy05   gy03  11554.22
   gy05   gy04  8006.715
   gy05   gy05  9435.777
   gy05   gy06  3031.363
   gy05   gy07  1478.777
   gy05   gy08  355.8886
   gy05   gy09  3843.458
   gy05   gy10     247.4
   gy05   gy11  426.9692
   gy05   gy12   347.223
   gy05   gy13         0
   gy05   gy14  11.92846
   gy06   gy01  42.32697
   gy06   gy02  250.2903
   gy06   gy03  4484.371
   gy06   gy04  1567.009
   gy06   gy05  2844.096
   gy06   gy06  733.0486
   gy06   gy07  248.2533
   gy06   gy08  68.58803
   gy06   gy09  822.1286
   gy06   gy10  52.27398
   gy06   gy11  11.62741
   gy06   gy12  98.80884
   gy06   gy13         0
   gy06   gy14  1.962103
   gy07   gy01   72.3151
   gy07   gy02  168.4497
   gy07   gy03  5286.701
   gy07   gy04   4518.89
   gy07   gy05  1350.384
   gy07   gy06  209.7183
   gy07   gy07  1597.099
   gy07   gy08  125.3674
   gy07   gy09  757.2374
   gy07   gy10  139.0818
   gy07   gy11   31.2195
   gy07   gy12  65.58266
   gy07   gy13         0
   gy07   gy14         0
   gy08   gy01  5.637474
   gy08   gy02  19.70104
   gy08   gy03  569.3255
   gy08   gy04  328.7725
   gy08   gy05  421.1199
   gy08   gy06  91.19086
   gy08   gy07  136.3826
   gy08   gy08  5.946653
   gy08   gy09  330.3135
   gy08   gy10   20.8208
   gy08   gy11  19.54519
   gy08   gy12  46.49073
   gy08   gy13         0
   gy08   gy14  .1693730
   gy09   gy01  60.08183
   gy09   gy02  237.9576
   gy09   gy03  6157.521
   gy09   gy04   2781.18
   gy09   gy05  4035.972
   gy09   gy06  943.9782
   gy09   gy07  960.0526
   gy09   gy08  324.1694
   gy09   gy09  2599.777
   gy09   gy10  68.90141
   gy09   gy11  106.2255
   gy09   gy12  133.7376
   gy09   gy13         0
   gy09   gy14  5.086882
   gy10   gy01  1.893226
   gy10   gy02  13.04588
   gy10   gy03  681.1076
   gy10   gy04  214.2055
   gy10   gy05  281.9534
   gy10   gy06   65.3435
   gy10   gy07  142.0464
   gy10   gy08  33.18402
   gy10   gy09  89.07422
   gy10   gy10         0
   gy10   gy11  2.605981
   gy10   gy12         0
   gy10   gy13         0
   gy10   gy14         0
   gy11   gy01  9.177356
   gy11   gy02  39.57326
   gy11   gy03  681.8782
   gy11   gy04  217.8182
   gy11   gy05  329.3815
   gy11   gy06  647.7168
   gy11   gy07  41.99621
   gy11   gy08  12.16041
   gy11   gy09   117.182
   gy11   gy10  7.055061
   gy11   gy11  58.74867
   gy11   gy12  5.435123
   gy11   gy13         0
   gy11   gy14         0
   gy12   gy01  2.659123
   gy12   gy02  17.67505
   gy12   gy03  398.8962
   gy12   gy04  150.2841
   gy12   gy05  336.8883
   gy12   gy06  134.9901
   gy12   gy07  68.50682
   gy12   gy08  38.07048
   gy12   gy09  130.9218
   gy12   gy10         0
   gy12   gy11  .2639622
   gy12   gy12         0
   gy12   gy13         0
   gy12   gy14         0
   gy13   gy01  .6936825
   gy13   gy02  1.779467
   gy13   gy03  59.56138
   gy13   gy04  14.83628
   gy13   gy05  20.89987
   gy13   gy06  76.29107
   gy13   gy07  2.972415
   gy13   gy08  .9237911
