c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:12:28
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  1300.205
   gy01   gy02  1401.435
   gy01   gy03  755.9746
   gy01   gy04  870.6151
   gy01   gy05   506.478
   gy01   gy06  131.9219
   gy01   gy07  170.8875
   gy01   gy08  23.74795
   gy01   gy09  109.4687
   gy01   gy10  5.307048
   gy01   gy11   41.3779
   gy01   gy12  18.63152
   gy01   gy13  3.696363
   gy01   gy14  6.256687
   gy02   gy01  1397.741
   gy02   gy02   7356.52
   gy02   gy03  1248.743
   gy02   gy04  2997.362
   gy02   gy05  2470.265
   gy02   gy06  776.7337
   gy02   gy07  461.5801
   gy02   gy08  92.38442
   gy02   gy09  540.8579
   gy02   gy10  47.60052
   gy02   gy11   183.734
   gy02   gy12  121.3299
   gy02   gy13  9.242995
   gy02   gy14  20.53487
   gy03   gy01  1343.953
   gy03   gy02  2300.581
   gy03   gy03  3866.439
   gy03   gy04  8978.443
   gy03   gy05  3795.398
   gy03   gy06  2112.734
   gy03   gy07  1780.924
   gy03   gy08  341.7247
   gy03   gy09  1719.802
   gy03   gy10  313.2486
   gy03   gy11  454.9477
   gy03   gy12  410.8931
   gy03   gy13  63.28815
   gy03   gy14    101.38
   gy04   gy01  870.5163
   gy04   gy02  3040.812
   gy04   gy03  4220.669
   gy04   gy04  30242.45
   gy04   gy05  10012.58
   gy04   gy06  2839.383
   gy04   gy07  6562.474
   gy04   gy08  876.0015
   gy04   gy09  3690.532
   gy04   gy10  476.9432
   gy04   gy11   658.857
   gy04   gy12  697.9361
   gy04   gy13  56.41388
   gy04   gy14  131.7341
   gy05   gy01  493.2028
   gy05   gy02   2425.41
   gy05   gy03  1814.076
   gy05   gy04   9821.69
   gy05   gy05  15502.62
   gy05   gy06  5888.375
   gy05   gy07  2919.174
   gy05   gy08  1164.367
   gy05   gy09  5198.409
   gy05   gy10  560.3023
   gy05   gy11  1374.869
   gy05   gy12  1379.731
   gy05   gy13  116.4999
   gy05   gy14  426.9577
   gy06   gy01  126.2846
   gy06   gy02  733.3971
   gy06   gy03  900.1723
   gy06   gy04  2633.655
   gy06   gy05  5850.408
   gy06   gy06  10946.39
   gy06   gy07  763.7803
   gy06   gy08  368.5763
   gy06   gy09  2323.069
   gy06   gy10  227.8649
   gy06   gy11  2619.004
   gy06   gy12  958.0189
   gy06   gy13   288.921
   gy06   gy14  340.6282
   gy07   gy01   168.208
   gy07   gy02  458.2007
   gy07   gy03  974.3272
   gy07   gy04  6665.527
   gy07   gy05  2954.357
   gy07   gy06  787.9727
   gy07   gy07  10560.56
   gy07   gy08   1295.67
   gy07   gy09  3133.588
   gy07   gy10    737.86
   gy07   gy11  211.6781
   gy07   gy12  614.8355
   gy07   gy13  18.15977
   gy07   gy14   71.7318
   gy08   gy01  22.51941
   gy08   gy02  87.87624
   gy08   gy03  172.2057
   gy08   gy04  808.5521
   gy08   gy05   1100.88
   gy08   gy06   355.099
   gy08   gy07  1247.583
   gy08   gy08  2036.207
   gy08   gy09  2509.141
   gy08   gy10  430.9479
   gy08   gy11  135.9911
   gy08   gy12  571.9822
   gy08   gy13  21.60851
   gy08   gy14  59.28855
   gy09   gy01  104.4011
   gy09   gy02  515.8461
   gy09   gy03  744.9027
   gy09   gy04  3485.536
   gy09   gy05  5090.862
   gy09   gy06  2292.044
   gy09   gy07  3079.723
   gy09   gy08  2579.161
   gy09   gy09  21340.86
   gy09   gy10  2686.286
   gy09   gy11  1055.652
   gy09   gy12  5976.941
   gy09   gy13  198.3111
   gy09   gy14  1145.189
   gy10   gy01  4.988447
   gy10   gy02  44.77823
   gy10   gy03  143.6884
   gy10   gy04  446.4419
   gy10   gy05  528.6436
   gy10   gy06  219.8605
   gy10   gy07  719.9737
   gy10   gy08  429.6171
   gy10   gy09   2611.54
   gy10   gy10  3025.614
   gy10   gy11  106.5349
   gy10   gy12  1315.336
   gy10   gy13  18.33387
   gy10   gy14  227.6137
   gy11   gy01  39.32334
   gy11   gy02  172.0465
   gy11   gy03  207.2464
   gy11   gy04  597.3631
   gy11   gy05  1372.978
   gy11   gy06  2342.029
   gy11   gy07   202.563
   gy11   gy08  138.9141
   gy11   gy09  1034.263
   gy11   gy10  105.2078
   gy11   gy11  4706.123
   gy11   gy12  768.9633
   gy11   gy13  502.8177
   gy11   gy14  477.5834
   gy12   gy01  18.36967
   gy12   gy02  117.7636
   gy12   gy03  223.0584
   gy12   gy04  654.3106
   gy12   gy05   1351.34
   gy12   gy06  934.7861
   gy12   gy07  607.4345
   gy12   gy08  584.0496
   gy12   gy09  5923.624
   gy12   gy10    1325.8
   gy12   gy11  773.5549
   gy12   gy12  11633.08
   gy12   gy13  449.8401
   gy12   gy14  2403.022
   gy13   gy01  3.346635
   gy13   gy02  8.233926
   gy13   gy03  25.69295
   gy13   gy04  45.64173
   gy13   gy05  103.1539
   gy13   gy06  249.6683
   gy13   gy07  16.45241
   gy13   gy08  21.15665
   gy13   gy09   184.102
   gy13   gy10   18.1921
   gy13   gy11  465.2385
   gy13   gy12  436.4297
   gy13   gy13  2878.538
   gy13   gy14  1804.172
   gy14   gy01  6.170955
   gy14   gy02  19.83569
   gy14   gy03  51.67087
   gy14   gy04  118.4814
   gy14   gy05  412.3585
   gy14   gy06  319.9296
   gy14   gy07  69.96737
   gy14   gy08  59.38904
   gy14   gy09   1117.79
   gy14   gy10  226.6768
   gy14   gy11  464.2975
   gy14   gy12  2384.863
   gy14   gy13  1809.866
   gy14   gy14  17231.77
a matrix=mf883   Calc2   0.0 Calculation 2                           
   gy01   gy01  340.9716
   gy01   gy02  205.7527
   gy01   gy03  265.9777
   gy01   gy04  177.3026
   gy01   gy05  79.53065
   gy01   gy06  21.83851
   gy01   gy07  27.28717
   gy01   gy08  3.917984
   gy01   gy09  19.03747
   gy01   gy10  .9727160
   gy01   gy11  7.380855
   gy01   gy12  3.945005
   gy01   gy13  .9015173
   gy01   gy14  1.598159
   gy02   gy01  192.7505
   gy02   gy02  1759.839
   gy02   gy03  403.4881
   gy02   gy04  559.8207
   gy02   gy05  346.0531
   gy02   gy06  117.2774
   gy02   gy07  70.37208
   gy02   gy08  13.86694
   gy02   gy09  83.58058
   gy02   gy10  7.641775
   gy02   gy11  29.48566
   gy02   gy12  23.48339
   gy02   gy13  2.007938
   gy02   gy14  4.799875
   gy03   gy01   109.104
   gy03   gy02  187.5052
   gy03   gy03  569.7528
   gy03   gy04  942.7471
   gy03   gy05  310.7644
   gy03   gy06  172.6813
   gy03   gy07  160.6075
   gy03   gy08  30.83301
   gy03   gy09  145.6375
   gy03   gy10  28.34455
   gy03   gy11    40.341
   gy03   gy12  44.21027
   gy03   gy13  7.818173
   gy03   gy14  13.19594
   gy04   gy01  133.4505
   gy04   gy02  467.4026
   gy04   gy03  1464.483
   gy04   gy04  7137.171
   gy04   gy05  1585.963
   gy04   gy06  456.7515
   gy04   gy07  1100.265
   gy04   gy08  151.4635
   gy04   gy09  635.0925
   gy04   gy10  86.48861
   gy04   gy11  114.9503
   gy04   gy12   144.866
   gy04   gy13  13.47353
   gy04   gy14  31.55528
   gy05   gy01  66.56279
   gy05   gy02  310.9042
   gy05   gy03  552.0775
   gy05   gy04  1659.945
   gy05   gy05  3512.754
   gy05   gy06  773.9806
   gy05   gy07  391.4194
   gy05   gy08  152.3769
   gy05   gy09  685.4066
   gy05   gy10  79.26034
