c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:12:25
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  46.26532
   gy01   gy02  75.56125
   gy01   gy03  20.75526
   gy01   gy04  51.76287
   gy01   gy05  25.53839
   gy01   gy06  5.713286
   gy01   gy07  7.271543
   gy01   gy08   1.06099
   gy01   gy09  4.447151
   gy01   gy10  .2206677
   gy01   gy11  1.867042
   gy01   gy12  .9220714
   gy01   gy13  .2412688
   gy01   gy14  .5241699
   gy02   gy01  75.82999
   gy02   gy02   370.498
   gy02   gy03  40.04665
   gy02   gy04  205.7103
   gy02   gy05  167.0305
   gy02   gy06   38.1124
   gy02   gy07  27.49408
   gy02   gy08   5.68419
   gy02   gy09  27.78235
   gy02   gy10   2.13821
   gy02   gy11  8.291409
   gy02   gy12  7.615856
   gy02   gy13  .6208749
   gy02   gy14  1.891049
   gy03   gy01  50.25991
   gy03   gy02  97.72117
   gy03   gy03  384.6009
   gy03   gy04  577.3177
   gy03   gy05  184.6167
   gy03   gy06  47.73262
   gy03   gy07  95.83978
   gy03   gy08  17.91091
   gy03   gy09  37.41886
   gy03   gy10  6.520125
   gy03   gy11  11.00359
   gy03   gy12  13.43662
   gy03   gy13  4.088539
   gy03   gy14   8.64914
   gy04   gy01  49.14358
   gy04   gy02  208.6086
   gy04   gy03  225.5374
   gy04   gy04  2183.245
   gy04   gy05  668.8898
   gy04   gy06  120.0325
   gy04   gy07  474.0263
   gy04   gy08  70.02974
   gy04   gy09  164.0657
   gy04   gy10  19.27716
   gy04   gy11  27.35416
   gy04   gy12  36.14724
   gy04   gy13  4.130292
   gy04   gy14  11.59311
   gy05   gy01  22.44625
   gy05   gy02  152.0638
   gy05   gy03   68.7415
   gy05   gy04  633.1414
   gy05   gy05  962.6852
   gy05   gy06  221.3981
   gy05   gy07  205.2206
   gy05   gy08  93.26444
   gy05   gy09  214.8314
   gy05   gy10  26.04043
   gy05   gy11  56.09435
   gy05   gy12   75.5206
   gy05   gy13  8.284666
   gy05   gy14    37.176
   gy06   gy01  4.724541
   gy06   gy02  30.99142
   gy06   gy03  13.45525
   gy06   gy04  102.1552
   gy06   gy05  219.3671
   gy06   gy06  395.2625
   gy06   gy07  30.28593
   gy06   gy08  15.98756
   gy06   gy09  97.54351
   gy06   gy10  11.60598
   gy06   gy11  122.2246
   gy06   gy12  52.18959
   gy06   gy13  21.96655
   gy06   gy14  27.35355
   gy07   gy01  6.707885
   gy07   gy02  26.30032
   gy07   gy03  42.62903
   gy07   gy04  494.1176
   gy07   gy05  211.8724
   gy07   gy06  33.29469
   gy07   gy07   462.156
   gy07   gy08  64.92014
   gy07   gy09  138.0682
   gy07   gy10  28.93029
   gy07   gy11  8.540239
   gy07   gy12  33.05025
   gy07   gy13  1.173583
   gy07   gy14  5.486994
   gy08   gy01  .8562799
   gy08   gy02  4.578766
   gy08   gy03  5.808044
   gy08   gy04  56.89589
   gy08   gy05  79.15283
   gy08   gy06  14.11718
   gy08   gy07  59.02488
   gy08   gy08  90.32595
   gy08   gy09  120.3815
   gy08   gy10  22.75257
   gy08   gy11  6.693569
   gy08   gy12  30.56419
   gy08   gy13  1.366146
   gy08   gy14  4.926503
   gy09   gy01  3.553299
   gy09   gy02  22.46251
   gy09   gy03   11.1129
   gy09   gy04  142.4535
   gy09   gy05  200.6997
   gy09   gy06  89.75311
   gy09   gy07   127.516
   gy09   gy08  126.9078
   gy09   gy09  858.9872
   gy09   gy10  133.7144
   gy09   gy11  51.76118
   gy09   gy12  309.5026
   gy09   gy13  15.20284
   gy09   gy14  86.20357
   gy10   gy01  .1742416
   gy10   gy02  1.707304
   gy10   gy03  1.952366
   gy10   gy04  16.96466
   gy10   gy05  22.53852
   gy10   gy06  10.27618
   gy10   gy07    26.957
   gy10   gy08  21.97918
   gy10   gy09  125.9166
   gy10   gy10  139.3499
   gy10   gy11  5.788194
   gy10   gy12  83.21054
   gy10   gy13  1.339822
   gy10   gy14  21.28717
   gy11   gy01  1.517015
   gy11   gy02  6.542656
   gy11   gy03  3.200325
   gy11   gy04  22.09002
   gy11   gy05  57.82252
   gy11   gy06  87.83005
   gy11   gy07  7.507084
   gy11   gy08  7.387897
   gy11   gy09  49.83059
   gy11   gy10  5.466709
   gy11   gy11  193.0301
   gy11   gy12  38.50041
   gy11   gy13  41.10879
   gy11   gy14  34.58759
   gy12   gy01  .8605386
   gy12   gy02   6.76073
   gy12   gy03  5.047192
   gy12   gy04  32.39718
   gy12   gy05  72.97745
   gy12   gy06  46.72005
   gy12   gy07  32.41046
   gy12   gy08  33.01634
   gy12   gy09  308.4505
   gy12   gy10    85.001
   gy12   gy11  38.03239
   gy12   gy12  569.1004
   gy12   gy13  32.57002
   gy12   gy14  187.6948
   gy13   gy01  .1603136
   gy13   gy02  .3947279
   gy13   gy03  .9371742
   gy13   gy04  2.222533
   gy13   gy05  5.263054
   gy13   gy06  13.01176
   gy13   gy07  .8205773
   gy13   gy08  1.225477
   gy13   gy09  11.36907
   gy13   gy10  1.322947
   gy13   gy11  30.45325
   gy13   gy12  28.77754
   gy13   gy13  186.9438
   gy13   gy14  127.0302
   gy14   gy01  .5116901
   gy14   gy02  1.714195
   gy14   gy03  1.889379
   gy14   gy04  8.908092
   gy14   gy05  35.94455
   gy14   gy06  19.63284
   gy14   gy07  5.246786
   gy14   gy08  4.975032
   gy14   gy09  84.52331
   gy14   gy10   21.2865
   gy14   gy11  28.12557
   gy14   gy12  183.4681
   gy14   gy13  127.3582
   gy14   gy14   1139.99
a matrix=mf883   Calc2   0.0 Calculation 2                           
   gy01   gy01  22.38707
   gy01   gy02  20.38995
   gy01   gy03   13.5875
   gy01   gy04    19.313
   gy01   gy05  7.301096
   gy01   gy06  1.701322
   gy01   gy07  2.109679
   gy01   gy08  .3121870
   gy01   gy09  1.408675
   gy01   gy10  .0729388
   gy01   gy11  .5980991
   gy01   gy12  .3516017
   gy01   gy13  .1074623
   gy01   gy14  .2441621
   gy02   gy01   18.9506
   gy02   gy02  159.7999
   gy02   gy03  22.80529
   gy02   gy04  68.66646
   gy02   gy05  41.63011
   gy02   gy06  10.31098
   gy02   gy07  7.398249
   gy02   gy08  1.476397
   gy02   gy09  7.657279
   gy02   gy10  .6108257
   gy02   gy11  2.403691
   gy02   gy12  2.649756
   gy02   gy13  .2462690
   gy02   gy14  .8202573
   gy03   gy01  7.961896
   gy03   gy02  15.24556
   gy03   gy03  99.77809
   gy03   gy04  111.4277
   gy03   gy05   27.7639
   gy03   gy06  7.048116
   gy03   gy07   16.4882
   gy03   gy08  3.175285
   gy03   gy09  5.714127
   gy03   gy10  1.045243
   gy03   gy11  1.737342
   gy03   gy12  2.632516
   gy03   gy13  .9118516
   gy03   gy14  2.039102
   gy04   gy01  13.40387
   gy04   gy02  56.37895
   gy04   gy03  132.7394
   gy04   gy04   904.265
   gy04   gy05  186.0404
   gy04   gy06  34.19336
   gy04   gy07  139.2647
   gy04   gy08  21.32567
   gy04   gy09  49.69172
   gy04   gy10  6.233205
   gy04   gy11  8.410601
   gy04   gy12  13.25478
   gy04   gy13  1.782738
   gy04   gy14  4.909173
   gy05   gy01  5.442462
   gy05   gy02  34.61824
   gy05   gy03   36.6836
   gy05   gy04  190.4372
   gy05   gy05  392.9741
   gy05   gy06   53.0517
   gy05   gy07  48.21436
   gy05   gy08  21.25576
   gy05   gy09  50.89129
   gy05   gy10  6.706004
   gy05   gy11  14.26951
   gy05   gy12  22.35599
   gy05   gy13   2.84677
   gy05   gy14  13.01991
   gy06   gy01  1.365899
   gy06   gy02  8.760474
   gy06   gy03  8.896945
   gy06   gy04  37.45004
   gy06   gy05  57.34999
   gy06   gy06  183.4673
   gy06   gy07  8.485687
   gy06   gy08  4.325111
   gy06   gy09  26.15273
   gy06   gy10  3.473048
   gy06   gy11  32.71529
   gy06   gy12  17.04074
   gy06   gy13  8.043998
   gy06   gy14  10.42173
   gy07   gy01  1.821868
   gy07   gy02  7.232838
   gy07   gy03  25.81321
   gy07   gy04  174.3705
   gy07   gy05  56.63537
   gy07   gy06  9.164767
   gy07   gy07   211.559
   gy07   gy08  16.73162
   gy07   gy09  37.06701
   gy07   gy10  8.002298
   gy07   gy11  2.475379
   gy07   gy12  11.47393
   gy07   gy13  .5030202
   gy07   gy14  2.195416
   gy08   gy01  .2648482
   gy08   gy02  1.358077
   gy08   gy03    4.0861
   gy08   gy04   22.9771
   gy08   gy05  22.39392
   gy08   gy06  4.142959
   gy08   gy07  17.30574
   gy08   gy08  45.63759
   gy08   gy09  35.20163
   gy08   gy10   6.81265
   gy08   gy11  2.204182
   gy08   gy12  11.18032
   gy08   gy13  .5857661
   gy08   gy14  2.255079
   gy09   gy01  1.031395
   gy09   gy02  6.119484
   gy09   gy03  7.056176
   gy09   gy04  50.67551
   gy09   gy05  50.26049
   gy09   gy06  22.95301
   gy09   gy07  33.60347
   gy09   gy08  33.09202
   gy09   gy09    393.36
   gy09   gy10  34.57617
   gy09   gy11   14.5583
   gy09   gy12  92.37098
   gy09   gy13  5.780178
   gy09   gy14  29.41714
   gy10   gy01  .0589444
   gy10   gy02  .5362037
   gy10   gy03  1.503025
   gy10   gy04  7.278151
   gy10   gy05  6.889398
   gy10   gy06   3.26902
   gy10   gy07  8.019045
   gy10   gy08  6.404836
   gy10   gy09  35.56882
   gy10   gy10  70.54624
   gy10   gy11  1.855765
   gy10   gy12  27.64406
   gy10   gy13  .5626695
   gy10   gy14  8.527068
   gy11   gy01  .5106652
   gy11   gy02   2.13279
   gy11   gy03  2.435134
