c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:12:22
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  1293.814
   gy01   gy02  1664.401
   gy01   gy03  1117.555
   gy01   gy04  891.1674
   gy01   gy05  682.8246
   gy01   gy06  142.0248
   gy01   gy07  166.4408
   gy01   gy08   41.0605
   gy01   gy09  173.1845
   gy01   gy10  10.21189
   gy01   gy11  47.34977
   gy01   gy12  19.70954
   gy01   gy13  4.095031
   gy01   gy14   5.90501
   gy02   gy01  1662.554
   gy02   gy02  9009.246
   gy02   gy03  2485.854
   gy02   gy04  3845.333
   gy02   gy05  3164.394
   gy02   gy06   818.572
   gy02   gy07  687.7751
   gy02   gy08  218.2929
   gy02   gy09  706.9535
   gy02   gy10  118.3552
   gy02   gy11  261.8628
   gy02   gy12  130.6192
   gy02   gy13  10.67619
   gy02   gy14  31.30624
   gy03   gy01  1663.664
   gy03   gy02  3844.254
   gy03   gy03  2830.365
   gy03   gy04   9893.51
   gy03   gy05   4483.57
   gy03   gy06  3204.925
   gy03   gy07  2676.498
   gy03   gy08  854.7817
   gy03   gy09  3194.265
   gy03   gy10   800.137
   gy03   gy11  711.7445
   gy03   gy12  491.8554
   gy03   gy13  97.86816
   gy03   gy14  186.6437
   gy04   gy01  897.3548
   gy04   gy02  3901.748
   gy04   gy03  5344.172
   gy04   gy04  29872.01
   gy04   gy05  9621.796
   gy04   gy06  3210.779
   gy04   gy07  6445.664
   gy04   gy08  1398.408
   gy04   gy09   4792.95
   gy04   gy10  825.6407
   gy04   gy11   637.257
   gy04   gy12  718.9156
   gy04   gy13  35.58834
   gy04   gy14  222.5927
   gy05   gy01  675.8054
   gy05   gy02  3148.111
   gy05   gy03  2598.679
   gy05   gy04  9524.263
   gy05   gy05   13983.8
   gy05   gy06  7264.594
   gy05   gy07  2422.141
   gy05   gy08  1182.112
   gy05   gy09  6485.127
   gy05   gy10  994.4748
   gy05   gy11  1410.874
   gy05   gy12   1446.23
   gy05   gy13   97.2796
   gy05   gy14   538.232
   gy06   gy01  138.8644
   gy06   gy02  792.3914
   gy06   gy03  1806.159
   gy06   gy04   3049.87
   gy06   gy05   7222.67
