c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:12:16
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  254.0832
   gy01   gy02  360.7753
   gy01   gy03  107.4428
   gy01   gy04  175.5842
   gy01   gy05  103.1841
   gy01   gy06  24.69969
   gy01   gy07  38.71756
   gy01   gy08  1.682923
   gy01   gy09  31.53114
   gy01   gy10  .6583196
   gy01   gy11  4.496114
   gy01   gy12   1.83069
   gy01   gy13  .5749414
   gy01   gy14  1.822764
   gy02   gy01  362.2985
   gy02   gy02  1606.265
   gy02   gy03  169.2557
   gy02   gy04  551.4636
   gy02   gy05  540.3508
   gy02   gy06  237.0442
   gy02   gy07  169.1413
   gy02   gy08  7.577913
   gy02   gy09   137.175
   gy02   gy10  3.594494
   gy02   gy11   31.1594
   gy02   gy12    23.376
   gy02   gy13  1.410062
   gy02   gy14  9.919724
   gy03   gy01  206.8382
   gy03   gy02  334.1429
   gy03   gy03  331.3696
   gy03   gy04  1778.313
   gy03   gy05  874.1848
   gy03   gy06  401.4717
   gy03   gy07   712.573
   gy03   gy08  32.29216
   gy03   gy09  339.4696
   gy03   gy10   40.8386
   gy03   gy11   27.5025
   gy03   gy12  39.31224
   gy03   gy13  7.532615
   gy03   gy14  23.69302
   gy04   gy01  178.1027
   gy04   gy02   568.757
   gy04   gy03  809.6033
   gy04   gy04  8660.387
   gy04   gy05  2544.625
   gy04   gy06  562.5177
   gy04   gy07  2685.441
   gy04   gy08  196.8097
   gy04   gy09  866.2407
   gy04   gy10  87.51875
   gy04   gy11  95.03807
   gy04   gy12  57.04702
   gy04   gy13  10.42384
   gy04   gy14   15.4603
   gy05   gy01  101.2038
   gy05   gy02   533.142
   gy05   gy03  404.9632
   gy05   gy04   2477.25
   gy05   gy05  5280.812
   gy05   gy06    1477.4
   gy05   gy07  1099.505
   gy05   gy08  258.8355
   gy05   gy09  1508.213
   gy05   gy10  134.3383
   gy05   gy11  224.2033
   gy05   gy12  240.4162
   gy05   gy13  14.61694
   gy05   gy14   100.511
