c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:12:19
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  1497.382
   gy01   gy02  1290.661
   gy01   gy03  705.3224
   gy01   gy04  865.9777
   gy01   gy05  421.2268
   gy01   gy06  154.1725
   gy01   gy07  226.8681
   gy01   gy08  23.65047
   gy01   gy09  155.3086
   gy01   gy10  6.366093
   gy01   gy11  51.40479
   gy01   gy12   19.7826
   gy01   gy13  5.583424
   gy01   gy14  17.15498
   gy02   gy01  1289.974
   gy02   gy02  9669.707
   gy02   gy03  1473.157
   gy02   gy04  3271.475
   gy02   gy05  2759.089
   gy02   gy06  873.9636
   gy02   gy07  478.9928
   gy02   gy08  76.01777
   gy02   gy09  908.8831
   gy02   gy10  42.12149
   gy02   gy11  180.0254
   gy02   gy12  122.2854
   gy02   gy13  13.57788
   gy02   gy14  42.06171
   gy03   gy01  1125.586
   gy03   gy02  2400.879
   gy03   gy03  2712.547
   gy03   gy04  9731.836
   gy03   gy05   4637.13
   gy03   gy06  2550.979
   gy03   gy07  2543.429
   gy03   gy08  383.1996
   gy03   gy09  3609.936
   gy03   gy10  377.8005
   gy03   gy11  539.1204
   gy03   gy12  430.5515
   gy03   gy13  75.56036
   gy03   gy14  228.4893
   gy04   gy01  865.4474
   gy04   gy02  3321.346
   gy04   gy03  5043.567
   gy04   gy04  35625.09
   gy04   gy05  12585.95
   gy04   gy06  3552.673
   gy04   gy07  9131.043
   gy04   gy08  987.1583
   gy04   gy09  6589.047
   gy04   gy10  664.1555
   gy04   gy11  897.8759
   gy04   gy12   800.147
   gy04   gy13  101.8702
   gy04   gy14  316.6041
   gy05   gy01  411.0387
   gy05   gy02   2714.71
   gy05   gy03  2526.812
   gy05   gy04  12361.61
   gy05   gy05  20070.33
   gy05   gy06  6769.748
   gy05   gy07  4429.121
   gy05   gy08   1489.58
   gy05   gy09  8737.548
   gy05   gy10  652.6283
   gy05   gy11    1787.2
   gy05   gy12  1413.113
   gy05   gy13  199.1402
   gy05   gy14  1064.969
   gy06   gy01  149.0567
   gy06   gy02  837.2759
   gy06   gy03  1330.615
   gy06   gy04  3354.243
   gy06   gy05  6734.607
   gy06   gy06   14431.5
   gy06   gy07  914.8254
   gy06   gy08   387.475
   gy06   gy09  3274.398
   gy06   gy10  217.3092
   gy06   gy11  3276.498
   gy06   gy12  1213.954
   gy06   gy13  453.0862
   gy06   gy14  706.1155
   gy07   gy01  222.7143
   gy07   gy02   472.866
   gy07   gy03  1546.694
   gy07   gy04  9117.011
   gy07   gy05  4429.503
   gy07   gy06  933.3819
   gy07   gy07  19007.86
   gy07   gy08  2035.609
   gy07   gy09  6025.805
   gy07   gy10  894.7143
   gy07   gy11  208.6021
   gy07   gy12  678.1991
   gy07   gy13  17.22414
   gy07   gy14  180.5222
   gy08   gy01  22.67269
   gy08   gy02  73.07793
   gy08   gy03  227.5832
   gy08   gy04   926.286
   gy08   gy05    1427.3
   gy08   gy06  376.5837
   gy08   gy07  1989.927
   gy08   gy08   3592.88
   gy08   gy09  4665.874
   gy08   gy10  572.2962
   gy08   gy11  214.3966
   gy08   gy12  591.4429
   gy08   gy13  35.77798
   gy08   gy14  108.6499
   gy09   gy01  148.5218
   gy09   gy02  872.1655
   gy09   gy03  1896.507
   gy09   gy04   6236.45
   gy09   gy05  8512.123
   gy09   gy06  3215.421
   gy09   gy07  5931.734
   gy09   gy08  4726.859
   gy09   gy09  40626.27
   gy09   gy10  4022.674
   gy09   gy11  1538.006
   gy09   gy12  9361.498
   gy09   gy13  314.8084
   gy09   gy14  2575.398
   gy10   gy01  6.096051
   gy10   gy02  40.33816
   gy10   gy03  216.2778
   gy10   gy04  631.9627
   gy10   gy05  625.9191
   gy10   gy06  211.7511
   gy10   gy07  879.8375
   gy10   gy08  571.3999
   gy10   gy09   3980.11
   gy10   gy10  4400.125
   gy10   gy11   116.631
   gy10   gy12  1556.363
   gy10   gy13  24.39972
   gy10   gy14  452.2885
   gy11   gy01  49.40841
   gy11   gy02  171.1488
   gy11   gy03  293.1067
   gy11   gy04  831.0643
   gy11   gy05  1782.804
   gy11   gy06  3030.366
   gy11   gy07   201.787
   gy11   gy08  217.7221
   gy11   gy09   1526.47
   gy11   gy10  115.5779
   gy11   gy11  6259.222
   gy11   gy12  878.8369
   gy11   gy13  799.9692
   gy11   gy14  791.7289
   gy12   gy01  19.54546
   gy12   gy02  119.3918
   gy12   gy03  264.9379
   gy12   gy04  756.8374
   gy12   gy05  1388.081
   gy12   gy06   1191.86
   gy12   gy07  672.3999
   gy12   gy08  600.7257
   gy12   gy09  9366.719
   gy12   gy10   1565.45
   gy12   gy11  883.0536
   gy12   gy12  13503.05
