c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:21:22
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  4086.801
   gy01   gy02  1777.192
   gy01   gy03  257.4882
   gy01   gy04  350.4999
   gy01   gy05  70.60717
   gy01   gy06  6.380366
   gy01   gy07  15.88908
   gy01   gy08  .1299808
   gy01   gy09  1.573104
   gy01   gy10  .0095372
   gy01   gy11  .1081826
   gy01   gy12  .0382311
   gy01   gy13  .0000327
   gy01   gy14  .0006015
   gy02   gy01  1383.547
   gy02   gy02   10616.6
   gy02   gy03  287.3309
   gy02   gy04  831.9728
   gy02   gy05  578.4078
   gy02   gy06   66.6535
   gy02   gy07  42.78176
   gy02   gy08  1.655945
   gy02   gy09  16.63972
   gy02   gy10  .0989642
   gy02   gy11  1.140074
   gy02   gy12  .9062234
   gy02   gy13  .0003478
   gy02   gy14  .0063969
   gy03   gy01  204.6815
   gy03   gy02  196.4169
   gy03   gy03  2013.654
   gy03   gy04    2818.1
   gy03   gy05  238.1158
   gy03   gy06  17.35256
   gy03   gy07  135.8328
   gy03   gy08  2.410008
   gy03   gy09  6.562091
   gy03   gy10  .1054062
   gy03   gy11  .1115029
   gy03   gy12  .1950707
   gy03   gy13  .0000891
   gy03   gy14  .0016779
   gy04   gy01  300.4548
   gy04   gy02  730.9866
   gy04   gy03  3172.447
   gy04   gy04   32420.2
   gy04   gy05  4699.156
   gy04   gy06  308.2497
   gy04   gy07  2678.149
   gy04   gy08  96.10403
   gy04   gy09  223.8239
   gy04   gy10  8.834071
   gy04   gy11  6.139526
   gy04   gy12   6.83165
   gy04   gy13  .0043258
   gy04   gy14  .0365124
   gy05   gy01  76.98181
   gy05   gy02  609.2105
   gy05   gy03    404.01
   gy05   gy04  4009.182
   gy05   gy05  18530.39
   gy05   gy06  2107.667
   gy05   gy07  492.4661
   gy05   gy08  175.5825
   gy05   gy09  1290.571
   gy05   gy10  36.42367
   gy05   gy11  77.49235
   gy05   gy12  63.82744
   gy05   gy13  .0561260
   gy05   gy14  .4653028
   gy06   gy01   8.61194
   gy06   gy02   54.8105
   gy06   gy03    31.957
   gy06   gy04  367.4488
   gy06   gy05  1909.466
   gy06   gy06  17713.97
   gy06   gy07  47.19471
   gy06   gy08  11.82628
   gy06   gy09  592.3152
   gy06   gy10  23.48933
   gy06   gy11  869.4953
   gy06   gy12   124.787
   gy06   gy13  1.103778
   gy06   gy14  1.364772
   gy07   gy01  8.261278
   gy07   gy02  33.64417
   gy07   gy03  235.7529
   gy07   gy04  2709.757
   gy07   gy05  557.3984
   gy07   gy06  29.77354
   gy07   gy07  18070.24
   gy07   gy08  291.8166
   gy07   gy09  451.3488
   gy07   gy10  72.68152
   gy07   gy11  .3322299
   gy07   gy12  5.743613
   gy07   gy13  .0002320
   gy07   gy14  .0039928
   gy08   gy01  .3242247
   gy08   gy02  .8823875
   gy08   gy03  9.988084
   gy08   gy04   243.451
   gy08   gy05  20.27989
   gy08   gy06  1.600805
   gy08   gy07  497.0919
   gy08   gy08  4082.138
   gy08   gy09  429.1733
   gy08   gy10  126.2276
   gy08   gy11  .0466128
   gy08   gy12  15.74678
   gy08   gy13  .0001871
   gy08   gy14  .0135175
   gy09   gy01  .6516427
   gy09   gy02  14.46955
   gy09   gy03   10.2797
   gy09   gy04  209.2226
   gy09   gy05  971.2295
   gy09   gy06  464.8256
   gy09   gy07  457.6132
   gy09   gy08  472.8503
   gy09   gy09  28279.55
   gy09   gy10  1376.703
   gy09   gy11  94.66716
   gy09   gy12  2868.362
   gy09   gy13  .2786529
   gy09   gy14  25.01633
   gy10   gy01  .0131865
   gy10   gy02  .2573392
   gy10   gy03  .3643419
   gy10   gy04  14.01717
   gy10   gy05  34.78143
   gy10   gy06  23.15739
   gy10   gy07  57.62187
   gy10   gy08  61.76711
   gy10   gy09  1574.749
   gy10   gy10      9702
   gy10   gy11   1.07336
   gy10   gy12  515.1299
   gy10   gy13  .0097705
   gy10   gy14  2.335206
   gy11   gy01  .0579335
   gy11   gy02   1.25499
   gy11   gy03  .4078684
   gy11   gy04  6.063711
   gy11   gy05  70.04749
   gy11   gy06  850.4137
   gy11   gy07  .4050141
   gy11   gy08  .2537187
   gy11   gy09  108.6739
   gy11   gy10  .8930529
   gy11   gy11  9509.642
   gy11   gy12  90.17454
   gy11   gy13  123.2969
   gy11   gy14  20.59918
   gy12   gy01  .1060394
   gy12   gy02  1.369181
   gy12   gy03  .3518290
   gy12   gy04  7.377626
   gy12   gy05  59.69823
   gy12   gy06  86.09305
   gy12   gy07  5.449591
   gy12   gy08  9.556834
   gy12   gy09  2269.802
   gy12   gy10  496.3656
   gy12   gy11  230.3322
   gy12   gy12   15899.7
   gy12   gy13  6.479285
   gy12   gy14  1161.847
   gy13   gy01  .0002023
   gy13   gy02  .0019575
   gy13   gy03  .0006791
   gy13   gy04  .0095009
   gy13   gy05  .2502214
   gy13   gy06  6.224235
   gy13   gy07  .0014492
   gy13   gy08  .0008303
   gy13   gy09  1.483198
   gy13   gy10  .0348050
   gy13   gy11  286.0679
   gy13   gy12  16.01216
   gy13   gy13  3517.288
   gy13   gy14  653.7419
   gy14   gy01  .0010568
   gy14   gy02  .0228815
   gy14   gy03  .0080491
