c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:22:20
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  3286.563
   gy01   gy02  2145.689
   gy01   gy03  713.5448
   gy01   gy04  853.3927
   gy01   gy05   273.089
   gy01   gy06  72.14853
   gy01   gy07  105.9805
   gy01   gy08  10.38663
   gy01   gy09  14.88069
   gy01   gy10  1.736424
   gy01   gy11  2.325406
   gy01   gy12  3.221693
   gy01   gy13  .0326989
   gy01   gy14  .3040630
   gy02   gy01  2054.036
   gy02   gy02   12822.9
   gy02   gy03   1367.07
   gy02   gy04   2886.97
   gy02   gy05  2004.466
   gy02   gy06  529.2511
   gy02   gy07  177.4773
   gy02   gy08  66.38222
   gy02   gy09  246.3828
   gy02   gy10  5.694078
   gy02   gy11  32.02191
   gy02   gy12  71.25199
   gy02   gy13  .2430970
   gy02   gy14  5.061882
   gy03   gy01  691.4857
   gy03   gy02  1141.238
   gy03   gy03  5124.222
   gy03   gy04  9228.244
   gy03   gy05  1896.316
   gy03   gy06  265.6827
   gy03   gy07  972.4334
   gy03   gy08  124.0922
   gy03   gy09  245.8826
   gy03   gy10  12.68215
   gy03   gy11  21.18102
   gy03   gy12  28.92445
   gy03   gy13  .3282084
   gy03   gy14  3.030785
   gy04   gy01  771.8753
   gy04   gy02  2583.108
   gy04   gy03  8896.488
   gy04   gy04  49345.38
   gy04   gy05  10311.72
   gy04   gy06  1557.154
   gy04   gy07  5092.219
   gy04   gy08  638.6946
   gy04   gy09  2526.128
   gy04   gy10  138.1374
   gy04   gy11  133.5339
   gy04   gy12   188.053
   gy04   gy13  1.934968
   gy04   gy14  23.49004
   gy05   gy01  355.0951
   gy05   gy02  1915.519
   gy05   gy03  2739.172
   gy05   gy04  8206.195
   gy05   gy05   26813.2
   gy05   gy06  5105.778
   gy05   gy07  2083.651
   gy05   gy08  696.1215
   gy05   gy09  4244.053
   gy05   gy10  241.3318
   gy05   gy11     633.4
   gy05   gy12  840.4567
   gy05   gy13  4.181672
   gy05   gy14  109.8666
   gy06   gy01  44.18811
   gy06   gy02  523.4496
   gy06   gy03   768.676
   gy06   gy04  1582.811
   gy06   gy05  4124.392
   gy06   gy06  14904.79
   gy06   gy07  147.2033
   gy06   gy08  156.2824
   gy06   gy09  1826.248
   gy06   gy10  190.3252
   gy06   gy11  1418.033
   gy06   gy12  533.7064
   gy06   gy13  31.84208
   gy06   gy14   107.333
   gy07   gy01  116.2374
   gy07   gy02  279.0496
   gy07   gy03  1404.482
   gy07   gy04   6725.18
   gy07   gy05  2103.232
   gy07   gy06  368.6158
   gy07   gy07  24567.95
   gy07   gy08  1201.598
   gy07   gy09  1576.258
   gy07   gy10  326.3663
   gy07   gy11  33.47383
   gy07   gy12  245.0155
   gy07   gy13  .2213323
   gy07   gy14  7.521929
   gy08   gy01  26.42735
   gy08   gy02  84.45135
   gy08   gy03   397.345
   gy08   gy04  1022.795
   gy08   gy05  412.2598
   gy08   gy06  78.72151
   gy08   gy07   1769.92
   gy08   gy08  4295.988
   gy08   gy09  1585.095
   gy08   gy10  598.7907
   gy08   gy11  17.75764
   gy08   gy12  382.1402
   gy08   gy13  .2759877
   gy08   gy14  17.02262
   gy09   gy01  49.10271
   gy09   gy02  276.7032
   gy09   gy03  478.1709
   gy09   gy04  1965.875
   gy09   gy05  4484.314
   gy09   gy06  2001.364
   gy09   gy07  1807.546
   gy09   gy08  1409.353
   gy09   gy09  27484.42
   gy09   gy10  2227.691
   gy09   gy11  472.5264
   gy09   gy12  5411.878
   gy09   gy13  26.87767
   gy09   gy14  707.5742
   gy10   gy01  3.213617
   gy10   gy02  17.03451
   gy10   gy03  59.32398
   gy10   gy04  263.8391
   gy10   gy05  182.7374
   gy10   gy06  118.5536
   gy10   gy07  301.8266
   gy10   gy08  240.6765
   gy10   gy09   2874.65
   gy10   gy10  5653.946
   gy10   gy11  85.23967
   gy10   gy12  1020.185
   gy10   gy13  1.662423
   gy10   gy14  110.1139
   gy11   gy01  2.906868
   gy11   gy02  36.46996
   gy11   gy03  27.15099
   gy11   gy04  116.4699
   gy11   gy05  474.9308
   gy11   gy06  1334.853
   gy11   gy07  24.96079
   gy11   gy08  19.45863
   gy11   gy09  408.6974
   gy11   gy10   63.3551
   gy11   gy11  6063.731
   gy11   gy12  559.7661
   gy11   gy13  259.8338
   gy11   gy14  348.6597
   gy12   gy01  3.603258
   gy12   gy02  45.28794
   gy12   gy03  36.48026
   gy12   gy04  163.6999
   gy12   gy05  631.7802
   gy12   gy06  694.4853
   gy12   gy07  134.7513
   gy12   gy08  184.2554
   gy12   gy09   3672.45
   gy12   gy10  1192.406
   gy12   gy11  620.2866
   gy12   gy12  14241.82
   gy12   gy13  129.0547
   gy12   gy14  3241.128
   gy13   gy01  .0534801
   gy13   gy02  .3004619
   gy13   gy03  .5335292
   gy13   gy04  2.165791
   gy13   gy05  9.791648
   gy13   gy06  49.81439
   gy13   gy07  .2146248
   gy13   gy08  .2360949
   gy13   gy09  14.08792
   gy13   gy10  1.475232
   gy13   gy11  282.1085
   gy13   gy12  143.4936
   gy13   gy13  2378.769
   gy13   gy14  1082.151
   gy14   gy01  1.044961
   gy14   gy02  5.880316
   gy14   gy03  4.784184
   gy14   gy04  24.50755
   gy14   gy05   108.387
   gy14   gy06  198.4694
   gy14   gy07  6.683731
   gy14   gy08  11.13984
   gy14   gy09  719.4799
   gy14   gy10  111.9838
   gy14   gy11  382.1959
   gy14   gy12  2671.317
   gy14   gy13  1513.442
   gy14   gy14  34712.42
a matrix=mf883   Calc2   0.0 Calculation 2                           
   gy01   gy01  764.3564
   gy01   gy02  530.9069
   gy01   gy03  248.8927
   gy01   gy04  196.4772
   gy01   gy05  74.96403
   gy01   gy06  21.89644
   gy01   gy07  29.69557
   gy01   gy08  3.232773
