c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:21:32
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  8243.918
   gy01   gy02  3023.393
   gy01   gy03  553.9198
   gy01   gy04  700.9293
   gy01   gy05  235.8905
   gy01   gy06  13.35794
   gy01   gy07  37.79324
   gy01   gy08   2.05143
   gy01   gy09  5.463477
   gy01   gy10  .3456703
   gy01   gy11  1.038236
   gy01   gy12  .8866614
   gy01   gy13  .0168555
   gy01   gy14  .0553188
   gy02   gy01  3007.907
   gy02   gy02  23815.95
   gy02   gy03  633.8493
   gy02   gy04  1806.828
   gy02   gy05  1074.889
   gy02   gy06  165.6689
   gy02   gy07  97.65524
   gy02   gy08  17.49547
   gy02   gy09  107.4677
   gy02   gy10  6.014327
   gy02   gy11  32.45781
   gy02   gy12  14.09066
   gy02   gy13  .5390718
   gy02   gy14  2.734533
   gy03   gy01  776.2922
   gy03   gy02  983.1039
   gy03   gy03  3420.098
   gy03   gy04  5444.321
   gy03   gy05  789.2052
   gy03   gy06  225.4357
   gy03   gy07  487.6526
   gy03   gy08  69.25478
   gy03   gy09    245.97
   gy03   gy10  21.77893
   gy03   gy11  35.25723
   gy03   gy12   23.7536
   gy03   gy13  .4711577
   gy03   gy14  2.313089
   gy04   gy01  712.6705
   gy04   gy02  1852.575
   gy04   gy03  3931.366
   gy04   gy04  51641.44
   gy04   gy05  5636.236
   gy04   gy06  797.7706
   gy04   gy07  3778.673
   gy04   gy08  643.6859
   gy04   gy09  942.5974
   gy04   gy10  157.5416
   gy04   gy11  67.94483
   gy04   gy12  101.3333
   gy04   gy13  2.055992
   gy04   gy14  19.23152
   gy05   gy01  237.2878
   gy05   gy02  1089.148
   gy05   gy03  475.4181
   gy05   gy04  5740.906
   gy05   gy05  25325.69
   gy05   gy06  3643.374
   gy05   gy07  998.3842
   gy05   gy08  172.7216
   gy05   gy09  2080.461
   gy05   gy10  165.5059
   gy05   gy11  300.3883
   gy05   gy12  278.2369
   gy05   gy13    24.259
   gy05   gy14  54.05868
   gy06   gy01  13.11221
   gy06   gy02  161.2405
   gy06   gy03  134.3124
   gy06   gy04  763.6122
   gy06   gy05  3547.198
   gy06   gy06  27056.62
   gy06   gy07  127.1953
   gy06   gy08  18.34573
   gy06   gy09  927.2661
   gy06   gy10  50.91229
   gy06   gy11  1115.787
   gy06   gy12  202.0869
   gy06   gy13   14.0329
   gy06   gy14  13.63162
   gy07   gy01  38.38975
   gy07   gy02  98.52052
   gy07   gy03  318.2202
   gy07   gy04  3773.951
   gy07   gy05  980.6169
   gy07   gy06  130.7026
   gy07   gy07  21745.91
   gy07   gy08  1064.978
   gy07   gy09  759.1699
   gy07   gy10  238.5239
   gy07   gy11  5.568791
   gy07   gy12  35.96131
   gy07   gy13  .1401366
   gy07   gy14  1.134522
   gy08   gy01  1.948914
   gy08   gy02   16.2849
   gy08   gy03  37.67379
   gy08   gy04  593.8404
   gy08   gy05  161.4561
   gy08   gy06  18.22853
   gy08   gy07  1023.093
   gy08   gy08  7221.749
   gy08   gy09  710.3611
   gy08   gy10  157.6716
   gy08   gy11  1.422298
   gy08   gy12  33.40205
   gy08   gy13  .0643516
   gy08   gy14  .6710987
   gy09   gy01  5.269676
   gy09   gy02  101.5967
   gy09   gy03  108.3814
   gy09   gy04  862.4041
   gy09   gy05  1936.877
   gy09   gy06  921.8794
   gy09   gy07  751.1317
   gy09   gy08  718.5214
   gy09   gy09  44771.36
   gy09   gy10  2211.064
   gy09   gy11  188.9921
   gy09   gy12  3750.095
   gy09   gy13  6.698495
   gy09   gy14   169.449
   gy10   gy01  .3263259
   gy10   gy02  5.386866
   gy10   gy03  11.66846
   gy10   gy04  144.5836
   gy10   gy05  148.4906
   gy10   gy06  49.76607
   gy10   gy07  231.0897
   gy10   gy08  157.5846
   gy10   gy09   2183.67
   gy10   gy10   14979.8
   gy10   gy11   4.12556
   gy10   gy12  1024.238
   gy10   gy13  .2566972
   gy10   gy14  18.23662
   gy11   gy01  .9985748
   gy11   gy02  30.43927
   gy11   gy03  15.91183
   gy11   gy04  61.69672
   gy11   gy05  297.4399
   gy11   gy06  1075.834
   gy11   gy07  5.166773
   gy11   gy08  1.434531
   gy11   gy09  187.6752
   gy11   gy10  4.077215
   gy11   gy11  12770.57
   gy11   gy12  196.3156
   gy11   gy13  274.2108
   gy11   gy14  149.3163
   gy12   gy01  .8865798
   gy12   gy02  13.56585
   gy12   gy03  11.63249
   gy12   gy04  92.48972
   gy12   gy05  265.8367
   gy12   gy06  199.8323
   gy12   gy07  35.66238
   gy12   gy08  34.15206
   gy12   gy09  3792.415
   gy12   gy10  1037.678
   gy12   gy11  197.6478
   gy12   gy12  19830.48
   gy12   gy13  42.14686
   gy12   gy14  1295.474
   gy13   gy01  .0146790
   gy13   gy02  .4987672
   gy13   gy03  .1906557
   gy13   gy04  1.507552
   gy13   gy05  19.29592
   gy13   gy06  13.33139
   gy13   gy07  .1208147
   gy13   gy08  .0591347
   gy13   gy09  6.319565
   gy13   gy10  .2563806
   gy13   gy11  271.8736
   gy13   gy12  41.59367
   gy13   gy13  6218.727
   gy13   gy14  1292.669
   gy14   gy01  .0549923
   gy14   gy02  2.662018
   gy14   gy03  .8066977
   gy14   gy04   16.0996
   gy14   gy05  49.27274
   gy14   gy06  12.39918
   gy14   gy07  1.076982
   gy14   gy08  .6731648
   gy14   gy09  169.9085
   gy14   gy10  18.36969
   gy14   gy11  145.2785
   gy14   gy12  1292.344
   gy14   gy13  1292.856
   gy14   gy14  30740.17
a matrix=mf883   Calc2   0.0 Calculation 2                           
   gy01   gy01  15024.33
   gy01   gy02  4437.407
   gy01   gy03  895.6297
   gy01   gy04  789.5499
   gy01   gy05  245.6391
   gy01   gy06  19.32323
   gy01   gy07  45.93769
   gy01   gy08  2.897151
   gy01   gy09  7.500195
   gy01   gy10  .4953978
   gy01   gy11  1.390999
   gy01   gy12  .9761817
   gy01   gy13  .0116493
   gy01   gy14  .0405156
   gy02   gy01  4453.552
   gy02   gy02  38201.89
   gy02   gy03  1017.951
   gy02   gy04  2143.517
   gy02   gy05  1194.603
   gy02   gy06  176.9341
   gy02   gy07  117.1129
   gy02   gy08  10.31785
   gy02   gy09  94.90948
   gy02   gy10  4.258636
   gy02   gy11  20.91196
   gy02   gy12  9.172596
   gy02   gy13  .2738807
   gy02   gy14  1.345942
   gy03   gy01  949.0069
   gy03   gy02  1135.363
   gy03   gy03  4131.558
   gy03   gy04  7388.877
   gy03   gy05  908.8844
   gy03   gy06  289.9901
   gy03   gy07  557.3945
   gy03   gy08  73.46174
   gy03   gy09  206.9109
   gy03   gy10  23.85243
   gy03   gy11  26.27639
   gy03   gy12  13.86569
   gy03   gy13  .2058639
   gy03   gy14  .9020059
   gy04   gy01   756.052
   gy04   gy02  2086.092
   gy04   gy03  6752.171
   gy04   gy04  86566.21
   gy04   gy05  7179.389
   gy04   gy06  903.1744
   gy04   gy07  4479.016
   gy04   gy08  613.4361
   gy04   gy09  963.1799
   gy04   gy10   162.928
   gy04   gy11  66.74509
   gy04   gy12  67.40815
   gy04   gy13  1.455505
   gy04   gy14   11.4667
   gy05   gy01  240.7244
   gy05   gy02  1170.013
   gy05   gy03  806.0538
   gy05   gy04  7304.829
   gy05   gy05  42053.54
   gy05   gy06  4667.861
   gy05   gy07  1299.301
   gy05   gy08   180.901
   gy05   gy09  2055.502
   gy05   gy10  169.8997
   gy05   gy11  296.8479
   gy05   gy12  210.2016
   gy05   gy13  9.835887
   gy05   gy14  22.79368
   gy06   gy01  19.03919
   gy06   gy02  175.9193
   gy06   gy03  244.3675
   gy06   gy04  920.6221
   gy06   gy05  4685.157
   gy06   gy06  49157.36
   gy06   gy07  194.0354
   gy06   gy08  23.60694
   gy06   gy09  1213.057
   gy06   gy10  67.70931
   gy06   gy11  1478.674
   gy06   gy12  262.7861
   gy06   gy13  14.35715
   gy06   gy14  10.58248
   gy07   gy01  45.79511
   gy07   gy02  117.8715
   gy07   gy03  508.8737
   gy07   gy04   4596.76
   gy07   gy05  1317.342
   gy07   gy06  196.3831
   gy07   gy07  37077.53
   gy07   gy08  1275.025
   gy07   gy09  1204.331
   gy07   gy10  352.5421
   gy07   gy11   6.92858
   gy07   gy12  37.21492
   gy07   gy13  .0935894
   gy07   gy14  .6603968
   gy08   gy01  2.863957
   gy08   gy02  10.15078
   gy08   gy03  65.41042
   gy08   gy04    626.51
   gy08   gy05  183.1096
   gy08   gy06  23.74705
   gy08   gy07  1292.057
   gy08   gy08  12415.34
   gy08   gy09  979.1431
   gy08   gy10  232.0988
   gy08   gy11  1.325626
   gy08   gy12   36.1628
   gy08   gy13  .0317203
   gy08   gy14  .3557973
   gy09   gy01  7.330617
   gy09   gy02  93.83293
   gy09   gy03  169.0981
   gy09   gy04   971.493
   gy09   gy05  2042.453
   gy09   gy06  1203.448
   gy09   gy07  1197.999
   gy09   gy08  984.5411
   gy09   gy09   88351.7
   gy09   gy10  3395.816
   gy09   gy11  224.1557
   gy09   gy12  4478.999
   gy09   gy13  4.412225
   gy09   gy14  147.6334
   gy10   gy01  .4809284
   gy10   gy02  4.062484
   gy10   gy03  20.09288
   gy10   gy04  165.3598
   gy10   gy05  167.1287
   gy10   gy06  67.48794
   gy10   gy07  351.5432
   gy10   gy08  231.9118
   gy10   gy09  3394.798
   gy10   gy10  23642.04
   gy10   gy11  5.081001
   gy10   gy12  1257.361
   gy10   gy13  .2530293
   gy10   gy14  17.03551
   gy11   gy01  1.369384
   gy11   gy02  20.20033
   gy11   gy03  23.72485
   gy11   gy04  66.93413
   gy11   gy05  301.3253
   gy11   gy06  1443.287
   gy11   gy07  6.759117
   gy11   gy08  1.349312
   gy11   gy09  224.3772
   gy11   gy10  5.031248
   gy11   gy11  21675.18
   gy11   gy12  264.1246
   gy11   gy13  399.3446
   gy11   gy14  144.8968
   gy12   gy01  .9688740
   gy12   gy02   9.07375
   gy12   gy03  14.40874
   gy12   gy04  69.35039
   gy12   gy05  210.3064
   gy12   gy06  260.8723
   gy12   gy07  36.93365
   gy12   gy08  36.11078
   gy12   gy09  4454.309
   gy12   gy10  1249.209
   gy12   gy11  262.3798
   gy12   gy12  31665.77
   gy12   gy13  43.71218
   gy12   gy14  1424.567
   gy13   gy01  .0099239
   gy13   gy02  .2510711
   gy13   gy03  .2367719
   gy13   gy04  1.243614
   gy13   gy05  8.043076
   gy13   gy06  14.18453
   gy13   gy07  .0810313
   gy13   gy08  .0303966
   gy13   gy09   4.13232
   gy13   gy10  .2530601
   gy13   gy11  395.3817
   gy13   gy12  43.56282
   gy13   gy13  11599.02
   gy13   gy14  1583.923
   gy14   gy01  .0394524
   gy14   gy02  1.329218
   gy14   gy03  1.092757
   gy14   gy04  11.75508
   gy14   gy05  21.76326
   gy14   gy06  9.934733
   gy14   gy07  .6151610
   gy14   gy08  .3542845
   gy14   gy09  146.3795
   gy14   gy10  16.90461
   gy14   gy11  141.9439
   gy14   gy12  1414.504
   gy14   gy13  1570.505
   gy14   gy14  49825.06
a matrix=mf884   Calc3   0.0 Calculation 3                           
   gy01   gy01  9.831532
   gy01   gy02  3.797835
   gy01   gy03  7.157657
   gy01   gy04  11.19309
   gy01   gy05  7.503668
   gy01   gy06  .1294696
   gy01   gy07  .8837719
   gy01   gy08  .0413107
   gy01   gy09  .1700309
   gy01   gy10  .0150146
   gy01   gy11  .0378680
   gy01   gy12  .0445590
   gy01   gy13  .0026358
   gy01   gy14  .0101883
   gy02   gy01  3.434229
   gy02   gy02  96.19712
   gy02   gy03  12.65028
   gy02   gy04  20.21569
   gy02   gy05  14.74055
   gy02   gy06  3.143795
   gy02   gy07  1.735424
   gy02   gy08  1.120435
   gy02   gy09   3.94421
   gy02   gy10  .5066320
   gy02   gy11  2.322859
   gy02   gy12  .6711674
   gy02   gy13  .0669621
   gy02   gy14  .3853893
   gy03   gy01  2.562142
   gy03   gy02  5.645185
   gy03   gy03  7.947674
   gy03   gy04  11.16318
   gy03   gy05  5.289245
   gy03   gy06  1.566957
   gy03   gy07    2.9823
   gy03   gy08  1.104248
   gy03   gy09  6.174965
   gy03   gy10  .5889396
   gy03   gy11  1.504639
   gy03   gy12  .8806156
   gy03   gy13  .0439706
   gy03   gy14  .2511602
   gy04   gy01  8.479845
   gy04   gy02   16.0781
   gy04   gy03  7.497109
   gy04   gy04  239.8144
   gy04   gy05  17.63131
   gy04   gy06  8.513632
   gy04   gy07  21.20518
   gy04   gy08  13.60808
   gy04   gy09   27.4416
   gy04   gy10  7.238971
   gy04   gy11  3.143821
   gy04   gy12  6.083676
   gy04   gy13  .3144070
   gy04   gy14  3.624291
   gy05   gy01  6.338712
   gy05   gy02  12.34833
   gy05   gy03  8.540971
   gy05   gy04  18.42854
   gy05   gy05  165.2489
   gy05   gy06  27.24902
   gy05   gy07  11.58831
   gy05   gy08  3.373627
   gy05   gy09   36.0262
   gy05   gy10  4.308905
   gy05   gy11  8.876295
   gy05   gy12  6.835471
   gy05   gy13  2.214223
   gy05   gy14  5.351787
   gy06   gy01  .1168535
   gy06   gy02  3.143457
   gy06   gy03  3.250464
   gy06   gy04  9.627393
   gy06   gy05  28.97367
   gy06   gy06  44.75283
   gy06   gy07  1.298696
   gy06   gy08  .1853652
   gy06   gy09  4.915593
   gy06   gy10  .4350345
   gy06   gy11  2.935509
   gy06   gy12  1.137151
   gy06   gy13  .2318225
   gy06   gy14  .8338387
   gy07   gy01  .6170434
   gy07   gy02  1.501948
