c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:21:25
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  3130.133
   gy01   gy02  1104.063
   gy01   gy03  163.6219
   gy01   gy04  265.8528
   gy01   gy05  86.43979
   gy01   gy06  5.644893
   gy01   gy07  14.95529
   gy01   gy08  .6672469
   gy01   gy09  2.463631
   gy01   gy10  .0899481
   gy01   gy11  .4881372
   gy01   gy12  .3319919
   gy01   gy13  .0071551
   gy01   gy14  .0253847
   gy02   gy01  1113.269
   gy02   gy02  8528.693
   gy02   gy03  163.4699
   gy02   gy04  773.9737
   gy02   gy05  508.1211
   gy02   gy06  84.87324
   gy02   gy07  47.05532
   gy02   gy08  8.431048
   gy02   gy09  65.21286
   gy02   gy10  1.391944
   gy02   gy11  14.58614
   gy02   gy12   7.67273
   gy02   gy13  .2284291
   gy02   gy14  1.477796
   gy03   gy01  274.8112
   gy03   gy02  329.4816
   gy03   gy03  1996.424
   gy03   gy04  2792.872
   gy03   gy05  492.5775
   gy03   gy06  94.29492
   gy03   gy07  300.7294
   gy03   gy08  25.19622
   gy03   gy09   135.144
   gy03   gy10  5.106828
   gy03   gy11  15.13809
   gy03   gy12   12.2433
   gy03   gy13  .2184898
   gy03   gy14  1.327255
   gy04   gy01  265.2772
   gy04   gy02  792.7822
   gy04   gy03  1694.501
   gy04   gy04   27545.6
   gy04   gy05  3703.515
   gy04   gy06   406.118
   gy04   gy07  2296.624
   gy04   gy08  263.1126
   gy04   gy09  542.7006
   gy04   gy10  42.19988
   gy04   gy11  35.41988
   gy04   gy12  52.11403
   gy04   gy13  1.073681
   gy04   gy14  11.92584
   gy05   gy01  85.37635
   gy05   gy02  501.9429
   gy05   gy03  220.4666
   gy05   gy04  3762.028
   gy05   gy05  19701.25
   gy05   gy06  2110.604
   gy05   gy07  718.2793
   gy05   gy08   83.8837
   gy05   gy09  1183.106
   gy05   gy10  46.76064
   gy05   gy11  154.0334
   gy05   gy12  131.5599
   gy05   gy13  10.56665
   gy05   gy14  30.89779
   gy06   gy01  5.315665
   gy06   gy02  79.94483
   gy06   gy03  41.02584
   gy06   gy04  380.1637
   gy06   gy05  2035.327
   gy06   gy06  15352.13
   gy06   gy07  59.23995
   gy06   gy08  8.059331
   gy06   gy09   491.719
   gy06   gy10  16.77116
   gy06   gy11  708.9917
   gy06   gy12  93.47717
   gy06   gy13  9.804318
   gy06   gy14   9.69237
   gy07   gy01  14.82592
   gy07   gy02  46.91197
   gy07   gy03  146.6084
   gy07   gy04  2284.995
   gy07   gy05  703.8036
   gy07   gy06  63.18177
   gy07   gy07  17284.03
   gy07   gy08   485.282
   gy07   gy09  456.8192
   gy07   gy10  80.01423
   gy07   gy11  2.876424
   gy07   gy12  18.80906
   gy07   gy13  .0669939
   gy07   gy14  .7026136
   gy08   gy01  .5979045
   gy08   gy02  7.532822
   gy08   gy03  9.144389
   gy08   gy04  236.8078
   gy08   gy05  77.14438
   gy08   gy06  8.052475
   gy08   gy07  459.8513
   gy08   gy08  2868.218
   gy08   gy09  387.5485
   gy08   gy10  53.11649
   gy08   gy11  .6360973
   gy08   gy12  15.42998
   gy08   gy13  .0285018
   gy08   gy14  .4013403
   gy09   gy01  2.252053
   gy09   gy02  58.41717
   gy09   gy03  42.37192
   gy09   gy04  483.9106
   gy09   gy05  1075.423
   gy09   gy06  483.2623
   gy09   gy07  437.4955
   gy09   gy08  389.8105
   gy09   gy09  27539.16
   gy09   gy10  962.7581
   gy09   gy11  102.2886
   gy09   gy12  2246.636
   gy09   gy13  3.685851
   gy09   gy14  123.4239
   gy10   gy01  .0819821
   gy10   gy02  1.201146
   gy10   gy03  2.303052
   gy10   gy04  39.57533
   gy10   gy05  41.71229
   gy10   gy06  16.17248
   gy10   gy07  75.64405
   gy10   gy08  52.67908
   gy10   gy09  949.9712
   gy10   gy10  5961.318
   gy10   gy11  1.603754
   gy10   gy12  434.9312
   gy10   gy13  .0909660
   gy10   gy14  6.925564
   gy11   gy01  .4547017
   gy11   gy02   13.4823
   gy11   gy03  5.986487
   gy11   gy04   32.8815
   gy11   gy05  151.1537
   gy11   gy06  643.6949
   gy11   gy07  2.642748
   gy11   gy08  .6549977
   gy11   gy09  100.5395
   gy11   gy10  1.533562
   gy11   gy11  8297.434
   gy11   gy12  110.1506
   gy11   gy13  176.3343
   gy11   gy14  82.62541
   gy12   gy01  .3252756
   gy12   gy02   7.06914
   gy12   gy03  4.181877
   gy12   gy04  46.85964
   gy12   gy05  124.0848
   gy12   gy06  90.08054
   gy12   gy07  18.62731
   gy12   gy08  16.06983
   gy12   gy09   2291.28
   gy12   gy10  443.6369
   gy12   gy11  110.8093
   gy12   gy12   9734.29
   gy12   gy13   24.3064
   gy12   gy14  852.8629
   gy13   gy01  .0059087
   gy13   gy02  .1994975
   gy13   gy03  .0839996
   gy13   gy04  .7707903
   gy13   gy05   7.76268
   gy13   gy06  9.013816
   gy13   gy07  .0548079
   gy13   gy08  .0246371
   gy13   gy09  3.271082
   gy13   gy10  .0909942
   gy13   gy11  171.5502
   gy13   gy12  23.45266
   gy13   gy13  4448.053
   gy13   gy14   901.749
   gy14   gy01  .0250503
   gy14   gy02  1.424614
   gy14   gy03  .3667541
   gy14   gy04  9.702968
   gy14   gy05  27.36643
   gy14   gy06  7.761059
   gy14   gy07  .6670858
   gy14   gy08  .4044539
   gy14   gy09  124.3454
   gy14   gy10  6.988324
   gy14   gy11  75.85002
   gy14   gy12  847.6974
   gy14   gy13  903.2618
   gy14   gy14  30111.76
a matrix=mf883   Calc2   0.0 Calculation 2                           
   gy01   gy01  5832.861
   gy01   gy02  1795.576
   gy01   gy03  311.9495
   gy01   gy04  379.3418
   gy01   gy05  129.8095
   gy01   gy06  9.657474
   gy01   gy07  23.19491
   gy01   gy08  1.118199
   gy01   gy09   4.09867
   gy01   gy10  .1710724
   gy01   gy11  .8597752
   gy01   gy12  .4618205
   gy01   gy13  .0080855
   gy01   gy14  .0295309
   gy02   gy01   1825.74
   gy02   gy02   13538.6
   gy02   gy03  285.2605
   gy02   gy04  1005.511
   gy02   gy05  644.1055
   gy02   gy06  96.13894
   gy02   gy07  55.39171
   gy02   gy08  5.906682
   gy02   gy09  64.26633
   gy02   gy10  1.446545
   gy02   gy11  14.06776
   gy02   gy12  6.246871
   gy02   gy13  .1842846
   gy02   gy14  1.102423
   gy03   gy01  394.6231
   gy03   gy02  362.1971
   gy03   gy03  2755.619
   gy03   gy04  3993.705
   gy03   gy05  529.6784
   gy03   gy06  119.4576
   gy03   gy07  337.7138
   gy03   gy08  26.10456
   gy03   gy09  110.9645
   gy03   gy10  6.888294
   gy03   gy11  14.60153
   gy03   gy12  7.517866
   gy03   gy13  .1623872
   gy03   gy14  .8168480
   gy04   gy01  353.8381
   gy04   gy02  966.2726
   gy04   gy03  3392.344
   gy04   gy04  48419.06
   gy04   gy05  5394.221
   gy04   gy06  527.5221
   gy04   gy07  3046.937
   gy04   gy08  290.6041
   gy04   gy09  607.8079
   gy04   gy10  57.59092
   gy04   gy11   45.9733
   gy04   gy12  42.77598
   gy04   gy13  1.091401
   gy04   gy14  8.233046
   gy05   gy01  124.9362
   gy05   gy02  626.1318
   gy05   gy03  403.7682
   gy05   gy04  5511.154
   gy05   gy05   33993.3
   gy05   gy06  3018.185
   gy05   gy07  1008.341
   gy05   gy08   110.788
   gy05   gy09  1374.749
   gy05   gy10  68.41521
   gy05   gy11  209.0137
   gy05   gy12  124.8731
   gy05   gy13  6.921655
   gy05   gy14  20.22594
   gy06   gy01  9.067874
   gy06   gy02  93.76462
   gy06   gy03  78.69679
   gy06   gy04  538.3982
   gy06   gy05  3025.804
   gy06   gy06  28049.07
   gy06   gy07  100.4001
   gy06   gy08  11.77592
   gy06   gy09  722.2785
   gy06   gy10  27.41516
   gy06   gy11  1137.817
   gy06   gy12  138.0478
   gy06   gy13  14.33488
   gy06   gy14  10.14939
   gy07   gy01  22.67579
   gy07   gy02   56.8269
   gy07   gy03  260.9816
   gy07   gy04  3166.272
   gy07   gy05  1036.698
   gy07   gy06   105.154
   gy07   gy07  30275.59
   gy07   gy08  709.5201
   gy07   gy09  771.6295
   gy07   gy10  141.1913
   gy07   gy11  4.571455
   gy07   gy12  22.00195
   gy07   gy13  .0745643
   gy07   gy14  .6404384
   gy08   gy01  1.036339
   gy08   gy02  5.565923
   gy08   gy03  17.68143
   gy08   gy04  295.6079
   gy08   gy05  110.0382
   gy08   gy06  11.90878
   gy08   gy07  717.4752
   gy08   gy08  5043.741
   gy08   gy09  602.2829
   gy08   gy10  93.80961
   gy08   gy11  .8351336
   gy08   gy12  18.87209
   gy08   gy13  .0220556
   gy08   gy14  .3268793
   gy09   gy01  3.771902
   gy09   gy02  61.39958
   gy09   gy03  71.30572
   gy09   gy04  612.8136
   gy09   gy05  1339.212
   gy09   gy06  709.2033
   gy09   gy07  743.0377
   gy09   gy08  596.8164
   gy09   gy09   51425.2
   gy09   gy10  1674.807
   gy09   gy11  153.5883
   gy09   gy12  3100.547
   gy09   gy13  3.455429
   gy09   gy14  132.2042
   gy10   gy01  .1572561
   gy10   gy02  1.332692
   gy10   gy03  4.431727
   gy10   gy04  58.86457
   gy10   gy05  65.35238
   gy10   gy06  26.88775
   gy10   gy07  136.9264
   gy10   gy08  92.58264
   gy10   gy09  1672.559
   gy10   gy10  9292.422
   gy10   gy11  2.663172
   gy10   gy12   674.218
   gy10   gy13  .1317570
   gy10   gy14  9.590663
   gy11   gy01  .8112603
   gy11   gy02  13.39529
   gy11   gy03  10.46873
   gy11   gy04  46.87602
   gy11   gy05  212.1879
   gy11   gy06  1041.389
   gy11   gy07  4.411645
   gy11   gy08  .8644327
   gy11   gy09  151.5147
   gy11   gy10  2.519718
   gy11   gy11  14269.78
   gy11   gy12  189.1673
   gy11   gy13   296.258
   gy11   gy14  108.7047
   gy12   gy01  .4442760
   gy12   gy02  6.004414
   gy12   gy03  6.382211
   gy12   gy04  44.36704
   gy12   gy05  123.7822
   gy12   gy06  132.3449
   gy12   gy07  21.58902
   gy12   gy08  19.00429
   gy12   gy09  3078.272
   gy12   gy10  671.1686
   gy12   gy11  187.0122
   gy12   gy12  14814.39
   gy12   gy13   32.6197
   gy12   gy14  1140.316
   gy13   gy01  .0066087
   gy13   gy02  .1593825
   gy13   gy03  .1519041
   gy13   gy04  .9265897
   gy13   gy05  5.289893
   gy13   gy06  13.63931
   gy13   gy07  .0623051
   gy13   gy08  .0198220
   gy13   gy09   3.04012
   gy13   gy10  .1316045
   gy13   gy11  286.7877
   gy13   gy12   31.6909
   gy13   gy13  7660.614
   gy13   gy14  1387.331
   gy14   gy01  .0286991
   gy14   gy02   1.07835
   gy14   gy03  .7263913
   gy14   gy04  8.182054
   gy14   gy05  18.70971
   gy14   gy06  8.292783
   gy14   gy07  .5915807
   gy14   gy08  .3257710
   gy14   gy09  130.7315
   gy14   gy10  9.560064
   gy14   gy11  98.81251
   gy14   gy12  1131.491
   gy14   gy13  1379.605
   gy14   gy14  47814.05
a matrix=mf884   Calc3   0.0 Calculation 3                           
   gy01   gy01  3.520195
   gy01   gy02  1.516291
   gy01   gy03  2.432729
   gy01   gy04  3.308299
   gy01   gy05  2.504687
   gy01   gy06  .0958293
   gy01   gy07  .3695390
   gy01   gy08  .0250098
   gy01   gy09  .1112892
   gy01   gy10  .0042907
   gy01   gy11  .0209496
   gy01   gy12  .0264702
   gy01   gy13  .0015436
   gy01   gy14  .0064112
   gy02   gy01  1.410587
   gy02   gy02  63.76424
   gy02   gy03  8.784253
   gy02   gy04  15.24243
   gy02   gy05  12.91788
   gy02   gy06  3.600111
   gy02   gy07  2.225058
   gy02   gy08  .9483607
   gy02   gy09  4.400187
   gy02   gy10  .1656913
   gy02   gy11  1.418749
   gy02   gy12  .6696494
   gy02   gy13  .0414768
   gy02   gy14  .3115521
   gy03   gy01  1.047825
   gy03   gy02  5.290564
   gy03   gy03  20.26647
   gy03   gy04  21.22515
   gy03   gy05  9.000304
   gy03   gy06  1.837236
   gy03   gy07  5.022501
   gy03   gy08  .9369265
   gy03   gy09  6.318672
   gy03   gy10  .1797967
   gy03   gy11  .8912690
   gy03   gy12  .8265023
   gy03   gy13  .0279485
   gy03   gy14  .2107053
   gy04   gy01  2.471279
   gy04   gy02  11.94026
   gy04   gy03   12.9917
   gy04   gy04  359.2609
   gy04   gy05  24.92091
   gy04   gy06  7.375628
   gy04   gy07  25.63505
   gy04   gy08  8.503626
   gy04   gy09  21.66431
   gy04   gy10  1.715462
   gy04   gy11  1.454735
   gy04   gy12  4.094498
   gy04   gy13  .1653685
   gy04   gy14  2.503956
   gy05   gy01  2.112186
   gy05   gy02  10.52161
   gy05   gy03  11.47632
   gy05   gy04  25.53878
   gy05   gy05  249.0695
   gy05   gy06  28.27769
   gy05   gy07  15.97385
   gy05   gy08  2.525152
   gy05   gy09  31.56519
   gy05   gy10  1.140168
   gy05   gy11  4.508734
   gy05   gy12  5.553606
   gy05   gy13   1.40308
   gy05   gy14   4.53427
   gy06   gy01  .0850643
   gy06   gy02  3.452461
   gy06   gy03  2.739588
   gy06   gy04  8.018647
   gy06   gy05  28.41648
   gy06   gy06  51.13232
   gy06   gy07  1.362713
   gy06   gy08  .1824506
   gy06   gy09  5.278669
   gy06   gy10  .1704301
   gy06   gy11  1.990912
   gy06   gy12  1.302224
   gy06   gy13  .1719343
   gy06   gy14  .9490943
   gy07   gy01  .2767450
   gy07   gy02  2.000988
   gy07   gy03  9.688786
   gy07   gy04   31.4967
   gy07   gy05  19.69958
   gy07   gy06  1.156963
   gy07   gy07  77.73483
   gy07   gy08  3.448092
   gy07   gy09  4.083245
   gy07   gy10  .4381742
   gy07   gy11  .1353164
   gy07   gy12  .9056742
   gy07   gy13  .0099927
   gy07   gy14  .1221760
   gy08   gy01  .0234270
