c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:21:28
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy01   gy01  3293.028
   gy01   gy02   1666.03
   gy01   gy03  250.8594
   gy01   gy04  420.1557
   gy01   gy05  130.2014
   gy01   gy06   10.7666
   gy01   gy07  21.68999
   gy01   gy08  1.355678
   gy01   gy09  5.650729
   gy01   gy10  .2619409
   gy01   gy11  .9169435
   gy01   gy12  .7743226
   gy01   gy13  .0113828
   gy01   gy14  .0413065
   gy02   gy01  1664.594
   gy02   gy02  15311.82
   gy02   gy03  402.9949
   gy02   gy04    1532.7
   gy02   gy05  821.9879
   gy02   gy06  142.6969
   gy02   gy07  74.09369
   gy02   gy08  12.25294
   gy02   gy09  122.1427
   gy02   gy10  4.008054
   gy02   gy11  24.79807
   gy02   gy12  15.20707
   gy02   gy13  .3664307
   gy02   gy14  2.608865
   gy03   gy01  370.3138
   gy03   gy02  658.9527
   gy03   gy03  3131.001
   gy03   gy04  5852.305
   gy03   gy05  865.7076
   gy03   gy06  202.5751
   gy03   gy07  483.9206
   gy03   gy08  52.26417
   gy03   gy09   279.741
   gy03   gy10  17.00879
   gy03   gy11  28.91673
   gy03   gy12   26.0141
   gy03   gy13  .3490595
   gy03   gy14  2.352342
   gy04   gy01  420.8471
   gy04   gy02  1559.966
   gy04   gy03  3914.106
   gy04   gy04  56113.82
   gy04   gy05  7101.937
   gy04   gy06  778.9809
   gy04   gy07  4120.654
   gy04   gy08  523.5497
   gy04   gy09  1156.442
   gy04   gy10  125.4196
   gy04   gy11  64.36908
   gy04   gy12  117.6582
   gy04   gy13  1.722761
   gy04   gy14  21.08731
   gy05   gy01  129.4032
   gy05   gy02  827.2874
   gy05   gy03  492.7935
   gy05   gy04  7291.581
   gy05   gy05  30609.04
   gy05   gy06  3621.844
   gy05   gy07  1079.107
   gy05   gy08  161.6642
   gy05   gy09  2485.933
   gy05   gy10   135.604
   gy05   gy11  266.2842
   gy05   gy12  305.8185
   gy05   gy13  16.87698
   gy05   gy14  54.22183
   gy06   gy01  10.45692
   gy06   gy02   137.929
   gy06   gy03  116.1758
   gy06   gy04  745.1392
   gy06   gy05  3535.164
   gy06   gy06  25586.63
   gy06   gy07  115.0657
   gy06   gy08  16.09191
   gy06   gy09  1064.805
   gy06   gy10   43.6096
   gy06   gy11  1165.691
   gy06   gy12  211.1383
   gy06   gy13  15.36477
   gy06   gy14  14.67012
   gy07   gy01  21.57614
   gy07   gy02  74.40943
   gy07   gy03  299.8332
   gy07   gy04  4123.518
   gy07   gy05  1063.767
   gy07   gy06  118.8316
   gy07   gy07  22826.23
   gy07   gy08  882.2561
   gy07   gy09  974.3596
   gy07   gy10  209.7575
   gy07   gy11  4.805203
   gy07   gy12  40.67121
   gy07   gy13  .1056233
   gy07   gy14  1.146614
   gy08   gy01  1.271278
   gy08   gy02  11.23177
   gy08   gy03  27.20697
   gy08   gy04  482.5506
   gy08   gy05  152.0242
   gy08   gy06   16.0091
   gy08   gy07  844.9467
   gy08   gy08  5508.614
   gy08   gy09  843.0598
   gy08   gy10  129.8981
