t groups
a     gn: 'PNR lots' /2016-05-20 15:04:17
a   gn00:      1
a   gn00:      2
a   gn00:      3
a   gn00:      4
a   gn00:      5
a   gn00:      6
a   gn00:      7
a   gn00:      8
a   gn00:      9
a   gn00:     10
a   gn00:     11
a   gn00:    101
a   gn01:    102
a   gn01:    103
a   gn01:    104
a   gn02:    105
a   gn01:    106
a   gn01:    107
a   gn00:    108
a   gn01:    109
a   gn00:    110
a   gn01:    111
a   gn01:    112
a   gn01:    113
a   gn01:    114
a   gn00:    115
a   gn01:    116
a   gn01:    117
a   gn01:    118
a   gn01:    119
a   gn01:    120
a   gn01:    121
a   gn01:    122
a   gn01:    123
a   gn00:    124
a   gn00:    125
a   gn01:    126
a   gn01:    127
a   gn03:    128
a   gn00:    129
a   gn00:    130
a   gn00:  11010
a   gn00:  11020
a   gn00:  11030
a   gn00:  11040
a   gn00:  11050
a   gn00:  11060
a   gn00:  11070
a   gn00:  11080
a   gn00:  11090
a   gn00:  11100
a   gn00:  11110
a   gn00:  11120
a   gn00:  11130
a   gn00:  11140
a   gn00:  11150
a   gn00:  11160
a   gn00:  11170
a   gn00:  11180
a   gn00:  11190
a   gn00:  11200
a   gn00:  11210
a   gn00:  11220
a   gn00:  11230
a   gn00:  11240
a   gn00:  11250
a   gn00:  11260
a   gn00:  11270
a   gn00:  11280
a   gn00:  12010
a   gn00:  12020
a   gn00:  12030
a   gn00:  12040
a   gn00:  12050
a   gn00:  12060
a   gn00:  12070
a   gn00:  12080
a   gn00:  12090
a   gn00:  12100
a   gn00:  12110
a   gn00:  12120
a   gn00:  12130
a   gn00:  12140
a   gn00:  12150
a   gn00:  12160
a   gn00:  12170
a   gn00:  12180
a   gn00:  12190
a   gn00:  12200
a   gn00:  12210
a   gn00:  12220
a   gn00:  12230
a   gn00:  12240
a   gn00:  12250
a   gn00:  12260
a   gn00:  12270
a   gn00:  12280
a   gn00:  12290
a   gn00:  12300
a   gn00:  12310
a   gn00:  12320
a   gn00:  12330
a   gn00:  12340
a   gn00:  12350
a   gn00:  12360
a   gn00:  12370
a   gn00:  12380
a   gn00:  12390
a   gn00:  12400
a   gn00:  12410
a   gn00:  12420
a   gn00:  13010
a   gn00:  13020
a   gn00:  13030
a   gn00:  13040
a   gn00:  13050
a   gn00:  13060
a   gn00:  13070
a   gn00:  13080
a   gn00:  13090
a   gn00:  13100
a   gn00:  13110
a   gn00:  13120
a   gn00:  13130
a   gn00:  13140
a   gn00:  13150
a   gn00:  13160
a   gn00:  13170
a   gn00:  13180
a   gn00:  13190
a   gn00:  13200
a   gn00:  13210
a   gn00:  13220
a   gn00:  13230
a   gn00:  13240
a   gn00:  13250
a   gn00:  13260
a   gn00:  13270
a   gn00:  13280
a   gn00:  13290
a   gn00:  13300
a   gn00:  13310
a   gn00:  13320
a   gn00:  13330
a   gn00:  14010
a   gn00:  14020
a   gn00:  14030
a   gn00:  14040
a   gn00:  21010
a   gn00:  21020
a   gn00:  21030
a   gn00:  21040
a   gn00:  21050
a   gn00:  21060
a   gn00:  21070
a   gn00:  21080
a   gn00:  21090
a   gn00:  21100
a   gn00:  21110
a   gn00:  21120
a   gn00:  21130
a   gn00:  21140
a   gn00:  21150
a   gn00:  21160
a   gn00:  22010
a   gn00:  22020
a   gn00:  22030
a   gn00:  22040
a   gn00:  22050
a   gn00:  22060
a   gn00:  22070
a   gn00:  22080
a   gn00:  22090
a   gn00:  22100
a   gn00:  22110
a   gn00:  22120
a   gn00:  22130
a   gn00:  22140
a   gn00:  22150
a   gn00:  22160
a   gn00:  22170
a   gn00:  22180
a   gn00:  22190
a   gn00:  22200
a   gn00:  22210
a   gn00:  22220
a   gn00:  22230
a   gn00:  22240
